WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,DewPoint,MeanSeaLevelPressure,LandVisibility,StationPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,WindSpeed
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-22-2019,10:00:00,23.6,1008.48,10.00,992.26,0.00,29.07,63,0.00,31.5,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,260,07-22-2019,10:00:00,21.6,1009.22,8.00,986.62,8.70,25.84,87,3.60,23.9,9.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,07-22-2019,10:00:00,23.1,1009.71,8.00,995.39,30.30,28.21,70,0.00,29.2,9.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,07-22-2019,10:00:00,22.1,1008.53,12.00,992.26,1.50,26.62,65,0.00,29.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,110,07-22-2019,10:00:00,25.5,1008.57,10.00,1003.37,9.50,32.55,81,0.00,29.0,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-22-2019,10:00:00,24.6,1007.02,12.00,993.97,0.00,30.91,72,0.00,30.3,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,330,07-22-2019,10:00:00,25.3,1008.72,11.00,999.43,6.70,32.22,82,0.01,28.7,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,240,07-22-2019,10:00:00,24.9,1007.84,9.00,986.34,0.00,31.52,75,0.00,29.9,9.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,250,07-22-2019,10:00:00,26.5,1008.06,10.00,990.71,24.30,34.64,82,0.00,30.0,9.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,160,07-22-2019,10:00:00,24.4,1007.88,12.00,992.09,0.00,30.56,81,0.00,28.0,9.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,250,07-22-2019,10:00:00,25.6,1006.66,10.00,988.00,0.40,32.75,75,0.00,30.5,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-22-2019,10:00:00,22.7,1010.30,11.00,959.10,6.30,27.52,78,0.00,26.8,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,07-22-2019,10:00:00,25.9,1008.00,8.00,1004.07,10.30,33.45,82,0.01,29.3,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,240,07-22-2019,10:00:00,20.3,1010.27,.10,914.57,14.80,23.86,99,0.90,20.5,18.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,240,07-22-2019,10:00:00,25.9,1007.68,8.00,991.79,17.40,33.41,83,0.00,29.0,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,190,07-22-2019,10:00:00,24.7,1008.18,12.00,1004.22,0.00,31.15,63,0.00,32.8,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,250,07-22-2019,10:00:00,22.5,1009.11,9.00,998.59,0.00,27.27,57,0.00,32.0,7.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,07-22-2019,10:00:00,23.1,1008.90,10.00,1007.00,0.00,28.25,58,0.00,32.5,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,250,07-22-2019,10:00:00,21.2,1008.13,10.00,987.54,0.00,25.14,55,0.00,31.3,13.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,180,07-22-2019,10:00:00,24.9,1008.08,10.00,990.49,22.40,31.54,81,0.00,28.5,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,260,07-22-2019,10:00:00,26.0,1007.58,10.00,991.50,22.80,33.66,86,0.01,28.7,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,07-22-2019,10:00:00,24.8,1008.84,10.00,994.76,15.80,31.24,90,0.80,26.5,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-22-2019,10:00:00,24.5,1009.83,8.00,994.92,15.60,30.67,90,0.00,26.2,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,200,07-22-2019,10:00:00,26.5,1008.90,8.00,994.37,16.60,34.52,79,0.00,30.5,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",07-22-2019,10:00:00,21.7,1008.32,10.00,1005.37,0.00,25.87,49,0.00,33.7,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,210,07-22-2019,10:00:00,23.3,1008.13,10.00,1000.30,0.01,28.66,60,0.01,32.0,5.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,270,07-22-2019,10:00:00,23.5,1008.41,10.00,1007.31,0.00,28.91,62,0.00,31.7,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-22-2019,10:00:00,22.7,1008.98,8.00,994.41,4.90,27.55,65,0.00,30.0,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,300,07-22-2019,10:00:00,21.2,1007.95,5.00,874.13,0.40,25.20,92,0.00,22.6,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,210,07-22-2019,10:00:00,25.5,1008.34,10.00,1002.56,0.00,32.58,67,0.00,32.5,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,230,07-22-2019,10:00:00,26.9,1009.07,9.00,1008.27,8.60,35.40,74,0.00,32.0,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,07-22-2019,10:00:00,24.8,1008.96,10.00,1008.52,0.00,31.27,67,0.00,31.6,13.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-22-2019,10:00:00,25.4,1009.71,7.00,998.46,1.60,32.38,80,0.00,29.2,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,07-22-2019,10:00:00,23.5,1009.17,12.00,1008.17,6.90,28.89,59,0.00,32.4,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,170,07-22-2019,10:00:00,24.9,1009.10,9.00,1007.30,0.00,31.39,67,0.00,31.8,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-22-2019,10:00:00,23.0,1008.89,9.00,1008.14,0.01,28.09,63,0.00,31.0,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,150,07-22-2019,10:00:00,23.9,1009.12,10.00,1008.43,0.01,29.67,63,0.00,31.8,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,240,07-22-2019,10:00:00,24.9,1008.38,12.00,1007.69,0.00,31.46,61,0.00,33.5,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,250,07-22-2019,10:00:00,23.8,1008.29,10.00,987.55,0.00,29.41,57,0.00,33.5,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,260,07-22-2019,10:00:00,23.0,1008.60,11.00,992.03,0.10,28.09,66,0.00,30.0,9.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,07-22-2019,10:00:00,23.9,1009.06,9.00,992.80,0.70,29.73,67,0.00,30.7,9.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,280,07-22-2019,10:00:00,21.9,1008.57,10.00,987.00,0.00,26.23,56,0.00,31.6,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,230,07-22-2019,10:00:00,21.3,1008.59,15.00,965.78,0.00,25.27,58,0.00,30.5,25.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,210,07-22-2019,10:00:00,21.5,1008.57,12.00,988.27,0.00,25.67,56,0.00,31.3,11.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,250,07-22-2019,10:00:00,25.6,1010.14,9.00,989.50,6.00,32.75,75,0.00,30.5,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,150,07-22-2019,10:00:00,25.2,1008.81,2.00,1008.38,6.70,31.97,71,0.00,31.1,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-22-2019,10:00:00,24.6,1009.04,11.00,1007.63,0.00,30.90,69,0.00,31.0,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-22-2019,10:00:00,26.0,1009.05,8.00,1004.17,0.00,33.52,75,0.00,31.0,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,200,07-22-2019,10:00:00,23.9,1008.79,12.00,1005.55,3.70,29.66,61,0.00,32.5,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,270,07-22-2019,10:00:00,24.9,1008.93,10.00,1007.84,0.01,31.44,66,0.00,32.1,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,07-22-2019,10:00:00,25.1,1009.20,10.00,1008.90,0.00,31.94,66,0.00,32.2,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,180,07-22-2019,10:00:00,25.5,1009.32,10.00,1008.64,0.00,32.58,67,0.00,32.5,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,300,07-22-2019,10:00:00,24.6,1009.53,10.00,1009.05,0.00,30.94,63,0.00,32.7,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,200,07-22-2019,10:00:00,23.8,1009.57,10.00,1008.18,0.20,29.55,64,0.00,31.6,3.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,180,07-22-2019,10:00:00,25.4,1009.12,10.00,1007.46,1.50,32.34,72,0.00,31.0,3.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,07-22-2019,10:00:00,24.2,1011.56,10.00,1003.61,0.00,30.14,70,0.00,30.2,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,270,07-22-2019,10:00:00,25.5,1009.19,10.00,1008.91,3.20,32.63,66,0.00,32.8,3.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,07-22-2019,10:00:00,24.6,1009.20,12.00,1006.10,0.00,30.90,69,0.00,31.0,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,200,07-22-2019,10:00:00,24.0,1009.09,12.00,1002.22,0.00,29.81,68,0.00,30.6,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,270,07-22-2019,10:00:00,25.0,1009.85,8.00,1004.30,0.00,31.76,74,0.00,30.3,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,230,07-22-2019,10:00:00,24.8,1010.20,8.00,1001.03,0.00,31.32,64,0.00,32.6,9.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-22-2019,10:00:00,24.7,1009.42,15.00,1008.17,4.60,31.19,69,0.00,31.0,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,07-22-2019,10:00:00,26.5,1009.04,11.00,1008.61,8.30,34.71,77,0.00,31.0,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,07-22-2019,10:00:00,24.3,1009.16,9.00,996.98,2.40,30.35,73,0.00,29.6,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,07-22-2019,10:00:00,24.7,1008.73,10.00,1008.03,0.60,31.14,68,0.00,31.4,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,200,07-22-2019,10:00:00,24.4,1009.49,10.00,1007.09,0.01,30.61,63,0.01,32.4,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,07-22-2019,10:00:00,25.2,1009.84,10.00,1009.33,0.01,32.01,72,0.00,30.7,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,210,07-22-2019,10:00:00,24.0,1009.32,12.00,1004.24,0.00,29.75,61,0.00,32.4,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,07-22-2019,10:00:00,26.2,1009.91,8.00,1009.50,4.60,34.03,75,0.00,31.1,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,07-22-2019,10:00:00,25.9,1009.99,8.00,1007.23,2.90,33.49,84,0.00,28.9,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,360,07-22-2019,10:00:00,24.3,1009.14,10.00,1008.37,0.00,30.32,65,0.00,31.7,7.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,300,07-22-2019,10:00:00,24.5,1010.91,8.00,1010.45,10.60,30.67,90,10.60,26.2,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,07-22-2019,10:00:00,24.6,1009.38,8.00,1008.71,0.00,30.90,69,0.00,31.0,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,230,07-22-2019,10:00:00,23.3,1009.45,10.00,1007.94,0.00,28.66,60,0.00,32.0,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,210,07-22-2019,10:00:00,24.6,1009.27,10.00,1008.36,0.10,30.90,69,0.00,31.0,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,200,07-22-2019,10:00:00,24.7,1009.59,12.00,1008.91,0.00,31.11,64,0.00,32.5,7.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,07-22-2019,10:00:00,25.4,1010.23,10.00,1009.44,0.00,32.34,72,0.00,31.0,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,180,07-22-2019,10:00:00,24.9,1009.25,10.00,1008.63,0.00,31.52,66,0.00,32.0,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,210,07-22-2019,10:00:00,26.1,1009.34,15.00,1008.94,0.00,33.78,74,0.00,31.4,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,07-22-2019,10:00:00,23.8,1011.30,8.00,1007.12,0.00,29.45,67,0.00,30.7,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-22-2019,10:00:00,22.6,1009.60,10.00,1008.00,0.20,27.39,64,0.00,30.2,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-22-2019,10:00:00,25.6,1009.60,12.00,1006.16,0.00,32.92,76,0.00,30.3,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,07-22-2019,10:00:00,26.2,1009.70,10.00,1008.35,0.00,33.94,90,0.00,28.0,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,240,07-22-2019,10:00:00,23.6,1009.40,10.00,1008.53,1.20,29.07,63,0.00,31.5,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,07-22-2019,10:00:00,24.2,1009.57,10.00,1006.06,0.00,30.16,66,0.00,31.2,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,140,07-22-2019,10:00:00,25.5,1009.59,10.00,1009.16,0.00,32.59,74,0.00,30.7,7.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,320,07-22-2019,10:00:00,25.6,1009.24,10.00,1008.26,2.50,32.88,74,0.00,30.7,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,07-22-2019,10:00:00,28.2,1009.76,10.00,1008.95,0.00,38.16,85,0.00,30.9,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-22-2019,10:00:00,25.7,1009.29,12.00,1007.49,0.00,32.96,75,0.00,30.6,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,000,07-22-2019,10:00:00,24.0,1009.63,9.00,1008.89,0.30,29.76,66,0.00,31.0,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,230,07-22-2019,10:00:00,25.0,1009.63,10.00,1005.67,0.20,31.76,74,0.00,30.3,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-22-2019,10:00:00,25.1,1009.77,10.00,1009.09,0.00,31.81,67,0.00,32.0,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,090,07-22-2019,10:00:00,24.0,1009.50,10.00,1008.40,4.00,29.75,61,0.00,32.4,5.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,150,07-22-2019,10:00:00,25.3,1009.59,12.00,1006.71,0.00,32.30,70,0.00,31.4,3.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,07-22-2019,10:00:00,26.2,1009.35,10.00,1008.67,0.00,34.06,77,0.00,30.7,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,170,07-22-2019,10:00:00,24.4,1011.49,9.00,1007.36,0.00,30.56,81,0.00,28.0,5.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,07-22-2019,10:00:00,24.4,1010.37,10.00,1009.78,2.20,30.47,73,0.00,29.8,0.0
