WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,WindSpeed,StationPressure,RelativeHumidity
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,150,09-24-2019,13:00:00,1011.83,30.99,0.00,9.00,7.60,24.6,30.2,5.6,1011.40,72
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,060,09-24-2019,13:00:00,1011.77,28.50,0.00,11.00,4.30,23.2,30.5,3.7,1010.36,65
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,060,09-24-2019,13:00:00,1011.84,29.68,0.00,8.00,13.20,23.9,31.1,5.6,1006.95,66
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,110,09-24-2019,13:00:00,1012.37,28.86,0.00,8.00,8.10,23.5,30.4,9.3,1009.10,66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,09-24-2019,13:00:00,1012.56,28.81,0.00,10.00,9.30,23.4,30.8,0.0,1011.47,65
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,070,09-24-2019,13:00:00,1011.89,28.74,0.00,10.00,0.20,23.4,31.9,7.4,1011.59,61
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,060,09-24-2019,13:00:00,1011.81,29.84,0.00,12.00,9.60,24.0,31.6,5.6,1011.13,64
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,130,09-24-2019,13:00:00,1011.75,28.25,0.00,10.00,11.10,23.1,32.5,5.6,1011.27,58
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,050,09-24-2019,13:00:00,1012.09,28.46,0.00,10.00,1.60,23.2,31.9,13.0,1010.70,60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,050,09-24-2019,13:00:00,1011.81,32.83,0.00,10.00,1.80,25.6,29.0,13.0,1010.13,82
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,09-24-2019,13:00:00,1013.71,29.32,0.00,10.00,7.00,23.7,31.2,0.0,1005.76,65
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,060,09-24-2019,13:00:00,1010.91,28.93,0.00,10.00,24.20,23.5,32.7,5.6,1010.63,58
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,09-24-2019,13:00:00,1011.32,30.69,0.00,10.00,0.00,24.5,33.0,0.0,1008.24,61
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,09-24-2019,13:00:00,1011.27,30.18,0.00,10.00,0.00,24.2,30.5,0.0,1004.38,69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,060,09-24-2019,13:00:00,1011.80,30.49,0.00,8.00,1.30,24.4,31.5,5.6,1006.26,66
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,080,09-24-2019,13:00:00,1013.34,32.18,0.00,10.00,0.00,25.3,31.2,7.4,1004.10,71
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,010,09-24-2019,13:00:00,1012.63,31.60,0.00,6.00,62.50,25.0,30.5,14.8,1011.37,72
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,050,09-24-2019,13:00:00,1011.77,30.90,0.00,11.00,3.00,24.6,31.0,13.0,1011.34,69
