WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,MeanSeaLevelPressure,WindDirection,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,08-06-2019,13:00:00,23.6,1006.48,200,29.07,1004.08,3.7,0.50,63,1.90,31.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,08-06-2019,13:00:00,25.5,1006.92,210,32.55,1006.41,9.3,0.00,81,0.20,29.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.00,08-06-2019,13:00:00,23.9,1006.23,240,29.65,1001.14,3.7,0.01,67,0.40,30.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-06-2019,13:00:00,24.3,1007.19,000,30.43,1006.78,0.0,4.00,88,117.80,26.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-06-2019,13:00:00,24.9,1006.82,000,31.55,1004.05,0.0,5.20,90,52.00,26.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-06-2019,13:00:00,23.7,1006.50,250,29.33,1005.72,7.4,0.00,67,0.00,30.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-06-2019,13:00:00,23.7,1007.68,300,29.26,1007.22,3.7,37.30,92,133.90,25.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-06-2019,13:00:00,22.8,1006.77,250,27.68,1006.10,5.6,0.01,60,5.40,31.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-06-2019,13:00:00,24.3,1006.29,250,30.36,1004.78,7.4,0.00,64,7.80,32.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-06-2019,13:00:00,24.4,1007.94,240,30.49,1007.04,13.0,0.00,66,26.50,31.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,08-06-2019,13:00:00,24.5,1007.00,270,30.69,1006.33,5.6,0.00,63,12.30,32.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-06-2019,13:00:00,23.6,1006.98,250,29.09,1006.20,13.0,0.00,53,9.10,34.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-06-2019,13:00:00,22.3,1006.83,240,26.93,1006.21,5.6,0.00,50,2.60,34.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,12.00,08-06-2019,13:00:00,22.6,1006.89,310,27.40,1006.50,18.5,0.00,47,0.00,35.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,8.00,08-06-2019,13:00:00,22.6,1008.73,260,27.43,1004.60,7.4,0.00,53,2.50,33.5
