WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,DewPoint,RelativeHumidity,LandVisibility,WindSpeed,VaporPressure,AirTemperature,Rainfall24Hr
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,250,07-20-2019,13:00:00,988.84,0.00,1004.76,22.2,48,7.00,11.1,26.75,35.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,170,07-20-2019,13:00:00,1000.03,0.00,1005.13,24.0,56,10.00,5.6,29.87,34.0,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-20-2019,13:00:00,991.21,0.00,1003.97,23.8,49,12.00,0.0,29.53,36.2,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,200,07-20-2019,13:00:00,995.33,0.00,1004.35,23.0,47,12.00,9.3,28.06,36.2,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,190,07-20-2019,13:00:00,983.17,0.00,1004.21,23.4,50,10.00,5.6,28.80,35.3,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,140,07-20-2019,13:00:00,987.22,0.00,1004.13,23.6,47,12.00,22.2,29.11,36.7,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,250,07-20-2019,13:00:00,988.57,0.00,1003.93,24.2,52,14.00,11.1,30.10,35.5,0.80
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,180,07-20-2019,13:00:00,985.00,0.00,1003.21,23.1,45,10.00,5.6,28.28,37.0,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-20-2019,13:00:00,956.07,0.00,1006.23,21.7,54,11.00,0.0,25.91,32.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,290,07-20-2019,13:00:00,1000.90,0.00,1004.75,24.6,57,10.00,7.4,30.93,34.5,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,07-20-2019,13:00:00,912.08,0.00,1005.38,22.1,75,9.00,9.3,26.58,27.0,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,210,07-20-2019,13:00:00,989.09,0.00,1004.56,24.6,51,10.00,7.4,30.94,36.3,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,350,07-20-2019,13:00:00,1001.60,0.00,1005.52,25.4,56,12.00,3.7,32.51,35.5,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-20-2019,13:00:00,995.67,0.00,1006.05,23.9,52,10.00,0.0,29.68,35.3,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,150,07-20-2019,13:00:00,1004.02,0.00,1005.91,23.2,53,12.00,3.7,28.43,34.0,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,240,07-20-2019,13:00:00,985.27,0.00,1005.39,22.3,42,12.00,9.3,26.99,37.5,0.01
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,07-20-2019,13:00:00,987.00,0.00,1004.15,24.3,53,10.00,0.0,30.35,35.2,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,210,07-20-2019,13:00:00,988.50,0.00,1004.15,24.7,52,10.00,7.4,31.19,36.0,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,080,07-20-2019,13:00:00,991.94,0.00,1005.63,24.0,56,10.00,3.7,29.87,34.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-20-2019,13:00:00,991.60,0.00,1006.10,23.9,57,12.00,0.0,29.70,33.5,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,260,07-20-2019,13:00:00,991.95,0.00,1006.21,23.4,50,10.00,9.3,28.72,35.4,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-20-2019,13:00:00,1002.72,0.00,1005.66,23.0,50,10.00,0.0,28.10,35.1,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-20-2019,13:00:00,997.13,0.00,1004.85,21.1,45,10.00,0.0,25.08,35.0,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,230,07-20-2019,13:00:00,1006.14,0.00,1007.22,24.4,59,9.00,7.4,30.49,33.6,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-20-2019,13:00:00,990.73,0.00,1004.98,24.6,53,10.00,0.0,30.92,35.6,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,190,07-20-2019,13:00:00,872.05,0.00,1005.22,21.9,92,8.00,5.6,26.33,23.3,76.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,210,07-20-2019,13:00:00,999.30,0.00,1005.00,25.8,57,10.00,3.7,33.12,35.5,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,180,07-20-2019,13:00:00,1005.29,0.00,1006.07,27.1,68,9.00,5.6,35.92,34.0,11.90
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,07-20-2019,13:00:00,1005.75,0.00,1006.19,25.7,69,10.00,11.1,32.99,32.0,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,350,07-20-2019,13:00:00,995.21,0.00,1006.27,23.8,57,10.00,5.6,29.41,33.5,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,190,07-20-2019,13:00:00,1004.92,0.00,1005.91,25.0,55,12.00,5.6,31.68,35.4,0.80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,210,07-20-2019,13:00:00,1004.28,0.00,1006.06,24.5,59,9.00,5.6,30.70,33.7,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-20-2019,13:00:00,1004.64,0.00,1005.39,24.4,55,9.00,0.0,30.47,34.7,50.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,07-20-2019,13:00:00,1005.28,0.00,1005.97,25.0,61,10.00,16.7,31.75,33.5,0.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-20-2019,13:00:00,1005.07,0.00,1005.75,26.0,58,10.00,0.0,33.66,35.6,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,240,07-20-2019,13:00:00,983.83,0.00,1004.27,25.2,52,10.00,3.7,32.13,36.7,0.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,240,07-20-2019,13:00:00,988.96,0.00,1005.26,24.4,57,12.00,5.6,30.58,34.2,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,230,07-20-2019,13:00:00,990.00,0.00,1006.01,23.7,53,14.00,11.1,29.38,34.6,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,120,07-20-2019,13:00:00,983.30,0.00,1004.47,23.1,48,10.00,9.3,28.22,36.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,07-20-2019,13:00:00,962.57,0.00,1004.85,22.0,52,15.00,22.2,26.48,33.3,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,110,07-20-2019,13:00:00,984.73,0.00,1004.66,22.0,45,11.00,5.6,26.38,35.8,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,000,07-20-2019,13:00:00,986.77,0.00,1007.07,26.0,61,9.00,0.0,33.56,34.6,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,170,07-20-2019,13:00:00,1005.62,0.00,1006.05,25.2,66,10.00,13.0,32.07,32.4,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-20-2019,13:00:00,1003.52,0.00,1004.90,25.7,63,11.00,0.0,33.08,33.7,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-20-2019,13:00:00,1000.77,0.00,1005.57,25.5,59,9.00,0.0,32.64,34.6,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,240,07-20-2019,13:00:00,1002.08,0.00,1005.28,23.3,50,12.00,7.4,28.64,35.5,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,010,07-20-2019,13:00:00,1004.53,0.00,1005.60,25.1,56,10.00,1.9,31.85,35.2,0.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,200,07-20-2019,13:00:00,1005.86,0.00,1006.15,25.4,59,10.00,11.1,32.42,34.5,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,220,07-20-2019,13:00:00,1005.65,0.00,1006.32,25.4,60,10.00,9.3,32.51,34.4,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,240,07-20-2019,13:00:00,1005.98,0.00,1006.46,25.1,58,10.00,3.7,31.82,34.5,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,310,07-20-2019,13:00:00,1004.67,0.00,1006.05,24.7,62,10.00,9.3,31.07,32.9,8.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,180,07-20-2019,13:00:00,1004.70,0.00,1006.36,25.3,71,12.00,5.6,32.26,31.1,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,220,07-20-2019,13:00:00,999.58,0.00,1007.40,23.2,53,10.00,7.4,28.43,34.0,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,07-20-2019,13:00:00,1005.53,0.00,1005.81,26.5,69,10.00,0.0,34.57,33.0,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,180,07-20-2019,13:00:00,1002.11,0.00,1005.19,24.1,63,12.00,5.6,30.08,32.0,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,210,07-20-2019,13:00:00,999.80,0.00,1006.63,23.6,63,12.00,13.0,29.07,31.5,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,200,07-20-2019,13:00:00,1000.31,0.00,1005.74,24.6,54,8.00,5.6,31.00,35.5,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,260,07-20-2019,13:00:00,998.14,0.00,1007.23,25.2,59,12.00,11.1,31.99,34.3,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,090,07-20-2019,13:00:00,1005.68,0.00,1006.92,24.6,57,15.00,3.7,30.93,34.5,4.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,120,07-20-2019,13:00:00,1005.69,0.00,1006.11,25.1,62,11.00,14.8,31.92,33.3,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,270,07-20-2019,13:00:00,993.68,0.00,1005.64,24.5,58,13.00,7.4,30.75,34.0,3.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,130,07-20-2019,13:00:00,1005.91,0.00,1006.61,25.8,70,10.00,3.7,33.29,32.0,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,180,07-20-2019,13:00:00,1004.50,0.00,1006.88,23.8,57,10.00,18.5,29.50,33.4,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,250,07-20-2019,13:00:00,1007.07,0.00,1007.59,25.4,72,12.00,9.3,32.34,31.0,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,160,07-20-2019,13:00:00,1001.57,0.00,1006.62,23.8,58,17.00,5.6,29.46,33.1,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,190,07-20-2019,13:00:00,1006.80,0.00,1007.20,25.2,64,10.00,7.4,32.03,32.8,1.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,07-20-2019,13:00:00,1004.62,0.00,1007.35,25.2,70,8.00,0.0,32.10,31.3,18.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,300,07-20-2019,13:00:00,1006.82,0.00,1007.59,21.8,49,10.00,5.6,26.10,34.1,0.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,080,07-20-2019,13:00:00,1007.67,12.30,1008.13,25.2,95,6.00,7.4,32.12,26.1,89.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,100,07-20-2019,13:00:00,1006.36,1.00,1007.04,27.1,80,10.00,5.6,35.92,31.0,18.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,300,07-20-2019,13:00:00,1006.18,0.60,1007.69,24.1,69,7.00,3.7,29.98,30.4,72.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,190,07-20-2019,13:00:00,1007.41,3.30,1008.33,25.0,90,7.00,5.6,31.63,26.7,107.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,150,07-20-2019,13:00:00,1007.03,0.00,1007.71,23.8,68,10.00,9.3,29.50,30.3,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,250,07-20-2019,13:00:00,1006.49,0.00,1007.27,25.6,65,10.00,7.4,32.76,33.0,0.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,210,07-20-2019,13:00:00,1006.78,0.00,1007.40,23.4,56,10.00,13.0,28.84,33.5,0.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,07-20-2019,13:00:00,1007.07,0.01,1007.47,25.2,81,10.00,0.0,32.14,28.8,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,260,07-20-2019,13:00:00,1005.00,0.00,1009.13,24.5,61,7.00,13.0,30.69,33.0,0.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,210,07-20-2019,13:00:00,1006.78,0.60,1008.39,23.9,81,7.00,18.5,29.69,27.4,4.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,180,07-20-2019,13:00:00,1004.40,0.00,1007.81,25.3,64,8.00,9.3,32.16,33.0,1.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,300,07-20-2019,13:00:00,1006.44,0.00,1007.78,23.7,74,7.00,7.4,29.27,28.9,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-20-2019,13:00:00,1007.08,26.20,1007.97,25.6,98,8.00,0.0,32.76,26.0,59.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,270,07-20-2019,13:00:00,1005.05,0.40,1008.62,24.3,90,8.00,9.3,30.30,26.0,43.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-20-2019,13:00:00,1007.77,0.60,1008.21,25.6,84,10.00,0.0,32.88,28.6,10.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,07-20-2019,13:00:00,1006.72,9.00,1007.71,26.4,88,9.00,0.0,34.40,28.5,63.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,280,07-20-2019,13:00:00,1007.55,0.00,1008.36,27.1,91,10.00,14.8,35.92,28.8,9.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-20-2019,13:00:00,1006.82,18.80,1008.64,24.9,96,8.00,0.0,31.44,25.6,22.20
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,080,07-20-2019,13:00:00,1006.77,0.00,1007.51,26.6,73,10.00,7.4,34.79,32.0,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,190,07-20-2019,13:00:00,1003.41,0.00,1007.32,24.1,58,10.00,9.3,29.99,33.5,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-20-2019,13:00:00,1009.97,0.00,1010.64,24.9,65,10.00,0.0,31.48,32.4,7.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-20-2019,13:00:00,1005.94,0.00,1007.03,24.6,63,10.00,0.0,30.94,32.7,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,250,07-20-2019,13:00:00,1003.76,0.00,1006.61,23.6,55,12.00,7.4,29.17,33.8,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,07-20-2019,13:00:00,1006.36,0.00,1007.03,26.6,74,8.00,0.0,34.73,31.7,1.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,07-20-2019,13:00:00,1004.01,0.00,1008.08,25.4,72,5.00,0.0,32.34,31.0,1.60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,090,07-20-2019,13:00:00,1006.69,0.00,1007.27,25.6,75,10.00,11.1,32.75,30.5,10.60
