WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,WindDirection,StationPressure,VaporPressure,WindSpeed,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-29-2019,22:00:00,29.8,24.0,000,1011.77,29.91,0.0,10.00,71,1012.26,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-29-2019,22:00:00,30.4,23.6,170,1010.95,29.14,11.1,10.00,67,1012.35,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-29-2019,22:00:00,26.5,24.3,000,1006.18,30.43,0.0,10.00,88,1014.25,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-29-2019,22:00:00,29.5,25.2,000,1011.83,32.13,0.0,10.00,78,1012.11,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-29-2019,22:00:00,28.5,25.5,000,1009.28,32.67,0.0,10.00,84,1012.41,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-29-2019,22:00:00,28.0,25.9,000,1005.71,33.37,0.0,8.00,88,1012.66,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-29-2019,22:00:00,28.5,24.3,000,1006.99,30.42,0.0,8.00,78,1012.59,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-29-2019,22:00:00,26.6,23.5,000,1011.74,29.00,0.0,6.00,83,1013.01,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-29-2019,22:00:00,29.3,24.7,260,1011.93,31.16,9.3,11.00,76,1012.36,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-29-2019,22:00:00,24.9,23.3,000,1001.05,28.56,0.0,8.00,91,1013.48,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-29-2019,22:00:00,28.1,25.0,000,1012.00,31.59,0.0,6.00,83,1012.72,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-29-2019,22:00:00,27.2,25.2,360,1010.52,32.05,5.6,6.00,89,1012.96,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-29-2019,22:00:00,29.0,25.6,000,1012.35,32.83,0.0,10.00,82,1012.86,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-29-2019,22:00:00,27.6,25.5,000,1007.71,32.56,0.0,7.00,88,1012.89,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.20,09-29-2019,22:00:00,27.8,25.7,000,1012.23,32.96,0.0,7.00,88,1012.64,0.01
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-29-2019,22:00:00,27.0,26.3,000,1010.14,34.19,0.0,8.00,96,1012.93,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1.40,09-29-2019,22:00:00,26.3,24.4,000,1013.28,30.59,0.0,6.00,89,1014.07,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-29-2019,22:00:00,27.0,26.3,090,1011.83,34.19,7.4,6.00,96,1012.30,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-29-2019,22:00:00,26.6,25.3,000,1012.76,32.26,0.0,7.00,93,1013.45,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-29-2019,22:00:00,26.6,24.6,000,1011.29,30.89,0.0,7.00,89,1012.83,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-29-2019,22:00:00,25.8,23.5,000,1011.59,28.87,0.0,10.00,87,1012.52,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-29-2019,22:00:00,27.5,25.8,000,1012.30,33.21,0.0,10.00,90,1012.99,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-29-2019,22:00:00,26.2,24.8,000,1012.44,31.22,0.0,8.00,92,1013.24,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-29-2019,22:00:00,26.9,25.8,000,1012.26,33.14,0.0,10.00,94,1012.90,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-29-2019,22:00:00,27.0,25.7,000,1012.63,33.06,0.0,10.00,93,1013.04,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-29-2019,22:00:00,26.2,24.9,000,1010.40,31.49,0.0,6.00,93,1014.65,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.60,09-29-2019,22:00:00,25.5,24.5,000,1010.83,30.71,0.0,7.00,94,1012.46,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-29-2019,22:00:00,26.0,24.6,000,1009.05,30.84,0.0,8.00,92,1012.56,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-29-2019,22:00:00,27.7,25.3,000,1011.14,32.20,0.0,8.00,87,1012.50,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,11.50,09-29-2019,22:00:00,25.8,25.4,000,1011.58,32.37,0.0,10.00,97,1012.47,2.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,4.40,09-29-2019,22:00:00,25.3,24.6,000,1009.34,30.87,0.0,10.00,96,1012.94,0.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,21.80,09-29-2019,22:00:00,26.2,24.6,240,1011.83,30.94,3.7,10.00,91,1012.27,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.60,09-29-2019,22:00:00,25.1,23.5,000,1011.06,28.92,0.0,9.00,91,1012.06,0.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-29-2019,22:00:00,26.3,24.0,000,1011.88,29.78,0.0,10.00,87,1012.70,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-29-2019,22:00:00,27.1,24.5,050,1011.03,30.75,7.4,10.00,86,1012.85,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.40,09-29-2019,22:00:00,28.2,24.5,340,1012.06,30.67,7.4,10.00,80,1012.82,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-29-2019,22:00:00,26.4,25.0,000,1009.00,31.60,0.0,10.00,92,1013.03,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.70,09-29-2019,22:00:00,26.4,24.4,000,1011.63,30.51,0.0,10.00,89,1012.32,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,2.80,09-29-2019,22:00:00,27.8,24.9,000,1011.51,31.56,0.0,10.00,84,1012.62,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,6.60,09-29-2019,22:00:00,26.3,24.4,000,1009.91,30.59,0.0,10.00,89,1012.86,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-29-2019,22:00:00,26.6,25.3,000,1011.61,32.26,0.0,8.00,93,1012.30,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,4.40,09-29-2019,22:00:00,25.5,25.1,000,1009.05,31.79,0.0,7.00,97,1013.22,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,12.30,09-29-2019,22:00:00,27.5,24.6,000,1011.70,30.97,0.0,9.00,84,1012.29,0.80
