WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MinimumTemperature,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,VaporPressure,WindDirection,LandVisibility,RelativeHumidity,AirTemperature,WindSpeed
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,980.12,09-02-2019,07:00:00,23.9,24.0,36.90,1006.10,4.20,29.74,000,8.00,99,24.1,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.06,09-02-2019,07:00:00,25.3,23.3,8.00,1006.87,0.00,32.26,120,10.00,98,25.6,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.56,09-02-2019,07:00:00,25.5,25.0,1.40,1006.78,0.00,32.62,000,8.00,100,25.5,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.74,09-02-2019,07:00:00,23.7,24.4,0.00,1007.30,0.00,29.25,000,10.00,94,24.7,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.69,09-02-2019,07:00:00,23.3,23.5,11.60,1006.21,3.80,28.53,180,6.00,96,24.0,7.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.97,09-02-2019,07:00:00,24.3,23.7,3.60,1007.45,0.60,30.32,000,6.00,96,25.0,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.15,09-02-2019,07:00:00,23.8,24.0,5.20,1006.66,0.00,29.41,000,7.00,96,24.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.51,09-02-2019,07:00:00,24.9,24.5,14.50,1006.77,0.00,31.49,000,10.00,98,25.2,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.10,09-02-2019,07:00:00,24.0,24.5,0.00,1005.37,0.00,29.87,000,10.00,95,24.9,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.20,09-02-2019,07:00:00,24.9,25.0,21.80,1006.57,0.00,31.41,000,11.00,97,25.3,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.33,09-02-2019,07:00:00,24.5,23.7,166.20,1006.17,39.40,30.73,000,4.00,100,24.5,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.85,09-02-2019,07:00:00,24.5,24.0,52.50,1006.48,28.10,30.73,240,5.00,100,24.5,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.16,09-02-2019,07:00:00,24.2,24.5,10.00,1004.05,0.00,30.23,240,10.00,95,25.1,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.58,09-02-2019,07:00:00,24.3,24.0,89.80,1005.58,7.60,30.30,000,5.00,97,24.7,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.75,09-02-2019,07:00:00,21.9,21.5,20.00,1007.48,0.80,26.25,000,7.00,95,22.8,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.52,09-02-2019,07:00:00,25.1,24.9,41.90,1006.50,0.00,31.79,080,4.00,97,25.5,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.01,09-02-2019,07:00:00,20.2,20.0,15.50,1007.35,0.50,23.62,230,.50,96,20.8,9.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.01,09-02-2019,07:00:00,24.2,23.6,79.30,1006.11,13.00,30.20,240,6.00,98,24.5,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.62,09-02-2019,07:00:00,25.4,25.3,20.00,1006.67,0.60,32.45,000,5.00,98,25.7,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.00,09-02-2019,07:00:00,24.4,24.8,11.80,1007.75,1.50,30.58,000,8.00,97,25.0,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.02,09-02-2019,07:00:00,24.6,24.5,14.50,1006.96,0.90,30.87,000,8.00,96,25.3,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.55,09-02-2019,07:00:00,22.9,23.0,2.80,1006.55,0.20,27.87,000,6.00,89,24.8,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.16,09-02-2019,07:00:00,23.9,23.6,102.70,1005.95,34.70,29.67,260,5.00,97,24.5,9.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.48,09-02-2019,07:00:00,24.0,24.0,146.30,1005.77,38.80,29.92,280,5.00,99,24.2,5.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.49,09-02-2019,07:00:00,24.1,24.4,38.90,1005.60,17.10,29.95,260,6.00,96,24.8,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,990.72,09-02-2019,07:00:00,23.8,24.0,55.00,1005.65,15.00,29.41,000,5.00,96,24.5,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,991.29,09-02-2019,07:00:00,24.7,23.8,19.30,1006.04,5.60,31.12,240,6.00,98,25.0,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.32,09-02-2019,07:00:00,25.1,25.4,6.70,1006.35,0.20,31.82,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,96,25.8,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.79,09-02-2019,07:00:00,24.4,24.5,5.60,1006.79,0.00,30.60,000,10.00,95,25.3,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.91,09-02-2019,07:00:00,25.0,25.4,0.00,1007.02,0.00,31.60,190,7.00,92,26.4,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.04,09-02-2019,07:00:00,23.2,23.8,35.60,1006.83,3.10,28.38,000,8.00,91,24.8,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.19,09-02-2019,07:00:00,18.6,18.1,26.00,1008.70,1.80,21.46,280,.10,99,18.8,14.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.24,09-02-2019,07:00:00,24.8,24.2,1.20,1007.15,0.00,31.33,000,7.00,97,25.4,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.58,09-02-2019,07:00:00,23.1,26.5,0.10,1007.38,0.00,28.26,240,9.00,77,27.5,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.56,09-02-2019,07:00:00,24.5,27.2,0.01,1007.00,0.00,30.70,000,10.00,84,27.5,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.42,09-02-2019,07:00:00,23.3,23.4,19.80,1008.85,4.00,28.53,000,4.00,96,24.0,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.39,09-02-2019,07:00:00,24.3,25.8,4.00,1007.40,0.00,30.34,000,10.00,87,26.6,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.42,09-02-2019,07:00:00,24.8,25.9,2.20,1007.25,0.00,31.30,000,7.00,93,26.1,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.45,09-02-2019,07:00:00,22.3,26.0,0.01,1007.21,0.00,26.84,000,8.00,75,27.0,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.69,09-02-2019,07:00:00,23.0,24.5,10.80,1007.40,0.00,28.13,320,9.00,80,26.7,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.53,09-02-2019,07:00:00,25.4,25.5,0.70,1007.23,0.00,32.35,000,7.00,93,26.5,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.82,09-02-2019,07:00:00,23.8,24.5,0.90,1007.11,0.20,29.52,000,7.00,93,25.0,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.77,09-02-2019,07:00:00,24.2,23.7,14.40,1006.59,2.80,30.22,000,6.00,97,24.8,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.44,09-02-2019,07:00:00,24.1,23.8,13.90,1006.98,1.80,30.05,000,4.00,95,25.0,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.77,09-02-2019,07:00:00,23.3,24.5,0.20,1006.76,0.10,28.66,000,5.00,90,25.1,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.71,09-02-2019,07:00:00,21.7,23.5,10.60,1007.39,0.01,26.01,240,6.00,87,24.0,14.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.87,09-02-2019,07:00:00,22.8,24.5,1.60,1006.56,0.60,27.70,250,6.00,88,25.0,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.03,09-02-2019,07:00:00,23.9,23.8,14.80,1008.08,3.00,29.64,260,3.00,100,23.9,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.36,09-02-2019,07:00:00,23.9,26.6,0.01,1007.79,0.00,29.58,010,10.00,82,27.2,1.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.37,09-02-2019,07:00:00,24.8,25.2,2.00,1006.80,0.00,31.25,000,6.00,96,25.5,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.37,09-02-2019,07:00:00,25.3,25.0,5.90,1008.33,0.00,32.26,000,7.00,98,25.6,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.47,09-02-2019,07:00:00,22.8,24.5,0.10,1007.77,0.00,27.77,000,12.00,80,26.5,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.44,09-02-2019,07:00:00,23.8,25.1,2.10,1007.55,0.00,29.56,000,10.00,90,25.6,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.31,09-02-2019,07:00:00,24.0,26.5,2.20,1007.61,0.00,29.75,310,10.00,83,27.0,3.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.45,09-02-2019,07:00:00,24.6,27.0,10.50,1008.14,0.00,30.97,000,10.00,84,27.5,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.92,09-02-2019,07:00:00,24.8,26.5,11.50,1007.41,0.00,31.22,000,10.00,87,27.2,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.57,09-02-2019,07:00:00,23.8,26.3,7.40,1007.98,0.00,29.56,210,10.00,83,26.9,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.49,09-02-2019,07:00:00,26.2,26.1,0.01,1007.16,0.00,33.99,210,10.00,85,29.0,13.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.34,09-02-2019,07:00:00,24.4,23.8,4.10,1009.43,0.00,30.48,000,10.00,97,24.8,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.84,09-02-2019,07:00:00,24.2,26.5,0.00,1007.13,0.00,30.15,100,10.00,82,27.5,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.17,09-02-2019,07:00:00,23.6,27.0,0.00,1007.29,0.00,29.19,000,10.00,77,28.0,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1000.05,09-02-2019,07:00:00,22.9,26.1,0.80,1006.98,0.00,28.00,250,10.00,76,27.5,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.44,09-02-2019,07:00:00,24.7,25.0,1.60,1007.06,0.00,31.08,300,10.00,94,25.7,3.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.84,09-02-2019,07:00:00,22.7,26.3,0.00,1008.13,0.00,27.59,230,10.00,73,28.0,13.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.51,09-02-2019,07:00:00,24.8,25.5,0.01,1008.78,0.01,31.36,320,8.00,95,25.7,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.96,09-02-2019,07:00:00,23.5,26.6,1.60,1007.39,0.00,28.98,000,11.00,79,27.6,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.52,09-02-2019,07:00:00,22.9,23.2,0.20,1007.90,0.00,27.94,000,8.00,91,24.4,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.01,09-02-2019,07:00:00,24.2,25.7,0.90,1007.72,0.00,30.16,000,10.00,87,26.5,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.17,09-02-2019,07:00:00,24.6,25.6,11.40,1007.61,0.80,30.84,180,10.00,92,26.0,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.16,09-02-2019,07:00:00,23.3,27.9,0.10,1007.68,0.00,28.59,300,10.00,74,28.4,13.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.38,09-02-2019,07:00:00,24.3,25.9,8.60,1007.56,0.01,30.30,000,10.00,90,26.0,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.25,09-02-2019,07:00:00,25.6,26.3,12.00,1007.67,0.00,32.91,190,7.00,95,26.5,5.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.98,09-02-2019,07:00:00,24.6,25.2,17.40,1007.76,0.00,31.00,000,8.00,93,25.8,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.83,09-02-2019,07:00:00,22.6,24.3,2.30,1009.62,0.00,27.41,000,10.00,80,26.3,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.50,09-02-2019,07:00:00,24.9,25.6,36.60,1007.97,0.00,31.57,000,7.00,93,26.1,0.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.34,09-02-2019,07:00:00,23.8,23.9,5.10,1009.03,0.00,29.41,000,7.00,96,24.5,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.65,09-02-2019,07:00:00,23.9,24.0,11.40,1009.19,0.00,29.69,000,8.00,95,24.8,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.34,09-02-2019,07:00:00,22.9,23.5,85.30,1010.27,0.00,27.92,000,10.00,95,23.8,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.72,09-02-2019,07:00:00,23.0,24.3,0.00,1009.41,0.00,28.03,000,10.00,81,26.5,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.97,09-02-2019,07:00:00,23.8,23.6,0.20,1009.77,0.00,29.56,000,8.00,99,24.0,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.49,09-02-2019,07:00:00,22.7,24.3,0.00,1009.13,0.00,27.53,000,10.00,87,24.9,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.03,09-02-2019,07:00:00,23.4,24.3,0.00,1009.43,0.00,28.75,000,10.00,89,25.3,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.64,09-02-2019,07:00:00,22.8,23.5,0.20,1011.91,0.00,27.76,000,5.00,93,24.0,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.51,09-02-2019,07:00:00,23.8,23.0,7.80,1010.14,0.00,29.48,000,4.00,98,24.1,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.62,09-02-2019,07:00:00,23.6,23.7,3.10,1010.13,0.00,29.13,000,7.00,97,24.2,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.34,09-02-2019,07:00:00,23.4,24.3,0.00,1009.71,0.00,28.79,000,8.00,95,24.3,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.44,09-02-2019,07:00:00,23.9,24.1,47.90,1009.34,0.00,29.57,000,10.00,97,24.3,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.89,09-02-2019,07:00:00,23.3,23.0,4.80,1009.49,0.00,28.61,000,10.00,97,23.9,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.43,09-02-2019,07:00:00,23.7,24.0,17.40,1009.87,0.00,29.33,000,10.00,95,24.6,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.45,09-02-2019,07:00:00,23.7,23.0,27.40,1009.45,0.00,29.23,000,10.00,96,24.4,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.16,09-02-2019,07:00:00,23.7,23.5,2.00,1009.99,0.00,29.33,000,10.00,95,24.6,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.30,09-02-2019,07:00:00,23.2,23.4,3.90,1010.14,0.00,28.34,000,10.00,97,23.6,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.15,09-02-2019,07:00:00,23.4,24.5,2.00,1009.91,0.00,28.74,000,10.00,91,25.0,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.91,09-02-2019,07:00:00,23.6,23.0,4.20,1009.96,0.00,29.12,000,4.00,98,23.9,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.21,09-02-2019,07:00:00,23.3,23.5,38.00,1010.90,0.50,28.53,000,10.00,96,24.0,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.44,09-02-2019,07:00:00,23.2,23.4,14.40,1009.57,0.00,28.43,000,10.00,97,23.8,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.07,09-02-2019,07:00:00,23.5,22.9,7.50,1010.03,0.00,28.95,000,10.00,98,23.8,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.83,09-02-2019,07:00:00,23.2,23.6,0.30,1009.53,0.00,28.44,000,7.00,95,24.1,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.53,09-02-2019,07:00:00,22.5,22.9,0.00,1010.72,0.00,27.24,000,5.00,95,23.4,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.09,09-02-2019,07:00:00,22.3,.0,0.00,1009.69,0.00,26.93,240,8.00,88,24.4,5.6
