WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,WindSpeed,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,WindDirection,StationPressure,DewPoint,LandVisibility,RelativeHumidity,AirTemperature
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-19-2019,01:00:00,0.00,0.0,1003.61,34.78,0.00,000,986.36,26.6,10.00,90,28.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-19-2019,01:00:00,0.00,0.0,1001.57,30.02,0.00,000,975.95,24.1,10.00,84,27.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-19-2019,01:00:00,0.00,5.6,1002.58,27.55,0.00,270,996.88,22.7,10.00,65,30.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-19-2019,01:00:00,0.00,0.0,1001.68,29.33,0.00,000,995.58,23.7,12.00,71,29.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-19-2019,01:00:00,0.00,0.0,1003.82,31.95,0.00,000,987.49,25.1,8.00,85,28.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-19-2019,01:00:00,0.00,0.0,1003.77,26.02,0.00,000,981.42,21.7,10.00,80,25.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-19-2019,01:00:00,0.00,14.8,1003.73,26.87,0.00,260,989.50,22.3,10.00,66,29.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-19-2019,01:00:00,0.00,0.0,1002.94,26.74,0.00,000,986.79,22.2,8.00,63,30.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-19-2019,01:00:00,0.00,3.7,1003.25,32.42,0.00,140,998.07,25.4,10.00,82,28.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-19-2019,01:00:00,0.00,0.0,1002.07,31.05,0.00,000,989.03,24.7,10.00,77,29.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-19-2019,01:00:00,0.00,0.0,1003.25,28.80,0.00,000,993.98,23.4,10.00,78,27.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-19-2019,01:00:00,0.00,3.7,1003.05,31.31,15.30,210,981.54,24.8,10.00,82,28.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-19-2019,01:00:00,0.00,0.0,1003.44,30.56,2.30,000,986.07,24.4,10.00,81,28.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-19-2019,01:00:00,0.00,0.0,1002.60,30.47,0.00,000,986.98,24.4,10.00,73,29.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-19-2019,01:00:00,0.00,0.0,1001.90,29.08,0.01,000,983.28,23.6,10.00,69,29.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-19-2019,01:00:00,0.00,0.0,1006.81,26.09,0.00,000,955.16,21.8,7.00,93,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-19-2019,01:00:00,0.00,0.0,1003.09,33.29,0.00,000,999.16,25.8,7.00,88,28.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-19-2019,01:00:00,0.00,9.3,1005.64,24.29,0.00,230,910.65,20.6,4.00,95,21.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-19-2019,01:00:00,0.00,0.0,1002.61,34.25,0.00,000,986.82,26.3,8.00,84,29.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-19-2019,01:00:00,0.00,0.0,1003.49,32.68,0.00,000,999.48,25.5,10.00,88,27.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-19-2019,01:00:00,0.00,0.0,1004.57,29.69,0.00,000,993.94,23.9,7.00,81,27.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-19-2019,01:00:00,0.00,0.0,1003.55,30.97,0.00,000,1001.63,24.6,8.00,84,27.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-19-2019,01:00:00,0.00,11.1,1003.15,27.71,0.00,260,982.56,22.8,10.00,66,29.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-19-2019,01:00:00,0.00,11.1,1002.36,29.33,0.00,200,984.92,23.7,10.00,71,29.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-19-2019,01:00:00,0.00,11.1,1002.35,31.72,0.00,200,986.43,25.0,10.00,75,30.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-19-2019,01:00:00,0.00,0.0,1003.91,28.78,0.00,000,989.99,23.4,10.00,74,28.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-19-2019,01:00:00,0.00,0.0,1004.19,31.56,0.00,000,989.44,24.9,8.00,84,27.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-19-2019,01:00:00,0.00,0.0,1004.24,32.77,2.70,000,989.61,25.6,6.00,92,27.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-19-2019,01:00:00,0.00,0.0,1003.55,31.20,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1000.55,24.7,10.00,83,27.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-19-2019,01:00:00,0.00,0.0,1003.45,31.54,0.00,000,995.57,24.9,7.00,81,28.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-19-2019,01:00:00,0.00,7.4,1004.43,32.02,0.00,160,1003.33,25.2,9.00,82,28.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-19-2019,01:00:00,0.00,0.0,1003.65,33.50,0.00,000,989.14,25.9,10.00,81,29.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-19-2019,01:00:00,6.60,9.3,1004.85,23.57,37.20,180,870.49,20.1,.10,99,20.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-19-2019,01:00:00,0.00,5.6,1004.00,33.08,0.00,200,998.17,25.7,10.00,84,28.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-19-2019,01:00:00,0.00,5.6,1004.60,35.30,0.00,230,1003.81,26.8,8.00,87,29.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-19-2019,01:00:00,0.00,11.1,1004.43,30.72,0.00,240,1003.99,24.5,10.00,75,29.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-19-2019,01:00:00,0.00,0.0,1006.07,31.08,10.00,000,994.73,24.7,5.00,94,25.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-19-2019,01:00:00,0.00,3.7,1004.16,30.31,0.01,190,1003.15,24.3,10.00,79,28.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-19-2019,01:00:00,0.00,3.7,1004.18,32.27,0.00,130,1002.37,25.3,7.00,84,28.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-19-2019,01:00:00,0.00,11.1,1004.11,27.36,0.00,230,1003.35,22.6,4.00,70,28.6
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-19-2019,01:00:00,15.00,7.4,1004.82,31.74,15.00,200,1004.12,25.0,10.00,90,26.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-19-2019,01:00:00,0.00,0.0,1004.65,33.04,0.00,000,1003.95,25.7,7.00,82,29.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-19-2019,01:00:00,0.00,3.7,1003.61,32.22,1.90,210,982.65,25.3,10.00,82,28.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-19-2019,01:00:00,0.00,7.4,1004.04,30.17,0.00,170,987.41,24.2,7.00,81,27.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-19-2019,01:00:00,0.00,3.7,1004.52,30.72,0.00,180,988.17,24.5,7.00,82,27.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-19-2019,01:00:00,0.00,0.0,1003.73,30.15,0.00,000,982.06,24.2,10.00,78,28.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-19-2019,01:00:00,0.00,7.4,1004.46,28.51,0.00,200,961.36,23.2,10.00,79,27.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-19-2019,01:00:00,0.00,0.0,1003.92,30.81,7.60,000,983.47,24.5,10.00,83,27.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-19-2019,01:00:00,0.00,16.7,1005.22,32.52,0.00,210,984.51,25.4,8.00,86,28.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-19-2019,01:00:00,0.00,7.4,1004.99,28.97,0.00,280,1004.55,23.5,10.00,74,28.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-19-2019,01:00:00,0.00,0.0,1004.84,32.36,0.00,000,1003.43,25.4,6.00,88,27.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-19-2019,01:00:00,0.00,0.0,1005.28,33.06,32.30,000,1000.35,25.7,7.00,93,27.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-19-2019,01:00:00,0.00,5.6,1004.75,29.05,0.00,200,1001.49,23.6,12.00,75,28.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-19-2019,01:00:00,0.00,0.0,1004.80,30.18,0.10,000,1003.70,24.2,10.00,86,26.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-19-2019,01:00:00,0.00,7.4,1004.34,31.48,0.00,300,1004.04,24.9,10.00,76,29.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-19-2019,01:00:00,0.00,0.0,1005.41,31.13,0.00,000,1004.93,24.7,10.00,78,29.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-19-2019,01:00:00,0.00,16.7,1004.75,28.94,0.00,230,1003.36,23.5,10.00,71,29.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-19-2019,01:00:00,0.00,0.0,1006.95,31.63,0.40,000,998.94,25.0,10.00,90,26.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-19-2019,01:00:00,0.00,0.0,1004.53,33.58,0.00,000,1004.24,26.0,10.00,81,29.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-19-2019,01:00:00,0.00,5.6,1004.06,33.58,0.00,300,1000.96,26.0,10.00,81,29.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-19-2019,01:00:00,0.00,9.3,1005.03,29.71,0.00,240,998.15,23.9,10.00,75,28.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-19-2019,01:00:00,0.00,5.6,1005.17,31.95,0.00,300,999.60,25.1,9.00,85,28.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-19-2019,01:00:00,0.00,7.4,1005.72,29.72,0.00,210,1004.46,23.9,10.00,85,26.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-19-2019,01:00:00,0.00,11.1,1005.02,26.95,0.90,240,1004.59,22.3,11.00,73,27.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-19-2019,01:00:00,0.00,0.0,1005.48,27.97,0.00,000,993.18,22.9,10.00,87,25.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-19-2019,01:00:00,0.00,0.0,1005.14,28.20,0.00,000,1004.43,23.1,10.00,75,27.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-19-2019,01:00:00,0.00,0.0,1005.21,29.63,0.01,000,1002.79,23.9,10.00,75,28.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-19-2019,01:00:00,0.00,13.0,1005.22,32.13,0.00,250,1004.71,25.2,10.00,78,29.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-19-2019,01:00:00,0.00,0.0,1005.12,31.28,0.00,000,999.99,24.8,8.00,84,27.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-19-2019,01:00:00,0.80,0.0,1005.27,34.19,107.80,000,1004.85,26.3,7.00,96,27.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-19-2019,01:00:00,6.30,5.6,1005.82,32.48,140.40,040,1003.04,25.4,8.00,97,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-19-2019,01:00:00,0.00,0.0,1005.36,26.21,0.00,000,1004.59,21.9,10.00,62,30.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-19-2019,01:00:00,10.60,3.7,1005.99,32.56,110.30,080,1005.53,25.5,5.00,97,25.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-19-2019,01:00:00,0.00,0.0,1006.73,28.86,33.10,000,1006.04,23.5,8.00,97,23.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-19-2019,01:00:00,0.00,0.0,1006.72,29.69,20.60,000,1005.18,23.9,7.00,95,24.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-19-2019,01:00:00,0.90,5.6,1007.55,29.33,57.80,190,1006.62,23.7,7.00,95,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-19-2019,01:00:00,0.00,11.1,1006.94,30.46,33.80,270,1006.25,24.3,10.00,92,25.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-19-2019,01:00:00,0.40,5.6,1007.68,29.93,8.00,210,1006.88,24.1,7.00,97,24.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-19-2019,01:00:00,0.00,1.9,1006.74,30.32,19.60,340,1006.10,24.3,10.00,96,25.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-19-2019,01:00:00,0.00,0.0,1007.84,29.67,26.40,000,1007.43,23.9,10.00,97,24.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-19-2019,01:00:00,0.00,0.0,1009.38,29.93,3.00,000,1005.13,24.1,5.00,97,24.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-19-2019,01:00:00,0.00,0.0,1008.13,29.48,22.60,000,1006.51,23.8,10.00,98,24.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-19-2019,01:00:00,0.00,0.0,1008.47,28.89,14.00,000,1004.96,23.5,8.00,94,24.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-19-2019,01:00:00,0.00,3.7,1007.67,28.22,2.70,270,1006.31,23.1,10.00,89,25.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-19-2019,01:00:00,102.40,0.0,1008.40,29.82,230.80,000,1007.50,24.0,4.00,100,24.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-19-2019,01:00:00,0.00,0.0,1007.82,29.03,17.30,000,1004.22,23.5,10.00,99,23.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-19-2019,01:00:00,1.20,0.0,1007.61,30.96,61.80,000,1007.17,24.6,10.00,97,25.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-19-2019,01:00:00,2.40,18.5,1007.31,31.64,97.20,280,1006.32,25.0,7.00,85,27.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-19-2019,01:00:00,9.40,7.4,1007.30,29.33,47.20,090,1006.47,23.7,10.00,95,24.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-19-2019,01:00:00,0.00,0.0,1008.04,29.25,10.40,000,1006.21,23.7,10.00,94,24.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-19-2019,01:00:00,1.20,0.0,1007.53,29.77,69.10,000,1006.77,24.0,10.00,96,24.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-19-2019,01:00:00,0.20,7.4,1007.76,29.72,0.60,200,1003.74,23.9,10.00,92,25.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-19-2019,01:00:00,0.00,0.0,1008.52,30.76,0.00,000,1007.83,24.5,10.00,91,26.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-19-2019,01:00:00,0.60,0.0,1007.41,30.97,1.60,000,1006.30,24.6,10.00,89,26.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-19-2019,01:00:00,0.00,0.0,1008.00,30.84,0.00,000,1005.07,24.6,10.00,92,26.0
