WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,AirTemperature,Rainfall24Hr,DewPoint,Rainfall,StationPressure,WindSpeed,VaporPressure,WindDirection
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1000.95,08-10-2019,04:00:00,94,7.00,25.3,4.10,24.3,0.00,993.00,0.0,30.34,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1001.45,08-10-2019,04:00:00,94,6.00,25.7,17.90,24.7,0.00,1000.35,3.7,31.08,150
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1001.62,08-10-2019,04:00:00,88,8.00,25.0,30.40,22.9,0.00,986.91,0.0,27.96,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1002.79,08-10-2019,04:00:00,99,.10,19.4,74.60,19.2,0.20,868.33,7.4,22.28,180
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.30,08-10-2019,04:00:00,97,10.00,25.0,8.20,24.4,0.00,995.41,0.0,30.58,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1001.46,08-10-2019,04:00:00,89,8.00,26.7,7.80,24.7,0.00,1000.66,3.7,31.08,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1001.28,08-10-2019,04:00:00,78,10.00,28.4,7.70,24.2,0.00,1000.84,14.8,30.23,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1002.32,08-10-2019,04:00:00,96,4.00,25.0,1.00,24.3,0.00,991.00,0.0,30.32,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1001.21,08-10-2019,04:00:00,84,10.00,27.0,0.30,24.1,0.00,1000.21,3.7,30.02,200
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1001.26,08-10-2019,04:00:00,97,7.00,25.2,31.50,24.6,0.00,999.43,0.0,30.96,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,994.28,08-10-2019,04:00:00,87,5.00,25.9,0.50,23.6,0.00,993.52,0.0,29.05,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1001.88,08-10-2019,04:00:00,85,10.00,26.7,9.40,23.9,0.00,1001.18,3.7,29.72,180
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1001.55,08-10-2019,04:00:00,94,7.00,25.7,26.80,24.7,0.00,1000.85,0.0,31.08,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1001.02,08-10-2019,04:00:00,85,10.00,26.2,0.20,23.4,0.00,979.94,3.7,28.80,270
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1001.12,08-10-2019,04:00:00,97,6.00,25.1,40.50,24.7,1.60,984.40,0.0,31.04,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1001.47,08-10-2019,04:00:00,96,6.00,25.2,25.80,24.5,1.00,985.03,0.0,30.69,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1001.09,08-10-2019,04:00:00,86,10.00,26.3,0.01,23.7,0.00,979.31,0.0,29.25,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1001.79,08-10-2019,04:00:00,92,8.00,23.8,30.00,22.5,0.00,958.33,3.7,27.17,030
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1001.57,08-10-2019,04:00:00,84,10.00,26.0,0.00,23.1,0.00,981.05,5.6,28.18,210
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1002.35,08-10-2019,04:00:00,100,7.00,25.2,5.60,25.2,0.00,981.51,7.4,32.04,160
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1001.75,08-10-2019,04:00:00,78,10.00,27.8,16.40,23.6,0.00,1001.32,9.3,29.09,230
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1001.96,08-10-2019,04:00:00,97,6.00,24.8,35.60,24.2,1.70,1000.54,0.0,30.22,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.74,08-10-2019,04:00:00,91,8.00,23.5,2.80,22.0,0.60,997.77,0.0,26.42,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1001.40,08-10-2019,04:00:00,80,10.00,27.0,0.00,23.3,0.00,998.12,0.0,28.67,000
