WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,RelativeHumidity
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-13-2019,22:00:00,23.79,0.0,997.49,27.0,20.3,1011.59,0.00,10.00,000,67
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-13-2019,22:00:00,25.11,0.0,996.89,26.0,21.2,1011.84,0.00,8.00,000,75
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-13-2019,22:00:00,32.76,0.0,997.39,26.0,25.6,1012.18,5.30,7.00,000,98
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-13-2019,22:00:00,35.02,0.0,1007.26,29.9,26.7,1010.26,0.00,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",83
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-13-2019,22:00:00,33.34,0.0,1003.04,27.0,25.9,1011.02,16.70,8.00,000,94
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-13-2019,22:00:00,32.20,5.6,1009.78,27.7,25.3,1010.89,0.00,8.00,090,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,6.20,10-13-2019,22:00:00,31.79,0.0,997.46,26.5,25.1,1012.25,6.20,8.00,000,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-13-2019,22:00:00,21.93,3.7,877.77,20.1,19.0,1013.36,1.80,8.00,130,93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-13-2019,22:00:00,31.77,0.0,1005.65,27.2,25.1,1011.55,0.00,10.00,000,88
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-13-2019,22:00:00,33.41,0.0,1010.34,29.0,25.9,1011.14,0.00,10.00,000,83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,5.10,10-13-2019,22:00:00,31.03,0.0,1010.53,26.1,24.7,1010.98,5.10,8.00,000,92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-13-2019,22:00:00,32.36,0.0,999.81,27.5,25.4,1011.14,0.00,6.00,000,88
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-13-2019,22:00:00,34.05,0.0,1009.59,30.0,26.2,1010.60,0.00,7.00,000,80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-13-2019,22:00:00,31.87,0.0,1009.15,28.1,25.1,1010.98,0.00,5.00,000,84
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-13-2019,22:00:00,33.66,0.0,1010.03,28.0,26.0,1010.80,0.00,9.00,000,89
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,4.40,10-13-2019,22:00:00,30.76,0.0,1011.02,26.1,24.5,1011.72,4.40,9.00,000,91
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-13-2019,22:00:00,31.13,0.0,1010.37,29.0,24.7,1011.07,0.00,7.00,000,78
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-13-2019,22:00:00,28.59,0.0,990.47,27.1,23.3,1011.71,0.00,7.00,000,80
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-13-2019,22:00:00,28.15,0.0,994.92,25.4,23.0,1011.80,2.70,7.00,000,87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-13-2019,22:00:00,29.25,0.0,995.62,24.7,23.7,1012.26,2.70,7.00,000,94
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-13-2019,22:00:00,30.43,0.0,990.21,26.5,24.3,1012.22,0.00,10.00,000,88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-13-2019,22:00:00,25.53,7.4,968.24,26.1,21.4,1011.81,0.00,10.00,080,76
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-13-2019,22:00:00,29.00,0.0,990.95,25.0,23.5,1011.74,5.00,10.00,000,92
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-13-2019,22:00:00,30.23,3.7,992.50,25.1,24.2,1013.58,0.00,9.00,100,95
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-13-2019,22:00:00,33.59,0.0,1010.20,30.2,26.0,1010.63,18.20,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",78
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-13-2019,22:00:00,31.88,0.0,1009.57,26.4,25.1,1010.99,0.00,6.00,000,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-13-2019,22:00:00,33.26,0.0,1006.45,27.1,25.8,1011.40,0.00,7.00,000,93
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-13-2019,22:00:00,33.61,0.0,1007.43,28.4,26.0,1010.72,19.40,8.00,000,87
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-13-2019,22:00:00,34.07,0.0,1009.70,27.5,26.2,1010.81,0.00,10.00,000,93
