WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,DewPoint,WindDirection,StationPressure,WindSpeed,VaporPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,AirTemperature
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-05-2019,04:00:00,0.00,24.4,000,1007.70,0.0,30.48,0.00,97,8.00,1009.07,24.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-05-2019,04:00:00,0.00,23.3,000,1009.17,0.0,28.60,15.80,98,10.00,1010.07,23.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-05-2019,04:00:00,0.00,23.8,000,1006.17,0.0,29.49,0.20,97,10.00,1009.77,24.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-05-2019,04:00:00,1.40,24.3,000,1009.04,0.0,30.32,3.40,96,8.00,1009.47,25.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-05-2019,04:00:00,2.10,23.7,000,1008.59,0.0,29.25,4.00,94,8.00,1009.59,24.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-05-2019,04:00:00,0.00,23.5,000,1008.81,0.0,28.97,0.00,95,10.00,1009.63,24.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-05-2019,04:00:00,0.00,23.9,000,1007.78,0.0,29.59,2.00,96,10.00,1009.61,24.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-05-2019,04:00:00,0.00,24.0,000,1008.60,0.0,29.89,1.10,93,10.00,1009.36,25.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-05-2019,04:00:00,0.00,24.1,000,1005.36,0.0,30.02,0.20,98,8.00,1009.40,24.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-05-2019,04:00:00,0.00,24.5,000,1009.52,0.0,30.71,0.00,94,10.00,1010.21,25.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-05-2019,04:00:00,0.00,24.2,000,1008.36,0.0,30.22,6.80,97,10.00,1009.48,24.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-05-2019,04:00:00,0.00,23.7,000,1006.71,0.0,29.22,0.00,97,10.00,1009.67,24.1
