WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure,StationPressure,RelativeHumidity,AirTemperature
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-21-2019,10:00:00,200,1007.52,0.00,10.00,14.8,22.8,2.20,27.79,1006.13,63,30.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-21-2019,10:00:00,210,1007.86,0.00,12.00,13.0,25.2,8.30,32.13,1006.19,78,29.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-21-2019,10:00:00,000,1009.51,0.00,10.00,0.0,25.1,3.90,31.85,1001.55,77,29.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-21-2019,10:00:00,000,1007.76,0.00,12.00,0.0,25.1,0.01,31.85,1007.48,69,31.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-21-2019,10:00:00,200,1007.32,0.00,10.00,5.6,24.6,7.20,30.90,1004.22,69,31.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-21-2019,10:00:00,230,1007.98,0.00,12.00,9.3,25.1,6.20,31.80,1001.10,75,29.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-21-2019,10:00:00,000,1007.75,0.00,8.00,0.0,25.7,3.80,32.96,1002.18,85,28.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-21-2019,10:00:00,230,1008.61,0.00,10.00,11.1,25.0,3.20,31.72,999.37,75,30.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-21-2019,10:00:00,000,1008.27,0.00,14.00,0.0,23.2,5.40,28.35,1007.01,72,28.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-21-2019,10:00:00,000,1007.88,0.00,11.00,0.0,23.5,32.20,28.91,1007.45,72,29.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-21-2019,10:00:00,180,1008.25,0.00,10.00,3.7,23.4,0.00,28.86,996.08,70,29.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-21-2019,10:00:00,210,1008.21,0.00,10.00,7.4,23.5,11.90,28.89,1007.50,69,29.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-21-2019,10:00:00,210,1008.28,0.00,10.00,5.6,24.0,0.00,29.83,1005.88,62,32.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-21-2019,10:00:00,240,1008.44,0.00,10.00,9.3,25.1,0.01,31.89,1007.92,76,29.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-21-2019,10:00:00,100,1008.10,0.00,12.00,3.7,24.0,0.20,29.86,1003.00,70,30.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-21-2019,10:00:00,200,1008.82,0.00,8.00,14.8,25.9,0.60,33.48,1008.41,73,31.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-21-2019,10:00:00,110,1008.77,0.00,8.00,5.6,25.6,0.01,32.84,1006.03,76,30.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-21-2019,10:00:00,000,1008.72,0.00,10.00,0.0,22.7,0.20,27.55,1007.94,65,30.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-21-2019,10:00:00,080,1009.01,20.40,5.00,5.6,24.8,72.30,31.22,1008.55,97,25.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-21-2019,10:00:00,260,1009.60,0.00,10.00,3.7,23.0,0.01,28.12,1008.92,69,29.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-21-2019,10:00:00,270,1009.48,0.00,10.00,7.4,24.0,0.00,29.75,1007.96,70,30.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-21-2019,10:00:00,190,1010.36,0.20,10.00,5.6,24.4,13.50,30.64,1009.44,82,27.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-21-2019,10:00:00,280,1009.79,0.00,10.00,13.0,23.6,0.00,29.14,1009.12,61,32.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-21-2019,10:00:00,240,1009.94,0.00,10.00,11.1,25.1,1.20,31.80,1009.15,70,31.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-21-2019,10:00:00,320,1009.89,0.00,10.00,5.6,23.1,0.00,28.25,1009.27,58,32.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-21-2019,10:00:00,260,1009.48,0.00,12.00,7.4,23.4,0.00,28.84,1009.08,56,33.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-21-2019,10:00:00,230,1011.64,0.00,8.00,9.3,23.0,0.00,28.12,1007.47,62,31.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-21-2019,10:00:00,000,1010.34,0.00,12.00,0.0,24.3,0.00,30.42,1008.75,71,30.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-21-2019,10:00:00,000,1010.06,0.00,12.00,0.0,25.0,0.00,31.60,1006.62,72,30.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-21-2019,10:00:00,210,1010.23,0.00,10.00,11.1,23.5,0.40,28.92,1008.89,64,31.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-21-2019,10:00:00,000,1010.53,7.00,10.00,0.0,24.2,10.20,30.17,1009.65,81,27.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-21-2019,10:00:00,000,1010.53,0.30,10.00,0.0,25.2,0.30,32.06,1006.98,81,28.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-21-2019,10:00:00,000,1010.54,0.20,10.00,0.0,24.0,0.20,29.89,1010.10,68,30.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-21-2019,10:00:00,320,1012.79,0.50,10.00,3.7,24.9,1.80,31.44,1011.80,74,30.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-21-2019,10:00:00,270,1010.42,0.40,10.00,16.7,23.7,0.40,29.33,1009.60,80,27.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-21-2019,10:00:00,320,1010.34,0.00,10.00,7.4,25.4,0.00,32.34,1008.54,72,31.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-21-2019,10:00:00,230,1010.12,0.00,11.00,7.4,23.7,0.00,29.22,1009.38,61,32.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-21-2019,10:00:00,250,1010.54,0.00,10.00,11.1,23.9,0.00,29.73,1006.58,67,30.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-21-2019,10:00:00,000,1012.30,3.80,6.00,0.0,22.8,3.80,27.77,1011.61,80,26.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-21-2019,10:00:00,270,1010.11,0.00,10.00,5.6,24.2,0.00,30.21,1009.00,68,30.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-21-2019,10:00:00,270,1010.37,0.00,10.00,9.3,25.8,0.00,33.14,1007.48,73,31.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-21-2019,10:00:00,240,1009.82,0.00,10.00,9.3,25.2,0.00,32.01,1009.14,70,31.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-21-2019,10:00:00,180,1010.88,0.00,8.00,9.3,23.8,10.50,29.50,1006.79,68,30.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-21-2019,10:00:00,000,1010.90,0.00,10.00,0.0,23.9,68.40,29.66,1010.32,70,30.1
