WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,AirTemperature,RelativeHumidity,VaporPressure,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,WindDirection
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-14-2019,16:00:00,26.3,29.5,83,34.16,0.0,1001.14,971.74,5.10,9.00,5.10,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-14-2019,16:00:00,23.2,34.4,52,28.39,7.4,1001.34,966.96,0.00,7.00,0.00,270
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-14-2019,16:00:00,22.8,36.5,46,27.81,9.3,998.90,970.38,0.00,17.00,0.00,320
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-14-2019,16:00:00,23.6,35.0,52,29.05,11.1,1003.68,996.59,0.00,10.00,4.40,190
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-14-2019,16:00:00,24.6,35.2,54,30.95,5.6,1000.59,981.35,0.00,15.00,0.00,330
48353,LOEI,เลย,เลย,17.45000,101.73333,07-14-2019,16:00:00,20.5,37.6,37,24.05,14.8,1000.81,973.33,0.00,17.00,0.00,290
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-14-2019,16:00:00,23.9,33.9,56,29.66,3.7,1001.21,981.62,0.00,15.00,0.00,200
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-14-2019,16:00:00,23.9,34.2,55,29.71,7.4,1003.29,982.16,0.00,12.00,0.00,260
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-14-2019,16:00:00,23.7,34.3,54,29.33,0.0,1001.27,982.36,0.00,15.00,0.00,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-14-2019,16:00:00,24.6,33.0,62,30.99,3.7,1002.31,985.98,0.00,12.00,0.00,240
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-14-2019,16:00:00,25.5,32.5,67,32.58,0.0,1002.44,985.43,0.00,10.00,0.30,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-14-2019,16:00:00,25.2,29.3,79,32.01,9.3,1000.87,975.46,0.00,13.00,0.00,090
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-14-2019,16:00:00,19.2,33.2,44,22.27,18.5,1002.79,997.14,0.00,10.00,0.00,270
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-14-2019,16:00:00,22.9,33.0,55,27.84,14.8,1003.27,997.23,0.00,12.00,0.00,230
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-14-2019,16:00:00,22.5,33.8,52,27.18,0.0,1003.08,987.07,0.00,10.00,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-14-2019,16:00:00,23.1,26.0,84,28.18,0.0,1005.08,982.73,0.90,10.00,40.60,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-14-2019,16:00:00,22.4,30.5,62,27.14,14.8,1004.72,990.54,0.00,9.00,0.00,280
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-14-2019,16:00:00,23.6,28.5,75,29.05,0.0,1004.08,987.83,2.00,12.00,2.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-14-2019,16:00:00,25.2,30.0,75,32.01,7.4,1003.24,998.09,0.01,8.00,0.01,150
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-14-2019,16:00:00,23.9,33.6,57,29.62,3.7,1001.90,989.05,0.00,12.00,0.00,170
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-14-2019,16:00:00,21.1,34.7,45,25.05,11.1,1003.45,994.39,0.00,12.00,0.00,260
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-14-2019,16:00:00,21.5,36.0,43,25.65,11.1,1001.62,980.67,0.00,10.00,0.00,270
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-14-2019,16:00:00,22.6,36.0,46,27.36,7.4,1001.82,984.92,0.00,10.00,0.00,290
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-14-2019,16:00:00,25.5,32.5,67,32.58,3.7,1001.63,986.16,0.00,12.00,0.00,050
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-14-2019,16:00:00,23.5,37.0,46,28.87,5.6,1000.55,982.39,0.00,10.00,0.00,310
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-14-2019,16:00:00,22.5,27.1,76,27.27,0.0,1006.57,955.60,0.00,11.00,11.90,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-14-2019,16:00:00,26.6,33.5,67,34.77,11.1,1003.57,999.71,0.00,10.00,0.70,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-14-2019,16:00:00,20.2,21.9,90,23.64,27.8,1005.79,910.94,0.01,7.00,4.90,210
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-14-2019,16:00:00,23.3,35.8,49,28.68,0.0,1001.83,986.38,0.00,10.00,0.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-14-2019,16:00:00,24.8,34.0,59,31.34,0.0,1003.19,999.26,0.00,12.00,0.01,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-14-2019,16:00:00,23.3,33.0,57,28.68,3.7,1004.62,994.18,0.00,10.00,0.00,200
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-14-2019,16:00:00,24.5,33.0,61,30.69,3.7,1004.03,1002.14,0.00,10.00,0.00,120
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-14-2019,16:00:00,20.9,33.7,47,24.78,14.8,1003.10,982.77,0.00,12.00,0.00,230
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-14-2019,16:00:00,22.8,34.5,51,27.73,11.1,1001.25,984.11,0.00,10.00,7.50,320
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-14-2019,16:00:00,23.2,35.0,51,28.47,9.3,1001.11,985.46,0.00,10.00,7.50,350
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-14-2019,16:00:00,24.1,35.6,52,30.02,0.0,1002.18,988.60,0.00,10.00,0.00,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-14-2019,16:00:00,24.9,34.8,57,31.57,3.7,1003.16,988.77,0.00,10.00,0.00,200
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-14-2019,16:00:00,24.6,35.5,54,31.00,3.7,1002.17,987.97,0.00,10.00,1.60,270
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-14-2019,16:00:00,20.7,34.2,45,24.37,0.0,1003.72,1000.79,0.00,10.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-14-2019,16:00:00,23.7,32.2,61,29.34,0.0,1003.77,995.98,0.00,10.00,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-14-2019,16:00:00,23.4,34.0,54,28.72,7.4,1004.63,1003.55,0.00,8.00,0.00,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-14-2019,16:00:00,23.0,36.2,47,28.06,0.0,1002.09,987.90,0.00,10.00,0.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-14-2019,16:00:00,20.3,23.5,82,23.75,5.6,1003.60,870.73,0.00,8.00,0.80,260
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-14-2019,16:00:00,26.2,33.6,66,34.08,0.0,1004.18,998.45,0.00,10.00,0.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-14-2019,16:00:00,26.0,35.0,60,33.54,18.5,1005.01,1004.23,0.00,9.00,0.00,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-14-2019,16:00:00,25.0,31.8,67,31.68,11.1,1005.04,1004.60,0.00,10.00,0.00,180
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-14-2019,16:00:00,24.0,30.0,70,29.75,7.4,1006.63,995.45,0.00,7.00,8.30,300
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-14-2019,16:00:00,22.3,34.5,49,26.88,9.3,1004.26,1003.28,0.00,12.00,0.00,270
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-14-2019,16:00:00,24.0,33.3,58,29.87,0.0,1004.31,1002.53,0.00,10.00,0.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-14-2019,16:00:00,21.3,33.1,50,25.27,0.0,1004.62,1003.87,0.00,9.00,0.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-14-2019,16:00:00,23.3,33.0,57,28.68,13.0,1004.78,1004.09,0.00,10.00,0.40,210
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-14-2019,16:00:00,23.8,34.9,53,29.42,5.6,1004.42,1003.73,0.00,10.00,0.10,300
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-14-2019,16:00:00,22.3,35.9,45,26.86,14.8,1003.28,982.81,0.00,10.00,0.00,260
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-14-2019,16:00:00,22.3,35.5,47,26.91,9.3,1002.36,986.18,0.00,9.00,15.50,230
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-14-2019,16:00:00,22.7,35.0,49,27.61,5.6,1003.39,987.45,0.00,12.00,7.30,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-14-2019,16:00:00,22.0,35.3,46,26.51,9.3,1003.16,981.97,0.00,10.00,0.00,260
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-14-2019,16:00:00,21.6,30.5,59,25.80,18.5,1004.74,962.09,0.00,12.00,0.00,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-14-2019,16:00:00,21.7,34.7,47,25.88,13.0,1003.04,983.07,0.00,12.00,0.00,240
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-14-2019,16:00:00,24.0,35.1,53,29.84,13.0,1004.03,983.82,0.00,10.00,0.00,250
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-14-2019,16:00:00,24.7,31.7,67,31.19,11.1,1004.92,1004.49,0.00,10.00,0.00,180
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-14-2019,16:00:00,25.3,33.0,64,32.16,0.0,1004.42,1003.04,0.00,11.00,8.40,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-14-2019,16:00:00,24.2,33.5,59,30.28,3.7,1004.82,1000.00,0.00,10.00,0.00,270
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-14-2019,16:00:00,22.1,32.8,54,26.61,3.7,1005.57,1002.34,0.00,12.00,0.00,320
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-14-2019,16:00:00,23.0,34.1,52,28.06,7.4,1005.18,1004.10,0.00,10.00,0.00,280
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-14-2019,16:00:00,24.0,33.7,57,29.83,5.6,1004.73,1004.44,0.00,10.00,0.01,220
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-14-2019,16:00:00,22.2,35.6,46,26.83,5.6,1004.52,1003.85,0.00,10.00,0.00,190
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-14-2019,16:00:00,22.4,34.0,51,27.01,3.7,1004.97,1004.49,0.00,10.00,0.00,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-14-2019,16:00:00,22.5,33.4,53,27.23,27.8,1004.99,1003.62,0.00,10.00,0.00,300
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-14-2019,16:00:00,23.7,30.5,67,29.33,16.7,1005.19,1003.54,0.00,10.00,0.40,180
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-14-2019,16:00:00,23.1,33.2,56,28.24,11.1,1006.60,998.76,0.00,15.00,0.00,270
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-14-2019,16:00:00,24.0,34.0,56,29.87,5.6,1004.70,1004.43,0.00,10.00,1.30,250
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-14-2019,16:00:00,23.2,31.5,62,28.51,0.0,1004.22,1001.15,0.00,10.00,0.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-14-2019,16:00:00,21.8,31.8,55,26.07,7.4,1005.43,998.61,0.00,12.00,0.00,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-14-2019,16:00:00,23.5,34.0,55,29.00,13.0,1004.24,998.78,0.00,7.00,0.00,300
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-14-2019,16:00:00,23.9,32.5,61,29.66,11.1,1007.97,998.82,0.00,12.00,0.00,210
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-14-2019,16:00:00,22.8,33.5,54,27.71,14.8,1006.04,1004.81,0.00,15.00,2.10,360
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-14-2019,16:00:00,25.4,34.5,59,32.42,14.8,1004.99,1004.57,0.00,11.00,0.00,170
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-14-2019,16:00:00,22.4,34.0,51,27.01,0.0,1005.36,993.40,0.00,9.00,0.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-14-2019,16:00:00,25.0,31.7,68,31.77,9.3,1005.24,1004.54,0.00,10.00,0.00,130
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-14-2019,16:00:00,22.5,33.7,52,27.26,14.8,1005.98,1003.60,0.00,10.00,0.00,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-14-2019,16:00:00,23.7,31.3,64,29.24,11.1,1005.63,1005.12,0.00,10.00,0.00,210
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-14-2019,16:00:00,22.5,32.3,56,27.30,7.4,1005.22,1000.16,0.00,12.00,0.00,250
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-14-2019,16:00:00,22.8,32.0,59,27.82,7.4,1005.68,1005.28,0.00,10.00,0.00,180
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-14-2019,16:00:00,25.5,32.5,67,32.58,9.3,1006.08,1003.36,0.00,10.00,0.00,150
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-14-2019,16:00:00,20.9,35.1,44,24.72,7.4,1005.40,1004.64,0.00,12.00,0.00,270
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-14-2019,16:00:00,25.1,30.9,71,31.84,7.4,1006.12,1005.67,0.00,8.00,1.60,270
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-14-2019,16:00:00,23.2,32.9,57,28.48,13.0,1006.65,1005.98,0.00,10.00,0.00,300
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-14-2019,16:00:00,22.5,32.0,57,27.27,0.0,1006.58,1005.07,0.00,9.00,0.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-14-2019,16:00:00,22.7,32.7,56,27.52,13.0,1008.22,1007.32,0.00,10.00,0.80,300
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-14-2019,16:00:00,24.8,32.2,65,31.35,0.0,1006.70,1006.03,0.00,12.00,0.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-14-2019,16:00:00,23.0,35.2,49,28.01,11.1,1006.65,1005.87,0.00,12.00,0.70,290
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-14-2019,16:00:00,24.4,33.5,59,30.57,18.5,1006.47,1005.85,0.00,10.00,8.60,060
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-14-2019,16:00:00,24.5,33.9,58,30.83,11.1,1006.44,1006.04,0.00,10.00,0.00,260
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-14-2019,16:00:00,24.8,34.0,59,31.34,5.6,1008.45,1004.33,0.00,7.00,15.90,300
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-14-2019,16:00:00,23.3,32.0,60,28.66,9.3,1006.27,1004.69,0.00,10.00,0.01,240
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-14-2019,16:00:00,24.8,30.5,72,31.31,0.0,1006.92,1003.49,1.70,10.00,1.70,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-14-2019,16:00:00,22.8,33.8,53,27.74,9.3,1006.33,1005.00,0.00,12.00,0.30,280
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-14-2019,16:00:00,24.5,31.2,68,30.73,7.4,1008.44,1007.56,0.60,10.00,1.20,270
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-14-2019,16:00:00,23.0,32.6,57,28.17,0.0,1007.23,1003.73,0.00,10.00,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-14-2019,16:00:00,25.5,29.7,78,32.54,3.7,1007.93,1007.50,3.80,9.00,3.80,290
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-14-2019,16:00:00,23.9,31.1,66,29.68,13.0,1007.65,1006.67,8.70,10.00,8.70,290
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-14-2019,16:00:00,25.8,30.7,75,33.17,27.8,1007.85,1007.05,0.00,10.00,0.00,280
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-14-2019,16:00:00,23.4,32.5,59,28.81,7.4,1007.60,1005.82,0.00,12.00,0.01,250
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-14-2019,16:00:00,24.0,26.2,88,29.86,5.6,1008.59,1007.84,22.40,9.00,22.80,150
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-14-2019,16:00:00,23.1,25.5,87,28.33,9.3,1007.91,1003.89,0.20,10.00,1.80,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-14-2019,16:00:00,23.3,26.5,83,28.55,0.0,1009.36,1008.67,0.00,10.00,1.40,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-14-2019,16:00:00,22.7,26.7,79,27.60,5.6,1008.02,1006.90,1.40,10.00,1.40,110
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-14-2019,16:00:00,23.4,24.9,92,28.82,0.0,1007.97,1005.03,2.00,10.00,2.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-14-2019,16:00:00,23.9,24.8,95,29.69,0.0,1007.53,1006.84,19.60,7.00,23.80,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-14-2019,16:00:00,23.6,28.4,75,29.14,9.3,1008.45,1004.35,0.00,10.00,15.10,320
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-14-2019,16:00:00,22.9,28.9,70,27.91,9.3,1007.59,1007.00,0.50,10.00,0.50,230
