WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,StationPressure,Rainfall,VaporPressure,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,AirTemperature,RelativeHumidity
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-16-2019,10:00:00,000,{'@attributes': {'Unit': 'km'}},1007.29,0.00,29.69,12.00,23.9,1010.86,27.4,81
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.3,09-16-2019,10:00:00,270,10.00,1009.75,0.00,26.80,0.20,22.2,1010.18,29.6,65
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,09-16-2019,10:00:00,260,10.00,1008.93,0.00,30.11,10.70,24.2,1009.92,29.9,71
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,20.4,09-16-2019,10:00:00,300,10.00,1010.01,0.00,31.21,12.00,24.8,1010.83,28.9,78
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-16-2019,10:00:00,000,10.00,1008.89,0.00,30.56,7.40,24.4,1010.70,28.0,81
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.3,09-16-2019,10:00:00,230,10.00,1009.77,0.00,29.57,15.20,23.9,1010.52,29.2,73
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,09-16-2019,10:00:00,330,10.00,1006.58,0.00,29.35,6.00,23.7,1010.57,28.8,74
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-16-2019,10:00:00,000,10.00,1010.13,0.00,30.81,5.40,24.5,1010.81,27.7,83
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-16-2019,10:00:00,000,10.00,1009.35,0.00,30.01,22.40,24.1,1010.46,29.0,75
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,5.6,09-16-2019,10:00:00,250,10.00,1007.69,0.00,32.35,2.70,25.4,1010.61,28.2,85
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.3,09-16-2019,10:00:00,230,10.00,1009.34,0.00,30.96,22.80,24.6,1010.03,29.2,76
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.4,09-16-2019,10:00:00,210,8.00,1007.16,0.00,28.10,35.80,23.0,1011.27,29.0,70
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,5.6,09-16-2019,10:00:00,240,10.00,1010.01,0.00,27.55,27.10,22.7,1010.59,30.0,65
