WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,WindSpeed,MaximumTemperature,StationPressure,Rainfall,Rainfall24Hr,VaporPressure,AirTemperature,DewPoint,LandVisibility,RelativeHumidity
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,180,08-31-2019,19:00:00,1003.76,5.6,30.2,984.38,0.00,33.00,31.25,27.5,24.8,12.00,85
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-31-2019,19:00:00,1004.68,0.0,31.0,988.01,1.00,45.60,30.97,27.5,24.6,8.00,84
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-31-2019,19:00:00,1004.84,0.0,29.8,987.45,0.60,54.60,30.97,26.5,24.6,8.00,89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-31-2019,19:00:00,1002.28,0.0,30.0,976.66,0.00,13.20,31.22,27.2,24.8,10.00,87
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-31-2019,19:00:00,1001.74,0.0,28.4,995.97,1.00,36.60,33.63,26.3,26.0,10.00,98
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-31-2019,19:00:00,1002.29,0.0,27.9,996.11,0.40,42.60,32.56,25.9,25.5,7.00,97
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,190,08-31-2019,19:00:00,1003.63,9.3,29.5,987.18,0.10,21.60,29.21,25.7,23.7,8.00,89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-31-2019,19:00:00,1001.86,0.0,28.5,979.46,8.40,68.90,28.28,24.3,23.1,10.00,93
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-31-2019,19:00:00,1002.64,0.0,28.8,988.25,3.60,71.90,31.17,25.6,24.7,4.00,95
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-31-2019,19:00:00,1002.19,0.0,28.6,985.78,0.50,103.00,30.58,25.0,24.4,6.00,97
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,08-31-2019,19:00:00,1002.79,0.0,28.8,997.58,0.01,34.80,32.69,27.1,25.5,10.00,91
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-31-2019,19:00:00,1001.79,0.0,29.1,988.61,20.00,107.30,31.08,25.7,24.7,10.00,94
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-31-2019,19:00:00,1002.04,0.0,29.2,992.75,0.50,86.10,33.59,26.7,26.0,9.00,96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,180,08-31-2019,19:00:00,1003.65,5.6,30.5,982.04,0.00,44.20,30.56,27.0,24.4,10.00,86
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,230,08-31-2019,19:00:00,1004.68,5.6,33.7,987.24,2.70,106.30,27.11,27.3,22.4,7.00,75
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,08-31-2019,19:00:00,1004.36,0.0,30.5,988.52,0.00,48.90,32.20,26.0,25.3,10.00,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,200,08-31-2019,19:00:00,1002.95,5.6,30.9,984.15,0.00,66.00,30.02,27.0,24.1,8.00,84
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-31-2019,19:00:00,1002.27,0.0,25.5,951.21,0.90,17.00,27.80,25.2,22.8,8.00,87
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,080,08-31-2019,19:00:00,1002.43,7.4,30.3,998.50,2.70,62.10,33.74,27.2,26.1,5.00,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,220,08-31-2019,19:00:00,1003.12,9.3,23.1,908.12,5.50,104.70,23.78,20.6,20.3,.30,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-31-2019,19:00:00,1004.19,0.0,30.8,988.18,4.70,23.60,31.63,25.7,25.0,6.00,96
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-31-2019,19:00:00,1002.89,0.0,30.3,998.88,0.00,22.30,31.95,28.0,25.1,10.00,85
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-31-2019,19:00:00,1003.95,0.0,29.9,993.34,0.00,36.70,29.36,27.8,23.7,8.00,79
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,08-31-2019,19:00:00,1003.49,0.0,31.9,1001.58,0.00,10.70,30.56,28.0,24.4,9.00,81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,08-31-2019,19:00:00,1004.13,0.0,29.1,983.27,0.00,36.70,30.03,26.0,24.1,10.00,89
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,08-31-2019,19:00:00,1003.94,0.0,30.0,986.28,6.20,16.60,32.12,26.1,25.2,10.00,95
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,08-31-2019,19:00:00,1004.05,0.0,29.6,987.89,2.30,11.80,32.12,26.1,25.2,10.00,95
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,08-31-2019,19:00:00,1004.82,0.0,31.6,990.82,0.20,5.60,30.29,27.0,24.3,10.00,85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-31-2019,19:00:00,1005.29,0.0,33.5,990.46,4.60,7.40,31.24,26.5,24.8,7.00,90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,08-31-2019,19:00:00,1006.18,0.0,31.8,991.40,7.50,8.20,30.46,24.5,24.3,3.00,99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",08-31-2019,19:00:00,1002.25,0.0,29.8,999.25,0.01,26.40,31.08,27.7,24.7,10.00,84
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,050,08-31-2019,19:00:00,1003.10,3.7,29.8,995.18,2.10,20.40,33.09,27.3,25.7,8.00,91
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,200,08-31-2019,19:00:00,1003.26,11.1,32.0,1002.16,0.00,1.20,28.51,28.5,23.2,8.00,73
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,120,08-31-2019,19:00:00,1001.46,3.7,28.2,986.91,0.00,12.80,33.66,28.0,26.0,9.00,89
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,200,08-31-2019,19:00:00,1005.37,11.1,19.9,870.60,0.80,46.00,22.42,19.5,19.3,.05,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,210,08-31-2019,19:00:00,1003.40,5.6,30.5,997.56,0.00,27.20,31.95,28.0,25.1,10.00,85
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,180,08-31-2019,19:00:00,1003.32,7.4,32.5,1002.53,0.00,0.20,31.13,29.0,24.7,7.00,78
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-31-2019,19:00:00,1004.05,22.2,31.5,1003.61,0.00,0.00,30.72,29.5,24.5,10.00,75
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-31-2019,19:00:00,1003.72,0.0,27.6,992.43,0.00,18.50,32.43,26.4,25.4,4.00,94
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,08-31-2019,19:00:00,1003.45,0.0,32.6,1002.45,0.00,0.01,30.63,29.6,24.4,10.00,74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,170,08-31-2019,19:00:00,1003.46,5.6,32.1,1001.66,0.00,4.40,29.46,29.0,23.8,8.00,74
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-31-2019,19:00:00,1003.14,0.0,32.5,1002.38,0.00,0.01,27.88,29.6,22.9,8.00,67
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,190,08-31-2019,19:00:00,1003.88,11.1,31.6,1003.18,0.00,1.00,30.28,28.0,24.3,10.00,80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-31-2019,19:00:00,1003.88,0.0,30.5,1003.18,0.00,5.50,33.37,28.0,25.9,7.00,88
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,190,08-31-2019,19:00:00,1004.18,5.6,30.0,983.07,0.00,11.00,30.34,26.6,24.3,10.00,87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-31-2019,19:00:00,1004.18,0.0,32.3,987.48,16.30,29.20,31.41,26.3,24.9,6.00,92
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-31-2019,19:00:00,1005.00,3.7,32.8,988.58,2.90,14.90,30.81,26.7,24.5,5.00,88
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-31-2019,19:00:00,1003.88,0.0,30.5,982.10,0.00,20.10,30.02,27.0,24.1,10.00,84
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,000,08-31-2019,19:00:00,1003.99,0.0,28.1,960.71,0.00,5.10,26.03,25.8,21.8,12.00,78
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,210,08-31-2019,19:00:00,1003.74,5.6,32.1,983.31,0.00,13.20,27.32,28.0,22.5,10.00,72
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,230,08-31-2019,19:00:00,1005.83,9.3,30.6,984.98,0.00,18.20,30.67,26.2,24.5,9.00,90
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,230,08-31-2019,19:00:00,1003.90,13.0,30.4,1003.47,0.01,0.30,31.56,27.8,24.9,9.00,84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-31-2019,19:00:00,1003.85,0.0,30.0,1002.44,0.00,0.90,33.78,27.5,26.1,8.00,92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-31-2019,19:00:00,1004.12,0.0,33.3,999.22,0.00,0.30,32.10,28.5,25.2,8.00,83
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,190,08-31-2019,19:00:00,1003.50,5.6,32.2,1000.25,0.00,0.40,27.71,29.8,22.8,12.00,66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-31-2019,19:00:00,1003.48,0.0,32.0,1002.38,0.00,0.01,31.20,29.6,24.7,10.00,75
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,220,08-31-2019,19:00:00,1004.08,7.4,31.9,1003.79,0.00,0.01,30.42,28.5,24.3,10.00,78
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,210,08-31-2019,19:00:00,1004.35,3.7,30.8,1003.67,0.00,1.50,31.54,28.5,24.9,10.00,81
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,08-31-2019,19:00:00,1003.39,0.0,32.7,1002.90,0.00,1.90,31.70,28.3,25.0,10.00,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,190,08-31-2019,19:00:00,1003.97,16.7,31.1,1002.58,0.00,6.60,30.67,28.2,24.5,10.00,80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,200,08-31-2019,19:00:00,1003.58,38.9,29.8,1001.91,0.00,0.01,36.63,28.3,27.5,10.00,95
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,08-31-2019,19:00:00,1005.95,0.0,32.0,997.98,0.00,0.00,27.22,27.8,22.5,10.00,73
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,300,08-31-2019,19:00:00,1003.68,3.7,31.5,1003.40,0.00,0.00,29.52,28.6,23.8,10.00,75
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,300,08-31-2019,19:00:00,1003.84,9.3,30.2,1000.73,0.00,0.00,28.78,28.5,23.4,10.00,74
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,230,08-31-2019,19:00:00,1004.48,11.1,30.3,997.58,0.00,3.10,28.28,27.8,23.1,10.00,76
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,200,08-31-2019,19:00:00,1004.81,9.3,33.4,999.23,0.00,0.20,29.60,27.5,23.9,10.00,81
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,250,08-31-2019,19:00:00,1004.71,7.4,30.5,995.45,0.00,0.70,32.80,28.0,25.6,10.00,87
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,180,08-31-2019,19:00:00,1004.49,3.7,31.2,1003.24,0.01,1.40,32.52,28.0,25.4,9.00,86
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,210,08-31-2019,19:00:00,1004.14,25.9,30.5,1003.71,0.00,0.01,29.69,27.4,23.9,11.00,81
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-31-2019,19:00:00,1005.04,0.0,28.2,992.71,0.30,5.80,28.47,24.7,23.2,10.00,92
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,230,08-31-2019,19:00:00,1004.54,9.3,30.8,1003.83,0.30,1.50,29.38,25.5,23.7,8.00,90
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,240,08-31-2019,19:00:00,1006.32,18.5,32.8,1003.90,0.00,3.10,28.78,28.5,23.4,10.00,74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,230,08-31-2019,19:00:00,1005.43,25.9,30.0,1004.92,0.00,1.40,29.49,28.3,23.8,10.00,77
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,150,08-31-2019,19:00:00,1004.97,1.9,30.5,999.84,0.00,0.70,27.67,27.9,22.8,10.00,74
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-31-2019,19:00:00,1005.60,0.0,31.2,1005.18,0.00,35.00,32.33,27.2,25.3,7.00,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-31-2019,19:00:00,1006.03,0.0,28.3,1003.26,0.00,11.40,30.84,26.0,24.6,8.00,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,240,08-31-2019,19:00:00,1006.15,5.6,29.0,1005.36,0.00,14.10,25.95,26.2,21.7,10.00,76
48501,TRAD,ตราด,ตราด,11.76667,102.88333,190,08-31-2019,19:00:00,1006.09,3.7,29.0,1005.63,0.01,14.70,30.67,26.2,24.5,6.00,90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,08-31-2019,19:00:00,1006.10,0.0,30.8,1005.42,2.20,6.90,29.00,25.0,23.5,7.00,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,08-31-2019,19:00:00,1005.76,0.0,34.6,1004.23,0.00,7.00,29.60,26.2,23.9,8.00,87
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,08-31-2019,19:00:00,1006.79,0.0,29.4,1005.88,0.00,42.70,28.80,26.2,23.4,10.00,85
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-31-2019,19:00:00,1006.19,0.0,35.0,1005.51,0.40,0.60,29.66,27.1,23.9,10.00,83
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,08-31-2019,19:00:00,1006.59,0.0,31.0,1005.79,0.00,0.80,30.32,25.0,24.3,10.00,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-31-2019,19:00:00,1005.94,0.0,34.5,1005.31,0.00,0.00,28.55,27.8,23.3,10.00,76
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-31-2019,19:00:00,1006.91,0.0,35.6,1006.51,0.00,0.00,28.67,27.0,23.3,10.00,80
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,08-31-2019,19:00:00,1008.13,0.0,32.0,1003.90,0.00,5.60,30.71,25.5,24.5,6.00,94
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-31-2019,19:00:00,1007.05,0.0,32.8,1005.43,0.20,9.70,30.30,26.0,24.3,7.00,90
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-31-2019,19:00:00,1007.52,0.0,32.3,1004.03,0.20,0.20,30.54,25.7,24.4,8.00,93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,300,08-31-2019,19:00:00,1006.72,3.7,33.2,1005.37,0.00,2.10,31.14,28.3,24.7,8.00,81
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,08-31-2019,19:00:00,1006.43,0.0,30.5,1005.54,0.00,8.80,30.43,26.5,24.3,10.00,88
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-31-2019,19:00:00,1006.78,0.0,31.7,1003.21,0.00,3.20,29.82,25.6,24.0,10.00,91
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,08-31-2019,19:00:00,1006.74,0.0,32.8,1006.30,0.00,12.20,31.92,27.7,25.1,10.00,86
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,08-31-2019,19:00:00,1005.99,0.0,32.2,1005.00,0.00,3.90,27.95,26.6,22.9,9.00,80
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,060,08-31-2019,19:00:00,1006.98,5.6,31.8,1006.16,8.60,8.60,29.19,25.4,23.6,10.00,90
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-31-2019,19:00:00,1007.12,0.0,32.3,1005.28,2.80,2.80,27.25,24.0,22.5,10.00,91
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,270,08-31-2019,19:00:00,1007.10,5.6,34.9,1006.36,0.01,0.01,29.11,30.1,23.6,10.00,68
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,240,08-31-2019,19:00:00,1007.16,7.4,33.2,1003.19,0.00,0.00,27.32,29.3,22.5,10.00,67
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-31-2019,19:00:00,1009.43,0.0,34.0,1008.75,0.00,0.00,32.55,29.0,25.5,10.00,81
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,180,08-31-2019,19:00:00,1007.01,5.6,34.0,1005.91,0.00,0.00,28.23,30.5,23.1,10.00,65
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-31-2019,19:00:00,1007.10,0.0,33.4,1004.21,0.00,0.20,33.08,29.4,25.7,10.00,81
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,08-31-2019,19:00:00,1006.21,0.0,34.0,1005.53,0.00,0.00,33.94,28.0,26.2,7.00,90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,080,08-31-2019,19:00:00,1007.30,7.4,35.3,1003.18,0.00,0.01,29.48,27.0,23.8,8.00,83
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-31-2019,19:00:00,1008.32,0.0,33.7,1007.73,11.20,11.20,28.72,24.7,23.4,5.00,92
