WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,StationPressure,AirTemperature,VaporPressure,LandVisibility,WindDirection,Rainfall24Hr,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,10-03-2019,10:00:00,25.6,1006.28,30.5,32.75,10.00,210,0.00,75,0.00,1014.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,10-03-2019,10:00:00,25.4,1011.57,33.0,32.46,8.00,000,18.20,65,0.00,1011.85
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-03-2019,10:00:00,26.1,1008.90,31.0,33.81,10.00,000,0.00,75,0.00,1012.01
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,10-03-2019,10:00:00,25.6,1005.12,30.5,32.75,10.00,240,0.01,75,0.00,1012.02
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-03-2019,10:00:00,26.0,1006.95,31.2,33.65,7.00,000,1.30,74,0.00,1012.50
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,9.3,10-03-2019,10:00:00,27.1,1003.58,31.7,35.95,4.00,250,0.50,77,0.00,1012.80
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,10-03-2019,10:00:00,25.6,1011.32,29.7,32.83,12.00,000,0.00,79,0.00,1012.58
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.7,10-03-2019,10:00:00,24.3,1011.53,28.5,30.42,11.00,310,0.00,78,0.00,1011.96
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,3.7,10-03-2019,10:00:00,23.6,1000.07,31.7,29.19,8.00,010,0.00,62,0.00,1012.20
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,10-03-2019,10:00:00,24.9,1011.17,31.8,31.39,10.00,110,0.00,67,0.00,1011.88
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,10-03-2019,10:00:00,25.5,1010.18,31.7,32.64,9.00,170,0.20,70,0.00,1012.59
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.4,10-03-2019,10:00:00,25.9,1011.96,31.5,33.40,8.00,200,0.00,72,0.00,1012.47
