WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,Rainfall,WindSpeed,MeanSeaLevelPressure,DewPoint,RelativeHumidity
48353,LOEI,เลย,เลย,17.45000,101.73333,27.1,07-18-2019,01:00:00,12.00,974.50,31.85,0.20,000,0.01,0.0,1002.99,25.1,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.3,07-18-2019,01:00:00,12.00,983.06,32.30,0.00,000,0.00,0.0,1002.98,25.3,79
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.2,07-18-2019,01:00:00,12.00,982.04,32.87,37.20,000,0.00,0.0,1003.73,25.6,97
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.0,07-18-2019,01:00:00,12.00,984.25,33.06,46.00,150,0.00,3.7,1003.66,25.7,93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.2,07-18-2019,01:00:00,10.00,987.35,32.67,0.00,100,0.00,1.9,1003.92,25.5,81
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.0,07-18-2019,01:00:00,10.00,986.91,34.52,0.00,000,0.00,0.0,1004.20,26.5,91
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.4,07-18-2019,01:00:00,10.00,977.41,34.19,10.10,000,0.00,0.0,1002.95,26.3,88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.0,07-18-2019,01:00:00,10.00,997.36,27.83,0.00,270,0.00,5.6,1003.09,22.9,70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.3,07-18-2019,01:00:00,10.00,995.15,30.88,0.00,000,0.00,0.0,1001.26,24.6,76
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.5,07-18-2019,01:00:00,9.00,988.26,31.54,0.00,000,0.00,0.0,1004.57,24.9,81
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.0,07-18-2019,01:00:00,10.00,981.95,28.70,0.00,000,0.00,0.0,1004.27,23.4,85
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.8,07-18-2019,01:00:00,7.00,990.01,26.93,0.00,280,0.00,13.0,1004.27,22.3,68
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.0,07-18-2019,01:00:00,8.00,987.25,25.71,0.00,000,0.00,0.0,1003.47,21.6,64
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.0,07-18-2019,01:00:00,10.00,998.12,33.41,0.00,000,0.00,0.0,1003.29,25.9,83
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.0,07-18-2019,01:00:00,10.00,989.09,30.29,0.00,000,0.00,0.0,1002.13,24.3,76
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.2,07-18-2019,01:00:00,10.00,993.86,30.13,0.00,350,0.00,3.7,1003.07,24.2,74
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.0,07-18-2019,01:00:00,10.00,982.17,27.55,0.00,210,0.00,3.7,1003.56,22.7,65
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.2,07-18-2019,01:00:00,10.00,985.00,29.85,0.00,210,0.00,3.7,1002.41,24.0,83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,28.8,07-18-2019,01:00:00,10.00,987.60,31.86,0.00,000,0.00,0.0,1003.28,25.1,80
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.6,07-18-2019,01:00:00,8.00,983.70,29.52,0.00,210,0.00,7.4,1002.33,23.8,71
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.0,07-18-2019,01:00:00,6.00,956.06,26.01,0.00,000,0.00,0.0,1007.59,21.7,87
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.0,07-18-2019,01:00:00,8.00,999.12,32.55,0.00,160,0.00,7.4,1003.04,25.5,81
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.1,07-18-2019,01:00:00,.70,910.79,24.30,2.50,240,0.00,18.5,1005.90,20.6,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.2,07-18-2019,01:00:00,6.00,987.75,33.83,0.00,000,0.00,0.0,1003.56,26.1,83
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.2,07-18-2019,01:00:00,10.00,998.91,35.30,0.00,000,0.00,0.0,1002.90,26.8,87
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.0,07-18-2019,01:00:00,8.00,994.21,30.01,0.00,000,0.00,0.0,1004.82,24.1,79
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.2,07-18-2019,01:00:00,8.00,1001.77,29.31,0.00,150,0.00,7.4,1003.69,23.7,81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.3,07-18-2019,01:00:00,10.00,983.09,28.12,0.00,000,0.00,0.0,1003.73,23.0,69
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.7,07-18-2019,01:00:00,10.00,985.76,29.43,0.00,190,0.00,14.8,1003.26,23.8,75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.4,07-18-2019,01:00:00,10.00,987.38,32.50,0.00,000,0.00,0.0,1003.36,25.4,79
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.0,07-18-2019,01:00:00,10.00,990.73,29.21,1.90,180,0.00,3.7,1004.73,23.6,82
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.5,07-18-2019,01:00:00,10.00,990.24,29.89,2.20,000,0.00,0.0,1005.07,24.0,86
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.6,07-18-2019,01:00:00,7.00,990.50,30.34,0.50,000,0.00,0.0,1005.16,24.3,87
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.8,07-18-2019,01:00:00,10.00,1000.08,33.86,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,0.0,1003.07,26.1,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.6,07-18-2019,01:00:00,7.00,995.32,31.46,0.00,000,0.00,0.0,1003.20,24.9,80
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.2,07-18-2019,01:00:00,8.00,1003.45,30.95,0.00,180,0.00,7.4,1004.55,24.6,81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.0,07-18-2019,01:00:00,8.00,989.51,31.41,0.00,000,0.00,0.0,1004.05,24.9,78
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.7,07-18-2019,01:00:00,.10,870.23,24.16,0.20,180,0.20,14.8,1004.36,20.5,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,28.8,07-18-2019,01:00:00,10.00,998.00,33.00,0.00,200,0.00,5.6,1003.83,25.7,83
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.2,07-18-2019,01:00:00,8.00,1004.58,35.07,0.00,240,0.00,7.4,1005.37,26.7,82
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.8,07-18-2019,01:00:00,10.00,1003.00,33.57,0.00,230,0.00,7.4,1003.44,26.0,85
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.2,07-18-2019,01:00:00,5.00,994.89,30.15,0.00,000,0.00,0.0,1006.25,24.2,94
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.1,07-18-2019,01:00:00,10.00,1002.98,29.11,0.00,210,0.00,5.6,1003.98,23.6,77
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.7,07-18-2019,01:00:00,9.00,1002.03,29.98,0.00,170,0.00,3.7,1003.83,24.1,76
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.4,07-18-2019,01:00:00,8.00,1003.28,26.21,0.00,000,0.00,0.0,1004.04,21.9,68
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.7,07-18-2019,01:00:00,10.00,1003.50,28.62,0.00,210,0.00,5.6,1004.19,23.3,73
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.7,07-18-2019,01:00:00,7.00,1003.78,32.79,0.00,000,0.00,0.0,1004.48,25.6,83
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.0,07-18-2019,01:00:00,10.00,982.88,31.69,0.00,220,0.00,9.3,1003.83,25.0,79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.0,07-18-2019,01:00:00,7.00,987.59,28.14,0.00,000,0.00,0.0,1004.26,23.0,79
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.7,07-18-2019,01:00:00,7.00,988.71,29.72,0.00,180,0.00,3.7,1005.13,23.9,85
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.8,07-18-2019,01:00:00,10.00,982.34,27.22,0.00,000,0.00,0.0,1004.07,22.5,73
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.5,07-18-2019,01:00:00,11.00,961.29,27.77,0.00,160,0.00,3.7,1004.49,22.8,80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.9,07-18-2019,01:00:00,8.00,983.76,30.37,0.00,000,0.00,0.0,1004.20,24.3,81
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.7,07-18-2019,01:00:00,8.00,984.65,32.46,0.00,210,0.00,16.7,1005.46,25.4,93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.7,07-18-2019,01:00:00,10.00,1004.34,28.62,0.80,320,0.00,3.7,1004.77,23.3,73
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.8,07-18-2019,01:00:00,6.00,1003.54,31.00,0.00,000,0.00,0.0,1004.95,24.6,88
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.2,07-18-2019,01:00:00,7.00,998.95,32.04,0.00,000,0.00,0.0,1003.88,25.2,94
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.8,07-18-2019,01:00:00,12.00,1001.17,27.20,0.00,270,0.00,7.4,1004.44,22.5,69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.0,07-18-2019,01:00:00,10.00,1003.36,30.02,0.00,000,0.00,0.0,1004.46,24.1,84
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.2,07-18-2019,01:00:00,10.00,1004.53,28.75,0.00,200,0.00,3.7,1004.83,23.4,71
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.0,07-18-2019,01:00:00,10.00,1004.04,31.95,0.00,000,0.00,0.0,1004.52,25.1,85
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.4,07-18-2019,01:00:00,10.00,1003.26,28.31,0.00,260,0.00,13.0,1004.66,23.1,69
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,27.0,07-18-2019,01:00:00,10.00,998.09,31.66,0.00,180,0.00,3.7,1006.09,25.0,89
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.8,07-18-2019,01:00:00,10.00,1004.38,31.03,0.00,000,0.00,0.0,1004.66,24.7,74
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.0,07-18-2019,01:00:00,10.00,1001.83,31.13,0.00,000,0.00,0.0,1004.94,24.7,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.0,07-18-2019,01:00:00,10.00,998.33,28.37,0.00,240,0.00,5.6,1005.21,23.2,71
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.2,07-18-2019,01:00:00,7.00,999.11,32.05,2.10,000,0.00,0.0,1004.69,25.2,89
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.0,07-18-2019,01:00:00,10.00,1004.02,28.67,0.10,000,0.00,0.0,1005.28,23.3,80
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.4,07-18-2019,01:00:00,11.00,1004.16,26.99,0.01,200,0.00,13.0,1004.59,22.3,70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.1,07-18-2019,01:00:00,8.00,993.27,28.10,0.00,000,0.00,0.0,1005.55,23.0,83
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.0,07-18-2019,01:00:00,10.00,1004.59,30.02,1.70,210,1.10,3.7,1005.30,24.1,84
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.2,07-18-2019,01:00:00,10.00,1002.87,28.48,0.00,220,0.00,11.1,1005.28,23.2,70
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.5,07-18-2019,01:00:00,10.00,1004.92,32.13,0.00,300,0.00,7.4,1005.44,25.2,78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.7,07-18-2019,01:00:00,10.00,1000.00,29.16,0.00,240,0.00,1.9,1005.12,23.6,74
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.8,07-18-2019,01:00:00,6.00,1004.92,34.11,8.40,000,4.20,0.0,1005.33,26.2,91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.2,07-18-2019,01:00:00,8.00,1002.62,32.87,20.80,040,8.00,7.4,1005.39,25.6,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.7,07-18-2019,01:00:00,10.00,1004.97,27.86,0.90,240,0.00,7.4,1005.75,22.9,80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.2,07-18-2019,01:00:00,6.00,1005.25,32.59,82.20,060,9.50,5.6,1005.71,25.5,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.0,07-18-2019,01:00:00,7.00,1005.93,29.00,5.00,000,0.00,0.0,1006.62,23.5,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.2,07-18-2019,01:00:00,7.00,1006.37,26.27,3.40,000,0.00,0.0,1007.91,21.9,82
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.0,07-18-2019,01:00:00,10.00,1006.50,29.52,68.90,000,0.00,0.0,1007.43,23.8,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.5,07-18-2019,01:00:00,9.00,1006.61,29.64,22.00,200,0.00,5.6,1007.30,23.9,91
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.5,07-18-2019,01:00:00,7.00,1005.67,29.41,1.80,160,0.00,3.7,1006.47,23.8,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,07-18-2019,01:00:00,10.00,1005.76,28.48,7.00,150,0.00,5.6,1006.40,23.2,90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.0,07-18-2019,01:00:00,10.00,1006.24,28.78,2.00,180,1.80,7.4,1006.65,23.4,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.8,07-18-2019,01:00:00,5.00,1005.10,28.69,9.20,000,0.00,0.0,1009.37,23.4,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.2,07-18-2019,01:00:00,10.00,1006.59,27.91,24.80,000,0.01,0.0,1008.23,22.9,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,07-18-2019,01:00:00,6.00,1005.01,28.43,4.70,000,0.00,0.0,1008.53,23.2,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.7,07-18-2019,01:00:00,8.00,1006.00,26.18,1.10,000,0.00,0.0,1007.36,21.8,84
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.5,07-18-2019,01:00:00,10.00,1007.18,28.42,25.50,000,9.80,0.0,1008.08,23.2,98
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.0,07-18-2019,01:00:00,10.00,1004.83,27.57,20.30,000,0.00,0.0,1008.45,22.7,98
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.3,07-18-2019,01:00:00,8.00,1007.62,29.57,42.80,000,6.80,0.0,1008.06,23.9,97
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.0,07-18-2019,01:00:00,9.00,1006.43,27.07,34.60,000,4.00,0.0,1007.44,22.4,96
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.0,07-18-2019,01:00:00,10.00,1007.31,28.27,15.40,270,0.00,9.3,1008.13,23.1,95
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.5,07-18-2019,01:00:00,10.00,1006.23,27.66,39.70,000,1.10,0.0,1008.07,22.8,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.5,07-18-2019,01:00:00,10.00,1007.62,27.55,0.30,230,0.30,7.4,1008.38,22.7,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.1,07-18-2019,01:00:00,10.00,1003.73,28.44,1.60,000,0.60,0.0,1007.76,23.2,95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,07-18-2019,01:00:00,10.00,1008.36,27.76,1.00,000,0.20,0.0,1009.05,22.8,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.3,07-18-2019,01:00:00,10.00,1007.10,25.69,0.00,000,0.00,0.0,1008.23,21.5,80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.5,07-18-2019,01:00:00,10.00,1005.03,29.91,0.00,000,0.00,0.0,1007.97,24.0,92
