WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,WindSpeed,WindDirection,Rainfall
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1002.08,07-13-2019,16:00:00,25.2,35.0,32.01,982.80,1.50,57,15.00,0.0,000,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.27,07-13-2019,16:00:00,21.0,36.6,24.87,974.66,0.00,41,17.00,14.8,280,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1002.94,07-13-2019,16:00:00,23.5,34.5,28.88,983.35,0.00,53,14.00,9.3,210,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1003.60,07-13-2019,16:00:00,25.8,32.2,33.12,982.33,0.00,69,12.00,5.6,170,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.03,07-13-2019,16:00:00,25.7,32.0,32.99,984.93,0.00,69,12.00,1.9,230,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1003.94,07-13-2019,16:00:00,25.8,32.7,33.31,987.57,0.00,67,12.00,0.0,000,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1004.34,07-13-2019,16:00:00,24.0,32.2,29.91,987.28,0.00,62,10.00,7.4,220,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1001.31,07-13-2019,16:00:00,23.0,35.5,28.06,976.39,0.00,49,12.00,7.4,240,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.01,07-13-2019,16:00:00,23.2,36.2,28.35,998.42,0.00,47,10.00,5.6,270,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.80,07-13-2019,16:00:00,23.4,36.5,28.69,997.81,0.00,47,12.00,7.4,310,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.44,07-13-2019,16:00:00,20.4,36.0,23.98,988.52,0.00,40,10.00,0.0,000,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.65,07-13-2019,16:00:00,25.7,28.5,32.96,983.47,3.80,85,10.00,3.7,270,1.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.72,07-13-2019,16:00:00,22.6,33.9,27.38,991.68,0.00,52,9.00,16.7,260,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1004.68,07-13-2019,16:00:00,23.2,34.1,28.35,988.71,0.00,53,12.00,9.3,250,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.52,07-13-2019,16:00:00,23.8,34.5,29.46,999.43,0.00,54,10.00,5.6,210,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.75,07-13-2019,16:00:00,23.7,35.1,29.26,989.96,1.60,52,12.00,0.0,000,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.47,07-13-2019,16:00:00,21.3,35.3,25.39,995.42,0.00,44,12.00,9.3,330,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1002.74,07-13-2019,16:00:00,20.5,35.6,24.03,981.74,0.70,41,12.00,11.1,330,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.46,07-13-2019,16:00:00,23.8,36.2,29.53,986.54,0.00,49,10.00,3.7,300,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.04,07-13-2019,16:00:00,25.0,33.5,31.75,987.60,0.00,61,12.00,7.4,200,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.04,07-13-2019,16:00:00,23.4,36.5,28.69,983.82,0.00,47,10.00,5.6,040,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.67,07-13-2019,16:00:00,21.0,30.0,24.89,956.17,0.00,59,10.00,0.0,000,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.30,07-13-2019,16:00:00,25.1,34.0,31.94,1000.44,0.00,60,6.00,0.0,000,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.26,07-13-2019,16:00:00,20.7,25.4,24.37,912.40,0.40,75,8.00,20.4,200,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.19,07-13-2019,16:00:00,23.2,35.8,28.39,987.71,0.00,48,10.00,0.0,000,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.78,07-13-2019,16:00:00,26.9,34.6,35.42,1000.85,16.70,64,10.00,3.7,320,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1005.72,07-13-2019,16:00:00,22.2,34.7,26.72,995.33,0.00,48,10.00,3.7,260,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.44,07-13-2019,16:00:00,22.5,35.5,27.19,1003.56,0.00,47,10.00,3.7,270,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.25,07-13-2019,16:00:00,16.8,35.8,19.10,983.06,0.00,33,12.00,24.1,230,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.11,07-13-2019,16:00:00,23.3,35.5,28.64,985.99,0.00,50,10.00,0.0,000,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.82,07-13-2019,16:00:00,24.0,35.8,29.86,987.18,0.20,51,10.00,5.6,070,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1003.75,07-13-2019,16:00:00,22.7,36.0,27.64,990.16,0.01,47,10.00,11.1,230,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.58,07-13-2019,16:00:00,24.6,35.2,30.95,990.18,0.00,54,12.00,0.0,000,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.53,07-13-2019,16:00:00,24.4,36.1,30.50,990.32,0.00,51,10.00,13.0,280,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.68,07-13-2019,16:00:00,20.7,36.8,24.43,1001.76,0.00,39,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.58,07-13-2019,16:00:00,24.3,32.7,30.36,996.80,58.00,61,10.00,5.6,240,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.41,07-13-2019,16:00:00,23.9,35.0,29.63,1004.33,2.90,53,8.00,9.3,250,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1003.87,07-13-2019,16:00:00,17.2,38.0,19.64,989.75,0.00,30,8.00,0.0,000,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1003.98,07-13-2019,16:00:00,20.6,24.7,24.21,871.55,5.80,78,8.00,11.1,280,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.67,07-13-2019,16:00:00,26.7,34.6,35.11,998.95,77.40,64,10.00,0.0,000,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.44,07-13-2019,16:00:00,26.5,36.3,34.65,1004.67,0.00,57,12.00,9.3,210,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.92,07-13-2019,16:00:00,24.4,31.5,30.49,1005.48,9.30,66,10.00,18.5,230,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1007.79,07-13-2019,16:00:00,22.4,30.5,27.14,996.61,8.30,62,10.00,5.6,340,0.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.27,07-13-2019,16:00:00,23.3,36.2,28.64,1004.29,0.00,48,12.00,0.0,000,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.31,07-13-2019,16:00:00,23.5,35.5,28.93,1003.54,0.00,50,9.00,3.7,160,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.22,07-13-2019,16:00:00,20.3,36.5,23.84,1004.48,0.00,39,9.00,0.0,000,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.99,07-13-2019,16:00:00,23.8,32.4,29.46,1005.30,16.90,61,9.00,18.5,200,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.37,07-13-2019,16:00:00,24.1,36.4,29.96,1004.69,0.00,49,12.00,7.4,230,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1003.50,07-13-2019,16:00:00,23.5,37.3,28.92,983.11,0.01,45,12.00,5.6,280,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1003.46,07-13-2019,16:00:00,21.9,37.3,26.28,987.36,0.00,41,12.00,7.4,240,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1003.88,07-13-2019,16:00:00,22.6,37.0,27.40,988.02,0.00,44,12.00,7.4,240,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1003.56,07-13-2019,16:00:00,22.0,36.5,26.37,982.44,1.10,43,10.00,13.0,260,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.43,07-13-2019,16:00:00,22.3,31.5,26.86,962.88,0.00,58,10.00,22.2,200,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1003.33,07-13-2019,16:00:00,20.6,37.3,24.30,983.52,1.20,38,11.00,13.0,210,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.38,07-13-2019,16:00:00,24.3,37.0,30.36,985.26,0.00,48,10.00,7.4,250,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.85,07-13-2019,16:00:00,24.3,31.7,30.32,1005.42,0.00,65,10.00,20.4,170,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.15,07-13-2019,16:00:00,25.1,34.4,31.90,1003.76,0.00,59,11.00,5.6,260,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.91,07-13-2019,16:00:00,25.6,34.0,32.84,1000.10,0.00,62,9.00,5.6,260,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.54,07-13-2019,16:00:00,23.1,36.0,28.22,1002.35,0.00,48,12.00,7.4,330,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.54,07-13-2019,16:00:00,22.6,35.9,27.44,1004.47,0.00,46,10.00,14.8,290,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.19,07-13-2019,16:00:00,24.5,33.0,30.69,1005.89,57.70,61,10.00,11.1,190,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.81,07-13-2019,16:00:00,24.1,33.2,29.95,1005.14,10.40,59,10.00,7.4,210,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.05,07-13-2019,16:00:00,23.6,33.8,29.17,1005.57,4.80,55,10.00,11.1,150,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.62,07-13-2019,16:00:00,23.1,35.2,28.30,1004.25,12.40,50,10.00,18.5,300,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.39,07-13-2019,16:00:00,23.8,30.6,29.53,1004.73,0.00,67,10.00,20.4,180,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.79,07-13-2019,16:00:00,22.5,34.0,27.29,999.97,0.50,51,10.00,5.6,270,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.88,07-13-2019,16:00:00,24.4,33.6,30.49,1005.60,12.80,59,10.00,3.7,240,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.35,07-13-2019,16:00:00,23.6,31.5,29.07,1003.26,0.00,63,10.00,5.6,180,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.52,07-13-2019,16:00:00,21.7,31.7,25.88,999.69,0.00,55,12.00,9.3,230,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.84,07-13-2019,16:00:00,24.4,36.0,30.59,999.41,0.00,51,8.00,9.3,340,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1008.74,07-13-2019,16:00:00,24.6,31.0,30.90,999.53,0.00,69,12.00,11.1,230,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.45,07-13-2019,16:00:00,24.4,35.2,30.65,1005.22,7.30,54,15.00,7.4,150,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.10,07-13-2019,16:00:00,25.4,34.9,32.40,1005.68,0.00,58,11.00,18.5,170,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.29,07-13-2019,16:00:00,21.1,34.5,24.94,994.34,0.00,46,10.00,14.8,280,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.44,07-13-2019,16:00:00,23.1,32.1,28.30,1005.74,0.00,59,10.00,14.8,130,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.29,07-13-2019,16:00:00,19.8,33.8,23.09,1004.90,0.00,44,10.00,14.8,240,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.85,07-13-2019,16:00:00,23.6,31.5,29.07,1006.34,0.00,63,10.00,16.7,200,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.48,07-13-2019,16:00:00,21.2,32.3,25.12,1001.42,0.00,52,15.00,5.6,310,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.79,07-13-2019,16:00:00,24.4,32.4,30.61,1006.38,67.90,63,9.00,9.3,220,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.11,07-13-2019,16:00:00,25.7,32.0,32.99,1004.39,78.50,69,8.00,7.4,210,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.46,07-13-2019,16:00:00,24.5,33.0,30.69,1006.69,0.00,61,10.00,0.0,000,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.25,07-13-2019,16:00:00,25.2,31.0,32.05,1006.80,10.90,71,10.00,5.6,230,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.79,07-13-2019,16:00:00,22.1,34.5,26.60,1007.12,0.00,49,10.00,5.6,270,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.68,07-13-2019,16:00:00,22.7,34.0,27.58,1006.19,0.00,52,9.00,1.9,270,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.39,07-13-2019,16:00:00,24.4,31.5,30.49,1008.49,0.00,66,10.00,9.3,330,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.16,07-13-2019,16:00:00,24.1,35.0,29.92,1006.50,12.00,53,12.00,0.0,000,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.43,07-13-2019,16:00:00,24.3,32.3,30.40,1007.64,0.01,63,10.00,5.6,260,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.12,07-13-2019,16:00:00,20.9,33.5,24.67,1006.50,0.00,48,10.00,9.3,030,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.65,07-13-2019,16:00:00,24.8,30.8,31.35,1008.25,2.10,71,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.84,07-13-2019,16:00:00,25.2,34.3,31.99,1004.73,8.50,59,7.00,0.0,000,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.73,07-13-2019,16:00:00,23.4,25.2,28.83,1007.11,14.80,90,8.00,0.0,000,14.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.92,07-13-2019,16:00:00,24.5,33.2,30.82,1006.50,0.10,61,12.00,0.0,000,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.49,07-13-2019,16:00:00,24.2,26.8,30.18,1007.13,2.60,86,4.00,5.6,180,2.60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.80,07-13-2019,16:00:00,24.9,30.0,31.44,1008.92,0.00,74,10.00,0.0,000,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.04,07-13-2019,16:00:00,23.4,28.5,28.78,1005.49,4.80,74,10.00,0.0,000,4.80
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.12,07-13-2019,16:00:00,24.7,30.8,31.06,1008.69,15.00,70,10.00,0.0,000,4.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.87,07-13-2019,16:00:00,25.3,29.7,32.26,1007.88,15.60,77,9.00,3.7,250,15.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.83,07-13-2019,16:00:00,24.1,26.6,30.07,1008.01,4.00,86,10.00,14.8,220,4.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.51,07-13-2019,16:00:00,23.9,27.4,29.69,1007.70,0.90,81,8.00,5.6,230,0.40
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.72,07-13-2019,16:00:00,22.9,23.9,27.84,1007.96,7.20,94,7.00,11.1,300,7.20
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.73,07-13-2019,16:00:00,22.4,31.6,27.05,1004.79,1.60,58,10.00,16.7,250,1.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.07,07-13-2019,16:00:00,23.3,30.4,28.59,1008.40,0.50,66,10.00,0.0,000,0.10
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.00,07-13-2019,16:00:00,24.4,31.4,30.57,1006.90,0.00,67,10.00,13.0,230,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.25,07-13-2019,16:00:00,23.0,33.3,28.15,1005.39,0.01,55,12.00,13.0,270,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.38,07-13-2019,16:00:00,25.1,34.0,31.94,1006.71,0.00,60,10.00,9.3,320,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.08,07-13-2019,16:00:00,21.2,32.5,25.22,1007.50,0.00,52,10.00,13.0,040,0.00
