WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,LandVisibility,MinimumTemperature,DewPoint,RelativeHumidity,WindDirection,StationPressure,Rainfall24Hr,AirTemperature,VaporPressure,Rainfall
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,07-13-2019,07:00:00,1010.95,10.00,22.6,23.0,96,000,1010.30,0.30,23.7,28.01,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,07-13-2019,07:00:00,1011.31,10.00,22.2,22.2,95,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.90,44.90,23.1,26.74,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,07-13-2019,07:00:00,1014.45,5.00,22.5,22.5,97,000,1010.15,37.50,23.0,27.32,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-13-2019,07:00:00,1011.67,4.00,23.0,23.3,98,000,1010.03,0.20,23.6,28.60,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,07-13-2019,07:00:00,1012.11,8.00,23.0,22.4,96,000,1008.57,0.10,23.0,27.07,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,07-13-2019,07:00:00,1011.22,8.00,23.0,22.7,98,000,1009.84,0.50,23.0,27.57,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-13-2019,07:00:00,1010.83,10.00,25.3,24.2,92,000,1009.94,0.00,25.7,30.28,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-13-2019,07:00:00,1011.65,3.00,22.5,23.7,98,000,1008.04,0.00,24.0,29.30,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,07-13-2019,07:00:00,1011.16,10.00,27.0,24.2,82,000,1010.73,0.00,27.5,30.15,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,07-13-2019,07:00:00,1010.96,9.00,23.2,25.3,97,000,1009.96,0.00,25.9,32.29,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,7.4,07-13-2019,07:00:00,1011.27,10.00,24.2,24.7,94,080,1010.45,0.01,25.7,31.08,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,07-13-2019,07:00:00,1011.53,.70,23.0,23.3,99,000,1009.69,9.50,23.5,28.68,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,07-13-2019,07:00:00,1011.38,9.00,23.7,24.0,93,000,1010.62,0.00,25.2,29.89,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,07-13-2019,07:00:00,1011.57,6.00,21.4,22.4,98,300,1007.50,1.40,22.7,27.07,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-13-2019,07:00:00,1010.75,8.00,21.8,22.5,95,000,1010.06,6.50,23.4,27.24,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-13-2019,07:00:00,1011.26,8.00,22.8,23.0,97,000,1010.13,22.80,23.5,28.17,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-13-2019,07:00:00,1011.45,10.00,22.6,22.4,97,000,1008.48,19.50,22.9,27.16,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,07-13-2019,07:00:00,1011.46,10.00,21.7,21.4,95,000,1010.76,0.00,22.2,25.53,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,07-13-2019,07:00:00,1011.92,7.00,21.9,21.4,95,000,1007.71,0.10,22.3,25.45,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,07-13-2019,07:00:00,1011.34,9.00,.0,21.2,85,000,1010.74,0.00,23.8,25.19,0.00
