WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,VaporPressure,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,AirTemperature,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,LandVisibility
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,33.0,09-23-2019,19:00:00,30.23,1012.04,0.0,0.00,24.2,28.4,78,982.21,000,0.20,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.6,09-23-2019,19:00:00,26.73,1012.76,0.0,0.00,22.2,26.5,77,977.09,000,0.20,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.0,09-23-2019,19:00:00,24.04,1012.75,0.0,0.00,20.5,24.9,76,982.73,000,0.00,5.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,35.2,09-23-2019,19:00:00,26.31,1011.83,0.0,0.00,21.9,30.2,61,1004.57,000,0.00,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.5,09-23-2019,19:00:00,26.46,1012.24,0.0,0.00,22.0,29.7,63,992.43,000,0.00,7.00
48353,LOEI,เลย,เลย,17.45000,101.73333,32.7,09-23-2019,19:00:00,24.23,1012.60,0.0,0.00,20.6,28.3,63,983.95,000,0.00,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.5,09-23-2019,19:00:00,24.91,1012.64,0.0,0.00,21.0,28.4,64,992.46,000,0.00,8.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.8,09-23-2019,19:00:00,27.06,1013.15,3.7,0.00,22.4,28.0,72,991.38,120,0.00,7.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.6,09-23-2019,19:00:00,25.17,1012.94,11.1,0.00,21.2,28.4,65,993.44,090,0.00,13.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,33.3,09-23-2019,19:00:00,21.19,1014.38,5.6,0.00,18.4,27.5,58,997.55,090,0.00,11.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.2,09-23-2019,19:00:00,24.70,1014.61,0.0,0.00,20.9,26.2,73,997.04,000,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.0,09-23-2019,19:00:00,23.14,1012.19,7.4,0.00,19.8,26.0,69,986.21,080,0.00,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.6,09-23-2019,19:00:00,34.22,1011.65,0.0,0.00,26.3,30.5,78,1005.90,000,0.00,12.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.7,09-23-2019,19:00:00,29.60,1011.78,0.0,0.00,23.9,29.5,72,1005.62,000,0.00,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,34.2,09-23-2019,19:00:00,23.83,1012.58,0.0,0.00,20.3,29.1,59,996.17,000,0.00,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,33.5,09-23-2019,19:00:00,25.71,1009.80,7.4,0.00,21.6,29.0,64,987.57,060,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.5,09-23-2019,19:00:00,29.49,1012.45,0.0,0.00,23.8,28.3,77,998.05,000,5.00,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,32.0,09-23-2019,19:00:00,29.08,1012.46,0.0,0.00,23.6,26.5,84,995.97,000,4.70,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,34.4,09-23-2019,19:00:00,30.31,1011.99,0.0,0.00,24.3,30.0,71,1006.79,000,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.2,09-23-2019,19:00:00,25.39,1010.72,0.0,0.00,21.3,29.4,62,997.58,000,0.00,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.6,09-23-2019,19:00:00,28.26,1011.86,0.0,0.00,23.1,29.8,67,1002.58,000,10.00,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,32.0,09-23-2019,19:00:00,26.31,1012.71,5.6,0.00,21.9,26.7,75,990.89,090,0.00,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.2,09-23-2019,19:00:00,29.33,1013.22,0.0,0.00,23.7,28.5,75,995.70,000,0.00,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.4,09-23-2019,19:00:00,25.24,1012.97,3.7,0.00,21.3,28.0,67,997.10,050,0.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.1,09-23-2019,19:00:00,29.66,1012.07,0.0,0.00,23.9,27.1,83,993.10,000,0.00,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,30.5,09-23-2019,19:00:00,24.45,1012.79,0.0,0.00,20.7,25.6,75,961.26,000,0.00,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.0,09-23-2019,19:00:00,32.55,1011.44,9.3,0.00,25.5,29.0,81,1007.49,150,0.00,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.1,09-23-2019,19:00:00,21.91,1012.66,0.0,0.00,19.0,21.5,86,917.03,000,0.50,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.5,09-23-2019,19:00:00,30.72,1012.64,0.0,0.00,24.5,27.8,82,996.60,000,0.00,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.5,09-23-2019,19:00:00,25.00,1011.86,0.0,0.00,21.1,28.3,65,1007.82,000,0.00,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.3,09-23-2019,19:00:00,25.90,1013.42,0.0,0.00,21.7,27.2,72,1002.68,000,0.80,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.3,09-23-2019,19:00:00,27.85,1012.57,0.0,0.00,22.9,28.0,74,1010.64,000,0.80,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.9,09-23-2019,19:00:00,24.98,1012.55,0.0,0.00,21.1,27.7,67,991.63,000,0.00,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.5,09-23-2019,19:00:00,28.94,1012.70,0.0,0.00,23.5,27.0,81,994.94,000,0.00,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.5,09-23-2019,19:00:00,28.16,1012.22,0.0,0.00,23.0,28.6,72,996.07,000,0.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.9,09-23-2019,19:00:00,25.85,1012.68,7.4,0.00,21.6,28.2,68,998.62,050,7.80,9.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.3,09-23-2019,19:00:00,25.49,1013.03,0.0,0.00,21.4,27.7,69,998.15,000,12.80,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.2,09-23-2019,19:00:00,31.46,1012.99,5.6,0.00,24.9,28.6,80,998.31,030,10.70,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.8,09-23-2019,19:00:00,28.02,1011.95,0.0,0.00,23.0,27.8,75,1008.93,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.90,8.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.2,09-23-2019,19:00:00,26.99,1012.23,0.0,0.00,22.3,28.4,70,1004.27,000,0.01,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.5,09-23-2019,19:00:00,30.28,1012.00,7.4,0.80,24.2,25.7,92,1010.88,070,2.20,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.5,09-23-2019,19:00:00,28.04,1012.78,3.7,0.00,23.0,26.8,80,998.00,090,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.8,09-23-2019,19:00:00,21.60,1013.91,5.6,6.50,18.7,18.9,99,877.75,150,27.10,1.50
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.6,09-23-2019,19:00:00,29.85,1012.34,0.0,0.00,24.0,27.2,83,1006.43,000,0.00,8.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.0,09-23-2019,19:00:00,30.71,1012.39,5.6,23.70,24.5,25.5,94,1011.58,040,38.10,5.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.4,09-23-2019,19:00:00,29.02,1011.69,11.1,0.00,23.5,26.9,82,1011.24,120,61.70,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.3,09-23-2019,19:00:00,26.88,1011.89,0.0,0.00,22.3,26.0,80,1000.50,000,0.00,6.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.0,09-23-2019,19:00:00,30.44,1012.60,0.0,1.20,24.3,25.5,93,1010.76,000,1.20,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.7,09-23-2019,19:00:00,30.43,1012.11,0.0,0.20,24.3,26.5,88,1011.34,000,15.90,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.1,09-23-2019,19:00:00,29.99,1012.11,9.3,0.40,24.1,25.4,92,1011.39,050,10.40,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.6,09-23-2019,19:00:00,30.32,1012.27,5.6,0.40,24.3,26.3,89,1011.56,090,12.00,6.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.8,09-23-2019,19:00:00,27.51,1012.76,0.0,0.00,22.7,26.5,79,991.45,000,29.90,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.4,09-23-2019,19:00:00,31.71,1012.82,0.0,0.60,25.0,26.6,91,995.99,000,23.70,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.0,09-23-2019,19:00:00,31.38,1013.05,0.0,0.00,24.8,27.0,88,996.53,000,21.50,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.8,09-23-2019,19:00:00,29.75,1012.74,0.0,0.00,24.0,27.0,83,990.76,000,30.70,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.4,09-23-2019,19:00:00,26.58,1013.13,14.8,2.70,22.1,23.3,93,969.11,080,8.90,4.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.0,09-23-2019,19:00:00,29.25,1013.16,3.7,1.40,23.7,24.7,94,992.32,060,47.50,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.2,09-23-2019,19:00:00,31.17,1014.42,5.6,0.00,24.7,25.6,95,993.36,070,3.00,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.7,09-23-2019,19:00:00,30.84,1012.07,5.6,0.00,24.6,26.0,92,1011.63,010,24.20,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.5,09-23-2019,19:00:00,28.59,1012.42,0.0,1.10,23.3,25.5,88,1010.99,000,4.60,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.5,09-23-2019,19:00:00,30.84,1011.77,0.0,0.00,24.6,28.0,82,1006.83,000,0.01,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.3,09-23-2019,19:00:00,28.88,1012.42,0.0,5.30,23.5,24.2,96,1009.07,000,30.30,4.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.2,09-23-2019,19:00:00,31.12,1012.25,0.0,3.50,24.7,25.0,98,1011.13,000,25.40,3.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.8,09-23-2019,19:00:00,31.38,1011.94,9.3,0.01,24.8,27.0,88,1011.63,050,12.80,7.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.5,09-23-2019,19:00:00,33.27,1011.87,0.0,0.40,25.8,26.4,97,1011.18,000,14.70,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.1,09-23-2019,19:00:00,33.19,1012.46,0.0,0.00,25.8,26.5,96,1011.96,000,20.60,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.4,09-23-2019,19:00:00,31.02,1013.04,9.3,0.20,24.6,24.8,99,1011.61,010,20.40,8.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.8,09-23-2019,19:00:00,33.78,1011.58,7.4,0.00,26.1,27.5,92,1009.90,070,22.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.5,09-23-2019,19:00:00,29.67,1013.86,0.0,1.60,23.9,24.5,97,1005.74,000,10.80,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.3,09-23-2019,19:00:00,31.71,1012.00,0.0,0.00,25.0,26.6,91,1011.72,000,35.40,8.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.1,09-23-2019,19:00:00,30.18,1011.07,0.0,0.00,24.2,26.8,86,1007.92,000,20.30,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.4,09-23-2019,19:00:00,29.28,1011.70,0.0,0.00,23.7,25.3,91,1004.69,000,23.70,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.3,09-23-2019,19:00:00,30.86,1012.47,0.0,1.30,24.6,26.3,90,1006.83,000,4.70,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.5,09-23-2019,19:00:00,30.97,1012.97,11.1,0.00,24.6,26.5,89,1003.58,230,25.60,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.9,09-23-2019,19:00:00,30.48,1012.31,3.7,6.50,24.4,24.8,97,1011.03,320,61.60,4.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.1,09-23-2019,19:00:00,31.84,1009.79,9.3,0.00,25.1,27.8,85,1009.36,170,4.90,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.4,09-23-2019,19:00:00,29.41,1011.56,7.4,0.00,23.8,26.1,87,999.21,110,6.60,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.7,09-23-2019,19:00:00,30.48,1011.32,3.7,0.00,24.4,27.1,85,1010.60,150,8.30,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.8,09-23-2019,19:00:00,29.97,1012.33,0.0,0.00,24.1,26.4,87,1009.88,000,40.20,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.6,09-23-2019,19:00:00,30.43,1012.19,0.0,0.00,24.3,26.5,88,1011.67,000,3.40,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.7,09-23-2019,19:00:00,29.41,1011.80,0.0,0.00,23.8,26.1,87,1006.60,000,14.40,9.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.8,09-23-2019,19:00:00,31.13,1011.88,5.6,0.50,24.7,26.3,91,1011.47,020,14.10,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.8,09-23-2019,19:00:00,30.84,1011.86,0.0,0.70,24.6,26.0,92,1009.06,000,9.00,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.0,09-23-2019,19:00:00,30.30,1012.74,0.0,0.00,24.3,26.0,90,1011.95,000,2.10,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.7,09-23-2019,19:00:00,31.79,1011.80,5.6,0.60,25.1,26.5,92,1011.34,040,0.80,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.0,09-23-2019,19:00:00,30.59,1011.06,0.0,0.00,24.4,26.3,89,1010.38,000,0.20,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.8,09-23-2019,19:00:00,30.67,1010.85,0.0,0.00,24.5,26.2,90,1009.31,000,0.40,6.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.9,09-23-2019,19:00:00,26.86,1010.40,5.6,0.00,22.3,27.6,73,1009.49,070,0.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.5,09-23-2019,19:00:00,30.78,1011.23,9.3,0.00,24.5,27.4,84,1010.55,050,4.90,9.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.9,09-23-2019,19:00:00,29.66,1010.70,5.6,0.00,23.9,27.1,83,1009.90,360,14.30,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.9,09-23-2019,19:00:00,31.46,1010.20,0.0,0.50,24.9,26.9,89,1009.56,000,9.30,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.0,09-23-2019,19:00:00,32.15,1011.16,0.0,0.00,25.3,26.4,93,1010.75,000,9.20,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.5,09-23-2019,19:00:00,30.97,1012.41,0.0,0.00,24.6,27.5,84,1008.18,000,17.30,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.8,09-23-2019,19:00:00,30.26,1010.43,0.0,0.00,24.2,26.7,86,1008.81,000,5.80,7.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.5,09-23-2019,19:00:00,30.43,1010.57,0.0,0.00,24.3,26.5,88,1007.08,000,4.70,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.0,09-23-2019,19:00:00,31.74,1010.09,5.6,0.00,25.0,26.9,90,1008.73,110,24.30,3.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.0,09-23-2019,19:00:00,32.52,1009.69,0.0,0.00,25.4,28.0,86,1008.81,000,0.00,8.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.5,09-23-2019,19:00:00,30.51,1010.23,0.0,0.00,24.4,26.4,89,1006.65,000,1.80,7.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.1,09-23-2019,19:00:00,30.01,1009.70,3.7,0.00,24.1,29.0,75,1009.27,090,0.40,8.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.5,09-23-2019,19:00:00,29.68,1009.28,3.7,0.00,23.9,28.4,77,1008.29,050,1.40,5.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.0,09-23-2019,19:00:00,29.60,1009.59,11.1,0.00,23.9,28.5,76,1008.78,030,0.00,8.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.8,09-23-2019,19:00:00,29.55,1010.01,7.4,0.00,23.8,27.9,79,1008.19,050,1.30,6.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.0,09-23-2019,19:00:00,29.71,1010.51,7.4,0.00,23.9,28.7,75,1009.76,240,9.30,5.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.6,09-23-2019,19:00:00,29.90,1010.34,9.3,0.00,24.0,27.8,80,1006.34,060,0.01,7.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.4,09-23-2019,19:00:00,30.78,1009.51,0.0,0.00,24.5,28.4,80,1008.83,000,0.00,5.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.6,09-23-2019,19:00:00,33.24,1010.08,14.8,0.00,25.8,28.5,85,1008.96,100,0.80,7.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.1,09-23-2019,19:00:00,32.35,1010.10,3.7,0.00,25.4,28.2,85,1007.18,070,0.00,8.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.8,09-23-2019,19:00:00,34.40,1010.10,0.0,0.00,26.4,28.5,88,1009.41,000,0.00,5.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.6,09-23-2019,19:00:00,28.71,1011.14,3.7,0.00,23.4,27.6,78,1007.01,110,0.00,4.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.2,09-23-2019,19:00:00,30.56,1010.96,0.0,0.00,24.4,28.0,81,1010.37,000,0.00,7.00
