WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,RelativeHumidity,Rainfall,WindSpeed,StationPressure,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint,LandVisibility
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-13-2019,13:00:00,34.7,50,0.00,11.1,1008.03,260,1008.72,27.85,22.9,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-13-2019,13:00:00,31.0,72,0.00,11.1,1007.48,350,1009.89,32.34,25.4,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-13-2019,13:00:00,30.5,68,0.00,11.1,1008.26,260,1008.78,29.89,24.0,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-13-2019,13:00:00,33.1,49,0.00,13.0,1003.50,270,1008.56,25.00,21.1,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-13-2019,13:00:00,32.2,63,0.00,9.3,1008.33,220,1008.74,30.20,24.2,10.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-13-2019,13:00:00,32.0,76,0.00,11.1,1006.21,240,1008.94,36.01,27.2,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-13-2019,13:00:00,30.2,64,0.00,0.0,1009.07,000,1009.85,27.39,22.6,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,17.40,09-13-2019,13:00:00,30.0,75,0.00,5.6,1009.18,340,1009.64,31.72,25.0,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-13-2019,13:00:00,29.5,65,0.00,3.7,1010.69,290,1011.37,26.62,22.1,9.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-13-2019,13:00:00,29.0,68,0.00,3.7,1010.05,290,1011.57,27.30,22.5,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.10,09-13-2019,13:00:00,29.2,73,0.00,9.3,1011.97,300,1012.88,29.57,23.9,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-13-2019,13:00:00,30.0,75,0.00,7.4,1010.96,240,1011.64,31.72,25.0,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.80,09-13-2019,13:00:00,28.8,77,0.20,9.3,1011.13,010,1011.92,30.46,24.3,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.10,09-13-2019,13:00:00,33.5,59,0.00,7.4,1009.56,030,1010.19,30.28,24.2,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.30,09-13-2019,13:00:00,33.8,53,0.00,0.0,1010.08,000,1010.48,27.74,22.8,12.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-13-2019,13:00:00,30.0,73,0.00,7.4,1010.28,010,1014.47,30.87,24.6,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-13-2019,13:00:00,29.9,57,0.00,14.8,1009.53,290,1011.13,23.94,20.4,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,43.00,09-13-2019,13:00:00,33.0,61,0.00,0.0,1007.72,000,1011.14,30.69,24.5,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.30,09-13-2019,13:00:00,33.0,50,0.00,9.3,1009.51,300,1010.85,25.08,21.1,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-13-2019,13:00:00,30.2,74,0.00,14.8,1011.50,330,1012.39,31.56,24.9,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-13-2019,13:00:00,32.6,57,0.00,16.7,1007.79,260,1011.30,28.17,23.0,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.60,09-13-2019,13:00:00,33.0,58,0.00,13.0,1011.06,300,1011.49,29.25,23.7,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-13-2019,13:00:00,31.3,66,0.00,14.8,1011.57,300,1012.56,30.37,24.3,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-13-2019,13:00:00,30.6,74,0.00,13.0,1010.95,290,1011.76,32.67,25.5,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-13-2019,13:00:00,33.5,53,0.00,11.1,1009.43,310,1011.21,27.43,22.6,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-13-2019,13:00:00,33.8,54,0.00,5.6,1009.65,250,1010.38,28.59,23.3,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.60,09-13-2019,13:00:00,32.1,58,0.00,16.7,1006.66,250,1010.60,27.74,22.8,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1.40,09-13-2019,13:00:00,32.5,64,0.00,11.1,1010.90,270,1011.58,31.11,24.7,8.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.60,09-13-2019,13:00:00,34.0,56,0.00,0.0,1009.13,000,1010.22,29.58,23.9,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.50,09-13-2019,13:00:00,33.0,59,0.00,14.8,1007.38,280,1010.25,29.54,23.8,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,3.30,09-13-2019,13:00:00,32.5,71,0.00,5.6,1009.37,240,1010.05,34.68,26.5,7.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1.30,09-13-2019,13:00:00,33.5,57,0.00,5.6,1006.71,270,1010.76,29.70,23.9,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-13-2019,13:00:00,33.4,51,0.00,5.6,1009.34,280,1009.92,26.12,21.8,7.00
