WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,AirTemperature,StationPressure,Rainfall,WindSpeed,DewPoint,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-24-2019,04:00:00,6.00,000,21.8,993.02,0.00,0.0,20.6,24.19,93,1015.29
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-24-2019,04:00:00,10.00,290,22.7,994.95,0.00,3.7,20.7,24.40,89,1014.86
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-24-2019,04:00:00,10.00,000,21.7,998.14,0.00,0.0,19.0,21.97,85,1015.31
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-24-2019,04:00:00,7.00,000,19.5,997.58,0.00,0.0,18.2,20.89,92,1015.57
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-24-2019,04:00:00,8.00,090,24.2,987.49,0.00,5.6,21.3,25.35,84,1013.66
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-24-2019,04:00:00,10.00,000,26.5,1008.01,0.00,0.0,26.1,33.75,98,1013.84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-24-2019,04:00:00,10.00,000,26.3,1007.09,0.00,0.0,24.9,31.41,92,1013.33
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-24-2019,04:00:00,10.00,000,24.5,998.62,0.00,0.0,21.0,24.86,81,1015.32
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-24-2019,04:00:00,8.00,360,24.3,988.83,0.00,5.6,22.4,27.01,89,1011.44
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-24-2019,04:00:00,6.00,000,25.5,999.55,0.00,0.0,24.0,29.91,92,1014.11
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-24-2019,04:00:00,8.00,000,23.9,997.10,0.00,0.0,23.3,28.61,97,1013.76
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-24-2019,04:00:00,10.00,020,26.5,1008.19,0.00,3.7,23.6,29.08,84,1013.46
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-24-2019,04:00:00,10.00,000,25.0,999.02,0.00,0.0,22.0,26.43,83,1012.37
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-24-2019,04:00:00,10.00,000,26.2,1004.03,0.00,0.0,24.0,29.86,88,1013.44
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-24-2019,04:00:00,7.00,030,24.0,992.54,0.00,1.9,21.3,25.27,85,1014.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-24-2019,04:00:00,10.00,000,23.5,996.88,0.00,0.0,19.6,22.80,79,1014.72
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-24-2019,04:00:00,10.00,020,23.5,997.83,0.00,3.7,21.2,25.19,87,1013.95
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-24-2019,04:00:00,8.00,050,23.0,994.48,0.00,3.7,21.5,25.60,91,1013.74
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-24-2019,04:00:00,5.00,000,22.5,961.28,0.00,0.0,21.0,24.80,91,1013.36
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-24-2019,04:00:00,4.00,300,26.9,1008.97,0.00,5.6,24.6,30.91,87,1012.95
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.01,09-24-2019,04:00:00,5.00,070,20.0,917.95,0.00,7.4,18.2,20.92,90,1014.18
