WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,AirTemperature,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,RelativeHumidity,DewPoint,Rainfall24Hr,Rainfall,VaporPressure,StationPressure
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.8,09-20-2019,07:00:00,26.4,1010.26,240,3.7,10.00,98,26.1,4.70,0.01,33.83,1004.44
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,09-20-2019,07:00:00,26.2,1009.61,000,0.0,10.00,96,25.5,0.00,0.00,32.59,1003.39
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.3,09-20-2019,07:00:00,25.0,1011.20,000,0.0,12.00,92,23.5,0.50,0.50,29.00,994.59
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,09-20-2019,07:00:00,25.2,1007.99,000,0.0,10.00,94,24.2,1.20,0.00,30.15,985.52
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.7,09-20-2019,07:00:00,24.7,1010.73,000,0.0,6.00,96,24.0,41.90,0.00,29.77,996.18
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,09-20-2019,07:00:00,25.5,1009.98,000,0.0,7.00,96,24.8,2.00,0.00,31.25,993.47
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.8,09-20-2019,07:00:00,25.7,1010.19,090,7.4,10.00,96,25.0,5.90,5.90,31.63,1004.93
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.8,09-20-2019,07:00:00,25.4,1009.16,000,0.0,10.00,93,24.2,2.00,1.70,30.25,995.86
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.3,09-20-2019,07:00:00,24.8,1009.86,000,0.0,10.00,97,24.2,8.40,2.70,30.22,1000.44
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.2,09-20-2019,07:00:00,25.5,1010.39,030,5.6,7.00,94,24.5,0.70,0.00,30.71,988.53
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.0,09-20-2019,07:00:00,25.0,1009.60,000,0.0,10.00,92,23.5,0.00,0.00,29.00,991.94
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.6,09-20-2019,07:00:00,25.5,1009.81,080,3.7,10.00,90,23.7,4.30,0.00,29.38,993.85
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.6,09-20-2019,07:00:00,26.0,1009.21,030,3.7,8.00,95,25.1,0.30,0.00,31.93,990.22
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.0,09-20-2019,07:00:00,22.0,1012.84,000,0.0,7.00,91,20.5,8.30,0.00,24.03,960.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.3,09-20-2019,07:00:00,25.2,1009.47,000,0.0,5.00,97,24.6,41.90,0.30,30.96,1005.48
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,09-20-2019,07:00:00,21.6,1009.90,070,5.6,.50,95,20.8,4.00,0.10,24.59,914.56
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.0,09-20-2019,07:00:00,25.0,1010.39,000,0.0,7.00,97,24.6,3.00,1.00,30.85,994.24
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,23.6,09-20-2019,07:00:00,25.5,1009.37,000,0.0,5.00,97,25.1,68.50,0.00,31.79,1005.31
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.6,09-20-2019,07:00:00,25.5,1010.55,000,0.0,4.00,97,25.1,7.50,0.00,31.79,999.79
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.2,09-20-2019,07:00:00,24.8,1010.28,000,0.0,9.00,93,23.6,26.10,0.00,29.16,1008.33
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.3,09-20-2019,07:00:00,24.0,1010.26,320,7.4,6.00,97,23.4,133.70,6.50,28.78,989.13
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.8,09-20-2019,07:00:00,24.6,1009.66,000,0.0,10.00,96,23.9,38.90,35.30,29.59,991.81
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.2,09-20-2019,07:00:00,24.7,1009.57,000,0.0,8.00,99,24.5,33.70,28.20,30.83,993.24
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.9,09-20-2019,07:00:00,25.5,1009.75,000,0.0,10.00,93,24.2,26.60,2.60,30.17,995.61
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.1,09-20-2019,07:00:00,25.0,1010.33,000,0.0,9.00,97,24.4,27.60,2.30,30.58,995.35
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.2,09-20-2019,07:00:00,25.0,1010.25,320,7.4,8.00,97,24.4,10.10,0.00,30.58,995.43
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.7,09-20-2019,07:00:00,25.2,1009.14,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,7.00,96,24.5,11.70,0.00,30.69,1006.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.3,09-20-2019,07:00:00,25.4,1009.99,000,0.0,6.00,92,24.1,7.40,5.90,29.99,1001.97
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.7,09-20-2019,07:00:00,25.7,1009.41,000,0.0,2.00,94,24.7,6.20,0.10,31.08,1008.29
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.5,09-20-2019,07:00:00,25.0,1010.05,000,0.0,8.00,88,22.8,7.80,0.00,27.70,995.23
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.3,09-20-2019,07:00:00,19.3,1010.66,000,0.0,4.00,97,18.8,1.60,0.00,21.71,875.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.0,09-20-2019,07:00:00,25.7,1009.50,000,0.0,5.00,98,25.4,1.40,0.40,32.45,1003.58
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.2,09-20-2019,07:00:00,25.6,1009.21,000,0.0,5.00,97,25.2,23.10,0.00,31.98,1008.40
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.9,09-20-2019,07:00:00,26.0,1008.84,000,0.0,10.00,94,25.0,81.20,0.00,31.65,1008.39
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.7,09-20-2019,07:00:00,24.3,1009.84,000,0.0,3.00,97,23.7,27.60,0.00,29.31,998.41
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.1,09-20-2019,07:00:00,25.5,1009.98,000,0.0,10.00,97,24.9,47.00,0.00,31.52,1008.96
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.1,09-20-2019,07:00:00,25.8,1009.75,000,0.0,6.00,96,25.1,24.40,0.80,31.82,1007.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.4,09-20-2019,07:00:00,25.1,1009.54,000,0.0,8.00,97,24.7,0.70,0.00,31.04,1008.77
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.7,09-20-2019,07:00:00,25.7,1009.22,360,3.7,6.00,94,24.7,0.40,0.00,31.08,1008.51
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.4,09-20-2019,07:00:00,25.7,1009.01,000,0.0,6.00,94,24.7,38.20,5.30,31.08,1008.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.6,09-20-2019,07:00:00,25.0,1010.04,030,7.4,7.00,96,24.3,6.20,2.50,30.32,988.68
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.3,09-20-2019,07:00:00,24.6,1010.14,000,0.0,7.00,97,24.2,61.90,0.10,30.12,993.24
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.3,09-20-2019,07:00:00,24.5,1010.02,270,3.7,5.00,96,23.8,91.60,2.80,29.41,993.41
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.5,09-20-2019,07:00:00,25.1,1009.74,000,0.0,9.00,92,23.8,5.50,1.50,29.44,987.69
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.9,09-20-2019,07:00:00,23.6,1010.44,080,11.1,2.00,96,22.9,24.30,0.00,27.83,966.57
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.5,09-20-2019,07:00:00,25.2,1009.48,000,0.0,10.00,92,23.7,20.90,0.00,29.36,988.75
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.8,09-20-2019,07:00:00,24.4,1011.43,280,3.7,8.00,100,24.4,85.40,0.80,30.54,990.35
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.1,09-20-2019,07:00:00,25.9,1009.53,340,3.7,7.00,94,24.9,5.60,0.00,31.46,1009.09
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.8,09-20-2019,07:00:00,25.0,1009.08,000,0.0,6.00,97,24.4,2.40,0.00,30.58,1007.65
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,09-20-2019,07:00:00,25.4,1009.50,000,0.0,7.00,97,25.0,38.70,0.00,31.60,1004.53
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.5,09-20-2019,07:00:00,25.7,1009.55,000,0.0,8.00,93,24.4,0.30,0.00,30.54,1006.24
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.8,09-20-2019,07:00:00,25.5,1009.74,120,1.9,10.00,97,25.1,0.00,0.00,31.79,1008.62
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.8,09-20-2019,07:00:00,25.5,1009.19,000,0.0,9.00,97,24.9,52.20,0.00,31.52,1008.88
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.0,09-20-2019,07:00:00,25.5,1009.22,000,0.0,4.00,98,25.2,62.20,62.20,32.07,1008.53
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.5,09-20-2019,07:00:00,25.5,1009.21,000,0.0,10.00,98,25.2,54.40,0.00,32.07,1008.72
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.2,09-20-2019,07:00:00,25.3,1009.57,000,0.0,2.00,99,25.1,3.80,0.00,31.96,1008.15
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,23.9,09-20-2019,07:00:00,27.0,1009.12,000,0.0,9.00,98,26.7,38.80,38.80,35.06,1007.44
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.2,09-20-2019,07:00:00,24.2,1011.15,000,0.0,10.00,98,23.9,6.50,0.01,29.66,1003.03
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.8,09-20-2019,07:00:00,25.2,1009.18,000,0.0,8.00,98,24.9,35.40,0.00,31.49,1008.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.0,09-20-2019,07:00:00,26.0,1009.08,000,0.0,10.00,93,24.8,29.10,0.00,31.38,1005.93
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.1,09-20-2019,07:00:00,24.9,1008.84,000,0.0,10.00,97,24.3,4.10,0.00,30.40,1001.83
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,09-20-2019,07:00:00,25.6,1009.90,000,0.0,10.00,96,24.9,6.00,0.00,31.44,1004.26
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.5,09-20-2019,07:00:00,24.8,1011.04,120,5.6,9.00,96,24.1,4.30,4.30,29.95,1001.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.8,09-20-2019,07:00:00,25.4,1010.14,000,0.0,3.00,97,25.0,25.00,0.00,31.60,1008.86
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.0,09-20-2019,07:00:00,26.6,1009.13,000,0.0,11.00,87,24.3,0.30,0.00,30.34,1008.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.2,09-20-2019,07:00:00,24.0,1009.57,000,0.0,10.00,96,23.3,27.70,0.00,28.53,997.16
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.1,09-20-2019,07:00:00,26.1,1009.31,000,0.0,10.00,89,24.1,0.00,0.00,29.95,1008.60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.7,09-20-2019,07:00:00,25.2,1009.18,360,5.6,9.00,94,24.2,42.70,0.00,30.15,1006.73
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.0,09-20-2019,07:00:00,26.5,1009.18,000,0.0,8.00,94,25.5,50.90,0.10,32.63,1008.66
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.9,09-20-2019,07:00:00,25.3,1009.46,000,0.0,11.00,96,24.6,21.00,0.00,30.87,1004.26
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.3,09-20-2019,07:00:00,25.2,1009.44,000,0.0,7.00,95,24.3,48.50,0.00,30.42,1009.03
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.5,09-20-2019,07:00:00,25.0,1009.67,000,0.0,8.00,96,24.3,54.30,0.00,30.32,1006.88
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.3,09-20-2019,07:00:00,25.7,1009.58,000,0.0,10.00,85,23.0,0.00,0.00,28.16,1008.79
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.8,09-20-2019,07:00:00,24.5,1010.16,030,3.7,5.00,97,24.1,39.70,12.50,29.93,1009.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,09-20-2019,07:00:00,24.8,1009.47,000,0.0,7.00,91,23.2,0.50,0.00,28.38,1008.79
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,09-20-2019,07:00:00,24.2,1009.77,000,0.0,8.00,96,23.5,0.20,0.00,28.88,1008.22
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.8,09-20-2019,07:00:00,25.0,1010.29,000,0.0,8.00,96,24.3,11.50,2.50,30.32,1009.37
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.6,09-20-2019,07:00:00,26.5,1010.10,000,0.0,12.00,88,24.3,0.00,0.00,30.43,1009.41
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.2,09-20-2019,07:00:00,24.5,1010.30,000,0.0,8.00,96,23.8,0.00,0.00,29.41,1009.49
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.6,09-20-2019,07:00:00,25.6,1010.32,000,0.0,7.00,95,24.7,0.00,0.00,31.17,1009.68
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,09-20-2019,07:00:00,24.9,1010.36,000,0.0,8.00,98,24.6,47.10,0.00,30.93,1009.95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.2,09-20-2019,07:00:00,24.7,1012.43,000,0.0,5.00,96,24.0,0.00,0.00,29.77,1008.16
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,09-20-2019,07:00:00,24.3,1010.40,000,0.0,7.00,98,24.0,1.00,0.00,29.84,1008.77
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,09-20-2019,07:00:00,24.5,1010.61,000,0.0,8.00,96,23.8,4.10,0.00,29.41,1007.09
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.1,09-20-2019,07:00:00,24.1,1010.76,000,0.0,7.00,99,23.9,12.30,0.00,29.74,1009.39
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.3,09-20-2019,07:00:00,24.5,1009.62,000,0.0,10.00,99,24.3,1.60,0.00,30.46,1008.72
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.6,09-20-2019,07:00:00,24.2,1010.77,000,0.0,5.00,98,23.9,2.30,0.00,29.66,1007.16
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.3,09-20-2019,07:00:00,25.6,1010.28,000,0.0,10.00,95,24.7,0.20,0.00,31.17,1009.84
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.1,09-20-2019,07:00:00,26.5,1009.41,000,0.0,10.00,90,24.8,0.00,0.00,31.24,1008.41
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.0,09-20-2019,07:00:00,26.1,1010.57,090,5.6,10.00,91,24.5,0.00,0.00,30.76,1009.75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.5,09-20-2019,07:00:00,24.9,1010.99,000,0.0,3.00,97,24.3,0.00,0.00,30.40,1009.15
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.8,09-20-2019,07:00:00,25.6,1010.69,000,0.0,5.00,89,23.7,0.01,0.00,29.29,1009.93
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.7,09-20-2019,07:00:00,23.8,1011.30,250,7.4,.40,98,23.5,0.00,0.00,28.95,1007.24
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,09-20-2019,07:00:00,24.7,1011.10,000,0.0,7.00,95,23.8,0.00,0.00,29.51,1010.41
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.6,09-20-2019,07:00:00,24.5,1012.15,000,0.0,7.00,96,23.8,0.00,0.00,29.41,1011.02
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.2,09-20-2019,07:00:00,24.0,1011.30,000,0.0,.50,98,23.7,0.00,0.00,29.30,1008.34
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.5,09-20-2019,07:00:00,23.8,1010.88,000,0.0,.90,97,23.4,30.90,0.00,28.69,1010.18
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.4,09-20-2019,07:00:00,23.7,1011.86,120,3.7,.60,98,23.4,0.40,0.00,28.77,1007.67
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,09-20-2019,07:00:00,24.0,1010.90,250,5.6,8.00,91,22.5,0.00,0.00,27.25,1010.30
