WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindDirection,WindSpeed,RelativeHumidity,Rainfall,DewPoint,VaporPressure,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,992.70,10-18-2019,13:00:00,34.0,060,9.3,51,0.00,22.4,27.01,0.00,15.00,1012.23
48353,LOEI,เลย,เลย,17.45000,101.73333,983.82,10-18-2019,13:00:00,33.6,050,9.3,45,0.00,20.1,23.52,0.10,8.00,1011.96
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,992.82,10-18-2019,13:00:00,33.2,060,7.4,51,0.00,21.7,26.01,0.00,15.00,1012.68
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,991.51,10-18-2019,13:00:00,31.0,080,3.7,54,0.00,20.5,24.07,0.00,12.00,1013.07
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,992.92,10-18-2019,13:00:00,32.0,030,11.1,53,0.00,21.3,25.37,0.00,12.00,1012.18
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,996.05,10-18-2019,13:00:00,32.2,080,3.7,45,0.00,18.9,21.80,0.00,12.00,1012.60
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,995.72,10-18-2019,13:00:00,31.7,080,3.7,58,0.00,22.5,27.24,0.00,12.00,1012.96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,986.40,10-18-2019,13:00:00,32.5,050,7.4,49,0.00,20.4,23.89,0.00,12.00,1011.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.83,10-18-2019,13:00:00,34.3,030,3.7,55,0.00,24.0,29.92,0.00,10.00,1011.50
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.84,10-18-2019,13:00:00,34.0,080,13.0,55,0.00,23.7,29.29,0.00,12.00,1011.92
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,996.34,10-18-2019,13:00:00,33.3,360,7.4,45,0.00,19.9,23.23,0.00,12.00,1012.53
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,987.87,10-18-2019,13:00:00,33.4,070,18.5,48,0.00,20.9,24.75,0.00,10.00,1009.79
48376,TAK,ตาก,ตาก,16.87833,99.14333,998.53,10-18-2019,13:00:00,33.0,080,5.6,55,0.00,22.9,27.84,0.00,10.00,1012.72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,995.68,10-18-2019,13:00:00,32.7,000,0.0,57,0.00,23.0,28.08,0.00,8.00,1011.83
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1006.73,10-18-2019,13:00:00,34.0,240,5.6,46,0.00,20.6,24.26,0.00,12.00,1011.86
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,997.34,10-18-2019,13:00:00,34.8,030,3.7,44,0.00,20.9,24.69,0.00,12.00,1010.25
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1002.90,10-18-2019,13:00:00,33.1,020,9.3,55,0.00,23.0,28.04,0.00,12.00,1012.09
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,990.70,10-18-2019,13:00:00,32.1,050,11.1,51,0.00,20.8,24.48,0.00,10.00,1012.14
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,994.72,10-18-2019,13:00:00,33.0,070,11.1,58,0.00,23.7,29.25,0.00,12.00,1011.97
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,995.93,10-18-2019,13:00:00,31.5,110,7.4,60,0.00,22.8,27.68,0.00,14.00,1011.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,992.68,10-18-2019,13:00:00,33.4,040,11.1,51,0.00,21.8,26.12,0.00,10.00,1011.25
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,961.28,10-18-2019,13:00:00,30.0,000,0.0,54,0.00,19.6,22.84,0.00,11.00,1012.04
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.86,10-18-2019,13:00:00,33.6,310,3.7,53,0.00,22.6,27.34,0.00,10.00,1011.75
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,917.70,10-18-2019,13:00:00,26.1,070,13.0,68,0.00,19.8,23.06,0.00,9.00,1011.87
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,996.79,10-18-2019,13:00:00,31.9,060,9.3,58,0.00,22.6,27.35,0.00,10.00,1012.61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.30,10-18-2019,13:00:00,33.7,030,7.4,53,0.00,22.7,27.54,0.00,8.00,1012.27
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1002.19,10-18-2019,13:00:00,33.0,070,9.3,45,0.00,19.5,22.69,0.00,10.00,1012.72
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.19,10-18-2019,13:00:00,33.8,030,5.6,37,0.00,17.3,19.72,0.00,12.00,1012.09
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,991.10,10-18-2019,13:00:00,32.8,110,9.3,49,0.00,20.7,24.44,0.00,10.00,1011.66
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,994.52,10-18-2019,13:00:00,31.5,050,14.8,54,0.00,21.1,24.98,0.00,10.00,1012.01
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,995.58,10-18-2019,13:00:00,32.5,050,16.7,52,0.00,21.4,25.49,0.00,10.00,1011.52
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,997.15,10-18-2019,13:00:00,33.4,030,5.6,44,0.00,19.7,22.89,0.00,10.00,1010.94
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,996.82,10-18-2019,13:00:00,32.5,050,5.6,52,0.00,21.4,25.49,0.00,12.00,1011.44
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,997.54,10-18-2019,13:00:00,33.1,050,11.1,55,0.00,22.8,27.75,0.00,10.00,1011.99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.42,10-18-2019,13:00:00,34.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,45,0.00,20.2,23.72,0.00,10.00,1011.38
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.78,10-18-2019,13:00:00,33.6,040,13.0,46,0.00,20.5,24.05,0.00,10.00,1011.59
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.50,10-18-2019,13:00:00,33.2,060,9.3,56,0.00,23.1,28.24,0.00,9.00,1010.59
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,997.52,10-18-2019,13:00:00,32.2,000,0.0,66,0.00,25.1,31.94,0.00,.00,1012.03
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.57,10-18-2019,13:00:00,25.0,040,5.6,67,0.00,18.4,21.11,0.00,8.00,1009.63
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.61,10-18-2019,13:00:00,33.0,060,9.3,52,0.00,21.8,26.17,0.00,10.00,1011.40
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.07,10-18-2019,13:00:00,35.0,050,7.4,49,0.00,22.7,27.61,0.10,8.00,1011.86
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.25,10-18-2019,13:00:00,33.2,120,11.1,54,0.00,22.8,27.67,0.00,10.00,1010.69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.81,10-18-2019,13:00:00,34.0,000,0.0,48,0.00,21.5,25.63,0.00,10.00,1010.90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.54,10-18-2019,13:00:00,33.3,010,11.1,53,0.00,22.4,27.03,0.00,10.00,1011.54
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1009.57,10-18-2019,13:00:00,33.0,050,9.3,47,0.00,20.1,23.48,0.00,10.00,1011.37
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.50,10-18-2019,13:00:00,32.9,030,7.4,51,0.00,21.4,25.44,1.80,10.00,1011.26
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.43,10-18-2019,13:00:00,32.7,030,13.0,53,0.00,21.8,26.15,0.01,10.00,1011.13
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.99,10-18-2019,13:00:00,34.7,090,9.3,46,0.00,21.5,25.60,0.00,10.00,1010.68
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,990.83,10-18-2019,13:00:00,31.0,080,11.1,54,0.00,20.7,24.33,0.00,10.00,1011.81
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,995.10,10-18-2019,13:00:00,32.2,070,11.1,52,0.00,21.1,24.93,0.00,9.00,1011.61
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,995.79,10-18-2019,13:00:00,32.3,030,14.8,55,0.00,22.0,26.47,0.00,14.00,1012.01
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,989.65,10-18-2019,13:00:00,32.1,060,9.3,54,0.00,21.6,25.82,0.00,9.00,1011.23
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,968.53,10-18-2019,13:00:00,29.6,040,14.8,56,0.00,19.9,23.17,0.00,12.00,1011.59
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,990.76,10-18-2019,13:00:00,31.8,050,9.3,54,0.00,21.3,25.26,0.00,10.00,1011.08
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,992.96,10-18-2019,13:00:00,30.8,040,20.4,67,0.00,23.9,29.65,0.00,10.00,1013.65
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.30,10-18-2019,13:00:00,31.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,63,0.00,23.3,28.68,0.00,10.00,1010.73
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.42,10-18-2019,13:00:00,33.5,000,0.0,59,0.00,24.2,30.28,1.40,11.00,1010.81
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.61,10-18-2019,13:00:00,33.2,120,7.4,58,0.00,23.9,29.66,7.30,10.00,1010.46
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.04,10-18-2019,13:00:00,33.6,040,9.3,50,0.00,21.7,25.95,0.20,12.00,1011.28
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.19,10-18-2019,13:00:00,32.8,000,0.0,54,0.00,22.1,26.61,5.20,10.00,1011.28
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.81,10-18-2019,13:00:00,33.6,060,14.8,54,0.00,22.9,27.91,0.01,10.00,1011.10
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.16,10-18-2019,13:00:00,34.2,110,5.6,50,0.00,22.4,27.13,0.00,10.00,1010.83
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1011.03,10-18-2019,13:00:00,33.5,120,3.7,57,0.00,23.9,29.70,0.00,10.00,1011.51
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.15,10-18-2019,13:00:00,33.3,090,11.1,53,0.00,22.5,27.31,0.00,10.00,1011.53
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1009.65,10-18-2019,13:00:00,31.8,060,14.8,61,0.00,23.4,28.82,0.00,10.00,1011.31
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1004.77,10-18-2019,13:00:00,33.5,240,7.4,56,0.00,23.4,28.84,0.00,10.00,1012.65
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.14,10-18-2019,13:00:00,34.2,090,11.1,57,0.00,24.4,30.58,4.00,8.00,1010.42
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.37,10-18-2019,13:00:00,32.0,320,5.6,63,0.00,24.1,30.08,0.00,12.00,1010.46
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.51,10-18-2019,13:00:00,32.4,300,7.4,55,0.00,22.1,26.67,2.60,10.00,1010.35
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.62,10-18-2019,13:00:00,34.1,040,3.7,51,0.00,22.6,27.49,0.00,9.00,1011.11
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1002.01,10-18-2019,13:00:00,32.3,110,5.6,59,0.00,23.4,28.69,1.00,10.00,1011.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.77,10-18-2019,13:00:00,31.0,270,7.4,66,0.00,23.8,29.48,37.90,12.00,1012.02
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.42,10-18-2019,13:00:00,33.6,120,3.7,56,0.00,23.6,29.04,0.00,11.00,1010.84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,998.92,10-18-2019,13:00:00,32.5,050,11.1,55,0.00,22.3,26.86,0.00,6.00,1011.01
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.44,10-18-2019,13:00:00,32.2,030,9.3,66,0.00,25.0,31.65,0.00,10.00,1011.15
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.98,10-18-2019,13:00:00,34.9,170,5.6,55,0.00,24.4,30.60,4.10,10.00,1010.36
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.54,10-18-2019,13:00:00,33.0,000,0.0,60,0.00,24.2,30.11,0.00,12.00,1010.05
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1004.89,10-18-2019,13:00:00,33.4,080,5.6,53,0.00,22.7,27.51,12.10,13.00,1009.95
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.00,10-18-2019,13:00:00,33.4,050,7.4,56,0.00,23.3,28.64,0.00,9.00,1010.41
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.67,10-18-2019,13:00:00,32.5,000,0.0,58,0.00,23.3,28.53,0.00,10.00,1011.40
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.20,10-18-2019,13:00:00,31.0,030,9.3,63,0.00,23.2,28.37,0.50,10.00,1010.98
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.93,10-18-2019,13:00:00,31.0,050,5.6,79,0.00,26.8,35.31,8.20,10.00,1009.38
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.63,10-18-2019,13:00:00,23.7,320,9.3,97,23.60,23.3,28.52,25.10,7.00,1011.33
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.85,10-18-2019,13:00:00,24.0,000,0.0,97,9.60,23.4,28.78,19.60,7.00,1011.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.96,10-18-2019,13:00:00,25.7,050,3.7,90,3.70,23.9,29.74,4.50,10.00,1010.89
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.58,10-18-2019,13:00:00,25.7,000,0.0,97,9.20,25.1,31.90,26.30,8.00,1011.27
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.73,10-18-2019,13:00:00,25.8,060,3.7,89,7.40,23.9,29.66,20.30,8.00,1011.53
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.25,10-18-2019,13:00:00,24.4,320,5.6,97,10.30,23.8,29.49,34.00,6.00,1010.90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.61,10-18-2019,13:00:00,24.5,000,0.0,98,6.20,24.2,30.20,51.60,8.00,1011.02
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.95,10-18-2019,13:00:00,24.1,000,0.0,97,26.60,23.5,28.96,31.00,6.00,1013.23
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.03,10-18-2019,13:00:00,25.2,000,0.0,93,1.00,24.0,29.89,9.80,8.00,1011.66
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.89,10-18-2019,13:00:00,26.5,000,0.0,89,0.50,24.6,30.97,7.00,8.00,1011.38
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.23,10-18-2019,13:00:00,25.3,310,3.7,97,8.80,24.9,31.41,49.70,4.00,1010.59
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.07,10-18-2019,13:00:00,30.3,270,11.1,70,0.00,24.1,30.06,0.00,10.00,1009.95
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.22,10-18-2019,13:00:00,26.5,060,16.7,86,1.20,23.9,29.62,9.60,10.00,1010.80
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.49,10-18-2019,13:00:00,31.0,000,0.0,66,3.20,23.8,29.48,9.20,10.00,1009.92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.69,10-18-2019,13:00:00,29.6,100,9.3,73,4.50,24.3,30.35,4.50,9.00,1009.68
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.44,10-18-2019,13:00:00,28.0,090,5.6,79,0.00,23.9,29.74,0.00,10.00,1009.26
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.78,10-18-2019,13:00:00,27.0,040,13.0,86,1.70,24.4,30.56,16.80,10.00,1009.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.25,10-18-2019,13:00:00,28.6,050,5.6,83,1.90,25.5,32.59,23.90,11.00,1010.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.58,10-18-2019,13:00:00,26.0,990,3.7,93,5.60,24.8,31.38,11.20,10.00,1010.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.61,10-18-2019,13:00:00,27.6,000,0.0,79,1.20,23.5,28.98,2.70,10.00,1010.29
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.20,10-18-2019,13:00:00,27.2,000,0.0,87,3.00,24.8,31.22,29.60,10.00,1010.32
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.50,10-18-2019,13:00:00,26.3,310,7.4,92,8.40,24.9,31.41,11.80,10.00,1010.44
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.76,10-18-2019,13:00:00,27.5,000,0.0,88,0.70,25.4,32.36,13.30,8.00,1009.45
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.77,10-18-2019,13:00:00,27.4,000,0.0,81,5.10,23.9,29.69,7.40,6.00,1009.89
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.13,10-18-2019,13:00:00,30.4,030,14.8,71,0.00,24.5,30.82,0.40,10.00,1008.72
