WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindSpeed,LandVisibility,Rainfall24Hr,DewPoint
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.0,08-18-2019,04:00:00,0.00,30.84,000,991.87,1007.76,92,0.0,10.00,20.20,24.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.7,08-18-2019,04:00:00,0.00,29.45,180,988.13,1007.03,84,3.7,8.00,0.01,23.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,08-18-2019,04:00:00,0.00,26.83,000,955.89,1007.58,96,0.0,5.00,17.00,22.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.6,08-18-2019,04:00:00,0.00,31.44,130,1003.64,1007.62,96,7.4,4.00,30.60,24.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,08-18-2019,04:00:00,0.01,23.70,000,912.97,1008.44,97,0.0,.70,7.10,20.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.1,08-18-2019,04:00:00,0.00,30.77,180,992.16,1008.26,97,5.6,6.00,14.50,24.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.2,08-18-2019,04:00:00,0.00,29.31,180,1003.82,1007.85,81,7.4,10.00,0.01,23.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,08-18-2019,04:00:00,0.00,29.91,000,998.15,1008.90,92,0.0,7.00,0.01,24.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,08-18-2019,04:00:00,0.00,29.50,150,1006.54,1008.48,88,5.6,9.00,0.00,23.8
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.9,08-18-2019,04:00:00,0.00,29.31,000,987.16,1008.12,88,0.0,10.00,0.00,23.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,08-18-2019,04:00:00,0.00,30.32,200,990.19,1007.99,96,13.0,10.00,71.30,24.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.3,08-18-2019,04:00:00,0.00,30.87,200,991.63,1007.90,96,5.6,10.00,10.00,24.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.2,08-18-2019,04:00:00,0.00,29.10,000,995.11,1009.25,91,0.0,10.00,8.30,23.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.2,08-18-2019,04:00:00,0.00,29.89,000,994.87,1009.83,93,0.0,9.00,9.60,24.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.2,08-18-2019,04:00:00,0.00,30.15,000,994.51,1009.30,94,0.0,10.00,0.00,24.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.2,08-18-2019,04:00:00,0.00,30.94,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.91,1007.94,91,0.0,8.00,13.90,24.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.4,08-18-2019,04:00:00,0.00,30.52,000,1000.15,1008.16,94,0.0,7.00,2.20,24.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.1,08-18-2019,04:00:00,0.00,30.48,180,1007.30,1008.41,90,5.6,7.00,0.00,24.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.5,08-18-2019,04:00:00,0.00,30.97,000,991.57,1006.27,89,0.0,8.00,0.00,24.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.5,08-18-2019,04:00:00,0.00,29.91,200,1002.47,1008.39,92,3.7,10.00,2.00,24.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.8,08-18-2019,04:00:00,0.00,28.84,230,1008.31,1009.11,82,3.7,8.00,0.00,23.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.5,08-18-2019,04:00:00,0.00,29.05,230,1008.45,1008.89,75,16.7,10.00,0.00,23.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.2,08-18-2019,04:00:00,0.00,30.15,000,998.28,1009.68,94,0.0,4.00,5.60,24.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.9,08-18-2019,04:00:00,0.00,30.10,190,1007.81,1008.82,85,3.7,10.00,3.80,24.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.7,08-18-2019,04:00:00,0.00,30.54,170,1006.70,1008.54,93,3.7,7.00,8.70,24.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.0,08-18-2019,04:00:00,0.00,29.23,000,1007.99,1008.75,87,0.0,3.00,4.00,23.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.0,08-18-2019,04:00:00,0.00,29.21,200,1008.64,1009.35,82,5.6,10.00,0.01,23.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.6,08-18-2019,04:00:00,0.00,31.99,000,1008.34,1009.05,92,0.0,7.00,0.90,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.0,08-18-2019,04:00:00,0.00,30.03,200,987.22,1008.47,89,5.6,10.00,26.90,24.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.3,08-18-2019,04:00:00,0.00,29.54,000,991.89,1008.73,92,0.0,7.00,0.01,23.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.4,08-18-2019,04:00:00,0.00,29.99,180,992.83,1009.38,92,5.6,7.00,1.20,24.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.4,08-18-2019,04:00:00,0.00,30.24,000,986.45,1008.37,88,0.0,10.00,0.80,24.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.4,08-18-2019,04:00:00,0.00,31.33,210,965.50,1009.05,97,7.4,10.00,2.70,24.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.2,08-18-2019,04:00:00,0.00,29.33,000,987.84,1008.49,86,0.0,10.00,0.00,23.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.8,08-18-2019,04:00:00,0.00,31.28,190,989.03,1010.05,100,13.0,8.00,27.20,24.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.7,08-18-2019,04:00:00,0.00,28.90,220,1008.88,1009.31,78,5.6,10.00,0.00,23.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.2,08-18-2019,04:00:00,0.00,30.96,000,1007.66,1009.08,97,0.0,6.00,0.00,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.1,08-18-2019,04:00:00,0.00,31.58,000,1004.36,1009.34,99,0.0,8.00,1.60,24.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.5,08-18-2019,04:00:00,0.00,28.82,000,1005.62,1008.92,83,0.0,12.00,0.01,23.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.6,08-18-2019,04:00:00,0.00,29.82,000,1007.88,1009.00,91,0.0,10.00,1.50,24.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.2,08-18-2019,04:00:00,0.00,29.57,200,1008.64,1008.94,77,9.3,10.00,0.00,23.9
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.5,08-18-2019,04:00:00,0.00,29.08,000,1007.98,1008.47,84,0.0,10.00,0.00,23.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.6,08-18-2019,04:00:00,0.00,28.47,210,1007.59,1009.01,82,11.1,10.00,0.00,23.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.8,08-18-2019,04:00:00,0.00,29.69,000,1003.11,1011.21,95,0.0,10.00,3.40,23.9
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.7,08-18-2019,04:00:00,0.00,31.64,000,1008.82,1009.11,85,0.0,10.00,0.00,25.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.7,08-18-2019,04:00:00,0.00,29.98,000,1005.68,1008.80,76,0.0,10.00,0.00,24.1
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.0,08-18-2019,04:00:00,0.00,29.19,000,1002.08,1009.01,77,0.0,10.00,0.00,23.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.3,08-18-2019,04:00:00,0.00,31.13,000,1004.32,1009.94,91,0.0,8.00,11.10,24.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.9,08-18-2019,04:00:00,0.00,30.40,000,1008.43,1009.71,97,0.0,6.00,3.90,24.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.6,08-18-2019,04:00:00,0.00,28.45,000,1008.63,1009.06,77,0.0,11.00,0.00,23.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.1,08-18-2019,04:00:00,0.00,27.17,000,997.36,1009.77,91,0.0,10.00,0.01,22.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.5,08-18-2019,04:00:00,0.00,28.55,230,1008.69,1009.41,83,5.6,10.00,0.00,23.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.7,08-18-2019,04:00:00,0.00,30.26,000,1006.97,1009.41,86,0.0,10.00,0.00,24.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.5,08-18-2019,04:00:00,0.00,32.96,250,1009.11,1009.63,85,11.1,10.00,0.00,25.7
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.7,08-18-2019,04:00:00,0.00,30.53,000,1003.09,1008.23,82,0.0,9.00,0.00,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.3,08-18-2019,04:00:00,0.70,32.79,000,1009.43,1009.84,96,0.0,7.00,10.90,25.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.5,08-18-2019,04:00:00,0.00,31.79,000,1007.13,1009.92,97,0.0,8.00,13.80,25.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,08-18-2019,04:00:00,0.00,29.62,000,1006.13,1006.92,86,0.0,10.00,0.00,23.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.6,08-18-2019,04:00:00,0.00,30.38,070,1010.14,1010.60,98,7.4,5.00,77.70,24.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.2,08-18-2019,04:00:00,0.00,28.62,000,1010.00,1010.69,95,0.0,8.00,15.80,23.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.5,08-18-2019,04:00:00,0.00,28.89,000,1008.52,1010.07,94,0.0,7.00,13.20,23.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.2,08-18-2019,04:00:00,0.00,28.88,000,1009.84,1010.76,96,0.0,10.00,94.40,23.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.0,08-18-2019,04:00:00,0.00,30.84,000,1010.19,1010.88,92,0.0,12.00,0.00,24.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.0,08-18-2019,04:00:00,0.00,28.53,000,1010.37,1011.18,96,0.0,7.00,0.00,23.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.3,08-18-2019,04:00:00,0.00,27.51,000,1010.00,1010.64,91,0.0,10.00,0.00,22.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.1,08-18-2019,04:00:00,0.00,28.70,000,1010.74,1011.15,96,0.0,10.00,0.00,23.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,08-18-2019,04:00:00,0.00,27.66,000,1008.47,1012.75,96,0.0,5.00,0.00,22.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.7,08-18-2019,04:00:00,0.00,29.77,000,1004.78,1006.40,96,0.0,8.00,3.60,24.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,08-18-2019,04:00:00,0.00,27.66,000,1007.38,1010.91,96,0.0,10.00,8.00,22.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.8,08-18-2019,04:00:00,0.00,29.69,000,1009.39,1010.76,95,0.0,8.00,0.00,23.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.8,08-18-2019,04:00:00,0.00,29.95,000,1009.17,1010.06,96,0.0,10.00,37.40,24.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.5,08-18-2019,04:00:00,0.00,27.66,000,1006.94,1010.55,96,0.0,10.00,3.60,22.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.0,08-18-2019,04:00:00,0.00,30.84,000,1009.87,1010.31,92,0.0,10.00,0.80,24.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.0,08-18-2019,04:00:00,0.00,30.32,000,1009.30,1010.30,96,0.0,10.00,41.20,24.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.0,08-18-2019,04:00:00,0.00,28.78,260,1009.73,1010.56,97,11.1,10.00,21.60,23.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.5,08-18-2019,04:00:00,0.00,29.41,000,1008.77,1010.61,96,0.0,10.00,2.50,23.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.2,08-18-2019,04:00:00,0.00,28.80,230,1010.38,1011.13,85,1.9,10.00,0.30,23.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.6,08-18-2019,04:00:00,0.00,31.71,000,1007.01,1011.04,97,0.0,8.00,0.00,25.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.3,08-18-2019,04:00:00,0.00,30.60,000,1010.22,1010.91,95,0.0,10.00,0.00,24.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.8,08-18-2019,04:00:00,0.00,28.84,000,1009.71,1010.83,82,0.0,10.00,0.00,23.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.5,08-18-2019,04:00:00,0.00,29.15,000,1007.94,1010.89,95,0.0,10.00,0.00,23.6
