WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,LandVisibility,DewPoint,WindDirection,RelativeHumidity,AirTemperature,Rainfall24Hr
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,09-08-2019,22:00:00,32.94,1005.66,0.00,979.92,11.00,25.7,090,94,26.8,28.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,09-08-2019,22:00:00,30.15,1007.01,0.00,1001.25,10.00,24.2,270,78,28.5,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.4,09-08-2019,22:00:00,29.60,1007.14,0.00,1000.98,12.00,23.9,280,76,28.5,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-08-2019,22:00:00,29.08,1007.98,0.00,991.51,10.00,23.6,000,84,26.5,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,09-08-2019,22:00:00,29.00,1008.18,0.70,985.69,8.00,23.5,000,92,25.0,11.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,11.1,09-08-2019,22:00:00,26.45,1008.69,0.00,994.33,8.00,22.0,260,70,28.1,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-08-2019,22:00:00,25.88,1007.35,0.00,991.06,10.00,21.7,000,65,28.8,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,9.3,09-08-2019,22:00:00,29.49,1007.79,0.00,1002.59,10.00,23.8,270,77,28.3,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-08-2019,22:00:00,29.91,1006.60,0.50,993.34,10.00,24.0,000,92,25.5,5.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.9,09-08-2019,22:00:00,27.57,1007.37,0.00,998.07,12.00,22.7,350,74,27.7,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.9,09-08-2019,22:00:00,33.02,1005.52,0.00,983.85,10.00,25.7,210,94,26.7,28.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.4,09-08-2019,22:00:00,29.98,1005.59,2.70,988.22,10.00,24.1,230,76,28.7,2.70
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-08-2019,22:00:00,32.96,1006.36,0.00,990.62,10.00,25.7,000,85,28.5,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-08-2019,22:00:00,33.26,1005.83,0.00,986.98,8.00,25.8,000,93,27.1,9.80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-08-2019,22:00:00,25.84,1010.64,0.00,958.84,6.00,21.6,000,90,23.3,2.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,09-08-2019,22:00:00,33.17,1007.34,0.00,1003.38,6.00,25.8,050,92,27.2,4.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,13.0,09-08-2019,22:00:00,24.61,1010.67,0.40,915.08,.10,20.8,230,99,21.0,4.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-08-2019,22:00:00,35.87,1006.64,0.20,990.74,6.00,27.1,000,92,28.5,0.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-08-2019,22:00:00,30.56,1007.69,0.00,1003.67,10.00,24.4,000,81,28.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-08-2019,22:00:00,29.89,1009.39,0.00,998.67,7.00,24.0,000,86,26.5,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,09-08-2019,22:00:00,30.13,1008.92,0.00,1006.99,9.00,24.2,000,89,26.2,8.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,09-08-2019,22:00:00,29.79,1007.31,0.00,986.55,10.00,24.0,210,76,28.6,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,09-08-2019,22:00:00,33.41,1006.67,0.00,989.13,10.00,25.9,210,83,29.0,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,09-08-2019,22:00:00,32.54,1006.17,0.00,990.17,10.00,25.5,200,78,29.7,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,09-08-2019,22:00:00,32.55,1007.57,0.00,993.62,10.00,25.5,220,81,29.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-08-2019,22:00:00,33.37,1008.31,0.00,993.51,9.00,25.9,000,88,28.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,11.1,09-08-2019,22:00:00,32.27,1007.95,0.00,993.33,8.00,25.3,220,84,28.3,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-08-2019,22:00:00,31.11,1007.62,0.00,1004.60,10.00,24.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",87,27.0,0.60
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-08-2019,22:00:00,29.60,1007.73,0.00,999.81,7.00,23.9,000,76,28.5,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.4,09-08-2019,22:00:00,31.79,1008.80,0.00,1007.70,6.00,25.1,210,83,28.2,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-08-2019,22:00:00,29.19,1008.13,0.00,993.47,8.00,23.6,000,77,28.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,09-08-2019,22:00:00,23.22,1010.28,7.20,875.03,.10,19.9,280,100,19.9,40.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,09-08-2019,22:00:00,32.13,1008.28,0.00,1002.40,10.00,25.2,190,90,27.1,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,09-08-2019,22:00:00,28.90,1009.12,0.00,1008.32,8.00,23.5,230,78,27.7,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,7.4,09-08-2019,22:00:00,30.91,1009.67,0.20,1009.22,10.00,24.6,230,87,26.9,35.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-08-2019,22:00:00,30.71,1010.74,0.00,999.34,5.00,24.5,000,94,25.5,13.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,09-08-2019,22:00:00,30.09,1009.15,0.00,1008.14,10.00,24.1,000,80,27.9,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,09-08-2019,22:00:00,30.50,1008.67,0.00,1006.84,7.00,24.4,000,84,27.4,0.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-08-2019,22:00:00,27.55,1009.26,0.00,1008.50,7.00,22.7,000,76,27.4,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,11.1,09-08-2019,22:00:00,28.23,1009.73,0.00,1009.03,10.00,23.1,260,80,26.9,10.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-08-2019,22:00:00,30.64,1009.00,1.20,1008.30,6.00,24.4,000,86,26.9,1.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.6,09-08-2019,22:00:00,28.89,1007.75,0.00,986.70,10.00,23.5,250,73,28.7,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.7,09-08-2019,22:00:00,31.47,1007.91,0.00,991.23,7.00,24.9,220,84,27.9,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,09-08-2019,22:00:00,30.97,1008.24,0.00,991.82,7.00,24.6,230,84,27.5,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-08-2019,22:00:00,29.98,1007.88,0.00,986.06,10.00,24.1,000,81,27.7,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,09-08-2019,22:00:00,28.07,1009.00,0.00,965.46,10.00,23.0,230,86,25.5,5.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,09-08-2019,22:00:00,29.36,1007.86,0.00,987.34,10.00,23.7,170,79,27.8,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,13.0,09-08-2019,22:00:00,34.23,1009.03,0.00,988.20,10.00,26.3,200,94,27.3,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,09-08-2019,22:00:00,30.16,1009.93,0.80,1009.49,10.00,24.2,280,87,26.5,1.80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-08-2019,22:00:00,30.84,1008.61,3.50,1007.19,6.00,24.6,000,92,26.0,3.50
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-08-2019,22:00:00,31.08,1009.16,0.00,1004.21,7.00,24.7,000,89,26.7,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,09-08-2019,22:00:00,28.18,1010.14,0.00,1006.84,10.00,23.1,000,76,27.6,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-08-2019,22:00:00,30.43,1009.76,0.00,1008.65,10.00,24.3,000,88,26.5,0.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,09-08-2019,22:00:00,29.21,1009.87,0.20,1009.57,8.00,23.6,280,82,27.0,28.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-08-2019,22:00:00,30.70,1010.05,0.00,1009.56,10.00,24.5,000,89,26.5,15.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,20.4,09-08-2019,22:00:00,27.34,1009.48,0.00,1008.08,10.00,22.6,260,71,28.3,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,09-08-2019,22:00:00,28.83,1010.78,0.00,1002.70,10.00,23.4,000,90,25.2,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-08-2019,22:00:00,30.84,1009.68,1.80,1009.39,6.00,24.6,000,92,26.0,11.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,09-08-2019,22:00:00,29.99,1009.62,2.10,1006.46,10.00,24.1,000,92,25.4,8.60
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,09-08-2019,22:00:00,32.36,1009.49,0.00,1002.54,10.00,25.4,000,88,27.5,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-08-2019,22:00:00,31.23,1009.10,0.00,1003.52,10.00,24.8,000,82,28.2,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,09-08-2019,22:00:00,30.19,1010.22,0.00,1008.95,10.00,24.2,270,91,25.8,1.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.7,09-08-2019,22:00:00,29.33,1010.06,0.00,1009.63,11.00,23.7,310,80,27.5,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,09-08-2019,22:00:00,28.82,1010.29,0.00,997.91,10.00,23.4,000,92,24.9,0.40
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,09-08-2019,22:00:00,30.02,1010.07,0.00,1009.36,10.00,24.1,000,84,27.0,7.20
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,09-08-2019,22:00:00,29.74,996.74,0.00,994.35,10.00,23.9,230,74,29.0,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,09-08-2019,22:00:00,31.54,1009.67,0.00,1009.15,10.00,24.9,270,81,28.5,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,09-08-2019,22:00:00,30.07,1009.61,0.00,1004.46,8.00,24.1,000,81,27.6,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,09-08-2019,22:00:00,31.95,1010.07,0.00,1009.66,7.00,25.1,220,85,28.0,18.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-08-2019,22:00:00,32.38,1010.24,0.00,1007.46,8.00,25.4,000,92,26.8,0.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-08-2019,22:00:00,27.25,1012.10,0.00,1011.31,10.00,22.5,000,79,26.5,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,09-08-2019,22:00:00,32.76,1010.46,0.40,1010.00,4.00,25.6,000,88,27.7,64.30
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,09-08-2019,22:00:00,27.80,1011.48,0.00,1010.79,8.00,22.8,260,87,25.2,0.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,09-08-2019,22:00:00,28.67,1011.48,0.00,1009.94,8.00,23.3,000,88,25.4,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.7,09-08-2019,22:00:00,28.54,1012.35,0.20,1011.42,10.00,23.3,220,94,24.3,63.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-08-2019,22:00:00,31.79,1011.47,17.70,1010.77,9.00,25.1,000,97,25.5,25.20
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-08-2019,22:00:00,31.25,1012.02,0.30,1011.21,7.00,24.8,000,96,25.5,30.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,09-08-2019,22:00:00,29.93,1011.44,0.00,1010.80,10.00,24.1,310,90,25.8,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,09-08-2019,22:00:00,30.12,1011.51,0.00,1011.10,10.00,24.2,000,97,24.6,12.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-08-2019,22:00:00,30.23,1013.58,0.50,1009.32,5.00,24.2,000,95,25.1,20.90
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-08-2019,22:00:00,30.09,1011.54,0.00,1009.92,10.00,24.1,000,92,25.6,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-08-2019,22:00:00,30.79,1011.71,1.00,1008.20,7.00,24.5,000,95,25.4,38.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,5.6,09-08-2019,22:00:00,32.38,1011.53,0.00,1010.16,10.00,25.4,360,92,26.8,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-08-2019,22:00:00,29.66,1012.19,20.00,1011.29,8.00,23.9,000,98,24.2,40.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-08-2019,22:00:00,28.66,1011.78,0.00,1008.19,10.00,23.3,000,90,25.1,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,09-08-2019,22:00:00,32.77,1011.60,0.00,1011.16,10.00,25.6,000,92,27.0,6.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,09-08-2019,22:00:00,30.56,1011.27,0.00,1010.28,10.00,24.4,020,81,28.0,1.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,13.0,09-08-2019,22:00:00,28.78,1011.61,0.60,1010.80,10.00,23.4,100,80,27.2,4.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-08-2019,22:00:00,31.94,1011.78,0.00,1009.96,9.00,25.1,000,90,27.0,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,09-08-2019,22:00:00,29.31,1011.61,0.00,1010.85,8.00,23.7,250,81,27.2,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,09-08-2019,22:00:00,30.34,1012.07,0.00,1008.03,6.00,24.3,100,94,25.3,7.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-08-2019,22:00:00,30.43,1011.56,0.00,1010.88,8.00,24.3,000,88,26.5,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-08-2019,22:00:00,30.07,1011.34,0.00,1010.21,10.00,24.1,000,93,25.3,6.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,09-08-2019,22:00:00,32.04,1012.03,0.00,1009.09,10.00,25.2,000,94,26.2,0.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,09-08-2019,22:00:00,30.58,1011.29,0.00,1010.59,6.00,24.4,000,97,25.0,44.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,09-08-2019,22:00:00,28.01,1012.71,0.00,1008.52,6.00,23.0,000,94,24.0,0.40
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,13.0,09-08-2019,22:00:00,26.78,1011.56,0.00,1010.97,8.00,22.2,220,84,25.2,0.00
