WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MeanSeaLevelPressure,Rainfall,WindSpeed,LandVisibility,AirTemperature,RelativeHumidity,VaporPressure,WindDirection,StationPressure
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-12-2019,16:00:00,21.6,1005.71,0.00,0.0,10.00,36.2,43,25.77,000,971.38
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-12-2019,16:00:00,23.5,1002.91,0.00,9.3,17.00,37.3,45,28.92,320,974.34
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-12-2019,16:00:00,23.1,1005.52,0.00,0.0,11.00,35.9,48,28.31,000,998.43
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.90,07-12-2019,16:00:00,25.7,1004.20,0.00,7.4,20.00,35.7,56,32.96,250,984.92
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-12-2019,16:00:00,20.5,1003.37,0.00,9.3,15.00,37.9,37,24.09,270,975.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10.40,07-12-2019,16:00:00,22.8,1004.47,0.00,9.3,15.00,36.5,46,27.81,260,984.97
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.01,07-12-2019,16:00:00,24.4,1004.96,0.00,3.7,15.00,36.0,51,30.59,220,983.92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-12-2019,16:00:00,22.7,1004.16,0.00,9.3,15.00,36.0,47,27.64,320,985.30
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-12-2019,16:00:00,23.9,1004.88,0.00,0.0,10.00,35.0,53,29.63,000,988.61
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-12-2019,16:00:00,23.9,1005.23,0.00,3.7,10.00,34.2,55,29.71,270,988.27
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-12-2019,16:00:00,21.5,1003.48,0.00,5.6,12.00,36.7,42,25.64,230,978.61
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-12-2019,16:00:00,24.6,1005.97,0.00,9.3,10.00,37.0,49,30.97,240,1000.38
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-12-2019,16:00:00,23.7,1005.69,0.00,7.4,10.00,36.4,48,29.36,230,999.69
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-12-2019,16:00:00,21.0,1005.57,0.00,0.0,10.00,36.7,40,24.79,000,989.67
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.00,07-12-2019,16:00:00,23.9,1006.52,0.00,9.3,10.00,30.7,67,29.73,210,984.48
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-12-2019,16:00:00,23.1,1007.44,0.00,18.5,8.00,33.1,56,28.32,260,993.33
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-12-2019,16:00:00,22.6,1006.47,0.00,3.7,7.00,32.5,56,27.41,240,990.39
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-12-2019,16:00:00,23.6,1006.38,0.00,9.3,10.00,35.0,52,29.05,290,1001.29
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,8.80,07-12-2019,16:00:00,24.3,1004.81,8.80,0.0,8.00,30.0,71,30.31,000,991.78
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-12-2019,16:00:00,22.0,1006.06,0.00,3.7,14.00,36.0,45,26.50,300,997.02
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.80,07-12-2019,16:00:00,22.3,1004.70,0.00,16.7,10.00,34.1,50,26.93,220,983.56
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-12-2019,16:00:00,21.4,1004.61,0.00,11.1,12.00,37.5,40,25.55,230,987.74
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-12-2019,16:00:00,23.3,1004.22,0.00,7.4,13.00,35.6,49,28.55,230,988.87
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-12-2019,16:00:00,24.2,1003.73,0.00,1.9,10.00,36.4,50,30.26,190,985.47
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.70,07-12-2019,16:00:00,20.0,1006.92,0.00,0.0,11.00,28.7,59,23.40,000,956.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-12-2019,16:00:00,25.2,1006.21,0.00,3.7,10.00,35.2,57,32.15,250,1002.36
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.90,07-12-2019,16:00:00,21.0,1007.89,0.00,13.0,8.00,24.5,81,24.86,210,913.62
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-12-2019,16:00:00,24.1,1004.40,0.00,11.1,10.00,37.7,46,30.09,230,989.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-12-2019,16:00:00,26.7,1006.05,0.00,0.0,12.00,35.0,62,35.09,000,1002.12
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-12-2019,16:00:00,24.1,1006.81,0.00,3.7,9.00,34.6,54,29.96,170,996.40
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-12-2019,16:00:00,25.1,1006.73,0.00,3.7,10.00,35.2,56,31.85,150,1004.85
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-12-2019,16:00:00,19.9,1004.63,0.00,9.3,10.00,37.0,37,23.16,200,984.49
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.10,07-12-2019,16:00:00,25.0,1004.70,0.10,0.0,10.00,31.7,68,31.77,000,987.35
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-12-2019,16:00:00,24.6,1004.53,0.00,7.4,10.00,33.8,59,30.91,250,988.76
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-12-2019,16:00:00,22.3,1005.62,0.00,11.1,10.00,36.1,45,26.99,230,992.02
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-12-2019,16:00:00,24.5,1006.25,0.00,0.0,12.00,35.5,53,30.70,000,991.84
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-12-2019,16:00:00,22.3,1006.43,0.00,7.4,10.00,35.9,45,26.86,290,992.19
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-12-2019,16:00:00,23.3,1006.12,0.00,0.0,10.00,35.9,48,28.60,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1003.19
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-12-2019,16:00:00,23.3,1005.82,0.00,3.7,10.00,35.5,50,28.64,200,998.10
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-12-2019,16:00:00,24.8,1006.52,0.00,3.7,10.00,35.2,55,31.24,270,1005.44
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-12-2019,16:00:00,22.2,1005.09,0.00,0.0,10.00,36.1,45,26.70,000,990.86
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-12-2019,16:00:00,20.8,1004.95,0.00,5.6,8.00,25.7,75,24.61,260,872.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-12-2019,16:00:00,24.9,1005.75,0.00,5.6,10.00,36.1,53,31.41,210,1000.05
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-12-2019,16:00:00,26.0,1006.70,0.00,1.9,8.00,36.8,54,33.60,270,1005.93
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-12-2019,16:00:00,23.8,1007.07,0.00,14.8,10.00,31.6,64,29.55,210,1006.63
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-12-2019,16:00:00,23.4,1008.21,0.00,5.6,10.00,33.5,56,28.84,020,997.14
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-12-2019,16:00:00,23.9,1006.39,0.00,5.6,12.00,36.4,49,29.66,180,1005.41
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-12-2019,16:00:00,24.0,1006.69,0.00,3.7,12.00,35.4,52,29.89,270,1004.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-12-2019,16:00:00,21.8,1005.94,0.00,0.0,10.00,36.5,43,26.09,000,1005.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-12-2019,16:00:00,23.1,1007.33,0.00,14.8,10.00,32.5,58,28.25,190,1006.64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-12-2019,16:00:00,24.7,1006.72,0.00,3.7,12.00,35.7,53,31.13,230,1006.04
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-12-2019,16:00:00,23.2,1005.52,0.00,7.4,10.00,36.4,47,28.48,260,985.03
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-12-2019,16:00:00,21.9,1005.65,0.00,9.3,13.00,36.7,42,26.21,230,989.48
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-12-2019,16:00:00,23.2,1006.22,0.00,5.6,10.00,36.8,46,28.44,210,990.32
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-12-2019,16:00:00,22.8,1005.51,0.00,0.0,10.00,36.6,45,27.73,000,984.36
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-12-2019,16:00:00,22.5,1006.17,0.00,18.5,10.00,32.0,57,27.27,240,963.66
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-12-2019,16:00:00,21.1,1005.03,0.00,5.6,10.00,37.1,40,25.03,120,985.17
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-12-2019,16:00:00,23.8,1007.19,0.00,9.3,10.00,37.0,47,29.46,230,987.04
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-12-2019,16:00:00,24.7,1007.26,0.00,22.2,10.00,31.8,66,31.10,180,1006.83
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-12-2019,16:00:00,25.4,1006.77,0.00,0.0,11.00,34.5,59,32.42,000,1005.39
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-12-2019,16:00:00,24.3,1006.78,0.00,0.0,10.00,34.5,55,30.34,000,1001.97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-12-2019,16:00:00,22.0,1006.57,0.00,16.7,12.00,36.4,44,26.45,320,1003.38
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-12-2019,16:00:00,23.5,1006.50,0.00,3.7,10.00,36.9,46,28.95,260,1005.43
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-12-2019,16:00:00,24.4,1007.08,0.00,9.3,10.00,33.5,59,30.57,210,1006.78
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-12-2019,16:00:00,22.9,1006.73,0.00,7.4,10.00,34.0,52,27.86,220,1006.06
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-12-2019,16:00:00,23.8,1007.11,0.00,3.7,10.00,34.4,54,29.54,160,1006.63
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-12-2019,16:00:00,22.7,1006.73,0.00,7.4,10.00,35.7,47,27.60,280,1005.36
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-12-2019,16:00:00,23.1,1007.47,0.00,20.4,10.00,30.9,63,28.17,200,1005.81
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-12-2019,16:00:00,20.7,1008.59,0.00,11.1,15.00,34.9,44,24.34,230,1000.78
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-12-2019,16:00:00,23.7,1007.30,0.00,0.0,12.00,34.8,53,29.21,000,1007.02
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-12-2019,16:00:00,23.2,1007.64,0.00,5.6,12.00,31.7,61,28.35,180,1004.55
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-12-2019,16:00:00,23.5,1008.03,0.00,11.1,12.00,31.6,62,28.99,240,1001.18
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-12-2019,16:00:00,24.0,1007.07,0.00,5.6,7.00,35.9,50,29.77,290,1001.63
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-12-2019,16:00:00,24.1,1009.02,0.00,7.4,12.00,32.0,63,30.08,230,999.84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-12-2019,16:00:00,25.2,1007.96,0.00,7.4,15.00,35.0,57,32.01,140,1006.73
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-12-2019,16:00:00,24.3,1007.58,0.00,14.8,11.00,33.3,60,30.45,150,1007.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-12-2019,16:00:00,22.2,1007.45,0.00,9.3,10.00,33.3,52,26.75,140,995.44
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-12-2019,16:00:00,22.6,1008.00,0.00,11.1,10.00,31.9,58,27.35,150,1007.29
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-12-2019,16:00:00,21.3,1008.46,0.00,18.5,10.00,34.3,47,25.38,190,1006.08
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-12-2019,16:00:00,24.1,1008.27,0.00,16.7,12.00,32.0,63,30.08,220,1007.76
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-12-2019,16:00:00,20.3,1008.21,0.00,5.6,15.00,32.6,48,23.81,210,1003.14
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.30,07-12-2019,16:00:00,23.2,1008.04,0.00,9.3,10.00,33.3,56,28.44,180,1007.64
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.50,07-12-2019,16:00:00,23.2,1008.37,0.00,9.3,10.00,32.3,59,28.41,140,1005.64
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-12-2019,16:00:00,26.7,1007.99,0.00,14.8,12.00,33.5,68,35.08,210,1007.22
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-12-2019,16:00:00,25.5,1008.86,0.00,5.6,10.00,30.6,74,32.67,210,1008.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-12-2019,16:00:00,22.4,1008.64,0.00,5.6,8.00,34.7,49,27.00,230,1007.97
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-12-2019,16:00:00,22.7,1008.14,0.00,0.0,10.00,35.0,49,27.61,000,1006.65
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-12-2019,16:00:00,23.9,1009.69,0.00,5.6,10.00,32.2,62,29.63,220,1008.79
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-12-2019,16:00:00,26.4,1009.71,0.00,11.1,10.00,31.0,77,34.41,090,1009.03
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,6.30,07-12-2019,16:00:00,24.3,1009.50,6.30,0.0,10.00,26.5,88,30.43,000,1008.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.70,07-12-2019,16:00:00,23.9,1010.59,0.30,27.8,10.00,28.7,75,29.71,180,1009.96
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,44.90,07-12-2019,16:00:00,23.9,1011.26,42.80,0.0,5.00,24.2,98,29.66,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.85
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.00,07-12-2019,16:00:00,23.3,1013.32,29.00,0.0,1.00,24.2,95,28.62,000,1009.04
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-12-2019,16:00:00,23.0,1009.15,0.00,0.0,10.00,29.4,68,28.04,000,1007.55
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-12-2019,16:00:00,23.0,1010.19,0.00,11.1,10.00,31.7,60,28.07,180,1006.76
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.50,07-12-2019,16:00:00,23.5,1010.09,0.50,5.6,10.00,27.0,81,28.94,270,1008.73
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.10,07-12-2019,16:00:00,24.9,1009.31,0.00,0.0,10.00,32.0,66,31.52,000,1008.43
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-12-2019,16:00:00,24.8,1009.73,0.00,9.3,10.00,30.5,72,31.31,180,1006.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-12-2019,16:00:00,25.3,1009.40,0.00,9.3,10.00,32.9,64,32.25,130,1008.97
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-12-2019,16:00:00,24.5,1008.82,0.00,11.1,8.00,33.2,61,30.82,260,1007.84
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.01,07-12-2019,16:00:00,24.2,1010.33,0.01,0.0,10.00,28.4,78,30.23,000,1009.52
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.00,07-12-2019,16:00:00,23.5,1010.53,5.50,5.6,10.00,25.0,92,29.00,040,1008.70
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-12-2019,16:00:00,22.5,1009.92,0.00,5.6,12.00,28.5,70,27.18,190,1009.17
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.40,07-12-2019,16:00:00,23.8,1010.40,1.40,0.0,10.00,24.7,95,29.51,000,1006.36
48570,SATUN,สตูล,สตูล,6.65000,100.08333,9.10,07-12-2019,16:00:00,23.0,1010.50,6.00,0.0,10.00,24.6,91,28.03,000,1009.81
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.80,07-12-2019,16:00:00,24.0,1010.56,20.60,0.0,10.00,24.6,97,29.85,000,1009.44
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,19.50,07-12-2019,16:00:00,23.8,1010.41,1.00,0.0,10.00,25.0,93,29.52,000,1007.46
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-12-2019,16:00:00,23.1,1009.96,0.00,14.8,6.00,26.0,84,28.18,230,1009.27
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,50.30,07-12-2019,16:00:00,23.0,1010.48,0.10,13.0,7.00,26.7,80,28.13,200,1006.34
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1.60,07-12-2019,16:00:00,24.6,1009.17,0.00,13.0,12.00,32.7,63,30.94,020,1008.59
