WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,WindSpeed,WindDirection,RelativeHumidity,Rainfall24Hr
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1005.32,08-11-2019,10:00:00,988.84,24.8,0.00,30.8,31.35,11.00,9.3,180,71,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1005.32,08-11-2019,10:00:00,989.16,25.1,0.00,31.5,31.93,10.00,7.4,180,69,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.26,08-11-2019,10:00:00,982.87,23.8,0.00,32.7,29.50,10.00,0.0,000,60,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1004.54,08-11-2019,10:00:00,961.67,22.1,0.00,28.9,26.58,10.00,14.8,210,67,2.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.55,08-11-2019,10:00:00,984.36,22.7,0.00,31.7,27.52,10.00,7.4,190,59,1.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1006.31,08-11-2019,10:00:00,985.75,25.9,0.00,30.5,33.34,9.00,22.2,190,76,0.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.24,08-11-2019,10:00:00,1004.81,24.3,0.00,29.2,30.40,10.00,16.7,200,75,1.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.36,08-11-2019,10:00:00,1003.97,25.7,0.00,30.8,33.09,10.00,0.0,000,75,0.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.67,08-11-2019,10:00:00,1000.80,25.8,0.00,30.2,33.29,8.00,3.7,190,78,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.89,08-11-2019,10:00:00,1001.63,25.0,0.00,29.7,31.68,12.00,5.6,210,76,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.11,08-11-2019,10:00:00,1004.02,24.8,0.00,30.8,31.35,10.00,0.0,000,71,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.40,08-11-2019,10:00:00,1005.10,25.6,0.00,30.7,32.88,10.00,11.1,220,74,0.10
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.07,08-11-2019,10:00:00,1004.40,26.1,0.00,31.0,33.81,10.00,7.4,210,75,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.24,08-11-2019,10:00:00,1004.76,24.1,0.00,31.0,30.05,10.00,7.4,230,67,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.49,08-11-2019,10:00:00,1004.10,25.1,0.00,30.5,31.88,10.00,14.8,190,73,1.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.83,08-11-2019,10:00:00,1004.16,25.2,0.00,29.5,32.13,10.00,25.9,190,78,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.24,08-11-2019,10:00:00,999.31,24.0,0.00,29.8,29.91,10.00,18.5,230,71,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.30,08-11-2019,10:00:00,1005.02,25.9,0.00,30.3,33.50,10.00,0.0,000,78,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.78,08-11-2019,10:00:00,1002.68,24.7,0.00,30.0,31.15,10.00,7.4,280,73,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.07,08-11-2019,10:00:00,999.20,25.2,0.00,29.5,32.13,12.00,13.0,210,78,0.20
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.06,08-11-2019,10:00:00,1000.54,25.5,0.00,31.0,32.63,7.00,7.4,160,73,1.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1005.93,08-11-2019,10:00:00,996.72,25.1,0.00,29.8,31.89,10.00,14.8,210,76,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.59,08-11-2019,10:00:00,1004.34,25.4,0.00,29.5,32.42,14.00,7.4,120,79,2.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.57,08-11-2019,10:00:00,1005.14,25.5,0.00,29.2,32.67,11.00,5.6,210,81,0.40
