WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,VaporPressure,WindDirection,MeanSeaLevelPressure,RelativeHumidity,StationPressure,WindSpeed,DewPoint,LandVisibility,Rainfall
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.7,08-21-2019,22:00:00,60.90,32.18,000,1006.66,97,979.09,0.0,25.3,10.00,0.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.5,08-21-2019,22:00:00,2.80,30.17,000,1006.00,93,972.40,0.0,24.2,10.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.6,08-21-2019,22:00:00,7.00,30.63,000,1006.71,93,988.15,0.0,24.4,3.00,3.80
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.6,08-21-2019,22:00:00,87.90,31.17,000,1006.77,95,983.90,0.0,24.7,8.00,20.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.2,08-21-2019,22:00:00,49.30,29.62,320,1006.90,92,976.91,1.9,23.9,5.00,6.90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.8,08-21-2019,22:00:00,2.40,31.00,000,1007.16,93,971.61,0.0,24.6,6.00,0.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.3,08-21-2019,22:00:00,24.40,29.84,000,1006.86,98,976.96,0.0,24.0,12.00,0.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.5,08-21-2019,22:00:00,11.80,29.91,000,1006.63,92,999.29,0.0,24.0,6.00,11.80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.2,08-21-2019,22:00:00,78.40,33.74,070,1006.65,94,986.78,3.7,26.1,12.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,24.8,08-21-2019,22:00:00,13.70,30.48,000,1007.35,97,978.52,0.0,24.4,12.00,0.01
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.5,08-21-2019,22:00:00,63.90,31.52,000,1006.71,91,986.53,0.0,24.9,12.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.8,08-21-2019,22:00:00,25.70,32.94,000,1007.67,94,985.93,0.0,25.7,10.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.6,08-21-2019,22:00:00,6.80,33.38,000,1006.51,96,987.02,0.0,25.9,10.00,1.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.1,08-21-2019,22:00:00,2.90,32.69,000,1007.15,91,990.42,0.0,25.5,6.00,2.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.8,08-21-2019,22:00:00,3.70,32.66,000,1007.18,93,989.77,0.0,25.5,10.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.0,08-21-2019,22:00:00,0.40,31.38,000,1006.19,88,980.45,0.0,24.8,10.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.5,08-21-2019,22:00:00,51.80,32.07,000,1006.59,98,1000.77,0.0,25.2,8.00,5.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.4,08-21-2019,22:00:00,53.60,30.28,000,1007.02,99,1000.77,0.0,24.2,7.00,11.40
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.0,08-21-2019,22:00:00,0.00,31.38,000,1007.43,88,990.99,0.0,24.8,8.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.0,08-21-2019,22:00:00,0.40,28.18,150,1005.94,84,983.57,5.6,23.1,10.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.0,08-21-2019,22:00:00,17.40,31.38,000,1007.02,93,992.59,0.0,24.8,5.00,0.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.8,08-21-2019,22:00:00,3.00,29.36,000,1006.31,79,989.98,0.0,23.7,7.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.3,08-21-2019,22:00:00,0.40,31.68,080,1007.57,93,1002.33,3.7,25.0,10.00,0.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.3,08-21-2019,22:00:00,13.60,29.80,000,1006.26,92,993.00,0.0,24.0,8.00,13.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.7,08-21-2019,22:00:00,6.40,31.63,000,1006.46,96,997.11,0.0,25.0,7.00,0.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.1,08-21-2019,22:00:00,0.00,30.75,230,1007.26,86,985.58,1.9,24.5,10.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.0,08-21-2019,22:00:00,44.00,32.20,210,1007.04,96,989.48,22.2,25.3,5.00,8.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.7,08-21-2019,22:00:00,19.00,33.62,000,1006.00,91,990.22,0.0,26.0,10.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.0,08-21-2019,22:00:00,0.00,32.23,150,1006.21,85,987.40,1.9,25.3,8.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.4,08-21-2019,22:00:00,6.70,26.50,000,1007.01,92,955.41,0.0,22.0,5.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.2,08-21-2019,22:00:00,0.01,31.22,080,1006.66,87,1002.71,3.7,24.8,8.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,08-21-2019,22:00:00,19.10,23.24,230,1007.32,95,911.95,7.4,19.9,2.50,0.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.8,08-21-2019,22:00:00,11.00,31.55,000,1007.46,95,991.41,0.0,24.9,4.00,3.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.8,08-21-2019,22:00:00,0.30,33.53,000,1006.88,90,1002.85,0.0,26.0,10.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,08-21-2019,22:00:00,0.80,30.44,000,1008.64,93,997.90,0.0,24.3,7.00,0.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.0,08-21-2019,22:00:00,3.30,32.77,000,1007.54,92,1005.61,0.0,25.6,7.00,0.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.8,08-21-2019,22:00:00,0.00,29.09,280,1007.68,78,986.87,5.6,23.6,10.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.5,08-21-2019,22:00:00,51.70,30.20,200,1007.74,98,989.92,11.1,24.2,7.00,40.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.0,08-21-2019,22:00:00,29.60,31.12,190,1007.12,98,990.86,5.6,24.7,6.00,24.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.7,08-21-2019,22:00:00,22.10,30.26,200,1007.38,86,993.33,5.6,24.2,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,08-21-2019,22:00:00,4.90,30.03,000,1008.56,89,993.66,0.0,24.1,9.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.8,08-21-2019,22:00:00,0.10,31.56,220,1007.73,84,993.09,11.1,24.9,8.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.8,08-21-2019,22:00:00,0.10,33.82,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.49,91,1003.48,0.0,26.1,10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.4,08-21-2019,22:00:00,2.40,28.93,000,1007.52,89,999.52,0.0,23.5,7.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.2,08-21-2019,22:00:00,14.20,32.32,090,1007.72,95,1006.61,3.7,25.3,6.00,5.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.0,08-21-2019,22:00:00,5.50,27.85,000,1007.67,74,993.03,0.0,22.9,8.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.7,08-21-2019,22:00:00,1.00,22.71,200,1009.49,99,874.25,5.6,19.5,.05,1.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.0,08-21-2019,22:00:00,4.20,30.85,190,1008.39,97,1002.47,5.6,24.6,10.00,3.70
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.6,08-21-2019,22:00:00,1.80,32.28,230,1008.06,87,1007.26,5.6,25.3,8.00,0.10
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.4,08-21-2019,22:00:00,0.00,30.80,230,1007.84,75,1007.40,11.1,24.5,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.8,08-21-2019,22:00:00,8.40,29.16,000,1008.62,93,997.21,0.0,23.6,4.00,2.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.7,08-21-2019,22:00:00,4.20,34.77,000,1007.86,94,1006.85,0.0,26.6,10.00,0.30
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.5,08-21-2019,22:00:00,0.20,29.89,000,1007.62,86,1006.86,0.0,24.0,6.00,0.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.9,08-21-2019,22:00:00,0.00,29.54,210,1008.06,74,1007.36,11.1,23.8,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.0,08-21-2019,22:00:00,0.20,32.26,000,1008.15,81,1007.45,0.0,25.3,7.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.4,08-21-2019,22:00:00,0.30,29.13,240,1007.43,71,986.44,9.3,23.6,10.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.9,08-21-2019,22:00:00,0.50,29.28,180,1007.71,78,991.03,5.6,23.7,7.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.5,08-21-2019,22:00:00,0.60,29.60,180,1007.85,81,991.44,7.4,23.9,8.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.5,08-21-2019,22:00:00,0.00,30.15,000,1007.73,78,985.97,0.0,24.2,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.0,08-21-2019,22:00:00,6.10,27.25,220,1008.91,91,965.17,7.4,22.5,6.00,6.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.5,08-21-2019,22:00:00,0.00,29.06,210,1007.97,79,987.43,5.6,23.6,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.4,08-21-2019,22:00:00,2.60,31.61,000,1009.02,87,988.19,0.0,25.0,9.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.2,08-21-2019,22:00:00,0.70,28.21,250,1008.13,70,1007.70,7.4,23.1,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.6,08-21-2019,22:00:00,0.00,31.16,000,1007.75,84,1006.33,0.0,24.7,6.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.1,08-21-2019,22:00:00,4.50,32.12,000,1009.01,95,1004.06,0.0,25.2,7.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.8,08-21-2019,22:00:00,0.00,28.55,230,1008.34,76,1005.05,3.7,23.3,10.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.0,08-21-2019,22:00:00,0.20,31.11,000,1008.16,87,1007.05,0.0,24.7,10.00,0.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.5,08-21-2019,22:00:00,0.00,29.60,160,1008.28,72,1007.98,3.7,23.9,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.0,08-21-2019,22:00:00,0.00,29.74,270,1008.24,74,1007.75,3.7,23.9,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.9,08-21-2019,22:00:00,5.80,30.37,240,1008.46,81,1007.06,13.0,24.3,10.00,0.80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,27.4,08-21-2019,22:00:00,0.01,31.05,000,1009.86,85,1001.84,0.0,24.7,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.5,08-21-2019,22:00:00,0.00,33.58,000,1008.14,81,1007.86,0.0,26.0,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.0,08-21-2019,22:00:00,0.00,31.13,000,1008.18,78,1005.06,0.0,24.7,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.6,08-21-2019,22:00:00,0.00,30.07,260,1008.58,77,1001.66,13.0,24.1,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.0,08-21-2019,22:00:00,1.10,30.56,190,1008.10,81,1002.51,7.4,24.4,8.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.0,08-21-2019,22:00:00,3.30,30.84,000,1009.06,92,1007.79,0.0,24.6,10.00,0.10
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.0,08-21-2019,22:00:00,0.70,28.65,300,1008.48,76,1008.04,3.7,23.3,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.1,08-21-2019,22:00:00,0.00,28.10,180,1008.81,83,996.49,3.7,23.0,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.3,08-21-2019,22:00:00,5.50,29.50,210,1008.63,81,1007.91,5.6,23.8,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.2,08-21-2019,22:00:00,2.00,31.79,210,1008.53,83,1006.10,5.6,25.1,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,08-21-2019,22:00:00,0.01,32.55,250,1009.03,81,1008.51,9.3,25.5,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.9,08-21-2019,22:00:00,7.60,31.74,000,1008.86,90,1003.70,0.0,25.0,9.00,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.4,08-21-2019,22:00:00,4.00,33.04,190,1008.89,85,1008.48,7.4,25.7,7.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.3,08-21-2019,22:00:00,9.10,33.95,000,1009.36,94,1006.59,0.0,26.2,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.8,08-21-2019,22:00:00,1.00,27.00,310,1009.48,77,1008.69,7.4,22.4,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.7,08-21-2019,22:00:00,48.40,33.05,240,1009.41,89,1008.95,5.6,25.7,7.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.0,08-21-2019,22:00:00,2.40,26.43,300,1009.70,83,1009.01,3.7,22.0,8.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.0,08-21-2019,22:00:00,0.40,29.76,000,1010.02,89,1008.49,0.0,24.0,8.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.4,08-21-2019,22:00:00,50.60,28.45,000,1010.81,93,1009.88,0.0,23.2,10.00,3.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.7,08-21-2019,22:00:00,0.70,30.54,000,1010.31,78,1009.62,0.0,24.4,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.2,08-21-2019,22:00:00,1.20,30.15,190,1010.83,94,1010.03,3.7,24.2,10.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.9,08-21-2019,22:00:00,35.00,30.38,000,1010.62,91,1009.99,0.0,24.3,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.2,08-21-2019,22:00:00,8.00,29.36,150,1010.26,92,1009.85,7.4,23.7,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.6,08-21-2019,22:00:00,0.00,27.69,000,1012.11,80,1007.88,0.0,22.8,6.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.3,08-21-2019,22:00:00,4.20,29.57,000,1011.20,97,1009.57,0.0,23.9,10.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.8,08-21-2019,22:00:00,11.80,30.22,000,1011.05,97,1007.54,0.0,24.2,8.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.8,08-21-2019,22:00:00,0.00,30.18,000,1011.05,86,1009.68,0.0,24.2,10.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.7,08-21-2019,22:00:00,30.20,30.30,000,1010.77,97,1009.88,0.0,24.3,10.00,0.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.4,08-21-2019,22:00:00,2.70,29.49,000,1011.02,97,1007.41,0.0,23.8,10.00,1.30
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.5,08-21-2019,22:00:00,21.60,29.91,000,1010.54,92,1010.10,0.0,24.0,8.00,10.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,27.2,08-21-2019,22:00:00,8.30,29.58,240,1010.62,82,1009.62,16.7,23.9,10.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.6,08-21-2019,22:00:00,0.40,32.28,270,1011.21,87,1010.40,16.7,25.3,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.4,08-21-2019,22:00:00,8.10,29.72,000,1011.34,92,1009.51,0.0,23.9,10.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.7,08-21-2019,22:00:00,2.10,29.17,250,1010.76,79,1010.01,5.6,23.6,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.4,08-21-2019,22:00:00,0.00,29.97,240,1011.36,87,1007.34,9.3,24.1,10.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.5,08-21-2019,22:00:00,21.30,31.24,000,1012.44,90,1011.75,0.0,24.8,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,27.0,08-21-2019,22:00:00,0.40,30.56,000,1010.90,86,1009.78,0.0,24.4,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.4,08-21-2019,22:00:00,7.90,30.51,000,1011.53,89,1008.59,0.0,24.4,10.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.0,08-21-2019,22:00:00,3.70,30.56,000,1010.33,86,1009.64,0.0,24.4,10.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.2,08-21-2019,22:00:00,0.20,28.54,260,1011.21,84,1007.06,9.3,23.3,8.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.5,08-21-2019,22:00:00,31.30,29.91,000,1010.47,92,1009.88,0.0,24.0,8.00,0.00
