WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,WindSpeed,WindDirection,LandVisibility,AirTemperature,DewPoint,VaporPressure,StationPressure,Rainfall24Hr,RelativeHumidity
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.72,07-30-2019,13:00:00,0.00,0.0,000,8.00,32.5,23.1,28.25,1001.83,0.00,58
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1007.76,07-30-2019,13:00:00,0.00,16.7,230,6.00,22.6,20.3,23.77,912.93,2.50,87
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1005.32,07-30-2019,13:00:00,2.80,13.0,310,5.00,25.6,24.7,31.17,989.29,62.10,95
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.33,07-30-2019,13:00:00,0.00,5.6,250,10.00,33.2,23.7,29.37,1002.38,0.00,58
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.57,07-30-2019,13:00:00,0.00,5.6,250,8.00,34.4,21.3,25.30,996.16,0.00,47
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.32,07-30-2019,13:00:00,0.00,14.8,210,11.00,34.9,20.1,23.52,1004.45,0.00,42
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1004.66,07-30-2019,13:00:00,0.00,14.8,280,10.00,33.0,19.3,22.43,984.25,0.00,45
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1004.22,07-30-2019,13:00:00,3.00,11.1,310,10.00,30.0,25.0,31.72,986.78,14.00,75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1004.01,07-30-2019,13:00:00,2.50,7.4,310,10.00,29.4,26.0,33.66,988.02,22.80,82
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.53,07-30-2019,13:00:00,0.00,7.4,240,10.00,31.0,23.8,29.48,990.72,48.30,66
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.88,07-30-2019,13:00:00,0.00,3.7,250,10.00,31.1,24.5,30.82,990.28,28.80,68
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1005.25,07-30-2019,13:00:00,0.00,11.1,270,10.00,31.8,25.3,32.27,990.83,75.70,69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.22,07-30-2019,13:00:00,0.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,35.6,19.9,23.22,1003.29,0.10,40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.82,07-30-2019,13:00:00,0.00,0.0,000,10.00,32.3,22.9,27.85,998.02,1.50,58
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.62,07-30-2019,13:00:00,0.00,11.1,230,8.00,34.0,23.2,28.43,1005.54,0.00,53
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.18,07-30-2019,13:00:00,0.00,0.0,000,9.00,31.8,25.0,31.68,990.75,24.80,67
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.41,07-30-2019,13:00:00,0.00,5.6,290,8.00,22.5,20.2,23.62,872.76,16.20,87
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.75,07-30-2019,13:00:00,0.00,5.6,280,10.00,35.0,21.9,26.19,1000.03,0.00,47
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.85,07-30-2019,13:00:00,0.00,20.4,300,8.00,34.9,22.1,26.55,1006.07,0.00,47
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.72,07-30-2019,13:00:00,0.00,13.0,240,10.00,32.2,24.4,30.48,1006.28,0.00,63
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.83,07-30-2019,13:00:00,0.00,0.0,000,10.00,31.5,23.1,28.23,997.67,1.80,61
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.26,07-30-2019,13:00:00,0.00,7.4,270,12.00,35.8,21.3,25.25,1005.28,0.00,43
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.61,07-30-2019,13:00:00,0.00,3.7,270,8.00,35.5,23.3,28.64,1004.84,0.00,50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.50,07-30-2019,13:00:00,0.00,11.1,230,9.00,34.0,20.6,24.26,1005.75,0.00,46
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.37,07-30-2019,13:00:00,0.00,14.8,290,10.00,33.7,22.3,26.98,1005.68,5.80,52
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.21,07-30-2019,13:00:00,0.00,7.4,290,9.00,32.6,24.5,30.73,1005.52,0.00,62
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1005.13,07-30-2019,13:00:00,0.00,9.3,280,10.00,34.5,21.8,26.04,984.53,0.10,48
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1005.14,07-30-2019,13:00:00,0.00,11.1,240,11.00,31.1,22.1,26.65,988.68,48.10,59
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1005.50,07-30-2019,13:00:00,0.00,7.4,270,9.00,31.5,22.8,27.68,989.34,44.90,60
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1005.11,07-30-2019,13:00:00,0.00,7.4,260,10.00,34.0,20.1,23.46,983.79,0.00,44
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.80,07-30-2019,13:00:00,0.00,14.8,210,10.00,30.6,20.4,23.88,963.11,0.00,54
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.43,07-30-2019,13:00:00,0.00,13.0,070,10.00,34.0,21.7,25.90,984.38,1.00,49
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1006.81,07-30-2019,13:00:00,0.00,5.6,300,10.00,29.7,24.4,30.55,986.18,26.00,73
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.51,07-30-2019,13:00:00,0.00,14.8,340,10.00,34.7,21.1,25.05,1006.09,0.00,45
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.37,07-30-2019,13:00:00,0.00,0.0,000,11.00,32.0,24.9,31.52,1004.98,0.40,66
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.17,07-30-2019,13:00:00,0.00,0.0,000,9.00,33.0,23.7,29.25,1001.33,0.00,58
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.92,07-30-2019,13:00:00,0.00,11.1,280,12.00,33.0,21.7,25.90,1003.69,0.00,51
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.99,07-30-2019,13:00:00,0.00,11.1,280,10.00,33.1,21.6,25.82,1005.91,0.00,51
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.58,07-30-2019,13:00:00,0.00,7.4,270,10.00,34.0,21.5,25.63,1006.29,0.00,48
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.36,07-30-2019,13:00:00,0.00,0.0,000,10.00,34.0,22.4,27.01,1005.69,0.00,51
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.43,07-30-2019,13:00:00,0.00,5.6,270,10.00,33.8,22.5,27.18,1005.95,0.00,52
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.63,07-30-2019,13:00:00,0.00,27.8,290,10.00,32.9,21.4,25.44,1005.25,0.01,51
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.84,07-30-2019,13:00:00,0.00,16.7,210,10.00,32.0,23.3,28.66,1005.19,0.00,60
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.07,07-30-2019,13:00:00,0.00,3.7,220,10.00,32.5,21.4,25.49,1000.20,0.00,52
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.22,07-30-2019,13:00:00,0.00,11.1,270,10.00,33.0,24.5,30.69,1005.94,0.00,61
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.51,07-30-2019,13:00:00,0.00,5.6,200,12.00,32.1,23.3,28.58,1003.43,0.00,60
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.93,07-30-2019,13:00:00,0.00,11.1,300,12.00,32.4,23.5,28.89,1000.11,0.00,59
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.23,07-30-2019,13:00:00,0.00,18.5,310,8.00,33.7,22.5,27.26,1000.76,0.01,52
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1007.75,07-30-2019,13:00:00,0.00,9.3,310,12.00,36.0,22.9,27.93,998.70,0.00,47
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.85,07-30-2019,13:00:00,0.00,18.5,290,14.00,33.4,22.0,26.39,1006.61,0.00,51
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.54,07-30-2019,13:00:00,0.00,14.8,330,11.00,33.5,25.5,32.65,1006.12,0.00,63
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.66,07-30-2019,13:00:00,0.00,9.3,320,10.00,35.2,21.2,25.19,994.73,0.00,44
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.74,07-30-2019,13:00:00,0.00,11.1,120,10.00,32.8,24.9,31.44,1006.04,0.00,63
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.64,07-30-2019,13:00:00,0.00,14.8,250,12.00,35.3,22.6,27.36,1005.27,0.00,48
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.95,07-30-2019,13:00:00,0.00,14.8,230,12.00,31.1,24.5,30.82,1006.44,0.00,68
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.49,07-30-2019,13:00:00,0.00,22.2,290,12.00,34.3,19.3,22.41,1001.46,0.00,41
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.05,07-30-2019,13:00:00,0.00,9.3,220,10.00,31.8,24.2,30.24,1006.64,0.00,64
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.01,07-30-2019,13:00:00,0.00,7.4,240,8.00,31.0,26.1,33.81,1004.27,0.00,75
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.19,07-30-2019,13:00:00,0.00,0.0,000,12.00,35.8,21.6,25.81,1006.43,0.00,44
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.35,07-30-2019,13:00:00,0.00,5.6,270,8.00,32.0,25.7,32.99,1006.90,0.01,69
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.95,07-30-2019,13:00:00,0.00,11.1,270,10.00,33.2,23.4,28.80,1007.28,0.20,57
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.18,07-30-2019,13:00:00,0.00,7.4,280,9.00,33.0,23.7,29.25,1006.68,0.60,58
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.71,07-30-2019,13:00:00,0.00,11.1,240,10.00,32.1,24.2,30.28,1008.81,0.20,63
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.03,07-30-2019,13:00:00,0.00,7.4,290,10.00,33.0,24.0,29.83,1009.35,0.00,59
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.60,07-30-2019,13:00:00,0.00,5.6,250,10.00,35.0,23.6,29.05,1007.83,0.00,52
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.46,07-30-2019,13:00:00,0.00,1.9,200,10.00,34.4,22.5,27.25,1007.84,0.00,50
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.97,07-30-2019,13:00:00,0.00,7.4,330,10.00,35.5,24.2,30.10,1007.58,0.00,52
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.00,07-30-2019,13:00:00,0.00,13.0,270,10.00,33.7,23.3,28.68,1007.86,0.00,55
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.95,07-30-2019,13:00:00,0.00,9.3,240,12.00,32.9,22.9,27.92,1007.36,0.00,56
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.97,07-30-2019,13:00:00,0.00,0.0,000,12.00,32.8,24.4,30.57,1006.55,0.00,61
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.48,07-30-2019,13:00:00,0.00,13.0,310,10.00,34.0,22.0,26.46,1007.15,0.00,50
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.52,07-30-2019,13:00:00,0.00,7.4,240,10.00,32.0,25.8,33.29,1008.65,1.20,70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.60,07-30-2019,13:00:00,0.00,11.1,210,10.00,31.9,24.3,30.44,1006.09,0.00,64
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.38,07-30-2019,13:00:00,0.00,11.1,240,10.00,33.0,24.5,30.69,1008.95,3.20,61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.67,07-30-2019,13:00:00,0.00,11.1,250,10.00,31.8,24.9,31.39,1008.69,1.60,67
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.16,07-30-2019,13:00:00,0.00,18.5,240,10.00,31.2,25.6,32.76,1009.35,0.00,72
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.21,07-30-2019,13:00:00,0.00,11.1,170,10.00,32.0,26.4,34.49,1007.42,0.00,73
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.52,07-30-2019,13:00:00,0.00,5.6,010,11.00,34.5,22.6,27.45,1007.79,0.00,50
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.79,07-30-2019,13:00:00,0.00,14.8,240,10.00,33.2,22.3,26.84,1004.87,0.00,53
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.71,07-30-2019,13:00:00,0.00,11.1,250,10.00,33.3,21.9,26.20,1009.04,0.00,51
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.78,07-30-2019,13:00:00,0.00,5.6,230,12.00,34.4,23.0,28.10,1007.69,0.00,52
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.34,07-30-2019,13:00:00,0.00,13.0,240,12.00,34.3,23.1,28.18,1006.49,0.00,52
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.58,07-30-2019,13:00:00,0.00,7.4,220,11.00,34.0,24.3,30.46,1007.91,0.00,57
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.99,07-30-2019,13:00:00,0.00,13.0,230,10.00,33.5,22.3,26.87,1004.95,0.00,52
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.37,07-30-2019,13:00:00,0.00,0.0,000,12.00,34.5,20.3,23.85,1007.80,0.00,44
