WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,LandVisibility,AirTemperature,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,VaporPressure,StationPressure,WindSpeed
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1010.39,10-12-2019,04:00:00,0.00,10.00,24.5,94,000,23.5,0.00,28.89,982.61,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1009.74,10-12-2019,04:00:00,0.00,10.00,24.1,91,000,22.5,0.00,27.17,975.86,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1009.00,10-12-2019,04:00:00,0.00,8.00,24.0,95,210,23.1,4.00,28.27,990.31,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,1009.84,10-12-2019,04:00:00,0.00,10.00,24.2,92,000,22.9,0.00,27.85,986.79,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1010.13,10-12-2019,04:00:00,0.00,5.00,23.0,95,000,22.1,0.00,26.58,979.82,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1009.46,10-12-2019,04:00:00,0.00,7.00,23.4,92,000,22.0,0.00,26.50,973.55,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1009.00,10-12-2019,04:00:00,0.00,8.00,23.1,97,000,22.6,0.00,27.49,978.91,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.75,10-12-2019,04:00:00,0.00,8.00,25.8,92,000,24.3,0.70,30.46,1001.40,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.99,10-12-2019,04:00:00,0.00,4.00,27.3,91,000,25.7,0.00,33.09,989.09,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1009.34,10-12-2019,04:00:00,0.00,10.00,24.5,90,000,22.7,0.01,27.60,980.42,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1008.93,10-12-2019,04:00:00,0.00,10.00,25.2,91,000,23.6,0.00,29.10,988.62,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1010.06,10-12-2019,04:00:00,0.00,10.00,23.9,92,000,22.6,0.00,27.34,988.06,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1009.34,10-12-2019,04:00:00,0.00,10.00,25.3,84,170,22.5,0.00,27.20,989.72,7.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1009.95,10-12-2019,04:00:00,0.00,11.00,24.7,84,110,21.8,0.00,26.18,993.03,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1010.43,10-12-2019,04:00:00,0.00,10.00,23.6,90,000,21.9,0.00,26.33,992.77,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1008.65,10-12-2019,04:00:00,0.00,7.00,25.7,96,000,25.0,0.00,31.63,982.74,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1008.83,10-12-2019,04:00:00,0.00,8.00,26.4,99,000,26.3,0.00,34.12,1003.02,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1009.02,10-12-2019,04:00:00,0.00,6.00,26.0,95,000,25.1,0.00,31.93,1002.80,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1009.49,10-12-2019,04:00:00,0.00,8.00,25.4,92,000,24.1,8.90,29.99,992.93,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.78,10-12-2019,04:00:00,0.00,8.00,24.5,91,120,23.0,0.00,28.11,985.26,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.56,10-12-2019,04:00:00,0.00,10.00,24.7,94,000,23.7,0.00,29.25,995.03,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1009.14,10-12-2019,04:00:00,0.00,7.00,23.6,95,000,22.7,0.00,27.58,992.54,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1009.22,10-12-2019,04:00:00,0.00,10.00,26.2,93,000,25.0,0.00,31.76,1003.96,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1007.76,10-12-2019,04:00:00,0.00,10.00,26.0,89,000,24.0,0.00,29.76,994.52,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.79,10-12-2019,04:00:00,0.00,11.00,25.3,93,000,24.1,0.00,30.07,999.40,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.77,10-12-2019,04:00:00,0.00,6.00,26.4,85,310,23.6,0.00,29.17,987.00,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1009.26,10-12-2019,04:00:00,0.00,10.00,27.0,92,000,25.6,0.00,32.77,991.72,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1009.05,10-12-2019,04:00:00,0.00,10.00,24.6,85,000,21.9,0.00,26.26,993.06,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1008.06,10-12-2019,04:00:00,2.00,8.00,26.0,93,000,24.7,2.00,31.11,989.09,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1011.24,10-12-2019,04:00:00,0.00,6.00,21.5,93,000,20.3,9.40,23.74,959.10,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.27,10-12-2019,04:00:00,0.00,5.00,26.5,92,000,25.1,0.00,31.79,1004.30,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1010.89,10-12-2019,04:00:00,0.00,5.00,18.6,97,000,18.1,0.00,20.77,914.54,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1009.16,10-12-2019,04:00:00,0.00,7.00,25.5,93,000,24.3,0.00,30.44,993.07,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.40,10-12-2019,04:00:00,0.00,6.00,26.0,96,000,25.3,0.00,32.20,1004.35,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.70,10-12-2019,04:00:00,0.00,7.00,24.8,95,000,23.9,0.30,29.69,998.92,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.87,10-12-2019,04:00:00,0.00,6.00,26.5,92,000,25.1,0.00,31.79,1006.93,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.63,10-12-2019,04:00:00,0.00,10.00,25.0,85,000,22.3,0.00,26.94,987.60,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.93,10-12-2019,04:00:00,0.00,10.00,26.0,94,000,25.0,0.00,31.65,991.18,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.37,10-12-2019,04:00:00,0.00,10.00,26.5,94,000,25.5,0.00,32.63,992.17,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.04,10-12-2019,04:00:00,0.00,10.00,26.0,92,000,24.6,0.60,30.84,994.93,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.44,10-12-2019,04:00:00,0.00,6.00,25.1,95,000,24.2,0.00,30.23,994.49,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.96,10-12-2019,04:00:00,0.00,7.00,26.5,99,000,26.4,0.00,34.32,994.24,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.33,10-12-2019,04:00:00,0.00,7.00,26.4,93,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.1,0.00,31.88,1005.30,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.79,10-12-2019,04:00:00,0.00,7.00,26.1,93,000,24.8,0.00,31.30,1000.80,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.01,10-12-2019,04:00:00,0.00,6.00,27.7,87,130,25.4,0.00,32.48,1007.90,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1009.17,10-12-2019,04:00:00,0.00,8.00,26.0,92,000,24.6,0.00,30.84,994.41,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1011.07,10-12-2019,04:00:00,0.00,8.00,19.2,99,000,19.0,14.60,22.01,875.42,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.79,10-12-2019,04:00:00,0.00,10.00,25.5,96,000,24.8,0.00,31.25,1002.87,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.65,10-12-2019,04:00:00,0.00,8.00,26.5,89,000,24.5,0.00,30.70,1007.85,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.69,10-12-2019,04:00:00,0.00,10.00,28.0,77,210,23.6,0.00,29.19,1008.25,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.17,10-12-2019,04:00:00,0.00,4.00,25.0,96,000,24.3,0.00,30.32,997.77,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.72,10-12-2019,04:00:00,0.00,6.00,27.3,90,000,25.4,0.00,32.53,1007.71,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.82,10-12-2019,04:00:00,0.00,7.00,26.9,93,000,25.6,0.00,32.86,1007.00,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.88,10-12-2019,04:00:00,0.00,7.00,28.3,72,000,22.7,0.00,27.61,1005.12,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.98,10-12-2019,04:00:00,0.00,9.00,27.4,80,320,23.6,1.60,29.15,1008.28,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.87,10-12-2019,04:00:00,0.00,7.00,27.6,90,140,25.8,0.00,33.13,1008.17,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1009.04,10-12-2019,04:00:00,0.00,9.00,25.1,91,000,23.5,0.00,28.92,987.71,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.85,10-12-2019,04:00:00,0.00,6.00,26.2,93,000,24.9,0.00,31.49,992.06,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1009.00,10-12-2019,04:00:00,0.00,5.00,25.7,94,000,24.7,0.00,31.08,992.47,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.01,10-12-2019,04:00:00,0.00,8.00,25.5,94,000,24.5,0.00,30.71,987.01,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.93,10-12-2019,04:00:00,0.00,8.00,21.8,95,000,21.0,0.00,24.90,965.83,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.91,10-12-2019,04:00:00,0.00,8.00,25.4,95,000,24.5,0.00,30.79,988.20,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.22,10-12-2019,04:00:00,0.00,7.00,25.2,100,220,25.2,0.00,32.04,989.22,3.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.62,10-12-2019,04:00:00,0.00,10.00,26.2,90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.5,1.20,30.67,1008.18,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.34,10-12-2019,04:00:00,0.60,6.00,25.0,95,000,24.1,0.80,30.05,1006.92,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.02,10-12-2019,04:00:00,0.00,7.00,25.0,93,000,23.8,0.00,29.52,1004.04,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.77,10-12-2019,04:00:00,0.00,10.00,25.2,92,000,23.7,0.01,29.36,1005.46,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.87,10-12-2019,04:00:00,0.00,10.00,25.5,96,000,24.8,0.00,31.25,1007.76,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.97,10-12-2019,04:00:00,0.00,10.00,27.3,90,000,25.4,3.30,32.53,1008.67,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.81,10-12-2019,04:00:00,0.00,10.00,28.0,85,000,25.1,25.40,31.95,1008.32,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.92,10-12-2019,04:00:00,0.00,10.00,25.9,88,020,23.7,0.01,29.31,1007.50,5.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1009.19,10-12-2019,04:00:00,4.50,3.00,24.8,97,050,24.4,4.50,30.48,1001.11,5.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.22,10-12-2019,04:00:00,0.00,8.00,26.7,92,000,25.3,0.00,32.18,1007.93,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.48,10-12-2019,04:00:00,0.00,10.00,26.5,88,000,24.3,0.00,30.43,1005.34,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.85,10-12-2019,04:00:00,0.00,10.00,27.4,89,000,25.4,0.00,32.45,1001.91,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.50,10-12-2019,04:00:00,0.00,10.00,26.5,90,280,24.8,0.00,31.24,1003.88,3.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.12,10-12-2019,04:00:00,0.00,10.00,25.8,88,000,23.6,1.10,29.13,1008.85,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.79,10-12-2019,04:00:00,0.00,11.00,26.8,90,000,24.9,0.00,31.55,1008.36,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.89,10-12-2019,04:00:00,0.00,8.00,24.0,96,000,23.3,0.00,28.53,996.49,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.48,10-12-2019,04:00:00,0.00,10.00,26.4,91,000,24.8,0.00,31.33,1007.77,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.25,10-12-2019,04:00:00,0.00,7.00,26.0,93,340,24.8,11.80,31.38,1006.80,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.67,10-12-2019,04:00:00,0.00,10.00,27.4,89,000,25.4,0.00,32.45,1008.15,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.67,10-12-2019,04:00:00,0.00,8.00,26.1,90,170,24.4,0.10,30.48,1003.49,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.96,10-12-2019,04:00:00,0.00,7.00,26.3,95,000,25.4,0.00,32.51,1008.55,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.92,10-12-2019,04:00:00,0.00,8.00,26.0,92,000,24.6,0.00,30.84,1006.13,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.02,10-12-2019,04:00:00,0.00,10.00,25.6,89,000,23.7,0.00,29.29,1008.23,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.50,10-12-2019,04:00:00,0.00,7.00,25.5,92,070,24.0,0.90,29.91,1008.03,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.74,10-12-2019,04:00:00,0.00,8.00,24.7,94,000,23.7,0.00,29.25,1008.05,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.07,10-12-2019,04:00:00,0.00,6.00,24.2,95,000,23.3,0.00,28.62,1007.53,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.29,10-12-2019,04:00:00,0.00,10.00,24.5,91,000,23.0,19.50,28.11,1008.36,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.29,10-12-2019,04:00:00,0.00,10.00,25.7,95,000,24.8,0.00,31.36,1008.60,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.06,10-12-2019,04:00:00,0.00,7.00,24.0,98,000,23.7,0.00,29.30,1008.26,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.01,10-12-2019,04:00:00,0.00,10.00,24.6,97,000,24.0,0.00,29.85,1008.37,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.77,10-12-2019,04:00:00,0.00,8.00,24.8,97,000,24.2,0.00,30.22,1008.36,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.13,10-12-2019,04:00:00,0.00,5.00,23.5,98,000,23.2,0.00,28.42,1006.85,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.18,10-12-2019,04:00:00,0.00,6.00,23.2,98,000,22.9,0.40,27.91,1007.55,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.51,10-12-2019,04:00:00,0.00,5.00,23.7,98,000,23.4,8.80,28.77,1005.99,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.74,10-12-2019,04:00:00,0.00,7.00,24.4,99,000,24.2,6.00,30.28,1007.37,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.97,10-12-2019,04:00:00,0.00,10.00,25.5,95,000,24.6,0.30,30.98,1008.08,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.85,10-12-2019,04:00:00,0.00,10.00,24.1,97,000,23.7,0.00,29.22,1005.25,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.80,10-12-2019,04:00:00,0.00,10.00,25.8,93,000,24.6,3.00,31.00,1008.36,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.52,10-12-2019,04:00:00,0.00,10.00,25.2,96,000,24.5,1.00,30.69,1007.52,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.09,10-12-2019,04:00:00,0.00,10.00,24.8,96,080,24.1,0.00,29.95,1008.27,11.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.10,10-12-2019,04:00:00,0.00,1.10,24.5,98,000,24.2,39.10,30.20,1007.27,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.42,10-12-2019,04:00:00,0.00,10.00,25.0,88,230,22.9,0.00,27.96,1008.66,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.28,10-12-2019,04:00:00,0.00,7.00,22.8,99,990,22.6,22.60,27.49,1005.22,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.64,10-12-2019,04:00:00,0.00,10.00,24.0,91,000,22.5,3.80,27.25,1007.95,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.78,10-12-2019,04:00:00,0.00,10.00,23.5,96,000,22.9,0.40,27.92,1007.65,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.29,10-12-2019,04:00:00,0.00,10.00,23.7,97,000,23.3,0.00,28.52,1006.33,0.0
