WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,VaporPressure,Rainfall,RelativeHumidity,WindDirection,LandVisibility,WindSpeed,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.9,08-18-2019,01:00:00,31.44,0.00,96,000,10.00,0.0,1002.87,1008.78,25.6,2.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.9,08-18-2019,01:00:00,31.56,0.00,84,210,8.00,5.6,1008.50,1009.31,27.8,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.3,08-18-2019,01:00:00,30.29,0.00,76,230,10.00,11.1,1008.45,1008.89,29.0,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.3,08-18-2019,01:00:00,30.44,0.30,93,000,4.00,0.0,998.37,1009.76,25.5,5.80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.3,08-18-2019,01:00:00,30.31,0.00,84,190,10.00,5.6,1008.09,1009.10,27.3,3.80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.0,08-18-2019,01:00:00,31.60,0.00,92,160,7.00,3.7,1006.89,1008.72,26.4,8.70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.2,08-18-2019,01:00:00,28.35,0.00,78,000,4.00,0.0,1008.35,1009.11,27.4,4.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.6,08-18-2019,01:00:00,27.39,0.01,74,260,10.00,11.1,1008.76,1009.46,27.6,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.4,08-18-2019,01:00:00,32.45,0.00,89,120,7.00,3.7,1008.31,1009.01,27.4,11.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.2,08-18-2019,01:00:00,30.19,0.00,91,000,10.00,0.0,987.88,1009.16,25.8,27.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.0,08-18-2019,01:00:00,29.82,0.00,91,000,7.00,0.0,992.36,1009.19,25.6,0.01
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,08-18-2019,01:00:00,30.69,0.00,96,000,7.00,0.0,993.50,1010.08,25.2,1.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.1,08-18-2019,01:00:00,30.10,0.00,85,000,10.00,0.0,987.24,1009.14,26.9,0.90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.5,08-18-2019,01:00:00,29.00,0.00,92,180,10.00,3.7,965.86,1009.49,25.0,8.70
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.8,08-18-2019,01:00:00,29.45,0.00,84,000,10.00,0.0,988.37,1008.99,26.7,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.1,08-18-2019,01:00:00,31.85,0.00,100,200,8.00,13.0,989.95,1010.98,25.1,27.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.4,08-18-2019,01:00:00,30.64,0.00,82,000,10.00,0.0,1009.34,1009.78,27.9,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.2,08-18-2019,01:00:00,32.09,0.00,97,000,6.00,0.0,1007.87,1009.30,25.8,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.9,08-18-2019,01:00:00,31.52,0.00,97,000,8.00,0.0,1004.72,1009.69,25.5,2.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.5,08-18-2019,01:00:00,28.94,0.01,81,220,12.00,3.7,1005.97,1009.28,27.0,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.0,08-18-2019,01:00:00,29.89,0.00,86,000,10.00,0.0,1008.25,1009.36,26.5,1.50
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.3,08-18-2019,01:00:00,28.59,0.00,74,000,10.00,0.0,1008.80,1009.10,28.4,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.0,08-18-2019,01:00:00,28.14,0.00,73,000,10.00,0.0,1008.51,1008.99,28.3,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.9,08-18-2019,01:00:00,27.95,0.00,73,240,10.00,14.8,1007.86,1009.27,28.2,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.5,08-18-2019,01:00:00,30.71,0.00,94,000,10.00,0.0,1003.10,1011.17,25.5,3.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.1,08-18-2019,01:00:00,31.94,0.00,81,000,10.00,0.0,1008.87,1009.15,28.7,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.8,08-18-2019,01:00:00,31.29,0.00,79,000,10.00,0.0,1005.84,1008.96,28.8,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.4,08-18-2019,01:00:00,30.56,0.00,81,210,10.00,9.3,1002.60,1009.54,28.0,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,08-18-2019,01:00:00,31.63,0.00,90,000,8.00,0.0,1004.31,1009.93,26.7,11.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.3,08-18-2019,01:00:00,30.32,0.00,96,180,8.00,3.7,1008.63,1009.91,25.0,5.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.2,08-18-2019,01:00:00,28.35,0.00,78,220,11.00,3.7,1008.92,1009.36,27.4,0.40
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.2,08-18-2019,01:00:00,28.38,0.00,91,000,10.00,0.0,997.87,1010.26,24.8,0.01
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,22.8,08-18-2019,01:00:00,27.70,0.00,78,220,10.00,3.7,1009.22,1009.93,26.9,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.2,08-18-2019,01:00:00,30.20,0.00,79,220,10.00,7.4,1007.16,1009.59,28.1,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.1,08-18-2019,01:00:00,33.78,0.00,92,240,10.00,11.1,1009.60,1010.12,27.5,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.0,08-18-2019,01:00:00,29.90,0.00,80,000,9.00,0.0,1004.31,1009.46,27.8,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.3,08-18-2019,01:00:00,32.20,5.60,96,000,7.00,0.0,1009.97,1010.38,26.0,11.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.4,08-18-2019,01:00:00,32.37,0.00,97,000,8.00,0.0,1007.87,1010.66,25.8,14.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.0,08-18-2019,01:00:00,29.80,0.00,86,000,10.00,0.0,1007.56,1008.34,26.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.9,08-18-2019,01:00:00,31.49,0.50,98,090,6.00,3.7,1010.63,1011.09,25.2,85.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.0,08-18-2019,01:00:00,29.77,0.00,96,000,8.00,0.0,1009.86,1010.55,24.7,15.80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.7,08-18-2019,01:00:00,29.36,0.00,92,000,7.00,0.0,1009.02,1010.56,25.2,13.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.8,08-18-2019,01:00:00,29.41,0.00,96,000,10.00,0.0,1010.11,1011.04,24.5,111.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.2,08-18-2019,01:00:00,30.24,0.00,88,000,12.00,0.0,1010.63,1011.32,26.4,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,08-18-2019,01:00:00,30.32,0.00,96,000,8.00,0.0,1010.50,1011.31,25.0,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.4,08-18-2019,01:00:00,28.83,0.00,90,000,10.00,0.0,1010.25,1010.89,25.2,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.7,08-18-2019,01:00:00,29.36,0.00,92,000,10.00,0.0,1010.74,1011.15,25.2,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.8,08-18-2019,01:00:00,29.52,0.00,93,000,5.00,0.0,1008.89,1013.15,25.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.5,08-18-2019,01:00:00,30.79,0.00,95,000,10.00,0.0,1006.98,1008.60,25.4,3.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,08-18-2019,01:00:00,29.41,0.00,96,000,10.00,0.0,1007.80,1011.32,24.5,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.5,08-18-2019,01:00:00,30.71,0.00,94,000,9.00,0.0,1009.68,1011.05,25.5,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.5,08-18-2019,01:00:00,30.79,0.00,95,000,10.00,0.0,1010.03,1010.92,25.4,37.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,08-18-2019,01:00:00,29.33,0.00,95,000,10.00,0.0,1007.45,1011.05,24.6,5.90
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.3,08-18-2019,01:00:00,30.43,0.00,88,000,10.00,0.0,1010.10,1010.54,26.5,4.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.5,08-18-2019,01:00:00,29.00,0.00,92,000,10.00,0.0,1008.80,1009.80,25.0,42.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.3,08-18-2019,01:00:00,30.36,0.00,93,000,10.00,0.0,1010.40,1011.22,25.6,23.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.8,08-18-2019,01:00:00,31.33,0.00,97,000,10.00,0.0,1009.45,1011.28,25.4,2.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.7,08-18-2019,01:00:00,29.27,0.00,84,000,10.00,0.0,1010.63,1011.38,26.6,0.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.3,08-18-2019,01:00:00,32.18,0.00,92,260,9.00,5.6,1007.18,1011.20,26.7,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.6,08-18-2019,01:00:00,31.00,0.00,93,000,10.00,0.0,1010.61,1011.30,25.8,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,08-18-2019,01:00:00,30.72,0.00,82,000,10.00,0.0,1009.36,1010.48,27.8,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.3,08-18-2019,01:00:00,30.36,0.00,93,000,10.00,0.0,1008.32,1011.26,25.6,0.00
