WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,LandVisibility,Rainfall,WindDirection,VaporPressure,MeanSeaLevelPressure,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.0,09-29-2019,01:00:00,0.0,6.00,0.00,000,24.98,1015.39,984.83,21.1,95,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,27.76,1015.98,979.91,22.8,93,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,20.8,09-29-2019,01:00:00,0.0,2.00,0.00,000,23.39,1014.64,984.15,20.0,95,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.7,09-29-2019,01:00:00,0.0,8.00,0.00,000,28.42,1013.75,1006.37,23.2,86,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.6,09-29-2019,01:00:00,3.7,4.00,0.00,020,27.95,1014.14,994.09,22.9,80,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,22.8,09-29-2019,01:00:00,0.0,3.00,0.00,000,24.56,1014.77,985.54,20.8,89,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.0,09-29-2019,01:00:00,0.0,7.00,0.00,000,26.01,1014.38,993.88,21.7,87,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.0,09-29-2019,01:00:00,0.0,5.00,0.00,000,25.84,1015.45,993.27,21.6,92,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.0,09-29-2019,01:00:00,0.0,6.00,0.00,000,25.93,1014.33,994.58,21.7,82,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.3,09-29-2019,01:00:00,0.0,6.00,0.00,000,24.97,1015.14,997.33,21.1,93,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.8,09-29-2019,01:00:00,0.0,6.00,0.00,000,24.08,1013.22,986.94,20.5,87,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.8,09-29-2019,01:00:00,0.0,8.00,0.00,000,33.79,1014.04,1008.20,26.1,96,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.5,09-29-2019,01:00:00,0.0,7.00,0.00,000,32.07,1014.21,1007.96,25.2,93,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.1,09-29-2019,01:00:00,0.0,10.00,0.00,000,26.35,1014.36,997.70,22.0,83,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.6,09-29-2019,01:00:00,0.0,8.00,0.00,000,28.81,1012.92,990.30,23.4,93,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.3,09-29-2019,01:00:00,0.0,5.00,0.00,000,29.80,1015.11,1000.53,24.0,92,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.5,09-29-2019,01:00:00,0.0,8.00,0.00,000,29.15,1014.78,998.14,23.6,95,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.4,09-29-2019,01:00:00,0.0,10.00,0.00,000,31.60,1014.10,1008.83,25.0,92,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,28.97,1012.44,999.13,23.5,86,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.0,09-29-2019,01:00:00,0.0,6.00,0.00,000,30.30,1013.95,1004.54,24.3,90,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.7,09-29-2019,01:00:00,1.9,7.00,0.00,010,25.36,1013.78,991.86,21.3,77,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,23.96,1012.86,996.83,20.4,76,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.4,09-29-2019,01:00:00,0.0,6.00,0.00,000,26.50,1013.22,993.99,22.0,92,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.5,09-29-2019,01:00:00,0.0,5.00,0.00,000,24.57,1014.73,962.58,20.8,90,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,28.3,09-29-2019,01:00:00,0.0,4.00,0.00,000,33.70,1013.20,1009.23,26.0,88,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.2,09-29-2019,01:00:00,0.0,2.00,0.00,000,21.79,1016.03,919.38,18.9,98,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.1,09-29-2019,01:00:00,0.0,8.00,0.00,000,27.62,1013.84,997.65,22.7,87,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.2,09-29-2019,01:00:00,0.0,7.00,0.00,000,30.13,1013.90,1009.83,24.2,89,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.5,09-29-2019,01:00:00,0.0,7.00,0.00,000,26.47,1014.43,1003.66,22.0,77,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,09-29-2019,01:00:00,0.0,7.00,0.00,000,30.03,1013.96,1012.01,24.1,89,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.0,09-29-2019,01:00:00,0.0,7.00,0.00,000,23.96,1013.63,992.49,20.4,76,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.1,09-29-2019,01:00:00,3.7,10.00,0.00,110,26.35,1013.61,995.72,22.0,83,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,27.66,1013.54,997.22,22.7,82,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.8,09-29-2019,01:00:00,0.0,10.00,0.00,000,25.78,1013.10,998.93,21.6,78,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.7,09-29-2019,01:00:00,0.0,10.00,0.00,000,26.37,1013.24,998.25,22.0,80,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.5,09-29-2019,01:00:00,11.1,10.00,0.00,030,28.82,1013.54,998.75,23.4,83,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.1,09-29-2019,01:00:00,0.0,8.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.20,1013.20,1010.16,24.2,84,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,28.70,1013.45,1005.42,23.4,85,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.3,09-29-2019,01:00:00,0.0,7.00,0.00,000,28.49,1012.82,1011.70,23.2,88,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.2,09-29-2019,01:00:00,5.6,9.00,0.00,080,30.67,1013.37,998.60,24.5,85,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,16.53,1016.00,879.17,14.5,80,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.6,09-29-2019,01:00:00,0.0,8.00,0.00,000,27.78,1013.72,1007.76,22.8,90,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.4,09-29-2019,01:00:00,0.0,8.00,0.00,000,28.88,1012.85,1012.04,23.5,79,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.3,09-29-2019,01:00:00,9.3,8.00,0.00,120,30.88,1012.44,1011.99,24.6,76,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,09-29-2019,01:00:00,0.0,5.00,0.00,000,27.25,1014.47,1002.97,22.5,91,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.2,09-29-2019,01:00:00,0.0,6.00,0.00,000,29.85,1013.33,1012.32,24.0,83,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.4,09-29-2019,01:00:00,0.0,8.00,0.00,000,25.29,1013.12,1011.29,21.3,74,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.5,09-29-2019,01:00:00,0.0,4.00,0.00,000,28.59,1013.17,1012.40,23.3,88,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.2,09-29-2019,01:00:00,5.6,8.00,0.00,060,29.57,1012.93,1012.22,23.9,73,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.7,09-29-2019,01:00:00,5.6,7.00,0.00,060,25.96,1012.54,1011.84,21.7,66,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.1,09-29-2019,01:00:00,0.0,8.00,0.00,000,26.60,1014.04,992.61,22.1,84,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.5,09-29-2019,01:00:00,0.0,7.00,0.00,000,29.89,1013.76,996.90,24.0,86,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.2,09-29-2019,01:00:00,0.0,6.00,0.00,000,30.15,1014.15,997.51,24.2,94,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,27.70,1013.83,991.69,22.8,88,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.5,09-29-2019,01:00:00,7.4,8.00,0.00,070,22.00,1014.02,969.84,19.0,81,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.9,09-29-2019,01:00:00,0.0,7.00,0.00,000,30.13,1013.67,992.84,24.2,96,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.4,09-29-2019,01:00:00,0.0,7.00,0.00,000,30.54,1015.37,994.20,24.4,100,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.0,09-29-2019,01:00:00,0.0,10.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",28.65,1012.43,1011.99,23.3,76,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.5,09-29-2019,01:00:00,0.0,6.00,0.00,000,29.08,1012.93,1011.50,23.6,84,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.5,09-29-2019,01:00:00,0.0,7.00,0.00,000,32.63,1013.05,1008.07,25.5,94,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.5,09-29-2019,01:00:00,0.0,6.00,0.00,000,28.82,1013.40,1010.08,23.4,83,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.2,09-29-2019,01:00:00,0.0,8.00,0.00,000,30.15,1013.14,1012.02,24.2,94,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.3,09-29-2019,01:00:00,0.0,10.00,0.00,000,28.12,1012.62,1012.32,23.0,69,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.2,09-29-2019,01:00:00,0.0,10.00,0.00,000,31.53,1012.62,1012.13,24.9,78,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.8,09-29-2019,01:00:00,0.0,9.00,0.00,000,26.93,1012.77,1011.36,22.3,68,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.5,09-29-2019,01:00:00,0.0,10.00,0.00,000,31.25,1014.07,1005.97,24.8,96,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,31.13,1012.33,1012.04,24.7,78,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.3,09-29-2019,01:00:00,0.0,10.00,0.00,000,33.95,1012.14,1008.99,26.2,94,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.0,09-29-2019,01:00:00,0.0,6.00,0.00,000,30.02,1012.10,1005.12,24.1,84,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.9,09-29-2019,01:00:00,0.0,10.00,0.00,000,30.64,1013.14,1007.53,24.4,82,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.4,09-29-2019,01:00:00,3.7,5.00,0.00,320,29.69,1013.46,1012.19,23.9,81,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.3,09-29-2019,01:00:00,7.4,11.00,0.00,330,31.14,1012.37,1011.94,24.7,81,3.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.5,09-29-2019,01:00:00,0.0,6.00,0.00,000,27.86,1013.00,1000.57,22.9,91,1.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.3,09-29-2019,01:00:00,5.6,5.00,0.00,350,30.86,1008.80,1006.36,24.6,85,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,33.66,1012.33,1011.81,26.0,89,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.9,09-29-2019,01:00:00,3.7,8.00,0.00,010,29.83,1012.29,1007.11,24.0,84,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.3,09-29-2019,01:00:00,0.0,7.00,0.00,000,30.87,1012.33,1011.92,24.6,96,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,30.05,1012.39,1009.58,24.1,95,34.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.5,09-29-2019,01:00:00,0.0,10.00,0.00,000,30.72,1009.36,1008.58,24.5,75,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.8,09-29-2019,01:00:00,5.6,6.00,0.00,070,29.39,1012.21,1011.75,23.8,89,19.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.2,09-29-2019,01:00:00,0.0,7.00,0.00,000,28.36,1012.84,1012.15,23.2,94,3.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.2,09-29-2019,01:00:00,0.0,7.00,0.00,000,28.36,1013.57,1012.02,23.2,94,2.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,09-29-2019,01:00:00,3.7,10.00,0.00,040,26.50,1012.56,1011.63,22.0,89,5.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.7,09-29-2019,01:00:00,0.0,10.00,0.00,000,31.63,1012.17,1011.48,25.0,96,5.10
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.2,09-29-2019,01:00:00,0.0,7.00,0.00,000,27.66,1013.12,1012.31,22.7,97,9.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.4,09-29-2019,01:00:00,3.7,10.00,0.00,300,27.75,1012.82,1012.17,22.8,96,37.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.0,09-29-2019,01:00:00,0.0,8.00,0.00,000,29.04,1012.48,1012.06,23.6,97,19.50
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.0,09-29-2019,01:00:00,0.0,4.00,0.00,000,27.07,1014.74,1010.45,22.4,96,28.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.5,09-29-2019,01:00:00,0.0,8.00,0.00,000,30.20,1012.78,1011.15,24.2,98,1.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.3,09-29-2019,01:00:00,0.0,6.00,0.00,000,29.57,1012.72,1011.34,23.9,97,3.10
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,29.56,1012.65,1011.75,23.8,99,27.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.1,09-29-2019,01:00:00,7.4,10.00,0.00,040,29.48,1012.51,1008.90,23.8,98,1.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,09-29-2019,01:00:00,0.0,10.00,0.00,000,29.89,1010.77,1010.33,24.0,86,0.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.1,09-29-2019,01:00:00,0.0,10.00,0.00,000,29.48,1011.81,1010.80,23.8,98,8.90
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.4,09-29-2019,01:00:00,9.3,10.00,0.00,050,26.61,1012.14,1011.32,22.1,82,0.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.7,09-29-2019,01:00:00,0.0,10.00,0.00,000,27.44,1012.14,1010.30,22.6,88,0.70
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.9,09-29-2019,01:00:00,3.7,10.00,0.00,050,30.91,1012.16,1011.41,24.6,87,6.90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.1,09-29-2019,01:00:00,0.0,10.00,0.00,000,30.23,1012.53,1008.49,24.2,95,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,30.32,1012.59,1011.90,24.3,96,20.50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.3,09-29-2019,01:00:00,0.0,10.00,0.00,000,30.34,1012.10,1010.98,24.3,94,0.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.0,09-29-2019,01:00:00,0.0,10.00,0.00,000,29.79,1012.44,1009.48,24.0,94,1.20
