WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,WindDirection,MeanSeaLevelPressure,StationPressure,VaporPressure,LandVisibility,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.8,10-09-2019,16:00:00,0.00,000,1007.41,1002.54,33.09,10.00,0.0,0.00,75,25.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,34.3,10-09-2019,16:00:00,0.00,080,1007.11,1003.90,28.76,12.00,3.7,0.00,53,23.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.0,10-09-2019,16:00:00,0.00,000,1007.38,1006.30,31.04,10.00,0.0,0.00,58,24.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.2,10-09-2019,16:00:00,13.10,290,1007.77,1007.47,32.38,9.00,5.6,13.10,80,25.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.7,10-09-2019,16:00:00,4.80,000,1008.45,1007.77,31.38,{'@attributes': {'Unit': 'km'}},0.0,4.80,80,24.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.8,10-09-2019,16:00:00,0.70,000,1007.55,1007.06,31.29,8.00,0.0,0.70,79,24.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.2,10-09-2019,16:00:00,0.01,340,1008.10,1006.70,28.22,10.00,7.4,0.01,74,23.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.1,10-09-2019,16:00:00,0.00,000,1007.85,1006.19,32.61,8.00,0.0,5.80,68,25.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.0,10-09-2019,16:00:00,0.01,000,1009.48,1001.51,33.99,10.00,0.0,2.50,85,26.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.0,10-09-2019,16:00:00,0.00,250,1006.84,1006.56,32.16,4.00,7.4,23.30,64,25.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.7,10-09-2019,16:00:00,0.00,300,1007.59,1004.51,31.77,10.00,5.6,84.50,68,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.5,10-09-2019,16:00:00,0.00,270,1007.94,1001.07,29.89,8.00,5.6,10.90,68,24.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.8,10-09-2019,16:00:00,0.00,150,1007.81,1002.33,28.88,10.00,9.3,0.00,55,23.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.0,10-09-2019,16:00:00,0.00,260,1008.59,999.39,33.81,8.00,3.7,22.10,75,26.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.5,10-09-2019,16:00:00,0.00,140,1008.47,1007.23,31.98,12.00,3.7,19.20,65,25.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.6,10-09-2019,16:00:00,0.00,000,1007.12,1006.70,31.90,11.00,0.0,14.00,65,25.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.2,10-09-2019,16:00:00,0.00,000,1007.52,995.39,30.14,8.00,0.0,0.00,70,24.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.9,10-09-2019,16:00:00,0.00,000,1008.30,1007.60,32.13,9.00,0.0,0.00,72,25.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.0,10-09-2019,16:00:00,0.00,340,1008.34,1005.93,33.81,{'@attributes': {'Unit': 'km'}},7.4,0.00,75,26.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.0,10-09-2019,16:00:00,0.00,320,1007.90,1007.39,30.36,10.00,11.1,0.01,64,24.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.3,10-09-2019,16:00:00,0.01,280,1007.58,1002.49,28.96,11.00,13.0,0.20,63,23.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.8,10-09-2019,16:00:00,0.00,190,1007.61,1007.20,31.68,10.00,11.1,0.00,67,25.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.4,10-09-2019,16:00:00,0.00,000,1007.68,1004.93,35.20,8.00,0.0,0.20,81,26.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,32.0,10-09-2019,16:00:00,0.00,000,1007.30,1006.52,33.58,8.00,0.0,0.00,71,26.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.5,10-09-2019,16:00:00,1.80,070,1008.03,1007.58,33.00,8.00,3.7,6.60,80,25.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.0,10-09-2019,16:00:00,0.00,120,1008.09,1007.42,31.47,10.00,3.7,26.40,70,24.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,32.5,10-09-2019,16:00:00,0.00,080,1008.75,1007.25,30.53,9.00,7.4,2.00,62,24.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.6,10-09-2019,16:00:00,0.00,070,1007.40,1006.50,29.87,10.00,3.7,0.40,61,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.5,10-09-2019,16:00:00,0.00,080,1007.85,1007.17,33.63,12.00,13.0,0.00,77,26.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.3,10-09-2019,16:00:00,0.00,180,1008.08,1007.29,30.04,10.00,5.6,0.00,78,24.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.8,10-09-2019,16:00:00,0.00,000,1007.42,1006.79,32.75,10.00,0.0,3.70,78,25.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.8,10-09-2019,16:00:00,0.00,000,1007.93,1007.52,31.89,10.00,0.0,1.50,76,25.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.5,10-09-2019,16:00:00,0.40,000,1009.19,1005.04,31.35,7.00,0.0,1.40,68,24.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.7,10-09-2019,16:00:00,0.00,000,1006.22,1004.63,29.44,12.00,0.0,0.60,71,23.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.5,10-09-2019,16:00:00,0.00,000,1008.35,1004.89,30.15,12.00,0.0,3.10,78,24.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.4,10-09-2019,16:00:00,0.00,040,1007.44,1006.10,30.57,10.00,7.4,0.60,67,24.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.3,10-09-2019,16:00:00,0.00,240,1007.71,1006.84,31.23,10.00,7.4,5.50,68,24.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.0,10-09-2019,16:00:00,0.00,190,1007.37,1003.83,31.98,{'@attributes': {'Unit': 'km'}},11.1,2.20,80,25.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.4,10-09-2019,16:00:00,0.00,230,1007.35,1006.92,30.03,10.00,11.1,4.80,62,24.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.0,10-09-2019,16:00:00,0.00,250,1007.88,1006.90,32.05,10.00,9.3,13.00,71,25.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.7,10-09-2019,16:00:00,40.00,000,1009.73,{'@attributes': {'unit': 'hPa'}},27.95,7.00,0.0,40.00,90,22.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.3,10-09-2019,16:00:00,2.80,320,1008.36,1006.54,31.41,10.00,7.4,2.80,92,24.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.0,10-09-2019,16:00:00,0.00,030,1007.68,1006.93,31.15,12.00,3.7,53.70,73,24.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.5,10-09-2019,16:00:00,0.01,240,1007.98,1003.97,29.35,10.00,14.8,11.00,85,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.4,10-09-2019,16:00:00,24.00,000,1008.31,1007.62,29.19,6.00,0.0,56.00,90,23.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.4,10-09-2019,16:00:00,0.00,000,1007.49,1006.39,31.39,10.00,0.0,19.00,72,24.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.4,10-09-2019,16:00:00,26.50,310,1008.34,1005.41,31.06,9.00,7.4,39.20,96,24.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.8,10-09-2019,16:00:00,0.00,010,1007.29,1006.62,31.39,12.00,11.1,8.20,67,24.9
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,27.0,10-09-2019,16:00:00,2.10,230,1007.92,1003.79,30.02,7.00,11.1,22.10,84,24.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.5,10-09-2019,16:00:00,0.00,050,1007.50,1006.92,29.88,10.00,13.0,84.10,72,24.0
