WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,StationPressure,DewPoint,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure,AirTemperature,MaximumTemperature,Rainfall,RelativeHumidity
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-17-2019,19:00:00,3.00,160,873.97,20.1,30.60,5.6,1008.87,23.57,20.3,24.0,30.20,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-17-2019,19:00:00,10.00,200,1000.16,24.8,5.30,3.7,1006.00,31.38,28.7,35.5,0.00,80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-17-2019,19:00:00,9.00,140,1006.12,25.6,0.00,5.6,1006.91,32.91,29.6,36.0,0.00,79
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-17-2019,19:00:00,10.00,210,1006.82,25.3,0.00,11.1,1007.27,32.26,29.0,33.1,0.00,81
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-17-2019,19:00:00,6.00,000,996.09,24.3,1.00,0.0,1007.43,30.30,26.0,35.0,0.00,90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-17-2019,19:00:00,10.00,000,1005.69,25.9,0.30,0.0,1006.69,33.40,31.5,37.0,0.00,72
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-17-2019,19:00:00,8.00,000,1004.53,24.3,5.20,0.0,1006.34,30.31,28.3,34.4,0.00,79
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-17-2019,19:00:00,8.00,000,1005.20,23.7,0.00,0.0,1005.96,29.35,31.5,36.0,0.00,64
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-17-2019,19:00:00,10.00,190,1006.87,25.2,0.20,13.0,1007.57,32.02,28.6,33.9,0.20,82
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-17-2019,19:00:00,7.00,000,1006.45,24.5,0.30,0.0,1007.15,30.83,27.0,34.8,0.30,87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-17-2019,19:00:00,10.00,000,985.33,23.9,0.00,0.0,1006.20,29.65,30.8,34.6,0.00,67
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-17-2019,19:00:00,8.00,000,989.92,24.7,0.00,0.0,1006.46,31.15,30.0,33.5,0.00,73
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-17-2019,19:00:00,8.00,000,990.59,25.4,0.00,0.0,1006.89,32.38,29.2,33.8,0.00,80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-17-2019,19:00:00,10.00,000,984.77,24.8,0.20,0.0,1006.44,31.28,29.5,35.1,0.00,76
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-17-2019,19:00:00,10.00,050,962.78,22.9,0.50,7.4,1006.22,27.97,25.3,30.7,0.00,87
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-17-2019,19:00:00,10.00,240,986.39,24.7,0.00,5.6,1006.81,31.13,29.0,34.1,0.00,78
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-17-2019,19:00:00,9.00,000,987.35,26.3,0.00,0.0,1008.19,34.19,27.0,32.6,0.00,96
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-17-2019,19:00:00,10.00,220,1006.41,25.3,2.80,20.4,1006.84,32.30,30.0,32.6,0.00,76
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-17-2019,19:00:00,8.00,000,1004.94,24.4,1.80,0.0,1006.36,30.59,26.3,33.3,0.20,89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-17-2019,19:00:00,7.00,000,1002.67,26.2,24.10,0.0,1007.59,34.07,27.5,33.2,0.00,93
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-17-2019,19:00:00,12.00,200,1003.55,23.8,0.00,3.7,1006.79,29.42,32.1,36.0,0.00,62
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-17-2019,19:00:00,10.00,000,1005.36,25.8,0.00,0.0,1006.45,33.27,31.3,35.0,0.00,73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-17-2019,19:00:00,7.00,200,1006.94,26.3,0.10,7.4,1007.23,34.25,29.4,34.5,0.10,84
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-17-2019,19:00:00,10.00,230,1006.27,25.0,0.00,7.4,1006.95,31.72,30.0,34.7,0.00,75
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-17-2019,19:00:00,8.00,000,1006.18,26.4,0.20,0.0,1006.66,34.51,29.8,34.5,0.20,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-17-2019,19:00:00,8.00,220,1005.84,24.2,0.01,18.5,1007.26,30.16,26.5,34.6,0.01,87
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-17-2019,19:00:00,9.00,180,1005.43,27.4,0.00,25.9,1007.10,36.58,29.1,31.7,0.00,91
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-17-2019,19:00:00,10.00,000,1001.74,24.6,0.00,0.0,1009.75,30.97,27.5,35.3,0.00,84
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-17-2019,19:00:00,10.00,180,1006.65,23.9,0.80,5.6,1006.94,29.57,29.2,33.2,0.00,73
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-17-2019,19:00:00,10.00,000,1003.74,24.6,0.00,0.0,1006.85,30.96,29.2,31.5,0.00,76
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-17-2019,19:00:00,10.00,000,1000.28,25.4,33.70,0.0,1007.24,32.35,26.5,30.1,0.00,93
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-17-2019,19:00:00,10.00,000,1002.15,25.6,44.40,0.0,1007.75,32.77,27.0,34.4,0.01,92
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-17-2019,19:00:00,10.00,000,997.22,24.8,12.50,0.0,1006.53,31.30,27.1,30.2,0.00,87
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-17-2019,19:00:00,.00,180,1006.34,24.6,0.70,7.4,1007.59,31.00,29.5,35.5,0.00,75
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-17-2019,19:00:00,11.00,210,1006.68,25.4,0.00,18.5,1007.11,32.42,29.5,32.0,0.00,79
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-17-2019,19:00:00,10.00,220,995.26,23.0,0.00,3.7,1007.55,28.11,26.4,33.6,0.00,82
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-17-2019,19:00:00,10.00,220,1006.44,23.8,0.00,7.4,1007.15,29.44,27.7,33.5,0.00,79
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-17-2019,19:00:00,10.00,210,1005.08,25.4,9.50,5.6,1007.51,32.36,27.5,32.3,0.00,88
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-17-2019,19:00:00,10.00,240,1008.30,25.7,0.00,13.0,1008.82,32.96,28.5,31.0,0.00,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-17-2019,19:00:00,9.00,000,1002.07,25.2,27.10,0.0,1007.22,32.05,27.2,30.8,0.01,89
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-17-2019,19:00:00,3.00,160,1007.31,25.9,9.50,5.6,1007.73,33.34,27.0,29.5,0.70,94
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-17-2019,19:00:00,8.00,000,1005.04,25.1,13.70,0.0,1007.82,31.79,26.5,29.8,2.50,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-17-2019,19:00:00,10.00,000,1006.88,22.9,0.01,0.0,1007.67,27.88,27.0,33.2,0.01,78
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-17-2019,19:00:00,6.00,000,1007.40,24.6,38.30,0.0,1007.86,30.84,26.0,29.0,0.20,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-17-2019,19:00:00,8.00,000,1007.77,23.9,15.20,0.0,1008.46,29.72,25.4,28.0,0.40,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-17-2019,19:00:00,7.00,200,1006.87,23.9,8.40,3.7,1008.40,29.72,25.4,27.7,0.20,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-17-2019,19:00:00,10.00,190,1008.66,22.8,65.70,5.6,1009.58,27.80,25.2,26.7,0.00,87
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-17-2019,19:00:00,8.00,250,1008.14,24.2,4.40,5.6,1008.83,30.28,25.7,28.8,0.10,92
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-17-2019,19:00:00,7.00,000,1008.47,23.6,5.70,0.0,1009.28,29.05,24.3,27.8,0.70,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-17-2019,19:00:00,10.00,000,1008.32,22.2,0.01,0.0,1008.96,26.69,25.3,33.5,0.00,83
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-17-2019,19:00:00,8.00,000,1008.76,24.7,20.40,0.0,1009.16,31.08,25.7,34.5,0.50,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-17-2019,19:00:00,6.00,000,1006.66,23.6,3.40,0.0,1010.93,29.13,24.2,29.4,0.90,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-17-2019,19:00:00,10.00,000,1007.90,22.8,8.60,0.0,1009.53,27.75,23.7,29.9,0.00,95
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-17-2019,19:00:00,10.00,000,1006.21,23.3,2.20,0.0,1009.72,28.59,25.5,31.0,0.00,88
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-17-2019,19:00:00,8.00,280,1007.35,22.9,0.00,11.1,1008.71,27.88,27.0,33.6,0.00,78
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-17-2019,19:00:00,10.00,000,1008.05,24.5,0.30,0.0,1008.94,30.67,26.2,30.5,0.00,90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-17-2019,19:00:00,10.00,260,1006.24,22.3,1.00,5.6,1009.82,26.87,25.7,31.0,0.00,81
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-17-2019,19:00:00,10.00,000,1008.81,23.6,2.60,0.0,1009.25,29.06,27.5,32.1,0.40,79
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-17-2019,19:00:00,8.00,000,1007.78,24.3,27.70,0.0,1008.78,30.44,25.5,32.1,27.70,93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-17-2019,19:00:00,10.00,280,1008.48,24.4,15.00,25.9,1009.29,30.56,28.0,31.6,0.00,81
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-17-2019,19:00:00,12.00,000,1007.48,23.7,0.00,0.0,1009.30,29.35,26.5,32.4,0.00,85
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-17-2019,19:00:00,10.00,020,1009.08,24.6,0.60,1.9,1009.83,30.84,28.0,34.0,0.60,82
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-17-2019,19:00:00,10.00,240,1005.18,23.0,0.20,7.4,1009.16,28.16,28.6,33.1,0.00,72
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-17-2019,19:00:00,10.00,000,1008.34,24.7,45.80,0.0,1009.02,31.14,28.3,33.5,0.00,81
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-17-2019,19:00:00,10.00,000,1006.95,25.1,6.80,0.0,1008.07,31.93,26.0,33.7,0.40,95
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-17-2019,19:00:00,10.00,330,1006.21,24.4,1.80,3.7,1009.13,30.51,28.4,33.0,0.00,79
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-17-2019,19:00:00,10.00,000,1007.82,26.2,0.00,0.0,1008.51,33.99,29.0,34.2,0.00,85
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-17-2019,19:00:00,10.00,000,1005.50,23.4,0.00,0.0,1009.61,28.83,29.1,33.6,0.00,72
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-17-2019,19:00:00,10.00,000,1008.25,24.2,0.00,0.0,1008.83,30.16,29.5,33.4,0.00,73
