WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall,DewPoint,LandVisibility,WindDirection,AirTemperature,Rainfall24Hr
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-01-2019,13:00:00,969.83,1002.76,63,27.87,0.00,22.9,15.00,000,30.6,6.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,9.3,08-01-2019,13:00:00,985.36,1003.59,75,31.72,0.00,25.0,15.00,300,30.0,42.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-01-2019,13:00:00,980.80,1003.21,71,31.64,0.00,25.0,10.00,000,30.8,44.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-01-2019,13:00:00,974.00,1003.42,75,31.72,0.00,25.0,10.00,000,30.0,16.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-01-2019,13:00:00,968.66,1003.54,71,31.03,0.00,24.7,8.00,000,30.5,5.60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,11.1,08-01-2019,13:00:00,973.50,1002.92,80,30.48,0.00,24.4,16.00,140,28.1,1.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-01-2019,13:00:00,997.47,1004.70,75,30.72,0.01,24.5,8.00,000,29.5,27.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,08-01-2019,13:00:00,982.68,1002.16,72,33.75,0.00,26.1,15.00,240,31.8,11.00
48353,LOEI,เลย,เลย,17.45000,101.73333,7.4,08-01-2019,13:00:00,975.15,1003.53,75,29.33,0.00,23.7,15.00,160,28.5,0.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.2,08-01-2019,13:00:00,983.25,1003.09,67,29.25,0.60,23.7,15.00,280,30.6,41.90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,08-01-2019,13:00:00,982.28,1003.73,76,31.68,0.20,25.0,12.00,240,29.7,18.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,08-01-2019,13:00:00,983.33,1002.56,77,31.56,0.00,24.9,18.00,180,29.5,10.90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,5.6,08-01-2019,13:00:00,986.51,1003.10,80,31.26,5.00,24.8,10.00,220,28.5,24.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-01-2019,13:00:00,986.76,1004.03,79,30.31,0.01,24.3,12.00,000,28.3,31.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.3,08-01-2019,13:00:00,977.44,1002.85,71,29.83,0.01,24.0,12.00,250,29.9,8.50
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,7.4,08-01-2019,13:00:00,998.44,1004.12,66,30.49,0.00,24.4,10.00,270,31.5,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-01-2019,13:00:00,998.53,1004.65,85,35.05,0.20,26.7,8.00,000,29.5,0.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,7.4,08-01-2019,13:00:00,989.37,1005.69,73,28.62,0.10,23.3,10.00,180,28.7,16.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-01-2019,13:00:00,982.58,1004.96,92,29.91,9.10,24.0,8.00,000,25.5,30.10
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.4,08-01-2019,13:00:00,991.49,1005.85,84,30.39,1.20,24.3,5.00,210,27.2,6.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-01-2019,13:00:00,987.70,1003.68,53,27.43,0.00,22.6,12.00,000,33.5,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,9.3,08-01-2019,13:00:00,999.92,1005.09,67,28.26,0.00,23.1,10.00,180,29.8,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-01-2019,13:00:00,991.33,1004.51,92,31.79,2.00,25.1,10.00,000,26.5,13.90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,08-01-2019,13:00:00,995.70,1004.87,63,28.68,0.00,23.3,10.00,100,31.3,5.60
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,13.0,08-01-2019,13:00:00,982.24,1003.69,70,28.21,0.00,23.1,10.00,250,29.2,7.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,14.8,08-01-2019,13:00:00,986.55,1003.79,65,28.50,0.00,23.2,10.00,230,30.5,7.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.3,08-01-2019,13:00:00,987.09,1002.82,83,30.81,0.01,24.5,10.00,240,27.7,50.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,9.3,08-01-2019,13:00:00,984.33,1002.97,66,27.71,0.00,22.8,10.00,230,29.8,1.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-01-2019,13:00:00,953.83,1004.76,72,25.46,2.10,21.4,10.00,000,26.8,16.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,9.3,08-01-2019,13:00:00,1000.85,1004.76,68,29.89,0.00,24.0,8.00,180,30.5,2.90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,08-01-2019,13:00:00,911.30,1006.43,97,24.45,8.80,20.7,.50,210,21.2,40.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,9.3,08-01-2019,13:00:00,987.98,1003.88,81,30.17,0.00,24.2,8.00,260,27.8,31.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.6,08-01-2019,13:00:00,1001.23,1005.19,70,32.43,0.00,25.4,10.00,200,31.6,2.20
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,9.3,08-01-2019,13:00:00,996.16,1006.71,65,28.50,0.00,23.2,10.00,180,30.5,8.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.3,08-01-2019,13:00:00,1003.93,1005.83,65,28.31,0.00,23.1,10.00,150,30.4,1.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,08-01-2019,13:00:00,984.64,1005.34,67,26.67,0.00,22.1,12.00,230,28.8,2.60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,14.8,08-01-2019,13:00:00,986.03,1003.53,71,28.00,0.00,22.9,10.00,210,28.8,5.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,18.5,08-01-2019,13:00:00,987.53,1003.51,67,27.50,0.00,22.7,10.00,230,29.4,13.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,08-01-2019,13:00:00,990.63,1004.58,75,28.39,0.30,23.2,10.00,240,28.0,1.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.6,08-01-2019,13:00:00,990.08,1004.78,75,29.82,0.01,24.0,8.00,200,28.9,0.30
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,16.7,08-01-2019,13:00:00,990.56,1005.05,67,28.75,0.00,23.4,10.00,270,30.2,6.80
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-01-2019,13:00:00,1002.71,1005.68,68,30.41,0.10,24.3,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.9,0.30
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.6,08-01-2019,13:00:00,997.44,1005.30,69,28.80,0.00,23.4,10.00,230,29.8,3.60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,18.5,08-01-2019,13:00:00,1005.74,1006.84,65,26.89,0.01,22.3,8.00,230,29.5,0.01
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,08-01-2019,13:00:00,989.34,1003.83,73,31.15,0.00,24.7,9.00,100,30.0,15.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,08-01-2019,13:00:00,872.56,1007.88,99,21.73,2.20,18.8,.10,290,19.0,21.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-01-2019,13:00:00,999.62,1005.42,64,28.65,0.00,23.3,10.00,000,31.0,5.90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,18.5,08-01-2019,13:00:00,1005.74,1006.53,73,34.49,0.00,26.4,10.00,240,32.0,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.5,08-01-2019,13:00:00,1006.23,1006.67,66,27.63,0.00,22.7,10.00,230,29.9,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-01-2019,13:00:00,996.82,1008.13,88,31.38,1.40,24.8,4.00,000,27.0,16.90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,9.3,08-01-2019,13:00:00,1005.21,1006.21,60,28.27,0.00,23.1,12.00,180,31.8,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,08-01-2019,13:00:00,1004.46,1006.26,62,27.82,0.00,22.8,8.00,210,31.0,0.20
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,14.8,08-01-2019,13:00:00,1005.65,1006.41,58,25.35,0.00,21.3,9.00,220,30.4,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.5,08-01-2019,13:00:00,1006.15,1006.85,72,28.54,0.01,23.3,9.00,240,28.8,2.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,08-01-2019,13:00:00,1004.94,1005.64,71,30.31,0.90,24.3,7.00,240,30.0,5.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,14.8,08-01-2019,13:00:00,984.12,1004.97,61,27.16,0.00,22.4,10.00,250,30.8,2.80
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.4,08-01-2019,13:00:00,987.94,1004.40,63,27.98,0.00,22.9,10.00,240,30.8,18.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.4,08-01-2019,13:00:00,989.05,1005.26,65,28.23,0.00,23.1,9.00,240,30.5,21.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,08-01-2019,13:00:00,983.57,1005.06,54,24.98,0.00,21.1,10.00,270,31.5,2.90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.9,08-01-2019,13:00:00,963.00,1006.05,67,25.24,0.00,21.3,12.00,240,28.0,1.10
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,18.5,08-01-2019,13:00:00,984.98,1005.23,55,24.86,0.00,21.0,12.00,210,31.0,0.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,11.1,08-01-2019,13:00:00,985.50,1006.11,73,30.75,0.00,24.5,10.00,250,29.8,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.1,08-01-2019,13:00:00,1006.96,1007.39,59,24.89,0.01,21.0,10.00,300,30.0,0.01
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-01-2019,13:00:00,1005.18,1006.59,92,32.77,6.80,25.6,8.00,000,27.0,7.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-01-2019,13:00:00,1001.83,1006.77,92,31.79,3.40,25.1,7.00,000,26.5,3.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,13.0,08-01-2019,13:00:00,1003.58,1006.82,56,26.53,0.00,22.1,12.00,250,31.9,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,11.1,08-01-2019,13:00:00,1006.05,1007.14,59,26.46,0.01,22.0,5.00,260,31.0,0.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,14.8,08-01-2019,13:00:00,1006.38,1006.67,70,29.16,0.01,23.6,9.00,230,29.7,0.30
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,08-01-2019,13:00:00,1005.67,1006.35,70,28.78,0.80,23.4,10.00,230,29.5,1.30
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,08-01-2019,13:00:00,1006.14,1006.62,75,29.52,0.50,23.8,10.00,180,28.6,0.90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.8,08-01-2019,13:00:00,1005.52,1006.91,73,30.47,0.20,24.4,9.00,240,29.8,0.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,38.9,08-01-2019,13:00:00,1005.14,1006.80,73,30.47,0.00,24.4,10.00,230,29.8,5.70
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,7.4,08-01-2019,13:00:00,1000.56,1008.57,84,30.39,0.50,24.3,10.00,270,27.2,3.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,14.8,08-01-2019,13:00:00,1006.28,1006.56,77,33.00,2.20,25.7,10.00,240,30.2,4.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,18.5,08-01-2019,13:00:00,1003.68,1006.80,78,30.15,0.00,24.2,10.00,300,28.5,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.9,08-01-2019,13:00:00,1001.41,1008.33,74,28.78,0.00,23.4,10.00,260,28.5,0.80
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,5.6,08-01-2019,13:00:00,1000.99,1006.58,88,32.36,0.50,25.4,6.00,230,27.5,0.50
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.8,08-01-2019,13:00:00,999.29,1008.60,81,29.60,3.00,23.9,10.00,270,27.5,5.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,18.5,08-01-2019,13:00:00,1007.14,1008.39,62,26.48,0.01,22.0,14.00,270,30.0,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.2,08-01-2019,13:00:00,1007.21,1007.64,63,24.92,0.00,21.0,11.00,270,28.7,0.90
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-01-2019,13:00:00,996.35,1008.69,78,25.52,5.50,21.4,8.00,000,25.5,12.60
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.1,08-01-2019,13:00:00,1008.03,1008.74,87,30.34,2.00,24.3,10.00,260,26.6,4.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.3,08-01-2019,13:00:00,1006.17,1008.59,63,27.41,0.01,22.6,10.00,210,30.5,10.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.6,08-01-2019,13:00:00,1007.86,1008.38,81,31.54,0.01,24.9,10.00,290,28.5,12.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.1,08-01-2019,13:00:00,1002.83,1007.93,63,27.22,0.00,22.5,10.00,250,30.4,16.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,11.1,08-01-2019,13:00:00,1007.75,1008.16,87,29.41,5.30,23.8,8.00,210,26.1,27.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,5.6,08-01-2019,13:00:00,1005.84,1008.62,86,28.97,0.80,23.5,8.00,270,26.0,33.40
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,7.4,08-01-2019,13:00:00,1008.99,1009.78,83,27.21,1.80,22.5,6.00,270,25.6,12.20
48501,TRAD,ตราด,ตราด,11.76667,102.88333,11.1,08-01-2019,13:00:00,1007.94,1008.40,78,31.53,0.00,24.9,7.00,210,29.2,26.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,08-01-2019,13:00:00,1008.56,1009.24,71,28.94,0.30,23.5,8.00,280,29.3,0.30
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.3,08-01-2019,13:00:00,1007.71,1009.23,74,31.44,4.20,24.9,6.00,230,30.0,4.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,08-01-2019,13:00:00,1009.80,1010.71,67,28.37,0.50,23.2,10.00,230,30.0,8.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-01-2019,13:00:00,1008.49,1009.17,61,31.11,0.00,24.7,10.00,000,33.2,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,11.1,08-01-2019,13:00:00,1009.23,1010.02,60,31.59,0.00,25.0,10.00,290,33.7,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,13.0,08-01-2019,13:00:00,1008.37,1008.99,49,26.60,0.00,22.1,10.00,290,34.5,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,11.1,08-01-2019,13:00:00,1008.71,1009.11,62,30.99,0.00,24.6,10.00,230,33.0,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,7.4,08-01-2019,13:00:00,1007.41,1011.55,56,28.84,0.00,23.4,7.00,240,33.5,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,11.1,08-01-2019,13:00:00,1008.19,1009.80,74,28.78,0.40,23.4,8.00,320,28.5,0.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-01-2019,13:00:00,1005.97,1009.38,61,31.75,0.00,25.0,12.00,000,33.5,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.7,08-01-2019,13:00:00,1008.32,1009.65,68,31.43,0.01,24.9,8.00,300,31.4,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,18.5,08-01-2019,13:00:00,1009.24,1010.12,77,34.06,1.70,26.2,10.00,240,30.7,12.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,11.1,08-01-2019,13:00:00,1005.69,1009.20,60,27.30,0.00,22.5,10.00,230,31.3,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,11.1,08-01-2019,13:00:00,1009.30,1009.73,56,29.87,0.00,24.0,10.00,270,34.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-01-2019,13:00:00,1008.96,1009.94,67,32.58,0.00,25.5,10.00,000,32.5,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.8,08-01-2019,13:00:00,1009.69,1010.49,74,32.46,0.00,25.4,10.00,270,30.5,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.3,08-01-2019,13:00:00,1007.89,1009.68,66,31.94,0.00,25.1,10.00,270,32.2,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.3,08-01-2019,13:00:00,1009.43,1010.18,68,28.23,0.01,23.1,11.00,230,29.5,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,08-01-2019,13:00:00,1006.37,1010.37,85,31.44,1.80,24.9,10.00,250,27.6,1.80
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.4,08-01-2019,13:00:00,1010.16,1010.84,81,32.55,5.40,25.5,10.00,240,29.0,5.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-01-2019,13:00:00,1009.25,1010.37,83,31.79,0.20,25.1,10.00,000,28.2,0.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.4,08-01-2019,13:00:00,1007.93,1010.83,75,31.60,0.00,25.0,11.00,200,29.8,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,13.0,08-01-2019,13:00:00,1008.59,1009.27,60,30.45,0.00,24.3,10.00,250,33.3,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,9.3,08-01-2019,13:00:00,1006.01,1010.07,57,27.97,0.00,22.9,8.00,320,32.5,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,14.8,08-01-2019,13:00:00,1008.56,1009.14,57,29.41,0.00,23.8,10.00,060,33.5,0.00
