WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,DewPoint,AirTemperature,WindSpeed
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.30,09-17-2019,13:00:00,260,31.38,1009.23,88,14.00,8.00,1008.54,24.8,27.0,9.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.20,09-17-2019,13:00:00,330,30.94,1009.42,86,8.20,7.00,1007.89,24.6,27.2,5.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,4.20,09-17-2019,13:00:00,210,28.21,1010.51,91,91.20,7.00,1009.58,23.1,24.7,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,3.60,09-17-2019,13:00:00,270,31.60,1010.10,92,5.00,9.00,1009.41,25.0,26.4,7.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.40,09-17-2019,13:00:00,210,30.39,1010.16,84,0.40,8.00,1009.36,24.3,27.2,13.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-17-2019,13:00:00,320,29.50,1008.20,60,0.20,10.00,1007.58,23.8,32.7,11.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-17-2019,13:00:00,250,29.87,1008.12,58,3.20,12.00,1007.73,24.0,33.3,11.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.50,09-17-2019,13:00:00,000,31.22,1011.67,87,0.50,5.00,1007.44,24.8,27.2,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.40,09-17-2019,13:00:00,290,27.22,1009.61,82,13.20,10.00,1007.99,22.5,25.9,9.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-17-2019,13:00:00,000,31.48,1009.47,73,14.30,12.00,1006.03,24.9,30.3,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-17-2019,13:00:00,280,26.89,1008.33,54,0.00,10.00,1007.00,22.3,32.8,9.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-17-2019,13:00:00,000,32.92,1010.04,76,8.60,10.00,1009.16,25.6,30.3,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.20,09-17-2019,13:00:00,290,26.95,1008.87,62,6.20,10.00,1005.34,22.3,30.4,9.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-17-2019,13:00:00,280,29.60,1009.11,65,3.80,10.00,1008.68,23.9,31.2,5.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-17-2019,13:00:00,290,33.29,1009.03,70,5.20,9.00,1008.05,25.8,32.0,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-17-2019,13:00:00,000,33.59,1009.32,78,12.40,10.00,1008.51,26.0,30.2,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-17-2019,13:00:00,220,30.44,1009.07,64,0.00,14.00,1007.28,24.3,31.9,11.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-17-2019,13:00:00,280,27.84,1008.69,55,0.00,11.00,1007.95,22.9,33.0,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-17-2019,13:00:00,990,27.94,1008.27,58,0.20,10.00,1004.33,22.9,32.2,13.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-17-2019,13:00:00,270,28.33,1008.66,58,47.10,10.00,1007.99,23.1,32.4,7.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-17-2019,13:00:00,220,28.93,1008.59,58,0.00,12.00,1007.50,23.5,32.7,5.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-17-2019,13:00:00,260,31.94,1008.73,66,5.50,12.00,1005.86,25.1,32.2,5.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-17-2019,13:00:00,240,31.90,1008.19,65,0.70,12.00,1007.51,25.1,32.6,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-17-2019,13:00:00,250,26.50,1009.36,54,0.00,10.00,1005.30,22.0,32.6,11.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-17-2019,13:00:00,000,30.94,1008.07,63,0.00,12.00,1007.50,24.6,32.7,0.0
