WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,Rainfall,MeanSeaLevelPressure,VaporPressure,StationPressure,LandVisibility,DewPoint
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-22-2019,04:00:00,87,0.20,0.0,27.4,0.00,1007.39,31.61,1006.69,7.00,25.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,260,08-22-2019,04:00:00,87,0.10,3.7,26.2,0.10,1006.65,29.60,985.45,7.00,23.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-22-2019,04:00:00,85,0.00,0.0,25.9,0.00,1006.89,28.52,990.11,6.00,23.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-22-2019,04:00:00,88,0.00,9.3,26.0,0.00,1007.32,29.50,990.83,6.00,23.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-22-2019,04:00:00,87,0.00,0.0,26.6,0.00,1006.80,30.34,984.92,10.00,24.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,190,08-22-2019,04:00:00,86,7.60,7.4,24.2,0.40,1007.44,25.84,963.79,8.00,21.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,180,08-22-2019,04:00:00,83,0.00,3.7,26.7,0.00,1006.92,28.92,986.35,10.00,23.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,190,08-22-2019,04:00:00,98,0.00,13.0,25.2,0.00,1008.26,31.49,987.30,8.00,24.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,210,08-22-2019,04:00:00,77,0.70,9.3,27.8,0.00,1006.71,28.82,1006.28,10.00,23.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-22-2019,04:00:00,91,0.00,0.0,26.3,0.00,1006.95,31.13,1005.53,6.00,24.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-22-2019,04:00:00,97,3.90,0.0,25.9,0.00,1007.26,32.29,1002.31,7.00,25.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,08-22-2019,04:00:00,84,0.00,0.0,26.4,0.00,1006.75,28.90,1003.45,10.00,23.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-22-2019,04:00:00,93,0.20,0.0,25.9,0.00,1006.65,30.92,1005.54,10.00,24.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,200,08-22-2019,04:00:00,77,0.01,3.7,28.5,0.01,1006.90,29.87,1006.60,9.00,24.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,170,08-22-2019,04:00:00,78,0.00,1.9,27.5,0.00,1006.78,28.80,1006.29,10.00,23.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,000,08-22-2019,04:00:00,86,5.80,0.0,27.0,0.00,1006.76,30.56,1005.35,10.00,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,08-22-2019,04:00:00,93,0.00,0.0,25.8,0.00,1008.80,31.00,1000.75,10.00,24.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-22-2019,04:00:00,83,0.00,0.0,28.0,0.00,1006.99,31.39,1006.71,10.00,24.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,200,08-22-2019,04:00:00,81,0.00,5.6,28.5,0.00,1007.16,31.54,1004.04,10.00,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,08-22-2019,04:00:00,82,0.00,0.0,27.9,0.00,1007.18,30.64,1000.26,10.00,24.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,08-22-2019,04:00:00,92,0.00,0.0,26.0,0.00,1007.33,30.84,1001.71,8.00,24.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,08-22-2019,04:00:00,97,3.30,0.0,25.4,0.00,1008.04,31.33,1006.77,8.00,24.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,260,08-22-2019,04:00:00,81,0.70,5.6,27.4,0.00,1007.02,29.69,1006.59,11.00,23.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-22-2019,04:00:00,91,0.00,0.0,25.1,0.00,1007.51,28.92,995.17,10.00,23.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,08-22-2019,04:00:00,82,5.50,0.0,26.7,0.00,1007.42,28.65,1006.70,10.00,23.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,200,08-22-2019,04:00:00,84,2.00,5.6,27.7,0.00,1007.75,31.08,1005.32,10.00,24.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,230,08-22-2019,04:00:00,80,0.00,14.8,28.6,0.00,1007.49,31.46,1006.98,10.00,24.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,08-22-2019,04:00:00,86,7.40,0.0,26.8,0.00,1007.37,30.18,1002.21,9.00,24.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,200,08-22-2019,04:00:00,85,3.50,3.7,27.5,0.00,1007.48,31.25,1007.06,7.00,24.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-22-2019,04:00:00,96,9.10,0.0,26.5,0.00,1007.97,33.19,1005.19,8.00,25.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,08-22-2019,04:00:00,80,1.00,0.0,25.5,0.00,1007.64,26.02,1006.85,10.00,21.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,060,08-22-2019,04:00:00,94,41.30,5.6,26.2,0.00,1008.10,32.04,1007.64,6.00,25.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,08-22-2019,04:00:00,92,2.40,0.0,25.0,0.00,1007.31,29.00,1006.63,7.00,23.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,08-22-2019,04:00:00,93,0.40,0.0,25.2,0.00,1008.57,29.89,1007.03,8.00,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,250,08-22-2019,04:00:00,91,37.30,5.6,25.6,0.00,1009.28,29.82,1008.36,10.00,24.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-22-2019,04:00:00,80,0.70,0.0,27.6,0.00,1008.87,29.52,1008.19,10.00,23.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,170,08-22-2019,04:00:00,96,1.20,3.7,24.6,0.00,1009.46,29.59,1008.66,8.00,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-22-2019,04:00:00,97,35.00,0.0,24.7,0.00,1008.66,30.03,1008.02,10.00,24.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,210,08-22-2019,04:00:00,90,8.00,18.5,25.7,0.00,1007.62,29.74,1007.21,10.00,23.9
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,08-22-2019,04:00:00,82,0.00,0.0,26.0,0.00,1010.74,27.40,1006.50,6.00,22.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-22-2019,04:00:00,98,4.60,0.0,23.8,0.40,1009.92,28.95,1008.29,8.00,23.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-22-2019,04:00:00,96,14.80,0.0,24.5,3.00,1010.33,29.41,1006.81,6.00,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,08-22-2019,04:00:00,98,49.20,0.0,24.7,6.80,1009.32,30.56,1008.43,10.00,24.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-22-2019,04:00:00,99,3.90,0.0,23.7,0.00,1009.75,29.03,1006.14,10.00,23.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,08-22-2019,04:00:00,96,26.20,0.0,24.5,0.60,1008.14,29.41,1007.70,8.00,23.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,250,08-22-2019,04:00:00,90,22.00,7.4,26.6,1.60,1008.87,31.44,1007.88,10.00,24.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,260,08-22-2019,04:00:00,92,3.40,14.8,26.6,2.20,1009.71,31.99,1008.90,10.00,25.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-22-2019,04:00:00,97,9.30,0.0,24.7,1.20,1010.57,30.03,1008.74,6.00,24.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,180,08-22-2019,04:00:00,85,2.10,3.7,25.9,0.00,1010.12,28.26,1009.36,10.00,23.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,240,08-22-2019,04:00:00,88,0.00,5.6,25.2,0.00,1010.55,28.31,1006.52,10.00,23.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-22-2019,04:00:00,96,29.80,0.0,24.7,8.50,1012.63,29.77,1011.93,6.00,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,08-22-2019,04:00:00,90,0.40,0.0,25.2,0.00,1010.24,28.83,1009.11,10.00,23.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-22-2019,04:00:00,96,7.90,0.0,24.3,0.00,1010.71,29.05,1007.76,10.00,23.6
