WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,DewPoint,VaporPressure,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,WindSpeed,AirTemperature,LandVisibility,Rainfall
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,52,07-15-2019,10:00:00,000,21.1,24.93,0.00,969.55,1004.26,0.0,32.2,8.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,53,07-15-2019,10:00:00,140,23.5,28.88,0.00,974.12,1002.94,7.4,34.5,16.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,58,07-15-2019,10:00:00,000,23.1,28.25,0.00,997.88,1005.04,0.0,32.5,10.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,69,07-15-2019,10:00:00,270,25.1,31.93,0.00,984.47,1004.00,9.3,31.5,18.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,45,07-15-2019,10:00:00,280,20.4,23.91,0.00,975.52,1003.38,7.4,34.1,15.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,63,07-15-2019,10:00:00,240,22.9,27.98,0.10,984.94,1004.80,3.7,30.8,15.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,68,07-15-2019,10:00:00,260,24.2,30.21,1.20,983.29,1004.68,3.7,30.8,15.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,66,07-15-2019,10:00:00,220,24.4,30.49,0.00,985.15,1004.28,3.7,31.5,15.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,73,07-15-2019,10:00:00,090,25.1,31.88,0.00,988.55,1005.06,1.9,30.5,10.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,77,07-15-2019,10:00:00,270,25.7,33.00,0.10,988.18,1005.37,3.7,30.2,10.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,62,07-15-2019,10:00:00,070,22.4,27.14,0.00,977.96,1003.33,3.7,30.5,13.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,55,07-15-2019,10:00:00,240,22.4,27.05,0.00,998.83,1004.50,14.8,32.6,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,57,07-15-2019,10:00:00,230,23.1,28.28,0.00,998.87,1004.93,7.4,32.8,12.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,61,07-15-2019,10:00:00,000,22.7,27.54,0.00,989.24,1005.43,0.0,31.0,10.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,70,07-15-2019,10:00:00,240,22.5,27.26,5.90,982.71,1004.87,5.6,28.4,10.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,65,07-15-2019,10:00:00,270,22.7,27.55,0.00,991.82,1006.05,9.3,30.0,6.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,65,07-15-2019,10:00:00,240,23.1,28.23,2.00,989.37,1005.54,11.1,30.5,7.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,57,07-15-2019,10:00:00,190,22.3,26.89,0.01,1000.40,1005.54,7.4,31.8,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,74,07-15-2019,10:00:00,000,24.0,29.85,0.00,990.99,1004.06,0.0,29.2,12.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,63,07-15-2019,10:00:00,140,23.0,28.09,0.00,996.39,1005.57,3.7,31.0,11.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,59,07-15-2019,10:00:00,220,22.5,27.32,0.00,983.17,1004.47,5.6,31.6,10.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,51,07-15-2019,10:00:00,270,22.4,27.01,0.00,987.82,1004.89,7.4,34.0,10.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,61,07-15-2019,10:00:00,240,23.9,29.66,0.00,988.62,1004.12,3.7,32.5,12.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,60,07-15-2019,10:00:00,350,24.3,30.40,0.00,985.27,1003.73,1.9,33.0,10.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,80,07-15-2019,10:00:00,000,22.3,26.88,1.20,956.49,1007.69,0.0,26.0,11.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,63,07-15-2019,10:00:00,180,22.5,27.30,0.00,1001.46,1005.37,7.4,30.3,8.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,88,07-15-2019,10:00:00,250,20.6,24.25,0.40,911.77,1006.47,14.8,22.6,6.00,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,62,07-15-2019,10:00:00,270,24.1,30.03,0.20,988.76,1004.42,7.4,32.4,10.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,74,07-15-2019,10:00:00,180,25.0,31.64,0.00,1001.95,1005.94,5.6,30.1,12.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,65,07-15-2019,10:00:00,000,22.8,27.74,0.00,996.41,1006.97,0.0,30.1,9.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,61,07-15-2019,10:00:00,240,23.0,28.04,0.00,1004.25,1006.15,14.8,31.4,10.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,50,07-15-2019,10:00:00,320,21.1,25.08,0.00,985.76,1006.20,5.6,33.0,10.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,57,07-15-2019,10:00:00,280,23.0,28.08,0.00,986.97,1004.26,9.3,32.7,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,56,07-15-2019,10:00:00,310,23.3,28.52,0.00,988.48,1004.27,7.4,33.2,10.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,66,07-15-2019,10:00:00,230,24.2,30.16,40.50,992.00,1005.82,3.7,31.2,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,74,07-15-2019,10:00:00,000,25.8,33.22,11.90,991.55,1006.17,0.0,31.0,10.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,62,07-15-2019,10:00:00,200,23.8,29.51,0.01,991.72,1006.14,14.8,32.0,10.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,55,07-15-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",21.8,26.18,0.00,1002.56,1005.52,0.0,32.0,10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,67,07-15-2019,10:00:00,180,24.1,29.93,0.00,998.05,1005.89,9.3,30.8,10.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,61,07-15-2019,10:00:00,230,23.2,28.43,0.00,1006.43,1007.53,7.4,31.6,9.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,63,07-15-2019,10:00:00,000,23.6,29.15,0.00,992.30,1006.77,0.0,31.4,10.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,91,07-15-2019,10:00:00,000,20.3,23.88,0.00,872.05,1005.88,0.0,21.9,4.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,76,07-15-2019,10:00:00,210,26.2,34.11,0.00,1000.56,1006.36,5.6,31.0,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,69,07-15-2019,10:00:00,230,25.8,33.12,0.00,1006.13,1006.91,24.1,32.2,8.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,65,07-15-2019,10:00:00,240,24.2,30.20,0.00,1006.42,1006.86,14.8,31.5,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,88,07-15-2019,10:00:00,000,24.8,31.38,8.80,996.49,1007.80,0.0,27.0,5.00,3.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,59,07-15-2019,10:00:00,240,22.9,27.91,0.00,1005.84,1006.84,5.6,31.9,12.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,63,07-15-2019,10:00:00,270,23.9,29.59,0.00,1004.70,1006.49,5.6,31.9,9.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,62,07-15-2019,10:00:00,230,22.8,27.82,0.00,1006.19,1006.95,3.7,31.0,11.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,55,07-15-2019,10:00:00,250,22.0,26.47,0.00,1006.18,1006.87,18.5,32.3,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,59,07-15-2019,10:00:00,240,23.1,28.22,0.00,1006.27,1006.96,9.3,32.2,10.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,59,07-15-2019,10:00:00,240,23.6,29.09,0.00,984.79,1005.54,11.1,32.5,10.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,57,07-15-2019,10:00:00,220,21.9,26.32,0.00,989.23,1005.68,7.4,31.5,9.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,58,07-15-2019,10:00:00,000,22.4,27.16,0.00,990.15,1006.31,0.0,31.8,10.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,57,07-15-2019,10:00:00,320,22.5,27.27,0.00,984.24,1005.71,7.4,32.0,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,64,07-15-2019,10:00:00,260,21.6,25.71,0.00,963.46,1006.39,29.6,29.0,14.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,54,07-15-2019,10:00:00,250,21.7,25.91,0.00,985.25,1005.45,7.4,32.0,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,60,07-15-2019,10:00:00,240,23.6,29.18,0.00,986.64,1007.09,11.1,32.4,9.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,58,07-15-2019,10:00:00,290,22.1,26.59,0.00,1006.61,1007.04,13.0,31.5,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,68,07-15-2019,10:00:00,000,24.4,30.61,0.00,1005.29,1006.68,0.0,31.0,10.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,68,07-15-2019,10:00:00,250,24.4,30.61,0.00,1001.90,1006.77,3.7,31.0,9.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,60,07-15-2019,10:00:00,320,23.2,28.38,0.00,1003.70,1006.94,9.3,32.0,12.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,57,07-15-2019,10:00:00,280,22.5,27.27,0.00,1006.26,1007.35,5.6,32.0,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,60,07-15-2019,10:00:00,280,23.3,28.66,0.00,1007.05,1007.35,11.1,32.0,10.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,58,07-15-2019,10:00:00,300,23.0,28.13,0.00,1006.34,1007.01,5.6,32.3,12.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,56,07-15-2019,10:00:00,120,22.2,26.72,0.00,1007.05,1007.53,3.7,32.0,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,62,07-15-2019,10:00:00,270,23.2,28.51,0.00,1005.85,1007.24,22.2,31.5,10.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,69,07-15-2019,10:00:00,200,23.5,29.00,0.00,1005.91,1007.57,7.4,29.9,10.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,60,07-15-2019,10:00:00,270,22.4,27.11,0.00,1000.58,1008.49,11.1,31.2,12.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,62,07-15-2019,10:00:00,270,24.2,30.12,0.00,1006.73,1007.01,3.7,32.3,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,64,07-15-2019,10:00:00,260,23.1,28.26,0.00,1004.18,1007.27,5.6,30.8,12.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,63,07-15-2019,10:00:00,240,23.1,28.17,0.00,1000.59,1007.44,9.3,30.9,12.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,64,07-15-2019,10:00:00,280,24.2,30.24,0.00,1001.54,1007.05,13.0,31.8,7.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,59,07-15-2019,10:00:00,000,23.0,28.10,0.00,1000.36,1009.54,0.0,32.0,10.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,63,07-15-2019,10:00:00,270,23.0,28.09,0.00,1006.56,1007.81,14.8,31.0,15.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,56,07-15-2019,10:00:00,270,22.1,26.53,0.00,1006.72,1007.14,20.4,31.9,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,61,07-15-2019,10:00:00,260,22.9,27.85,0.00,995.25,1007.34,9.3,31.3,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,56,07-15-2019,10:00:00,000,23.0,28.00,0.00,1006.54,1007.24,0.0,32.8,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,57,07-15-2019,10:00:00,200,23.4,28.80,0.00,1004.97,1007.36,7.4,33.2,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,67,07-15-2019,10:00:00,250,24.1,29.93,0.00,1006.96,1007.47,11.1,30.8,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,64,07-15-2019,10:00:00,000,25.1,31.82,0.00,1002.15,1007.21,0.0,32.7,12.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,67,07-15-2019,10:00:00,000,24.5,30.65,18.90,1007.14,1007.54,0.0,31.3,9.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,69,07-15-2019,10:00:00,220,24.6,30.90,8.30,1004.97,1007.70,7.4,31.0,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,52,07-15-2019,10:00:00,290,21.2,25.22,0.00,1007.09,1007.86,14.8,32.5,12.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,82,07-15-2019,10:00:00,040,26.5,34.64,89.70,1007.71,1008.17,3.7,30.0,8.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,65,07-15-2019,10:00:00,270,24.3,30.32,0.00,1007.72,1008.39,11.1,31.7,9.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,67,07-15-2019,10:00:00,250,23.9,29.65,0.00,1006.88,1008.39,3.7,30.8,10.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,63,07-15-2019,10:00:00,230,23.1,28.17,0.60,1008.92,1009.82,9.3,30.9,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,63,07-15-2019,10:00:00,270,24.1,29.99,0.00,1008.35,1009.02,13.0,32.1,12.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,62,07-15-2019,10:00:00,300,24.6,30.86,0.00,1008.56,1009.34,7.4,32.8,10.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,58,07-15-2019,10:00:00,310,22.3,26.97,0.10,1008.23,1008.86,1.9,31.7,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,63,07-15-2019,10:00:00,000,24.8,31.23,0.01,1008.87,1009.27,0.0,32.7,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,65,07-15-2019,10:00:00,200,23.4,28.81,0.00,1007.39,1011.57,13.0,30.8,10.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,67,07-15-2019,10:00:00,000,23.9,29.65,0.00,1008.48,1010.08,0.0,30.8,10.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,69,07-15-2019,10:00:00,180,25.4,32.35,1.70,1005.88,1009.31,5.6,31.7,10.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,66,07-15-2019,10:00:00,280,23.8,29.48,0.00,1008.33,1009.68,11.1,31.0,10.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,73,07-15-2019,10:00:00,300,24.7,31.15,2.50,1008.41,1009.29,5.6,30.0,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,68,07-15-2019,10:00:00,230,24.5,30.82,0.00,1006.24,1009.76,5.6,31.1,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,65,07-15-2019,10:00:00,000,24.6,30.94,5.00,1008.79,1009.22,0.0,32.0,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,68,07-15-2019,10:00:00,310,23.8,29.50,10.20,1008.18,1009.16,9.3,30.3,10.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,77,07-15-2019,10:00:00,260,25.8,33.21,0.00,1009.04,1009.85,16.7,30.3,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,65,07-15-2019,10:00:00,270,23.8,29.40,0.00,1008.06,1009.85,5.6,31.1,12.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,68,07-15-2019,10:00:00,200,24.3,30.33,22.40,1009.14,1009.88,11.1,31.0,12.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,63,07-15-2019,10:00:00,240,22.3,26.93,2.00,1006.59,1010.55,7.4,30.1,10.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,79,07-15-2019,10:00:00,000,24.4,30.51,0.40,1009.68,1010.36,0.0,28.4,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,73,07-15-2019,10:00:00,240,25.4,32.42,1.40,1009.58,1010.69,7.4,30.9,12.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,74,07-15-2019,10:00:00,230,24.9,31.44,2.00,1007.54,1010.43,5.6,30.0,11.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,73,07-15-2019,10:00:00,220,25.2,32.09,20.50,1009.34,1010.03,9.3,30.6,11.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,73,07-15-2019,10:00:00,240,24.8,31.27,9.50,1006.40,1010.49,11.1,30.2,10.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,61,07-15-2019,10:00:00,240,22.3,26.97,0.50,1009.74,1010.32,11.1,30.7,12.00,0.00
