WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,DewPoint,AirTemperature,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,StationPressure
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.00,08-12-2019,01:00:00,0.50,24.8,25.5,31.25,96,1004.99,130,3.7,7.00,1003.16
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,18.90,08-12-2019,01:00:00,0.00,24.4,25.0,30.58,97,1004.86,000,0.0,6.00,1004.09
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.30,08-12-2019,01:00:00,0.00,24.5,27.4,30.78,84,1005.34,220,9.3,10.00,1004.64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.20,08-12-2019,01:00:00,0.00,24.7,27.0,31.11,87,1005.43,140,3.7,7.00,1004.72
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.00,08-12-2019,01:00:00,0.00,24.0,26.5,29.89,86,1005.24,220,3.7,10.00,984.09
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-12-2019,01:00:00,0.00,24.1,26.1,29.95,89,1005.35,000,0.0,7.00,988.62
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-12-2019,01:00:00,0.00,24.5,26.2,30.67,90,1005.70,210,3.7,7.00,989.25
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1.40,08-12-2019,01:00:00,0.40,23.8,26.0,29.50,88,1005.38,000,0.0,10.00,983.49
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.20,08-12-2019,01:00:00,0.00,22.2,25.3,26.69,83,1005.43,000,0.0,10.00,962.02
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-12-2019,01:00:00,0.00,23.0,26.5,28.03,81,1004.78,170,5.6,8.00,984.23
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,6.60,08-12-2019,01:00:00,0.00,25.3,25.3,32.23,100,1006.38,170,9.3,8.00,985.47
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.20,08-12-2019,01:00:00,0.01,25.1,27.0,31.94,90,1005.27,200,13.0,10.00,1004.84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.90,08-12-2019,01:00:00,0.00,24.0,25.5,29.91,92,1005.40,000,0.0,6.00,1003.98
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.80,08-12-2019,01:00:00,0.00,24.8,25.7,31.36,95,1005.84,000,0.0,7.00,1000.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.80,08-12-2019,01:00:00,1.60,24.4,25.4,30.52,94,1004.99,250,3.7,10.00,1001.69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,9.80,08-12-2019,01:00:00,0.00,25.3,26.0,32.20,96,1005.02,000,0.0,10.00,1003.91
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-12-2019,01:00:00,0.00,24.8,28.0,31.39,83,1005.30,220,5.6,10.00,1005.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-12-2019,01:00:00,0.00,25.1,27.5,31.80,87,1005.08,000,0.0,10.00,1004.59
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-12-2019,01:00:00,0.00,24.8,27.7,31.36,84,1005.24,200,11.1,10.00,1003.84
