WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,LandVisibility,AirTemperature,RelativeHumidity,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindDirection
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-07-2019,22:00:00,31.03,1011.54,8.00,26.1,92,0.30,24.7,1008.49,2.50,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-07-2019,22:00:00,30.19,1012.40,8.00,25.8,91,0.00,24.2,1004.37,5.50,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.4,10-07-2019,22:00:00,30.11,1012.39,7.00,25.9,90,0.00,24.2,1011.28,10.70,160
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-07-2019,22:00:00,31.05,1012.24,8.00,27.4,85,0.00,24.7,997.50,0.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,10-07-2019,22:00:00,20.68,1014.27,8.00,18.7,96,0.00,18.0,877.97,47.60,150
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,10-07-2019,22:00:00,31.05,1012.31,10.00,26.4,90,0.00,24.7,1006.39,0.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,10-07-2019,22:00:00,29.80,1012.60,1.00,25.3,92,0.70,24.0,1011.79,0.70,080
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,7.4,10-07-2019,22:00:00,28.98,1012.21,10.00,26.3,85,0.00,23.5,1011.76,0.00,140
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-07-2019,22:00:00,31.08,1012.31,6.00,25.7,94,0.00,24.7,1000.90,0.80,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,10-07-2019,22:00:00,29.33,1012.43,8.00,28.5,75,0.00,23.7,1011.42,0.70,110
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,10-07-2019,22:00:00,30.63,1012.31,7.00,25.6,93,0.10,24.4,1010.47,23.70,130
