WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,DewPoint
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1006.89,08-17-2019,04:00:00,30.57,5.6,91,992.81,10.20,26.0,0.00,10.00,170,24.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1007.66,08-17-2019,04:00:00,31.79,0.0,92,992.80,0.60,26.5,0.00,8.00,000,25.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.12,08-17-2019,04:00:00,30.59,9.3,89,993.40,0.00,26.3,0.00,6.00,190,24.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.17,08-17-2019,04:00:00,29.91,0.0,85,1002.16,0.00,26.8,0.00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.06,08-17-2019,04:00:00,31.49,0.0,93,997.10,0.00,26.2,0.00,7.00,000,24.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.25,08-17-2019,04:00:00,31.22,5.6,92,1005.14,4.20,26.2,0.40,7.00,150,24.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1006.24,08-17-2019,04:00:00,31.52,0.0,91,991.54,0.20,26.5,0.00,8.00,000,24.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1007.29,08-17-2019,04:00:00,24.01,7.4,99,872.73,24.00,20.6,13.60,.05,200,20.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.91,08-17-2019,04:00:00,30.48,0.0,90,1001.01,0.00,26.1,0.00,10.00,000,24.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.39,08-17-2019,04:00:00,33.19,7.4,96,1005.59,27.20,26.5,0.00,7.00,240,25.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.68,08-17-2019,04:00:00,31.29,9.3,79,1004.24,0.00,28.8,0.00,10.00,210,24.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1007.48,08-17-2019,04:00:00,30.58,0.0,97,996.09,18.20,25.0,0.20,4.00,000,24.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.44,08-17-2019,04:00:00,29.74,7.4,79,1005.44,0.00,28.0,0.00,10.00,210,23.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.04,08-17-2019,04:00:00,32.46,3.7,93,1004.22,0.00,26.7,0.00,7.00,140,25.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.20,08-17-2019,04:00:00,31.02,0.0,87,1005.43,2.00,27.1,0.00,7.00,000,24.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.58,08-17-2019,04:00:00,30.45,7.4,82,1005.88,0.01,27.8,0.00,10.00,240,24.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.93,08-17-2019,04:00:00,31.38,0.0,93,1006.23,10.10,26.0,10.10,7.00,000,24.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1006.54,08-17-2019,04:00:00,30.76,0.0,91,985.33,0.20,26.1,0.20,10.00,000,24.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1005.88,08-17-2019,04:00:00,29.74,0.0,90,989.12,0.00,25.7,0.00,6.00,000,23.9
