WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,VaporPressure,RelativeHumidity,WindDirection,DewPoint,StationPressure,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,10-05-2019,10:00:00,0.00,28.18,84,070,23.1,983.30,0.50,8.00,3.7,1013.23
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.4,10-05-2019,10:00:00,0.00,28.06,73,000,23.0,1006.25,7.90,8.00,0.0,1013.57
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.5,10-05-2019,10:00:00,0.00,29.60,72,160,23.9,992.88,0.00,8.00,5.6,1012.72
48353,LOEI,เลย,เลย,17.45000,101.73333,26.3,10-05-2019,10:00:00,0.00,25.87,76,050,21.7,985.14,1.20,5.00,5.6,1014.02
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.8,10-05-2019,10:00:00,0.00,28.27,71,220,23.1,993.19,6.10,12.00,1.9,1013.35
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.1,10-05-2019,10:00:00,0.00,27.48,68,100,22.6,991.67,0.00,9.00,3.7,1013.37
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.5,10-05-2019,10:00:00,0.00,28.23,68,010,23.1,993.51,0.00,10.00,3.7,1012.93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.2,10-05-2019,10:00:00,0.00,28.21,70,000,23.1,996.57,0.00,10.00,0.0,1013.29
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.4,10-05-2019,10:00:00,0.00,29.68,72,120,23.9,996.31,0.10,12.00,3.7,1013.68
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.5,10-05-2019,10:00:00,0.00,28.53,78,000,23.3,986.59,6.20,10.00,0.0,1012.45
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.0,10-05-2019,10:00:00,0.00,32.55,81,000,25.5,1007.40,2.30,10.00,0.0,1013.18
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.0,10-05-2019,10:00:00,0.00,29.74,74,300,23.9,1007.13,0.20,6.00,7.4,1013.32
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.3,10-05-2019,10:00:00,0.00,26.50,61,000,22.0,997.42,0.00,8.00,0.0,1013.78
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.0,10-05-2019,10:00:00,0.00,28.18,84,360,23.1,989.13,0.30,10.00,3.7,1011.63
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.5,10-05-2019,10:00:00,0.00,27.29,84,000,22.5,1000.19,41.40,6.00,0.0,1014.75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.5,10-05-2019,10:00:00,0.00,27.44,71,000,22.6,997.32,26.70,12.00,0.0,1013.72
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.4,10-05-2019,10:00:00,0.00,28.33,73,060,23.1,1008.03,2.30,8.00,5.6,1013.26
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.4,10-05-2019,10:00:00,0.00,28.31,65,000,23.1,998.31,0.00,10.00,0.0,1011.42
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.3,10-05-2019,10:00:00,0.00,29.80,92,000,24.0,1004.42,60.80,12.00,0.0,1013.86
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.1,10-05-2019,10:00:00,0.00,29.11,77,100,23.6,991.40,6.00,7.00,9.3,1013.14
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.5,10-05-2019,10:00:00,0.00,29.89,68,120,24.0,995.50,0.00,12.00,11.1,1012.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.0,10-05-2019,10:00:00,0.00,28.09,66,100,23.0,996.37,0.00,11.00,5.6,1012.12
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.5,10-05-2019,10:00:00,0.00,32.67,84,090,25.5,993.37,40.10,8.00,5.6,1012.25
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.3,10-05-2019,10:00:00,0.00,27.63,76,000,22.7,961.02,0.00,11.00,0.0,1012.24
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.0,10-05-2019,10:00:00,0.00,30.01,75,300,24.1,1008.81,0.20,3.00,9.3,1012.76
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.5,10-05-2019,10:00:00,0.00,22.13,86,000,19.1,917.89,17.00,8.00,0.0,1013.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.7,10-05-2019,10:00:00,0.00,28.90,78,000,23.5,996.76,8.10,8.00,0.0,1012.79
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,28.0,10-05-2019,10:00:00,0.00,30.56,81,000,24.4,1008.98,0.30,8.00,0.0,1013.02
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.9,10-05-2019,10:00:00,0.00,29.27,69,000,23.7,1002.68,0.10,7.00,0.0,1013.32
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.3,10-05-2019,10:00:00,0.00,29.49,72,330,23.8,1011.18,0.00,9.00,7.4,1013.11
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.0,10-05-2019,10:00:00,0.00,27.03,68,080,22.4,992.06,0.00,7.00,11.1,1012.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.8,10-05-2019,10:00:00,0.00,27.20,69,180,22.5,995.28,0.00,10.00,14.8,1012.94
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.7,10-05-2019,10:00:00,0.30,28.08,71,150,23.0,996.52,0.30,10.00,9.3,1012.68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.1,10-05-2019,10:00:00,0.00,27.54,77,130,22.7,998.78,3.30,10.00,9.3,1012.89
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.7,10-05-2019,10:00:00,0.00,28.42,86,000,23.2,998.38,8.00,8.00,0.0,1013.37
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.5,10-05-2019,10:00:00,0.00,29.33,75,150,23.7,998.71,0.01,10.00,3.7,1013.40
