WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,AirTemperature,StationPressure,Rainfall24Hr,WindSpeed,Rainfall,DewPoint,RelativeHumidity,WindDirection,LandVisibility,MeanSeaLevelPressure
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-06-2019,13:00:00,24.98,22.0,912.38,4.10,11.1,1.90,21.1,95,260,.80,1007.36
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-06-2019,13:00:00,31.27,30.9,989.21,1.40,0.0,0.00,24.8,70,000,12.00,1004.96
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-06-2019,13:00:00,30.44,32.6,1002.35,1.40,3.7,0.00,24.3,62,270,10.00,1006.31
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-06-2019,13:00:00,29.66,32.5,996.48,11.60,9.3,0.00,23.9,61,230,10.00,1006.96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-06-2019,13:00:00,33.25,33.5,1004.50,0.00,9.3,0.00,25.8,64,190,12.00,1006.38
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-06-2019,13:00:00,28.62,30.7,983.25,1.60,9.3,0.00,23.3,65,230,12.00,1003.79
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-06-2019,13:00:00,30.44,29.5,987.39,0.80,9.3,0.00,24.3,74,250,10.00,1004.87
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-06-2019,13:00:00,30.58,30.7,988.78,0.20,5.6,0.00,24.4,69,260,10.00,1004.71
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-06-2019,13:00:00,29.22,30.3,991.84,5.20,11.1,0.00,23.7,68,290,10.00,1005.70
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-06-2019,13:00:00,31.56,30.9,991.40,14.40,3.7,0.00,24.9,71,270,10.00,1006.03
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-06-2019,13:00:00,31.31,30.5,992.06,0.20,13.0,0.00,24.8,72,220,10.00,1006.56
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-06-2019,13:00:00,27.74,33.8,1003.17,0.00,0.0,0.00,22.8,53,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,1006.12
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-06-2019,13:00:00,32.10,31.3,998.03,0.60,9.3,0.00,25.2,70,100,10.00,1005.86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-06-2019,13:00:00,29.51,32.0,1006.08,0.20,11.1,0.00,23.8,62,210,8.00,1007.17
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-06-2019,13:00:00,33.25,29.9,989.52,0.00,3.7,0.00,25.8,79,110,9.00,1004.02
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-06-2019,13:00:00,24.75,21.7,873.07,12.40,9.3,0.00,20.9,95,290,8.00,1007.16
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-06-2019,13:00:00,32.34,31.0,1000.37,1.70,3.7,0.00,25.4,72,210,10.00,1006.17
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-06-2019,13:00:00,29.25,33.0,1006.09,10.30,9.3,0.00,23.7,58,240,9.00,1006.87
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-06-2019,13:00:00,30.06,30.3,1007.03,18.40,14.8,0.00,24.1,70,210,10.00,1007.47
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-06-2019,13:00:00,32.13,29.5,996.79,5.40,0.0,0.00,25.2,78,000,7.00,1008.01
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-06-2019,13:00:00,28.32,33.1,1005.62,0.00,7.4,0.00,23.1,56,300,12.00,1006.61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-06-2019,13:00:00,30.36,32.7,1004.75,7.60,3.7,0.00,24.3,61,200,8.00,1006.54
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-06-2019,13:00:00,28.84,33.5,1005.79,0.01,3.7,0.00,23.4,56,270,9.00,1006.54
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-06-2019,13:00:00,29.37,30.8,1006.49,8.60,13.0,0.00,23.7,66,210,10.00,1007.19
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-06-2019,13:00:00,34.19,30.9,1006.33,15.40,0.0,0.10,26.3,77,000,7.00,1007.03
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-06-2019,13:00:00,27.74,31.1,985.26,0.01,11.1,0.00,22.8,61,270,10.00,1006.11
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-06-2019,13:00:00,29.70,30.4,989.46,3.00,5.6,0.00,23.9,68,210,10.00,1005.97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-06-2019,13:00:00,30.21,30.8,990.22,4.90,9.3,0.00,24.2,68,270,14.00,1006.44
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-06-2019,13:00:00,27.76,31.4,984.29,0.40,14.8,0.00,22.8,60,300,10.00,1005.81
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-06-2019,13:00:00,27.13,27.6,963.58,3.60,16.7,0.00,22.4,73,240,15.00,1006.72
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-06-2019,13:00:00,28.29,31.1,985.51,1.00,11.1,0.00,23.1,63,200,10.00,1005.77
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-06-2019,13:00:00,32.75,30.5,986.84,0.00,14.8,0.00,25.6,75,250,10.00,1007.42
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-06-2019,13:00:00,29.86,30.2,1006.71,3.60,1.9,0.00,24.0,70,150,10.00,1007.14
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-06-2019,13:00:00,34.00,29.7,1005.63,62.90,0.0,0.00,26.2,82,000,8.00,1007.03
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-06-2019,13:00:00,32.22,29.4,1002.33,31.30,0.0,0.00,25.3,79,000,8.00,1007.22
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-06-2019,13:00:00,26.72,33.0,1003.59,0.40,11.1,0.00,22.2,53,270,12.00,1006.82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-06-2019,13:00:00,30.03,33.1,1005.87,3.70,11.1,0.00,24.1,59,260,12.00,1006.95
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-06-2019,13:00:00,29.15,31.4,1006.90,13.40,5.6,0.00,23.6,63,200,10.00,1007.19
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-06-2019,13:00:00,31.94,32.2,1006.72,11.60,5.6,0.00,25.1,66,210,10.00,1007.39
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-06-2019,13:00:00,31.52,32.0,1006.34,10.60,5.6,0.00,24.9,66,210,10.00,1006.82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-06-2019,13:00:00,28.86,32.1,1005.55,1.20,22.2,0.00,23.4,60,270,10.00,1006.93
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-06-2019,13:00:00,29.60,29.5,1005.11,13.50,11.1,0.00,23.9,72,210,10.00,1006.78
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-06-2019,13:00:00,29.33,29.5,1001.29,32.90,7.4,0.00,23.7,71,180,10.00,1009.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-06-2019,13:00:00,30.09,30.6,1006.52,41.80,5.6,0.00,24.1,69,240,10.00,1006.80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-06-2019,13:00:00,31.56,30.2,1004.22,15.60,9.3,0.00,24.9,74,280,10.00,1007.33
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-06-2019,13:00:00,29.71,29.7,1000.77,1.70,7.4,0.00,23.9,71,240,10.00,1007.66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-06-2019,13:00:00,31.19,31.0,1001.35,52.30,7.4,0.00,24.7,69,280,10.00,1006.87
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-06-2019,13:00:00,30.32,29.3,999.33,5.20,16.7,0.00,24.3,74,230,10.00,1008.59
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-06-2019,13:00:00,28.00,32.8,1006.80,1.60,3.7,0.00,23.0,56,180,14.00,1008.04
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-06-2019,13:00:00,26.39,32.4,1006.89,0.10,18.5,0.00,22.0,54,240,11.00,1007.31
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-06-2019,13:00:00,27.41,30.5,995.83,0.01,0.0,0.00,22.6,63,000,9.00,1007.95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-06-2019,13:00:00,25.66,32.3,1006.99,0.00,11.1,0.00,21.5,53,300,10.00,1007.69
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-06-2019,13:00:00,28.37,31.0,1005.40,0.00,18.5,0.00,23.2,63,240,9.00,1007.80
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-06-2019,13:00:00,30.72,29.5,1007.45,0.60,16.7,0.00,24.5,75,250,12.00,1007.97
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-06-2019,13:00:00,28.42,30.6,1002.08,0.40,7.4,0.00,23.2,65,310,13.00,1007.18
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-06-2019,13:00:00,31.56,30.2,1007.74,27.10,0.0,0.00,24.9,74,000,9.00,1008.15
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-06-2019,13:00:00,30.55,29.7,1005.72,16.10,0.0,0.00,24.4,73,000,8.00,1008.47
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-06-2019,13:00:00,29.61,30.5,1006.36,0.50,9.3,0.00,23.9,68,270,10.00,1007.14
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-06-2019,13:00:00,33.81,31.0,1008.04,0.50,5.6,0.00,26.1,75,270,7.00,1008.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-06-2019,13:00:00,29.76,31.0,1007.54,1.00,7.4,0.00,24.0,66,250,8.00,1008.22
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-06-2019,13:00:00,30.86,31.4,1006.84,0.80,5.6,0.00,24.6,67,290,7.00,1008.35
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-06-2019,13:00:00,30.49,31.5,1008.60,0.00,11.1,0.00,24.4,66,260,10.00,1009.51
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-06-2019,13:00:00,29.58,33.3,1008.27,0.00,5.6,0.00,23.9,58,240,10.00,1008.94
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-06-2019,13:00:00,31.85,31.6,1008.47,0.00,3.7,0.00,25.1,69,100,8.00,1009.26
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-06-2019,13:00:00,26.36,34.8,1006.92,0.00,7.4,0.00,22.0,47,240,10.00,1007.54
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-06-2019,13:00:00,31.28,34.8,1007.46,0.00,7.4,0.00,24.8,56,170,10.00,1007.86
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-06-2019,13:00:00,29.48,31.0,1006.75,2.20,7.4,0.00,23.8,66,250,6.00,1010.92
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-06-2019,13:00:00,25.33,32.7,1007.00,0.00,0.0,0.00,21.3,51,000,10.00,1008.58
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-06-2019,13:00:00,30.65,32.0,1005.42,0.00,0.0,0.00,24.5,64,000,12.00,1008.85
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-06-2019,13:00:00,29.25,33.0,1006.99,0.00,11.1,0.00,23.7,58,120,10.00,1008.32
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-06-2019,13:00:00,33.35,31.2,1008.20,0.00,9.3,0.00,25.9,73,270,10.00,1009.07
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-06-2019,13:00:00,31.52,32.0,1005.12,0.00,9.3,0.00,24.9,66,260,10.00,1008.62
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-06-2019,13:00:00,32.99,32.0,1008.93,0.00,0.0,0.00,25.7,69,000,10.00,1009.36
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-06-2019,13:00:00,32.40,32.0,1007.78,0.00,7.4,0.00,25.4,68,300,10.00,1008.76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-06-2019,13:00:00,34.24,31.2,1008.01,0.00,5.6,0.00,26.3,75,280,10.00,1008.82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-06-2019,13:00:00,28.88,34.5,1006.40,0.00,13.0,0.00,23.5,53,190,10.00,1008.17
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-06-2019,13:00:00,30.61,31.0,1007.41,0.00,13.0,0.00,24.4,68,050,10.00,1008.15
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-06-2019,13:00:00,29.21,33.4,1004.27,0.01,9.3,0.00,23.6,57,190,10.00,1008.19
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-06-2019,13:00:00,30.93,34.5,1008.41,0.00,0.0,0.00,24.6,57,000,10.00,1009.07
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-06-2019,13:00:00,27.75,33.1,1007.40,4.60,7.4,0.00,22.8,55,180,12.00,1008.49
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-06-2019,13:00:00,30.80,34.3,1005.57,0.00,9.3,0.00,24.5,57,260,12.00,1008.42
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-06-2019,13:00:00,34.57,33.0,1006.93,1.60,13.0,0.00,26.5,69,020,10.00,1007.60
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-06-2019,13:00:00,27.17,34.5,1004.43,0.00,7.4,0.00,22.5,50,330,7.00,1008.46
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-06-2019,13:00:00,30.08,32.0,1007.97,0.00,16.7,0.00,24.1,63,050,12.00,1008.55
