WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,StationPressure,VaporPressure,WindDirection
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.6,09-25-2019,04:00:00,0.0,93,0.00,25.8,0.00,1013.51,10.00,1007.26,31.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,20.4,09-25-2019,04:00:00,0.0,85,0.00,23.0,0.00,1015.55,10.00,998.75,23.92,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,21.2,09-25-2019,04:00:00,0.0,89,0.00,23.0,0.00,1012.71,10.00,989.97,25.11,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.0,09-25-2019,04:00:00,0.0,95,0.00,24.9,3.00,1015.02,3.00,1000.42,29.87,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,09-25-2019,04:00:00,0.0,96,0.00,24.5,0.00,1014.34,7.00,997.71,29.41,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.9,09-25-2019,04:00:00,0.0,89,0.00,25.8,0.00,1014.24,8.00,1008.96,29.66,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,20.9,09-25-2019,04:00:00,0.0,83,0.00,24.0,0.00,1012.96,10.00,999.55,24.78,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.6,09-25-2019,04:00:00,0.0,92,0.00,24.9,0.00,1014.28,6.00,1004.82,29.08,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.1,09-25-2019,04:00:00,7.4,84,0.00,24.0,0.00,1014.65,7.00,992.59,25.02,010
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,22.5,09-25-2019,04:00:00,0.0,83,0.00,25.6,0.00,1012.45,6.00,994.77,27.21,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,20.6,09-25-2019,04:00:00,3.7,82,0.00,23.8,0.00,1014.15,10.00,998.04,24.22,010
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,21.6,09-25-2019,04:00:00,0.0,94,0.00,22.7,0.00,1014.01,6.00,994.72,25.84,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.9,09-25-2019,04:00:00,0.0,91,0.00,22.4,0.00,1013.38,5.00,961.28,24.65,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.1,09-25-2019,04:00:00,0.0,93,0.00,26.4,0.00,1013.92,3.00,1009.92,31.88,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,17.7,09-25-2019,04:00:00,5.6,96,0.00,18.4,0.00,1015.85,.50,918.97,20.29,270
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,21.2,09-25-2019,04:00:00,0.0,89,0.00,23.0,0.00,1014.60,7.00,998.28,25.11,000
