WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,WindDirection,RelativeHumidity,LandVisibility,Rainfall,WindSpeed,StationPressure,AirTemperature,MeanSeaLevelPressure,DewPoint
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-06-2019,01:00:00,29.52,260,93,4.00,0.00,1.9,992.79,25.0,1011.47,23.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-06-2019,01:00:00,30.32,000,96,10.00,0.00,0.0,989.02,25.0,1012.06,24.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-06-2019,01:00:00,27.17,000,92,7.00,0.00,0.0,982.03,23.8,1012.32,22.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-06-2019,01:00:00,27.50,000,94,6.00,0.00,0.0,976.40,23.7,1012.38,22.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-06-2019,01:00:00,26.50,000,97,6.00,0.00,0.0,980.92,22.5,1011.13,22.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-06-2019,01:00:00,29.23,000,87,8.00,0.00,0.0,1004.10,26.0,1011.46,23.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-06-2019,01:00:00,30.07,100,81,5.00,0.00,3.7,991.08,27.6,1011.00,24.1
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-06-2019,01:00:00,26.33,000,90,7.00,0.00,0.0,982.62,23.6,1011.69,21.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,14.00,10-06-2019,01:00:00,24.33,190,89,4.00,14.00,11.1,991.60,22.5,1012.16,20.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.30,10-06-2019,01:00:00,27.34,000,92,10.00,5.30,0.0,990.14,23.9,1012.19,22.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.01,10-06-2019,01:00:00,26.17,000,87,10.00,0.01,0.0,991.95,24.1,1011.70,21.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.40,10-06-2019,01:00:00,26.68,000,86,12.00,0.00,0.0,995.12,24.7,1012.07,22.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,4.50,10-06-2019,01:00:00,27.43,000,90,10.00,0.00,0.0,994.61,24.4,1012.25,22.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-06-2019,01:00:00,29.33,000,95,7.00,0.00,0.0,984.04,24.6,1010.09,23.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.10,10-06-2019,01:00:00,32.45,080,98,10.00,0.00,3.7,1005.62,25.7,1011.46,25.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.01,10-06-2019,01:00:00,29.52,000,93,5.00,0.00,0.0,1005.36,25.0,1011.62,23.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-06-2019,01:00:00,27.25,000,91,7.00,0.00,0.0,995.21,24.0,1011.89,22.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.50,10-06-2019,01:00:00,26.42,000,91,10.00,0.00,0.0,987.25,23.5,1009.89,22.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.20,10-06-2019,01:00:00,29.62,000,92,6.00,0.00,0.0,997.43,25.2,1011.97,23.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.70,10-06-2019,01:00:00,29.77,000,96,{'@attributes': {'Unit': 'km'}},0.00,0.0,994.91,24.7,1011.49,24.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,10-06-2019,01:00:00,29.84,000,89,6.00,0.00,0.0,1006.48,25.9,1011.75,24.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,10-06-2019,01:00:00,29.00,000,92,10.00,0.00,0.0,996.63,25.0,1009.95,23.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,15.70,10-06-2019,01:00:00,30.13,000,96,10.00,0.00,0.0,1001.79,24.9,1011.21,24.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-06-2019,01:00:00,28.83,010,90,7.00,0.00,3.7,988.80,25.2,1010.69,23.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-06-2019,01:00:00,28.51,110,87,4.00,0.00,31.5,993.28,25.6,1010.93,23.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,11.00,10-06-2019,01:00:00,25.92,000,91,10.00,0.00,0.0,994.46,23.2,1010.55,21.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-06-2019,01:00:00,30.13,000,96,8.00,0.00,0.0,991.34,24.9,1010.42,24.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-06-2019,01:00:00,24.03,000,91,6.00,0.00,0.0,961.15,22.0,1013.31,20.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,10-06-2019,01:00:00,29.00,280,92,3.00,0.01,3.7,1006.98,25.0,1010.98,23.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.50,10-06-2019,01:00:00,22.32,000,96,2.50,0.00,0.0,916.21,19.9,1012.29,19.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,15.50,10-06-2019,01:00:00,25.53,030,95,5.00,15.50,3.7,996.13,22.2,1012.46,21.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.20,10-06-2019,01:00:00,30.58,000,97,6.00,0.00,0.0,1006.59,25.0,1010.67,24.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,41.20,10-06-2019,01:00:00,27.49,000,96,5.00,0.00,0.0,995.87,23.4,1006.67,22.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.60,10-06-2019,01:00:00,29.26,000,92,7.00,0.00,0.0,1009.45,25.0,1011.40,23.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.30,10-06-2019,01:00:00,28.92,000,91,10.00,0.00,0.0,989.59,25.1,1010.65,23.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,5.20,10-06-2019,01:00:00,23.36,020,92,10.00,5.20,18.5,993.84,21.4,1011.92,20.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,4.10,10-06-2019,01:00:00,24.90,020,95,8.00,3.80,11.1,995.05,21.8,1011.56,21.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.01,10-06-2019,01:00:00,30.05,000,88,10.00,0.00,0.0,996.14,26.3,1010.25,24.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-06-2019,01:00:00,29.00,000,92,8.00,0.00,0.0,996.68,25.0,1011.67,23.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.01,10-06-2019,01:00:00,33.35,000,98,6.00,0.00,0.0,996.05,26.3,1010.81,25.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.00,10-06-2019,01:00:00,31.25,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",96,7.00,0.20,0.0,1007.60,25.5,1010.65,24.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,11.00,10-06-2019,01:00:00,28.64,000,92,7.00,0.00,0.0,1002.82,24.8,1010.86,23.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.30,10-06-2019,01:00:00,30.17,020,93,6.00,0.00,3.7,1009.78,25.5,1010.90,24.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-06-2019,01:00:00,27.70,000,88,.00,0.00,0.0,996.38,25.0,1011.23,22.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,27.20,10-06-2019,01:00:00,20.50,170,97,8.00,0.00,3.7,876.72,18.4,1012.98,17.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1.80,10-06-2019,01:00:00,27.85,000,92,10.00,0.00,0.0,1005.20,24.2,1011.16,22.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10.00,10-06-2019,01:00:00,30.77,000,97,7.00,0.00,0.0,1010.12,25.1,1010.93,24.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,38.90,10-06-2019,01:00:00,30.76,000,91,10.00,0.00,0.0,1010.36,26.1,1010.81,24.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.30,10-06-2019,01:00:00,28.53,000,96,4.00,0.00,0.0,1000.21,24.0,1011.68,23.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.10,10-06-2019,01:00:00,29.82,000,91,6.00,0.00,0.0,1010.13,25.6,1011.15,24.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.80,10-06-2019,01:00:00,29.49,000,97,7.00,0.00,0.0,1009.35,24.4,1011.19,23.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-06-2019,01:00:00,29.91,000,92,5.00,0.00,0.0,1010.17,25.5,1010.94,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,11.80,10-06-2019,01:00:00,28.75,280,89,9.00,0.00,7.4,1010.40,25.3,1011.11,23.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.20,10-06-2019,01:00:00,29.62,000,86,7.00,0.00,0.0,1009.80,26.5,1010.51,23.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.00,10-06-2019,01:00:00,27.66,000,96,6.00,0.00,0.0,989.96,23.5,1011.45,22.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1.40,10-06-2019,01:00:00,31.03,000,92,7.00,0.00,0.0,993.80,26.1,1010.62,24.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.20,10-06-2019,01:00:00,30.05,000,95,6.00,0.00,0.0,994.74,25.0,1011.35,24.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-06-2019,01:00:00,28.28,000,93,6.00,0.00,0.0,989.05,24.3,1011.19,23.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,2.00,10-06-2019,01:00:00,25.62,000,98,8.00,0.00,0.0,967.65,21.8,1011.84,21.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-06-2019,01:00:00,28.81,000,93,8.00,0.00,0.0,990.35,24.6,1011.16,23.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.90,10-06-2019,01:00:00,29.46,000,100,7.00,0.00,0.0,991.40,23.8,1012.56,23.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-06-2019,01:00:00,27.93,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",82,10.00,0.00,0.0,1010.80,26.3,1011.24,22.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.10,10-06-2019,01:00:00,29.00,000,92,6.00,0.00,0.0,1009.28,25.0,1010.71,23.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,6.20,10-06-2019,01:00:00,30.56,000,98,7.00,0.00,0.0,1005.62,24.7,1010.61,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-06-2019,01:00:00,28.14,000,88,10.00,0.00,0.0,1008.44,25.1,1011.77,23.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-06-2019,01:00:00,30.71,340,94,10.00,0.00,3.7,1009.91,25.5,1011.03,24.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,55.80,10-06-2019,01:00:00,30.03,290,89,10.00,0.00,3.7,1010.77,26.0,1011.07,24.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,12.50,10-06-2019,01:00:00,30.36,000,93,10.00,0.00,0.0,1010.62,25.6,1011.12,24.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,3.00,10-06-2019,01:00:00,31.25,290,96,7.00,0.00,7.4,1009.60,25.5,1011.03,24.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,9.70,10-06-2019,01:00:00,31.25,000,96,4.00,0.00,0.0,1010.48,25.5,1010.77,24.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.80,10-06-2019,01:00:00,29.50,000,88,10.00,0.00,0.0,1007.48,26.0,1010.64,23.8
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.50,10-06-2019,01:00:00,31.44,030,90,10.00,0.00,5.6,1003.59,26.6,1010.56,24.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.40,10-06-2019,01:00:00,29.91,000,92,8.00,0.00,0.0,1005.50,25.5,1011.15,24.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,10-06-2019,01:00:00,29.15,000,95,6.00,0.00,0.0,1011.10,24.5,1012.38,23.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,4.20,10-06-2019,01:00:00,28.11,330,91,8.00,2.80,5.6,1010.86,24.5,1011.29,23.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-06-2019,01:00:00,28.02,000,92,10.00,0.00,0.0,999.15,24.3,1011.57,23.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.50,10-06-2019,01:00:00,30.13,000,96,8.00,10.50,0.0,1010.33,24.9,1011.05,24.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.40,10-06-2019,01:00:00,29.58,000,89,8.00,0.10,0.0,1008.26,25.9,1010.71,23.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,10-06-2019,01:00:00,28.18,120,84,8.00,0.01,11.1,1010.44,26.0,1010.96,23.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,63.10,10-06-2019,01:00:00,29.59,000,96,6.00,0.00,0.0,1005.49,24.6,1010.70,23.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,4.10,10-06-2019,01:00:00,28.28,000,93,7.00,0.40,0.0,1010.27,24.3,1010.69,23.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,3.00,10-06-2019,01:00:00,29.52,000,93,8.00,0.00,0.0,1008.27,25.0,1011.07,23.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-06-2019,01:00:00,29.70,000,86,10.00,0.00,0.0,1009.18,26.4,1009.97,23.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-06-2019,01:00:00,28.52,080,85,6.00,0.00,5.6,1010.15,25.9,1010.61,23.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-06-2019,01:00:00,27.60,000,90,7.00,0.00,0.0,1010.34,24.5,1011.03,22.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-06-2019,01:00:00,28.10,210,93,7.00,0.00,1.9,1009.49,24.2,1011.03,23.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.20,10-06-2019,01:00:00,28.37,000,92,10.00,0.00,0.0,1010.66,24.5,1011.59,23.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-06-2019,01:00:00,31.14,000,86,10.00,0.00,0.0,1010.23,27.3,1010.92,24.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.80,10-06-2019,01:00:00,29.57,000,97,7.00,0.00,0.0,1010.76,24.3,1011.56,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.90,10-06-2019,01:00:00,29.66,000,98,9.00,0.00,0.0,1010.40,24.2,1011.04,23.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,2.70,10-06-2019,01:00:00,28.79,000,95,8.00,0.00,0.0,1010.22,24.3,1010.63,23.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,56.60,10-06-2019,01:00:00,28.69,000,97,5.00,0.00,0.0,1008.54,23.8,1012.81,23.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,13.00,10-06-2019,01:00:00,29.66,000,98,6.00,0.00,0.0,1009.66,24.2,1011.29,23.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.90,10-06-2019,01:00:00,29.41,000,96,10.00,0.00,0.0,1007.80,24.5,1011.32,23.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.90,10-06-2019,01:00:00,30.75,000,98,7.00,0.00,0.0,1009.16,24.8,1010.53,24.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.60,10-06-2019,01:00:00,30.48,000,97,10.00,0.00,0.0,1010.31,24.8,1011.20,24.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1.70,10-06-2019,01:00:00,29.67,000,97,10.00,0.00,0.0,1007.48,24.5,1011.08,23.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1.60,10-06-2019,01:00:00,30.18,000,86,10.00,0.00,0.0,1010.08,26.8,1010.52,24.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.80,10-06-2019,01:00:00,30.44,000,93,8.00,0.20,0.0,1009.49,25.5,1010.49,24.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.00,10-06-2019,01:00:00,30.07,100,93,10.00,0.40,7.4,1010.13,25.3,1010.95,24.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.70,10-06-2019,01:00:00,29.59,000,96,8.00,0.00,0.0,1009.22,24.6,1011.06,23.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-06-2019,01:00:00,28.57,000,89,10.00,0.00,0.0,1009.77,25.2,1010.53,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.20,10-06-2019,01:00:00,29.30,260,98,8.00,0.00,3.7,1006.90,24.0,1010.95,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.80,10-06-2019,01:00:00,28.11,000,91,10.00,0.00,0.0,1009.92,24.5,1010.61,23.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,16.00,10-06-2019,01:00:00,28.17,000,97,10.00,0.00,0.0,1009.73,23.5,1010.87,23.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-06-2019,01:00:00,29.61,000,94,10.00,0.00,0.0,1008.11,24.9,1011.06,23.9
