WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,VaporPressure,RelativeHumidity,DewPoint,WindDirection,Rainfall,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.6,08-24-2019,13:00:00,29.0,31.13,78,24.7,160,0.00,975.25,29.50,1004.63,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-24-2019,13:00:00,30.0,33.17,78,25.8,000,0.00,998.86,11.80,1006.09,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,08-24-2019,13:00:00,30.5,34.22,78,26.3,230,0.40,984.99,131.40,1004.60,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,7.4,08-24-2019,13:00:00,31.1,31.68,70,25.0,220,0.00,976.25,29.20,1004.41,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,14.8,08-24-2019,13:00:00,30.5,28.50,65,23.2,260,0.00,985.37,22.10,1005.26,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,08-24-2019,13:00:00,29.6,30.63,74,24.4,260,0.20,983.54,36.60,1005.02,15.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.3,08-24-2019,13:00:00,29.8,31.89,76,25.1,300,0.01,985.02,41.40,1004.26,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,5.6,08-24-2019,13:00:00,25.0,30.32,96,24.3,080,32.50,989.33,39.00,1006.16,4.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-24-2019,13:00:00,25.2,28.83,90,23.4,000,4.50,988.94,53.60,1006.43,6.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.3,08-24-2019,13:00:00,29.5,30.72,75,24.5,250,0.00,979.10,16.00,1004.58,15.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-24-2019,13:00:00,31.7,34.73,74,26.6,000,0.00,1000.39,4.20,1006.08,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-24-2019,13:00:00,31.2,33.65,74,26.0,000,0.00,999.94,3.10,1006.04,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,5.6,08-24-2019,13:00:00,30.8,30.49,69,24.4,210,0.20,990.15,12.90,1006.37,6.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,08-24-2019,13:00:00,28.5,30.15,78,24.2,210,0.00,983.53,8.90,1005.70,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,13.0,08-24-2019,13:00:00,32.7,30.07,61,24.1,280,0.00,992.48,0.00,1006.59,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,9.3,08-24-2019,13:00:00,34.2,29.71,55,23.9,120,0.00,989.33,0.00,1005.30,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,7.4,08-24-2019,13:00:00,31.2,29.88,66,24.0,300,0.00,1000.97,39.50,1006.12,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-24-2019,13:00:00,30.7,34.36,78,26.4,000,0.20,991.79,1.20,1004.80,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,08-24-2019,13:00:00,31.2,31.89,70,25.1,020,0.00,997.05,4.40,1006.24,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.0,08-24-2019,13:00:00,29.0,32.26,81,25.3,000,0.00,984.39,8.10,1005.90,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-24-2019,13:00:00,28.0,33.37,88,25.9,000,1.30,988.64,17.30,1006.07,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,5.6,08-24-2019,13:00:00,24.5,29.67,97,23.9,200,13.00,989.39,128.90,1005.33,6.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,08-24-2019,13:00:00,29.3,32.30,79,25.3,230,0.10,986.25,12.30,1004.95,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-24-2019,13:00:00,27.6,26.86,73,22.3,000,0.00,957.78,17.70,1008.77,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,11.1,08-24-2019,13:00:00,30.6,31.23,71,24.8,230,0.00,1002.48,0.50,1006.39,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,08-24-2019,13:00:00,22.7,26.09,95,21.8,270,1.20,913.00,16.00,1007.80,1.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-24-2019,13:00:00,25.5,31.79,97,25.1,000,13.40,990.32,35.40,1006.37,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,08-24-2019,13:00:00,31.7,34.73,74,26.6,000,0.00,1002.59,11.30,1006.56,12.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-24-2019,13:00:00,31.5,31.06,67,24.7,000,0.00,996.89,1.30,1007.41,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.9,08-24-2019,13:00:00,31.9,29.59,63,23.9,180,0.00,1005.42,13.10,1007.32,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,13.0,08-24-2019,13:00:00,29.9,27.90,66,22.9,250,0.00,985.75,0.01,1006.40,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.4,08-24-2019,13:00:00,25.5,30.71,94,24.5,230,1.10,988.71,8.40,1006.45,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,08-24-2019,13:00:00,25.7,31.63,96,25.0,240,2.40,989.90,12.50,1006.11,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,08-24-2019,13:00:00,26.7,31.91,91,25.1,250,1.50,992.58,33.50,1006.63,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-24-2019,13:00:00,26.5,32.91,95,25.6,000,1.40,992.18,27.30,1007.03,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.4,08-24-2019,13:00:00,27.5,33.21,90,25.8,240,0.30,992.09,28.20,1006.73,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-24-2019,13:00:00,32.5,30.53,62,24.4,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1003.30,7.10,1006.26,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-24-2019,13:00:00,31.4,29.72,65,23.9,000,0.00,998.51,8.90,1006.35,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,9.3,08-24-2019,13:00:00,33.2,30.53,60,24.4,270,0.00,1005.82,0.00,1006.91,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-24-2019,13:00:00,27.0,28.67,80,23.3,000,0.00,992.41,44.80,1007.10,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,08-24-2019,13:00:00,22.1,23.02,87,19.8,290,0.00,873.21,3.80,1007.13,4.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-24-2019,13:00:00,31.4,32.89,72,25.6,000,0.00,1000.88,3.40,1006.67,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,13.0,08-24-2019,13:00:00,32.8,28.85,58,23.4,250,0.00,1006.54,0.10,1007.32,12.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,14.8,08-24-2019,13:00:00,31.9,31.60,67,25.0,230,0.00,1006.60,0.00,1007.04,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-24-2019,13:00:00,29.0,30.57,76,24.4,000,0.00,997.05,11.80,1008.29,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,5.6,08-24-2019,13:00:00,32.7,28.65,58,23.3,270,0.00,1006.02,0.00,1007.01,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,08-24-2019,13:00:00,33.0,30.99,62,24.6,000,0.00,1005.31,1.60,1007.10,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-24-2019,13:00:00,32.5,26.86,55,22.3,000,0.00,1006.26,0.00,1007.01,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,14.8,08-24-2019,13:00:00,30.5,28.78,66,23.4,220,0.00,1006.49,0.01,1007.19,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.4,08-24-2019,13:00:00,33.0,31.57,63,24.9,240,0.00,1006.23,3.30,1006.92,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.3,08-24-2019,13:00:00,31.6,27.32,59,22.5,260,0.01,985.39,1.00,1006.21,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-24-2019,13:00:00,27.4,32.45,89,25.4,000,0.90,990.22,9.80,1006.91,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,08-24-2019,13:00:00,27.5,30.70,84,24.5,000,1.00,990.97,15.00,1007.38,9.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,08-24-2019,13:00:00,31.5,27.68,60,22.8,300,0.00,984.40,12.00,1005.91,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,08-24-2019,13:00:00,28.3,31.14,81,24.7,210,0.00,963.99,1.00,1007.05,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,08-24-2019,13:00:00,30.8,28.26,64,23.1,120,0.00,985.68,16.10,1005.96,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,08-24-2019,13:00:00,26.4,34.40,100,26.4,220,2.00,987.50,6.80,1008.38,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,9.3,08-24-2019,13:00:00,30.9,29.85,67,24.0,150,0.00,1006.68,2.20,1007.11,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,3.7,08-24-2019,13:00:00,31.8,34.05,72,26.2,250,0.00,1005.09,30.90,1006.48,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-24-2019,13:00:00,29.2,35.00,86,26.7,000,4.40,1002.22,20.70,1007.12,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,5.6,08-24-2019,13:00:00,32.2,28.78,60,23.4,210,0.00,1004.11,0.00,1007.35,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-24-2019,13:00:00,32.1,29.99,63,24.1,280,0.00,1006.22,0.00,1007.30,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,5.6,08-24-2019,13:00:00,32.0,30.36,64,24.3,220,0.00,1006.96,0.00,1007.26,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,9.3,08-24-2019,13:00:00,32.3,29.54,61,23.8,220,0.00,1006.77,0.00,1007.44,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,08-24-2019,13:00:00,32.3,31.86,66,25.1,160,0.00,1006.76,0.00,1007.24,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,16.7,08-24-2019,13:00:00,31.8,28.82,61,23.4,260,0.00,1005.86,0.00,1007.25,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,9.3,08-24-2019,13:00:00,29.5,33.87,82,26.1,210,0.00,1005.85,0.00,1007.52,12.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-24-2019,13:00:00,31.0,30.05,67,24.1,000,0.40,1001.24,4.00,1009.16,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,7.4,08-24-2019,13:00:00,32.7,29.50,60,23.8,320,0.00,1006.98,5.60,1007.26,12.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,08-24-2019,13:00:00,31.6,28.99,62,23.5,250,0.00,1004.39,0.00,1007.47,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,11.1,08-24-2019,13:00:00,30.7,32.01,72,25.2,240,0.00,1000.85,0.20,1007.71,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.7,08-24-2019,13:00:00,31.0,32.34,72,25.4,200,0.01,1001.74,24.10,1007.26,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,11.1,08-24-2019,13:00:00,31.2,26.83,59,22.2,230,0.00,998.67,0.00,1007.86,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,08-24-2019,13:00:00,32.5,29.95,61,24.1,180,0.00,1007.26,0.01,1008.50,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,08-24-2019,13:00:00,31.1,33.73,75,26.1,210,0.01,1006.92,0.01,1007.35,8.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,7.4,08-24-2019,13:00:00,30.8,29.65,67,23.9,010,0.00,995.41,0.00,1007.52,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,9.3,08-24-2019,13:00:00,31.9,31.31,66,24.8,260,0.00,1006.70,0.00,1007.41,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,18.5,08-24-2019,13:00:00,34.2,30.29,56,24.3,220,0.00,1005.46,1.30,1007.84,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,22.2,08-24-2019,13:00:00,29.6,30.63,74,24.4,240,0.00,1006.66,0.60,1007.17,12.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,5.6,08-24-2019,13:00:00,32.6,29.01,59,23.5,250,0.00,1001.79,0.40,1006.85,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,14.8,08-24-2019,13:00:00,31.8,32.27,69,25.3,230,0.00,1006.95,7.10,1007.36,10.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,11.1,08-24-2019,13:00:00,30.0,33.17,78,25.8,200,0.00,1004.49,11.50,1007.23,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,9.3,08-24-2019,13:00:00,29.5,27.96,68,22.9,270,0.00,1007.45,0.30,1008.23,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,08-24-2019,13:00:00,29.0,33.99,85,26.2,220,1.00,1007.24,62.60,1007.70,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,13.0,08-24-2019,13:00:00,30.1,29.11,68,23.6,280,0.00,1008.53,0.00,1009.21,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,08-24-2019,13:00:00,30.0,27.55,65,22.7,260,0.00,1007.38,1.00,1008.89,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,08-24-2019,13:00:00,28.6,26.04,67,21.8,260,0.00,1009.82,51.60,1010.74,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,08-24-2019,13:00:00,32.3,27.85,58,22.9,270,0.00,1008.01,0.20,1008.68,13.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,11.1,08-24-2019,13:00:00,29.8,29.08,69,23.6,280,0.01,1009.00,0.01,1009.79,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,11.1,08-24-2019,13:00:00,34.8,26.36,47,22.0,320,0.00,1007.25,0.00,1007.87,12.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,18.5,08-24-2019,13:00:00,35.4,29.30,51,23.7,270,0.00,1008.04,0.00,1008.43,12.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,14.8,08-24-2019,13:00:00,33.0,26.17,52,21.8,240,0.00,1006.32,0.20,1010.46,8.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,11.1,08-24-2019,13:00:00,32.8,25.25,51,21.3,290,0.20,1007.97,4.20,1009.55,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-24-2019,13:00:00,31.5,26.32,57,21.9,000,0.00,1007.10,1.90,1010.53,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,13.0,08-24-2019,13:00:00,32.8,26.89,54,22.3,260,0.00,1007.91,0.00,1009.24,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,13.0,08-24-2019,13:00:00,30.3,33.80,78,26.1,240,0.00,1008.63,2.70,1009.50,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,16.7,08-24-2019,13:00:00,24.3,24.78,82,20.9,290,1.40,1006.76,1.80,1010.36,9.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,7.4,08-24-2019,13:00:00,27.4,29.96,82,24.1,280,2.80,1009.64,4.00,1010.08,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,08-24-2019,13:00:00,30.2,31.56,74,24.9,320,6.90,1008.94,24.50,1009.93,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,33.3,08-24-2019,13:00:00,27.5,31.25,85,24.8,090,0.00,1009.33,13.40,1010.15,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,11.1,08-24-2019,13:00:00,30.7,31.15,71,24.7,220,0.00,1008.25,0.20,1010.05,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.9,08-24-2019,13:00:00,31.1,28.29,63,23.1,260,0.00,1008.74,0.00,1009.48,12.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,9.3,08-24-2019,13:00:00,25.7,30.54,93,24.4,230,2.60,1006.35,3.00,1010.38,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,7.4,08-24-2019,13:00:00,28.5,31.54,81,24.9,280,7.70,1010.84,7.70,1011.52,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.4,08-24-2019,13:00:00,25.5,29.38,90,23.7,230,1.80,1009.27,1.80,1010.40,8.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-24-2019,13:00:00,29.5,33.58,81,26.0,000,10.50,1007.56,10.50,1010.46,8.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.6,08-24-2019,13:00:00,31.7,32.64,70,25.5,260,0.00,1007.79,3.10,1008.47,12.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,08-24-2019,13:00:00,32.2,28.50,59,23.2,000,0.00,1005.36,6.00,1009.42,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,08-24-2019,13:00:00,32.0,25.91,54,21.7,000,0.00,1008.63,0.00,1009.21,10.00
