WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,StationPressure,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.77,08-10-2019,22:00:00,24.8,996.56,31.24,90,0.00,26.5,10.00,33.80,0.0,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1001.11,08-10-2019,22:00:00,24.8,987.99,31.38,88,0.40,27.0,10.00,4.90,0.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1001.51,08-10-2019,22:00:00,25.5,992.21,32.68,97,0.90,26.1,10.00,19.50,0.0,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.77,08-10-2019,22:00:00,24.1,982.04,29.99,92,1.50,25.4,5.00,34.80,5.6,120
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.25,08-10-2019,22:00:00,25.0,985.70,31.66,100,35.70,25.0,4.00,35.70,7.4,200
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.91,08-10-2019,22:00:00,24.2,988.20,30.15,78,0.00,28.5,10.00,5.60,3.7,220
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.54,08-10-2019,22:00:00,24.6,983.67,31.00,93,1.30,25.8,8.00,30.60,0.0,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1004.06,08-10-2019,22:00:00,22.7,952.74,27.60,91,4.60,24.2,7.00,25.60,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.69,08-10-2019,22:00:00,25.9,997.75,33.50,95,0.20,26.8,6.00,35.60,11.1,140
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1002.41,08-10-2019,22:00:00,21.7,908.05,26.01,95,1.00,22.5,3.00,74.50,0.0,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1004.24,08-10-2019,22:00:00,25.8,988.27,33.27,97,2.60,26.4,7.00,3.10,0.0,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.74,08-10-2019,22:00:00,24.5,997.74,30.81,83,0.00,27.7,10.00,1.10,13.0,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1003.25,08-10-2019,22:00:00,24.6,992.63,30.97,84,0.00,27.5,7.00,0.00,3.7,170
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1002.62,08-10-2019,22:00:00,24.2,1000.71,30.15,82,0.00,27.5,9.00,0.40,11.1,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.67,08-10-2019,22:00:00,24.5,982.88,30.83,87,0.00,27.0,10.00,14.00,0.0,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.91,08-10-2019,22:00:00,25.3,986.25,32.20,96,9.40,26.0,10.00,12.50,0.0,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.81,08-10-2019,22:00:00,26.2,987.68,33.95,98,14.70,26.6,10.00,23.20,0.0,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1005.21,08-10-2019,22:00:00,25.0,991.19,31.63,90,0.00,26.7,10.00,26.50,7.4,150
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1006.14,08-10-2019,22:00:00,24.8,991.27,31.38,93,0.01,26.0,8.00,41.40,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1005.00,08-10-2019,22:00:00,25.1,990.41,31.95,85,0.00,28.0,10.00,7.10,3.7,210
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.84,08-10-2019,22:00:00,24.8,998.85,31.28,84,0.00,27.8,10.00,2.70,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1002.76,08-10-2019,22:00:00,24.6,994.84,30.91,87,0.00,26.9,8.00,3.80,0.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1002.94,08-10-2019,22:00:00,25.3,1001.84,32.20,87,0.20,27.7,7.00,1.80,9.3,170
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1001.28,08-10-2019,22:00:00,27.1,986.84,35.81,82,0.00,30.4,8.00,10.20,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1004.79,08-10-2019,22:00:00,20.1,870.47,23.49,98,0.60,20.4,.05,35.40,9.3,200
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.11,08-10-2019,22:00:00,25.3,997.25,32.26,93,0.00,26.6,10.00,3.30,3.7,190
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1003.24,08-10-2019,22:00:00,24.8,1002.44,31.39,83,0.10,28.0,8.00,1.90,3.7,220
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1003.41,08-10-2019,22:00:00,24.4,1002.97,30.47,73,0.00,29.8,10.00,0.00,11.1,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1004.04,08-10-2019,22:00:00,24.0,992.71,29.91,92,1.90,25.5,3.00,15.40,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1003.39,08-10-2019,22:00:00,24.5,1002.39,30.75,81,0.00,28.1,10.00,0.00,7.4,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.17,08-10-2019,22:00:00,25.4,1001.35,32.36,88,0.10,27.5,8.00,1.10,3.7,180
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1003.02,08-10-2019,22:00:00,23.4,1002.26,28.71,78,0.00,27.6,8.00,0.40,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1004.26,08-10-2019,22:00:00,24.2,1003.57,30.23,78,0.00,28.4,10.00,0.00,16.7,210
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1003.64,08-10-2019,22:00:00,25.1,1002.95,31.94,81,0.00,28.7,7.00,5.20,0.0,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1003.79,08-10-2019,22:00:00,22.3,982.83,26.93,68,0.00,28.8,10.00,0.40,0.0,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1005.03,08-10-2019,22:00:00,24.2,988.33,30.18,86,0.00,26.8,8.00,10.80,0.0,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1005.43,08-10-2019,22:00:00,24.1,989.04,30.04,83,0.00,27.3,7.00,9.60,9.3,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.01,08-10-2019,22:00:00,22.1,982.29,26.62,71,0.00,27.9,10.00,0.01,0.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1003.72,08-10-2019,22:00:00,22.2,960.50,26.80,79,0.00,26.1,10.00,4.30,7.4,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.25,08-10-2019,22:00:00,23.9,983.73,29.72,85,0.80,26.7,10.00,1.00,5.6,150
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.81,08-10-2019,22:00:00,25.6,985.02,32.86,93,0.20,26.9,8.00,5.00,11.1,180
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1003.95,08-10-2019,22:00:00,24.7,1003.52,31.20,83,0.00,27.9,10.00,0.80,5.6,210
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.89,08-10-2019,22:00:00,25.0,1002.47,31.74,90,0.00,26.9,8.00,29.70,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.54,08-10-2019,22:00:00,24.1,999.62,30.02,84,0.00,27.0,8.00,3.60,0.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.20,08-10-2019,22:00:00,23.3,999.93,28.53,78,0.00,27.5,10.00,0.01,7.4,240
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1003.35,08-10-2019,22:00:00,23.9,1002.25,29.60,81,0.00,27.5,10.00,0.01,0.0,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1004.04,08-10-2019,22:00:00,24.5,1003.74,30.82,78,0.01,28.7,10.00,0.01,9.3,200
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1003.74,08-10-2019,22:00:00,24.9,1003.26,31.54,81,0.00,28.5,10.00,0.00,3.7,270
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1003.51,08-10-2019,22:00:00,24.6,1002.11,30.87,80,0.00,28.3,10.00,1.60,18.5,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1005.40,08-10-2019,22:00:00,24.6,997.42,30.86,85,0.00,27.3,10.00,0.00,3.7,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1003.68,08-10-2019,22:00:00,25.6,1003.39,32.83,82,0.00,29.0,10.00,4.50,0.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.87,08-10-2019,22:00:00,24.2,1000.76,30.15,78,0.00,28.5,10.00,0.00,0.0,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1004.48,08-10-2019,22:00:00,25.1,997.58,31.95,85,0.00,28.0,10.00,0.00,7.4,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.57,08-10-2019,22:00:00,25.4,998.99,32.45,89,0.00,27.4,8.00,1.20,0.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1004.49,08-10-2019,22:00:00,24.4,1003.22,30.54,93,0.01,25.7,6.00,1.70,0.0,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1003.88,08-10-2019,22:00:00,24.2,1003.45,30.15,82,0.40,27.5,11.00,0.40,5.6,240
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1004.49,08-10-2019,22:00:00,23.8,992.21,29.48,89,0.00,25.7,10.00,7.70,0.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1004.37,08-10-2019,22:00:00,24.3,1003.65,30.39,84,0.00,27.2,10.00,1.20,0.0,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.28,08-10-2019,22:00:00,24.4,1001.86,30.62,78,0.00,28.6,10.00,0.60,7.4,240
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1004.73,08-10-2019,22:00:00,25.7,1004.21,33.00,83,0.00,28.8,10.00,0.50,27.8,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1004.45,08-10-2019,22:00:00,24.6,999.33,30.87,80,0.00,28.3,11.00,0.50,1.9,210
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.49,08-10-2019,22:00:00,25.4,1005.08,32.35,85,0.00,28.2,7.00,1.90,9.3,200
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.52,08-10-2019,22:00:00,25.3,1001.76,32.32,86,0.00,27.9,2.00,13.20,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.43,08-10-2019,22:00:00,23.3,1004.64,28.67,80,0.20,27.0,6.00,4.70,13.0,270
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.84,08-10-2019,22:00:00,24.8,1007.38,31.25,96,9.70,25.5,4.00,26.60,3.7,110
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.85,08-10-2019,22:00:00,24.3,1006.17,30.32,96,3.20,25.0,8.00,15.10,0.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.40,08-10-2019,22:00:00,24.0,1004.86,29.91,92,0.20,25.5,7.00,2.20,0.0,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.65,08-10-2019,22:00:00,24.7,1006.73,31.13,91,2.00,26.3,10.00,11.00,7.4,220
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.38,08-10-2019,22:00:00,24.6,1006.69,30.98,80,0.00,28.5,10.00,0.00,0.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.20,08-10-2019,22:00:00,24.3,1007.40,30.30,90,0.00,26.0,10.00,4.10,1.9,220
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.71,08-10-2019,22:00:00,23.7,1007.08,29.28,78,0.00,27.9,10.00,2.40,0.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.18,08-10-2019,22:00:00,24.3,1006.77,30.34,87,0.00,26.6,10.00,2.00,0.0,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.47,08-10-2019,22:00:00,25.2,1005.25,31.97,88,0.00,27.3,5.00,0.01,0.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.21,08-10-2019,22:00:00,24.2,1007.59,30.23,95,0.00,25.1,7.00,10.20,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.84,08-10-2019,22:00:00,25.1,1005.35,31.93,95,1.80,26.0,6.00,13.90,0.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.56,08-10-2019,22:00:00,24.3,1007.20,30.32,96,2.20,25.0,9.00,4.30,5.6,300
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.03,08-10-2019,22:00:00,25.4,1007.14,32.45,89,1.00,27.4,10.00,55.30,7.4,210
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.43,08-10-2019,22:00:00,24.6,1004.85,31.00,93,0.50,25.8,10.00,7.30,0.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.36,08-10-2019,22:00:00,24.5,1007.93,30.78,80,0.00,28.4,10.00,5.20,9.3,280
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.71,08-10-2019,22:00:00,24.6,1006.72,30.96,76,0.00,29.2,10.00,7.30,13.0,220
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.95,08-10-2019,22:00:00,26.2,1008.14,33.99,85,0.00,29.0,10.00,1.80,25.9,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.02,08-10-2019,22:00:00,24.3,1007.20,30.44,93,3.20,25.5,10.00,13.00,0.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.70,08-10-2019,22:00:00,23.4,1007.94,28.78,86,0.10,25.9,10.00,2.50,5.6,130
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.73,08-10-2019,22:00:00,24.9,1004.70,31.49,98,2.00,25.2,10.00,14.40,9.3,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.51,08-10-2019,22:00:00,24.9,1009.82,31.55,95,0.00,25.8,10.00,18.30,0.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.52,08-10-2019,22:00:00,24.4,1007.40,30.54,93,0.80,25.7,10.00,3.40,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.26,08-10-2019,22:00:00,24.4,1006.31,30.58,97,0.40,25.0,8.00,7.90,3.7,240
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.19,08-10-2019,22:00:00,23.4,1007.50,28.81,93,0.30,24.6,7.00,28.80,0.0,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1009.43,08-10-2019,22:00:00,21.9,1005.25,26.25,88,0.00,24.0,7.00,9.50,7.4,290
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.01,08-10-2019,22:00:00,21.0,1008.42,24.79,70,0.00,27.0,8.00,3.90,0.0,000
