WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,WindSpeed,StationPressure,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,WindDirection,Rainfall,Rainfall24Hr
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.4,09-08-2019,13:00:00,32.7,5.6,988.94,66,1006.00,32.41,12.00,270,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.9,09-08-2019,13:00:00,33.0,7.4,978.80,55,1003.99,27.84,15.00,300,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.7,09-08-2019,13:00:00,32.0,14.8,1002.40,69,1008.09,32.99,10.00,240,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.9,09-08-2019,13:00:00,31.8,0.0,1001.65,71,1007.75,33.45,12.00,000,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.5,09-08-2019,13:00:00,33.0,0.0,990.38,61,1006.48,30.69,12.00,000,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.9,09-08-2019,13:00:00,29.0,11.1,985.69,74,1007.88,29.74,10.00,240,0.00,5.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.0,09-08-2019,13:00:00,30.0,14.8,994.26,66,1008.53,28.09,8.00,270,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.5,09-08-2019,13:00:00,33.0,0.0,990.98,58,1007.05,28.97,12.00,000,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.9,09-08-2019,13:00:00,32.8,18.5,1002.49,60,1007.62,29.70,10.00,270,0.00,44.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.2,09-08-2019,13:00:00,33.6,5.6,992.37,61,1005.26,31.97,12.00,210,0.00,1.30
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.2,09-08-2019,13:00:00,32.8,0.0,998.08,61,1007.23,30.28,15.00,000,0.00,57.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.5,09-08-2019,13:00:00,33.6,3.7,984.08,59,1005.26,30.78,12.00,210,0.00,6.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.4,09-08-2019,13:00:00,34.5,13.0,989.74,59,1006.81,32.42,12.00,240,0.00,2.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.9,09-08-2019,13:00:00,32.0,9.3,989.56,66,1005.11,31.52,12.00,210,0.00,1.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.0,09-08-2019,13:00:00,34.5,5.6,986.22,54,1004.60,29.75,10.00,200,0.00,1.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.8,09-08-2019,13:00:00,27.0,0.0,956.99,73,1008.04,26.06,10.00,000,0.00,2.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.8,09-08-2019,13:00:00,33.5,11.1,1003.01,64,1006.88,33.25,10.00,180,0.00,2.90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,09-08-2019,13:00:00,21.8,18.5,913.75,94,1008.94,24.43,2.00,240,0.40,3.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.2,09-08-2019,13:00:00,31.9,5.6,990.20,72,1005.91,33.97,10.00,240,0.00,8.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.8,09-08-2019,13:00:00,34.1,3.7,1003.34,58,1007.28,31.26,12.00,210,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.7,09-08-2019,13:00:00,33.0,7.4,997.87,58,1008.35,29.25,10.00,270,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.2,09-08-2019,13:00:00,33.5,5.6,1006.27,59,1008.16,30.28,10.00,210,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.9,09-08-2019,13:00:00,32.3,18.5,986.29,58,1006.78,27.85,10.00,240,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,09-08-2019,13:00:00,31.0,18.5,988.82,71,1006.24,31.76,10.00,230,0.00,5.30
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.6,09-08-2019,13:00:00,32.8,9.3,989.75,62,1005.59,30.86,10.00,220,0.00,10.20
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.7,09-08-2019,13:00:00,32.0,3.7,992.80,61,1006.60,29.22,10.00,250,0.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,20.0,09-08-2019,13:00:00,31.8,0.0,992.50,50,1007.10,23.42,10.00,000,0.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.0,09-08-2019,13:00:00,32.5,14.8,992.48,65,1006.88,31.69,10.00,250,0.00,0.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,22.9,09-08-2019,13:00:00,33.5,0.0,1004.43,54,1007.38,27.99,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.9,09-08-2019,13:00:00,34.2,3.7,998.66,55,1006.42,29.71,10.00,200,0.00,1.90
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.5,09-08-2019,13:00:00,32.9,7.4,1006.52,62,1007.61,30.78,8.00,270,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,21.3,09-08-2019,13:00:00,32.0,0.0,992.07,53,1006.51,25.37,8.00,000,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.2,09-08-2019,13:00:00,23.6,5.6,874.29,86,1007.66,25.11,8.00,270,0.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.9,09-08-2019,13:00:00,34.2,3.7,1001.42,59,1007.16,31.47,10.00,280,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.4,09-08-2019,13:00:00,33.2,9.3,1007.46,60,1008.25,30.53,12.00,230,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.5,09-08-2019,13:00:00,30.9,18.5,1008.13,69,1008.57,30.70,10.00,230,0.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.5,09-08-2019,13:00:00,26.7,5.6,999.60,83,1010.95,28.92,5.00,340,0.70,11.80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.4,09-08-2019,13:00:00,34.5,7.4,1006.94,56,1007.93,30.63,12.00,250,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.3,09-08-2019,13:00:00,33.0,9.3,1006.04,68,1007.83,34.27,8.00,030,0.40,0.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.9,09-08-2019,13:00:00,32.9,0.0,1007.19,56,1007.94,27.92,9.00,000,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,09-08-2019,13:00:00,31.1,20.4,1008.16,66,1008.86,29.96,10.00,210,0.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.3,09-08-2019,13:00:00,32.9,3.7,1007.41,64,1008.10,32.25,8.00,300,0.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.4,09-08-2019,13:00:00,33.5,13.0,986.14,56,1006.84,28.84,12.00,310,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.8,09-08-2019,13:00:00,32.3,7.4,990.42,61,1006.84,29.54,11.00,240,0.00,1.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.1,09-08-2019,13:00:00,32.8,9.3,990.96,60,1007.08,29.99,10.00,270,0.00,3.30
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.6,09-08-2019,13:00:00,33.5,7.4,985.62,53,1007.01,27.43,10.00,260,0.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.9,09-08-2019,13:00:00,29.5,14.8,964.87,68,1007.79,27.96,15.00,240,0.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.0,09-08-2019,13:00:00,34.5,13.0,986.52,51,1006.57,28.02,12.00,220,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.4,09-08-2019,13:00:00,32.2,13.0,987.93,71,1008.42,34.32,10.00,290,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.9,09-08-2019,13:00:00,33.0,18.5,1008.30,55,1008.73,27.84,10.00,280,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.3,09-08-2019,13:00:00,32.8,5.6,1006.49,65,1007.88,32.33,11.00,280,0.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.6,09-08-2019,13:00:00,33.0,5.6,1003.27,62,1008.11,30.99,9.00,290,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.1,09-08-2019,13:00:00,33.5,3.7,1005.48,55,1008.71,28.27,12.00,230,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.3,09-08-2019,13:00:00,30.5,3.7,1007.32,78,1008.41,34.22,10.00,240,0.20,0.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.3,09-08-2019,13:00:00,32.3,5.6,1008.15,63,1008.45,30.40,10.00,190,0.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.2,09-08-2019,13:00:00,32.6,7.4,1008.20,61,1008.88,30.16,10.00,210,0.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.0,09-08-2019,13:00:00,31.7,3.7,1007.31,68,1007.80,31.77,10.00,180,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.2,09-08-2019,13:00:00,31.8,16.7,1007.01,64,1008.40,30.24,10.00,210,0.00,0.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.0,09-08-2019,13:00:00,29.1,16.7,1006.86,89,1008.53,35.68,10.00,220,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.8,09-08-2019,13:00:00,31.0,7.4,1002.13,66,1010.06,29.48,10.00,250,0.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.6,09-08-2019,13:00:00,31.5,3.7,1008.03,63,1008.31,29.07,10.00,300,0.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.8,09-08-2019,13:00:00,32.2,9.3,1004.93,65,1008.01,31.35,10.00,300,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.6,09-08-2019,13:00:00,29.8,13.0,1001.95,69,1008.84,29.08,12.00,230,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.8,09-08-2019,13:00:00,33.0,14.8,1002.71,62,1008.20,31.28,10.00,270,0.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.6,09-08-2019,13:00:00,31.7,11.1,1000.57,66,1009.76,30.90,10.00,290,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.7,09-08-2019,13:00:00,32.3,18.5,1008.39,61,1009.63,29.26,15.00,260,0.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.0,09-08-2019,13:00:00,31.1,18.5,1008.04,62,1008.47,28.01,11.00,270,0.00,4.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.9,09-08-2019,13:00:00,32.5,7.4,996.98,61,1009.04,29.66,10.00,270,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.1,09-08-2019,13:00:00,30.9,9.3,1008.20,71,1008.91,31.84,10.00,120,0.00,0.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.3,09-08-2019,13:00:00,32.1,14.8,1007.46,60,1009.86,28.58,10.00,240,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.3,09-08-2019,13:00:00,30.0,11.1,1008.56,71,1009.08,30.31,12.00,250,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.2,09-08-2019,13:00:00,31.6,3.7,1003.56,61,1008.64,28.43,11.00,190,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,09-08-2019,13:00:00,31.4,14.8,1008.58,70,1008.99,32.01,8.00,240,0.00,18.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.9,09-08-2019,13:00:00,31.5,11.1,1006.33,72,1009.07,33.40,8.00,240,0.00,0.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.6,09-08-2019,13:00:00,30.7,13.0,1009.02,66,1009.80,29.17,10.00,280,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.2,09-08-2019,13:00:00,32.0,7.4,1009.05,76,1009.51,36.01,8.00,260,0.00,63.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.4,09-08-2019,13:00:00,32.5,13.0,1008.70,59,1009.37,28.81,8.00,290,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,09-08-2019,13:00:00,34.0,11.1,1007.92,56,1009.42,29.87,10.00,270,0.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.4,09-08-2019,13:00:00,32.1,11.1,1009.61,64,1010.51,30.57,10.00,260,0.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.2,09-08-2019,13:00:00,30.3,9.3,1009.24,74,1009.92,32.05,10.00,200,0.00,0.10
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.0,09-08-2019,13:00:00,34.8,5.6,1008.60,50,1009.38,28.06,10.00,270,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.8,09-08-2019,13:00:00,33.5,0.0,1008.50,54,1009.12,27.71,10.00,000,0.00,0.50
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.3,09-08-2019,13:00:00,34.7,0.0,1008.45,58,1008.85,32.26,10.00,000,0.00,0.90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.6,09-08-2019,13:00:00,33.5,9.3,1006.98,53,1011.12,27.43,8.00,180,0.00,0.30
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,22.7,09-08-2019,13:00:00,32.0,0.0,1007.88,58,1009.46,27.55,10.00,000,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.9,09-08-2019,13:00:00,33.8,5.6,1006.46,60,1009.87,31.50,8.00,220,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.1,09-08-2019,13:00:00,27.5,7.4,1009.50,77,1010.86,28.26,10.00,290,0.00,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.1,09-08-2019,13:00:00,32.0,9.3,1009.86,71,1010.73,33.88,10.00,270,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.5,09-08-2019,13:00:00,33.1,14.8,1007.05,57,1010.55,28.88,10.00,200,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.2,09-08-2019,13:00:00,32.5,0.0,1009.03,70,1009.46,34.07,10.00,000,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.0,09-08-2019,13:00:00,31.9,13.0,1009.09,67,1010.07,31.60,10.00,300,0.00,1.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.0,09-08-2019,13:00:00,32.8,9.3,1009.33,72,1010.14,35.66,10.00,170,0.00,3.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.3,09-08-2019,13:00:00,29.6,14.8,1008.94,73,1010.75,30.35,8.00,140,0.00,1.30
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,21.8,09-08-2019,13:00:00,32.5,14.8,1008.72,53,1009.46,26.04,8.00,280,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.0,09-08-2019,13:00:00,32.5,16.7,1005.54,65,1009.48,31.69,10.00,280,6.80,19.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.5,09-08-2019,13:00:00,31.7,7.4,1008.93,62,1009.60,28.91,7.00,270,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,21.9,09-08-2019,13:00:00,33.5,7.4,1008.17,51,1009.26,26.31,10.00,290,0.00,23.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.8,09-08-2019,13:00:00,33.4,13.0,1006.75,57,1009.62,29.50,12.00,280,0.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,26.8,09-08-2019,13:00:00,33.2,0.0,1007.76,69,1008.44,35.33,8.00,000,0.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.5,09-08-2019,13:00:00,33.7,9.3,1005.07,59,1009.11,30.70,6.00,170,0.00,47.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.6,09-08-2019,13:00:00,32.8,11.1,1007.46,62,1008.04,30.86,10.00,070,0.00,0.00
