WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,LandVisibility,WindDirection,MaximumTemperature,StationPressure,Rainfall,RelativeHumidity,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-07-2019,19:00:00,29.1,11.00,280,33.5,1006.63,0.00,68,3.7,27.48,22.6,1007.73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-07-2019,19:00:00,30.6,10.00,190,32.7,1007.28,0.00,64,7.4,28.15,23.0,1007.58
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-07-2019,19:00:00,30.4,10.00,200,33.2,1006.94,0.00,65,7.4,28.04,23.0,1007.62
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-07-2019,19:00:00,31.0,10.00,000,33.5,1007.31,0.00,69,0.0,30.90,24.6,1007.80
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.20,09-07-2019,19:00:00,30.6,10.00,250,32.3,1006.14,0.00,63,16.7,27.60,22.7,1007.53
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-07-2019,19:00:00,29.6,10.00,210,31.5,1005.96,0.00,77,22.2,32.05,25.2,1007.63
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-07-2019,19:00:00,28.8,10.00,000,33.0,1000.98,0.00,79,0.0,31.29,24.8,1008.96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-07-2019,19:00:00,30.0,10.00,000,34.0,1007.32,0.00,69,0.0,29.19,23.6,1007.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-07-2019,19:00:00,29.3,10.00,270,32.5,1004.28,0.00,74,9.3,30.04,24.1,1007.39
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-07-2019,19:00:00,29.4,10.00,210,31.7,1000.81,0.00,79,9.3,32.22,25.3,1007.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-07-2019,19:00:00,30.0,10.00,000,33.3,1001.98,0.00,75,0.0,31.72,25.0,1007.53
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.01,09-07-2019,19:00:00,28.8,10.00,230,32.7,999.34,0.00,77,14.8,30.46,24.3,1008.61
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-07-2019,19:00:00,28.9,10.00,270,34.4,1007.53,0.00,71,7.4,28.45,23.2,1008.79
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,4.20,09-07-2019,19:00:00,29.1,11.00,240,33.5,1007.32,0.00,78,13.0,31.33,24.8,1007.75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-07-2019,19:00:00,28.0,10.00,000,33.7,996.49,0.00,74,0.0,27.85,22.9,1008.72
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.30,09-07-2019,19:00:00,30.0,10.00,270,34.0,1007.48,0.00,68,5.6,28.91,23.5,1008.19
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-07-2019,19:00:00,29.8,10.00,200,34.0,1005.71,0.00,75,7.4,31.32,24.8,1008.12
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-07-2019,19:00:00,28.8,10.00,250,31.5,1007.39,0.00,82,14.8,32.42,25.4,1007.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-07-2019,19:00:00,29.2,12.00,210,33.3,1002.73,0.00,76,1.9,30.96,24.6,1007.85
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.20,09-07-2019,19:00:00,28.9,8.00,200,32.0,1007.89,0.00,82,7.4,32.63,25.5,1008.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-07-2019,19:00:00,27.5,8.00,000,31.0,1005.68,0.00,88,0.0,32.36,25.4,1008.45
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-07-2019,19:00:00,28.9,10.00,000,29.4,1007.77,0.00,73,0.0,29.00,23.5,1008.55
48501,TRAD,ตราด,ตราด,11.76667,102.88333,4.90,09-07-2019,19:00:00,28.4,8.00,280,31.2,1008.37,0.00,85,5.6,32.75,25.6,1008.83
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-07-2019,19:00:00,29.6,8.00,310,34.3,1007.84,0.00,71,5.6,29.52,23.8,1008.52
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-07-2019,19:00:00,29.5,9.00,000,34.0,1007.34,0.00,69,0.0,28.50,23.2,1008.86
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-07-2019,19:00:00,29.0,10.00,000,32.8,1008.79,0.00,78,0.0,31.13,24.7,1009.71
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-07-2019,19:00:00,29.5,10.00,080,31.4,1008.36,0.00,81,9.3,33.58,26.0,1009.05
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-07-2019,19:00:00,29.6,10.00,000,36.3,1008.17,0.00,73,0.0,30.08,24.1,1008.96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-07-2019,19:00:00,29.3,10.00,030,35.0,1008.22,0.00,72,1.9,29.49,23.8,1008.85
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-07-2019,19:00:00,28.7,10.00,220,35.6,1009.15,0.00,78,11.1,30.82,24.5,1009.56
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-07-2019,19:00:00,27.7,5.00,000,35.3,1007.15,0.00,84,0.0,31.36,24.8,1011.36
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-07-2019,19:00:00,29.1,10.00,000,34.0,1007.05,0.00,70,0.0,28.29,23.1,1008.65
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-07-2019,19:00:00,29.7,10.00,000,35.2,1005.48,0.00,78,0.0,32.54,25.5,1008.93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-07-2019,19:00:00,28.8,10.00,120,34.6,1007.37,0.00,77,3.7,30.46,24.3,1008.72
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-07-2019,19:00:00,29.5,10.00,000,32.5,1007.68,0.00,78,0.0,32.13,25.2,1008.55
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-07-2019,19:00:00,29.0,10.00,000,33.8,1004.98,0.00,72,0.0,28.91,23.5,1008.52
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-07-2019,19:00:00,30.1,10.00,290,33.1,1008.63,0.00,70,5.6,29.94,24.1,1009.06
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-07-2019,19:00:00,30.0,10.00,280,32.9,1007.65,0.00,72,5.6,30.59,24.4,1008.64
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-07-2019,19:00:00,28.9,10.00,000,32.9,1008.28,0.00,82,0.0,32.63,25.5,1009.09
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1.30,09-07-2019,19:00:00,30.0,10.00,000,35.4,1007.09,0.00,73,0.0,30.87,24.6,1008.89
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-07-2019,19:00:00,29.6,10.00,160,32.7,1008.34,0.00,68,5.6,28.15,23.0,1009.09
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,12.80,09-07-2019,19:00:00,26.9,10.00,130,35.0,1005.37,0.01,92,3.7,32.58,25.5,1009.37
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-07-2019,19:00:00,30.2,10.00,000,35.0,1009.30,0.00,74,0.0,31.56,24.9,1009.98
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.40,09-07-2019,19:00:00,26.2,10.00,000,34.6,1007.49,19.00,93,0.0,31.49,24.9,1008.61
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-07-2019,19:00:00,29.5,10.00,060,35.5,1006.21,0.00,83,9.3,34.16,26.3,1009.11
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-07-2019,19:00:00,29.7,8.00,000,34.6,1008.57,0.00,85,0.0,35.48,26.9,1009.25
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,2.60,09-07-2019,19:00:00,26.4,5.00,240,35.5,1005.95,2.60,81,24.1,27.85,22.9,1010.09
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-07-2019,19:00:00,29.6,10.00,100,32.8,1008.28,0.00,77,5.6,31.77,25.0,1008.86
