WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,DewPoint,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,Rainfall,Rainfall24Hr,RelativeHumidity,VaporPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,09-22-2019,10:00:00,000,23.9,29.8,1012.44,993.63,0.0,0.00,8.60,71,29.63
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.00,09-22-2019,10:00:00,000,20.8,25.8,1011.49,960.06,0.0,0.80,21.60,74,24.53
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,09-22-2019,10:00:00,320,25.5,29.0,1012.69,1008.73,5.6,0.00,8.30,81,32.55
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.00,09-22-2019,10:00:00,030,20.3,22.2,1013.18,917.72,11.1,0.00,3.50,89,23.87
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,09-22-2019,10:00:00,090,23.2,27.7,1013.00,996.96,7.4,0.00,2.00,76,28.37
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,09-22-2019,10:00:00,120,25.1,29.5,1012.77,1008.75,3.7,0.00,24.40,77,31.85
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,09-22-2019,10:00:00,020,22.0,29.0,1012.86,1002.19,7.4,0.00,4.80,66,26.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,09-22-2019,10:00:00,000,24.8,28.0,1014.11,1012.18,0.0,0.00,13.70,83,31.39
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-22-2019,10:00:00,040,21.9,30.0,1012.74,991.97,18.5,0.00,2.60,62,26.21
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-22-2019,10:00:00,070,22.4,29.0,1012.80,995.15,18.5,0.00,0.00,68,27.03
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-22-2019,10:00:00,090,22.7,30.0,1012.64,996.55,9.3,0.00,0.50,65,27.55
