WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,VaporPressure,Rainfall,DewPoint,StationPressure,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,WindSpeed
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,07-30-2019,10:00:00,12.00,30.83,0.00,24.5,985.72,000,1007.43,23.70,87,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.6,07-30-2019,10:00:00,12.00,31.44,0.00,24.9,986.94,000,1006.43,10.50,90,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.2,07-30-2019,10:00:00,9.00,29.36,1.30,23.7,990.67,000,1007.52,8.70,92,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.1,07-30-2019,10:00:00,8.00,29.44,0.60,23.8,989.97,000,1007.48,13.60,92,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.5,07-30-2019,10:00:00,8.00,31.52,5.20,24.9,981.13,270,1007.02,34.40,97,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.3,07-30-2019,10:00:00,10.00,27.57,0.00,22.7,1001.10,230,1006.82,0.80,64,13.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.2,07-30-2019,10:00:00,10.00,27.93,0.00,22.9,1001.21,230,1007.34,1.60,65,14.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.7,07-30-2019,10:00:00,10.00,30.26,0.20,24.2,991.69,000,1008.10,0.20,81,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.4,07-30-2019,10:00:00,10.00,27.03,0.00,22.4,985.76,240,1008.07,2.00,74,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.0,07-30-2019,10:00:00,8.00,26.21,0.00,21.9,994.21,260,1008.47,0.00,62,18.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,32.5,07-30-2019,10:00:00,7.00,25.77,0.00,21.6,991.63,120,1007.73,0.00,53,7.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.4,07-30-2019,10:00:00,10.00,32.01,0.00,25.2,1002.46,010,1007.61,11.60,70,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.3,07-30-2019,10:00:00,12.00,28.67,0.00,23.3,993.67,000,1006.72,0.00,66,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.8,07-30-2019,10:00:00,12.00,26.89,0.00,22.3,998.58,160,1007.79,0.00,61,7.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.6,07-30-2019,10:00:00,10.00,30.62,0.00,24.4,985.58,300,1007.15,0.40,78,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.7,07-30-2019,10:00:00,10.00,31.15,0.00,24.7,989.17,140,1006.45,6.80,71,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.7,07-30-2019,10:00:00,12.00,31.08,0.20,24.7,990.22,200,1006.00,9.80,84,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.1,07-30-2019,10:00:00,8.00,31.89,0.00,25.1,987.28,000,1006.01,13.60,79,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.0,07-30-2019,10:00:00,10.00,24.37,0.00,20.7,957.39,000,1008.65,15.60,73,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.1,07-30-2019,10:00:00,8.00,28.01,0.00,23.0,1003.70,000,1007.61,0.00,62,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.9,07-30-2019,10:00:00,6.00,23.41,0.00,20.0,913.79,250,1008.94,2.50,89,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.1,07-30-2019,10:00:00,8.00,33.00,0.10,25.7,990.57,240,1006.48,59.30,87,9.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.2,07-30-2019,10:00:00,10.00,30.99,0.00,24.6,1003.99,120,1007.99,0.00,72,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.7,07-30-2019,10:00:00,8.00,26.44,0.00,22.0,998.18,000,1008.74,0.00,60,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.5,07-30-2019,10:00:00,10.00,27.14,0.00,22.4,1006.37,120,1008.28,0.00,62,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,31.1,07-30-2019,10:00:00,10.00,26.65,0.00,22.1,986.16,220,1006.73,0.00,59,11.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.5,07-30-2019,10:00:00,10.00,30.42,0.00,24.3,988.68,220,1006.25,11.00,78,14.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.6,07-30-2019,10:00:00,10.00,29.24,0.00,23.7,990.01,240,1006.07,20.30,75,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.2,07-30-2019,10:00:00,10.00,30.40,0.00,24.3,992.68,240,1006.60,48.30,75,11.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.2,07-30-2019,10:00:00,10.00,30.40,0.00,24.3,992.44,000,1007.21,28.80,80,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.2,07-30-2019,10:00:00,10.00,31.53,0.00,24.9,991.89,240,1006.44,75.70,78,18.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.0,07-30-2019,10:00:00,10.00,29.20,0.00,23.6,1004.54,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1007.52,0.10,65,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.9,07-30-2019,10:00:00,10.00,28.17,0.00,23.1,999.99,000,1007.87,1.50,67,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.0,07-30-2019,10:00:00,8.00,26.19,0.00,21.9,1008.12,230,1009.22,0.00,58,14.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.7,07-30-2019,10:00:00,9.00,31.09,0.00,24.7,991.53,110,1006.12,24.80,79,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.0,07-30-2019,10:00:00,8.00,23.92,0.00,20.4,873.98,270,1007.58,16.20,85,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.8,07-30-2019,10:00:00,10.00,28.26,0.00,23.1,1002.45,180,1008.27,0.00,64,9.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.8,07-30-2019,10:00:00,8.00,26.61,0.00,22.1,1007.67,230,1008.45,0.00,54,11.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.8,07-30-2019,10:00:00,10.00,26.89,0.00,22.3,1008.42,240,1008.86,0.00,61,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.5,07-30-2019,10:00:00,8.00,29.33,0.00,23.7,999.05,000,1010.29,3.80,71,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,32.0,07-30-2019,10:00:00,12.00,28.38,0.00,23.2,1007.48,180,1008.48,0.00,60,7.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.1,07-30-2019,10:00:00,8.00,26.11,0.00,21.8,1006.56,190,1008.36,0.00,58,9.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.6,07-30-2019,10:00:00,9.00,25.72,0.00,21.6,1007.67,230,1008.42,0.00,59,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.9,07-30-2019,10:00:00,10.00,25.99,0.00,21.7,1007.92,270,1008.61,5.80,55,25.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.3,07-30-2019,10:00:00,9.00,29.52,0.00,23.8,1007.76,270,1008.46,0.00,65,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.5,07-30-2019,10:00:00,10.00,27.14,0.00,22.4,986.77,280,1007.69,0.10,62,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.8,07-30-2019,10:00:00,10.00,28.27,0.01,23.1,990.12,000,1006.73,48.10,71,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.7,07-30-2019,10:00:00,8.00,29.16,0.00,23.6,990.82,270,1007.11,44.90,70,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,30.5,07-30-2019,10:00:00,10.00,25.80,0.00,21.6,985.90,000,1007.52,0.00,59,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,28.5,07-30-2019,10:00:00,10.00,23.82,0.00,20.3,964.95,240,1008.02,0.00,61,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,31.8,07-30-2019,10:00:00,10.00,27.43,0.00,22.6,986.76,110,1006.99,1.00,58,11.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.3,07-30-2019,10:00:00,9.00,32.27,0.00,25.3,987.61,240,1008.36,26.00,84,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.7,07-30-2019,10:00:00,10.00,25.61,0.00,21.5,1008.55,300,1008.98,0.00,55,20.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.8,07-30-2019,10:00:00,11.00,28.80,0.00,23.4,1006.90,000,1008.30,0.40,69,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.6,07-30-2019,10:00:00,9.00,28.97,0.00,23.5,1003.09,000,1007.97,0.00,66,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,31.0,07-30-2019,10:00:00,12.00,24.86,0.00,21.0,1005.89,280,1009.14,0.00,55,11.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.0,07-30-2019,10:00:00,10.00,27.27,0.00,22.5,1007.89,280,1008.98,0.00,61,7.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.1,07-30-2019,10:00:00,10.00,26.91,0.00,22.3,1008.36,270,1008.65,0.00,56,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.5,07-30-2019,10:00:00,10.00,27.68,0.00,22.8,1008.50,000,1009.18,0.00,60,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.9,07-30-2019,10:00:00,10.00,27.63,0.00,22.7,1007.40,300,1007.88,0.00,58,9.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.9,07-30-2019,10:00:00,10.00,26.80,0.00,22.2,1007.54,270,1008.93,0.01,57,27.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.8,07-30-2019,10:00:00,10.00,29.11,0.00,23.6,1007.07,000,1008.73,0.00,62,0.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.0,07-30-2019,10:00:00,10.00,24.07,0.00,20.5,1002.32,220,1010.24,0.00,54,11.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.0,07-30-2019,10:00:00,10.00,31.76,0.00,25.0,1008.13,230,1008.41,0.00,71,9.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.2,07-30-2019,10:00:00,10.00,29.32,0.00,23.7,1005.46,000,1008.55,0.00,65,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.2,07-30-2019,10:00:00,12.00,27.93,0.00,22.9,1001.99,270,1008.85,0.00,61,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.5,07-30-2019,10:00:00,8.00,29.07,0.00,23.6,1002.15,220,1007.67,0.01,63,9.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,33.5,07-30-2019,10:00:00,12.00,27.71,0.00,22.8,1000.70,230,1009.84,0.00,54,9.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.0,07-30-2019,10:00:00,14.00,28.38,0.00,23.2,1008.36,300,1009.61,0.00,60,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.4,07-30-2019,10:00:00,11.00,27.22,0.00,22.5,1008.75,330,1009.18,0.00,56,14.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.3,07-30-2019,10:00:00,10.00,25.66,0.00,21.5,997.12,360,1009.19,0.00,53,7.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.0,07-30-2019,10:00:00,10.00,30.33,0.00,24.3,1008.17,120,1008.87,0.00,68,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.5,07-30-2019,10:00:00,12.00,24.67,0.00,20.9,1006.65,320,1009.03,0.00,48,18.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.3,07-30-2019,10:00:00,12.00,28.68,0.00,23.3,1008.94,270,1009.45,0.00,63,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,32.6,07-30-2019,10:00:00,12.00,22.76,0.00,19.6,1003.50,280,1008.57,0.00,46,29.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.4,07-30-2019,10:00:00,10.00,27.76,0.00,22.8,1008.44,000,1008.85,0.01,60,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.5,07-30-2019,10:00:00,8.00,32.75,0.00,25.6,1006.19,240,1008.93,0.00,75,3.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,32.6,07-30-2019,10:00:00,12.00,25.41,0.00,21.4,1008.66,000,1009.43,0.00,52,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.5,07-30-2019,10:00:00,8.00,34.22,0.00,26.3,1008.66,300,1009.11,0.01,78,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.3,07-30-2019,10:00:00,10.00,28.94,0.00,23.5,1009.76,300,1010.43,0.20,67,7.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.0,07-30-2019,10:00:00,10.00,30.31,0.00,24.3,1008.51,270,1010.02,0.60,71,7.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.0,07-30-2019,10:00:00,10.00,32.01,0.00,25.2,1010.50,180,1011.41,0.20,75,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.7,07-30-2019,10:00:00,10.00,31.72,0.00,25.0,1009.84,280,1010.52,0.00,72,9.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.7,07-30-2019,10:00:00,10.00,31.77,0.00,25.0,1010.18,270,1010.97,0.00,68,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,33.3,07-30-2019,10:00:00,10.00,28.72,0.00,23.4,1009.42,310,1010.05,0.00,56,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.6,07-30-2019,10:00:00,10.00,33.17,0.00,25.8,1009.57,230,1009.96,0.00,64,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.5,07-30-2019,10:00:00,10.00,31.06,0.00,24.7,1009.73,240,1013.90,0.00,67,5.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.6,07-30-2019,10:00:00,12.00,30.38,0.00,24.3,1009.29,000,1010.89,0.00,69,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.7,07-30-2019,10:00:00,12.00,29.16,0.00,23.6,1007.61,000,1011.07,0.00,70,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.0,07-30-2019,10:00:00,10.00,31.47,0.00,24.9,1009.06,230,1010.40,0.00,70,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.2,07-30-2019,10:00:00,10.00,32.13,0.00,25.2,1010.30,270,1011.18,1.20,75,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.8,07-30-2019,10:00:00,10.00,30.21,0.00,24.2,1007.56,280,1011.09,0.00,68,11.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.6,07-30-2019,10:00:00,10.00,31.23,0.00,24.8,1010.18,000,1010.62,3.20,71,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.2,07-30-2019,10:00:00,10.00,30.73,0.00,24.5,1009.42,280,1010.40,1.60,68,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.2,07-30-2019,10:00:00,10.00,32.13,0.00,25.2,1010.09,270,1010.90,0.00,75,18.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.1,07-30-2019,10:00:00,10.00,32.55,0.00,25.5,1009.15,210,1010.95,0.00,72,3.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.6,07-30-2019,10:00:00,11.00,29.27,0.00,23.7,1009.79,260,1010.53,0.00,63,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.8,07-30-2019,10:00:00,10.00,29.65,0.00,23.9,1006.86,230,1010.82,0.00,67,9.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.8,07-30-2019,10:00:00,10.00,31.06,0.00,24.7,1010.74,000,1011.42,0.00,70,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.0,07-30-2019,10:00:00,12.00,30.33,0.00,24.3,1010.08,210,1011.18,0.00,68,7.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.3,07-30-2019,10:00:00,12.00,33.16,0.00,25.8,1008.00,180,1010.90,0.00,81,9.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.6,07-30-2019,10:00:00,12.00,29.81,0.00,24.0,1009.66,240,1010.34,0.00,68,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,30.2,07-30-2019,10:00:00,10.00,30.14,0.00,24.2,1007.40,210,1011.50,0.00,70,9.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,31.0,07-30-2019,10:00:00,10.00,26.19,0.00,21.9,1010.85,000,1011.43,0.00,58,0.0
