WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,LandVisibility,WindSpeed,DewPoint,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,979.46,09-20-2019,04:00:00,0.00,5.00,0.0,23.8,99,1009.47,29.56,4.30,000,24.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.01,09-20-2019,04:00:00,0.00,8.00,0.0,24.4,89,1008.34,30.59,0.01,000,26.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,989.13,09-20-2019,04:00:00,0.00,10.00,0.0,24.5,87,1009.05,30.83,3.20,000,27.0
48353,LOEI,เลย,เลย,17.45000,101.73333,980.80,09-20-2019,04:00:00,0.01,5.00,0.0,23.5,94,1009.73,28.89,3.00,000,24.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,989.32,09-20-2019,04:00:00,0.30,10.00,0.0,24.7,93,1009.60,31.11,11.00,000,26.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,987.42,09-20-2019,04:00:00,0.00,10.00,0.0,23.6,97,1009.39,29.13,9.70,000,24.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,989.59,09-20-2019,04:00:00,0.00,10.00,0.0,23.8,93,1009.24,29.52,6.60,000,25.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.72,09-20-2019,04:00:00,0.00,10.00,0.0,22.3,82,1009.58,26.96,16.70,000,25.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,992.22,09-20-2019,04:00:00,0.00,10.00,0.0,23.3,92,1009.80,28.55,0.60,000,24.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,982.47,09-20-2019,04:00:00,5.20,10.00,0.0,24.1,97,1008.48,29.93,20.60,000,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.44,09-20-2019,04:00:00,0.00,10.00,0.0,25.4,97,1008.26,32.48,4.70,000,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.54,09-20-2019,04:00:00,0.00,10.00,0.0,24.7,94,1008.77,31.08,0.00,000,25.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,992.14,09-20-2019,04:00:00,0.00,10.00,0.0,24.3,85,1008.59,30.29,0.00,000,27.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.51,09-20-2019,04:00:00,1.20,10.00,0.0,24.6,92,1006.90,30.84,1.20,000,26.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.95,09-20-2019,04:00:00,21.10,10.00,0.0,23.9,97,1009.50,29.57,41.90,000,24.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,992.14,09-20-2019,04:00:00,0.00,7.00,0.0,24.3,96,1008.66,30.32,7.00,000,25.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.95,09-20-2019,04:00:00,0.00,10.00,7.4,24.9,90,1009.19,31.44,0.00,210,26.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,994.09,09-20-2019,04:00:00,0.10,10.00,0.0,24.8,93,1007.33,31.30,0.30,000,26.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.30,09-20-2019,04:00:00,0.00,10.00,0.0,24.1,95,1008.70,30.05,5.70,000,25.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,986.92,09-20-2019,04:00:00,0.00,6.00,3.7,24.3,93,1008.75,30.44,0.70,060,25.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,990.17,09-20-2019,04:00:00,0.00,10.00,0.0,23.1,84,1007.74,28.18,0.00,000,26.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,991.98,09-20-2019,04:00:00,0.00,10.00,0.0,24.9,97,1007.92,31.41,4.30,000,25.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,989.05,09-20-2019,04:00:00,0.10,7.00,0.0,25.6,96,1007.99,32.79,0.30,000,26.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.51,09-20-2019,04:00:00,2.60,6.00,0.0,21.8,93,1010.35,26.09,8.30,000,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.52,09-20-2019,04:00:00,30.30,3.00,0.0,24.4,97,1008.51,30.58,41.60,000,25.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,913.91,09-20-2019,04:00:00,3.90,4.00,0.0,20.2,94,1009.34,23.60,3.90,000,21.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,992.80,09-20-2019,04:00:00,1.40,8.00,0.0,24.9,94,1008.87,31.46,2.00,000,25.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.48,09-20-2019,04:00:00,0.00,8.00,0.0,24.3,99,1008.55,30.46,68.50,000,24.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,998.66,09-20-2019,04:00:00,0.00,6.00,0.0,24.6,97,1009.43,30.85,14.60,000,25.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.40,09-20-2019,04:00:00,0.80,7.00,0.0,23.5,94,1008.35,28.89,26.10,000,24.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,987.64,09-20-2019,04:00:00,76.00,5.00,7.4,23.4,97,1008.75,28.69,127.20,060,23.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,990.68,09-20-2019,04:00:00,2.90,10.00,3.7,24.1,92,1008.45,30.09,3.60,120,25.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,992.26,09-20-2019,04:00:00,2.80,10.00,11.1,24.9,97,1008.53,31.52,5.50,150,25.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.55,09-20-2019,04:00:00,0.01,10.00,0.0,24.6,94,1008.68,30.90,24.00,000,25.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,994.26,09-20-2019,04:00:00,0.10,6.00,0.0,24.1,96,1009.23,29.95,25.30,000,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,994.15,09-20-2019,04:00:00,0.01,7.00,3.7,23.9,95,1008.95,29.69,10.10,230,24.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.05,09-20-2019,04:00:00,0.00,10.00,0.0,23.8,97,1008.10,29.49,11.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1000.43,09-20-2019,04:00:00,1.50,7.00,0.0,24.5,94,1008.44,30.71,1.50,000,25.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.00,09-20-2019,04:00:00,3.10,5.00,0.0,24.8,94,1009.11,31.27,6.10,000,25.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,994.22,09-20-2019,04:00:00,0.00,8.00,0.0,25.8,96,1008.96,33.19,7.80,000,26.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.77,09-20-2019,04:00:00,0.40,{'@attributes': {'Unit': 'km'}},0.0,24.2,92,1008.69,30.28,10.80,000,25.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.58,09-20-2019,04:00:00,0.30,8.00,0.0,25.4,98,1008.38,32.45,23.10,000,25.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.30,09-20-2019,04:00:00,1.00,10.00,0.0,24.6,93,1007.75,31.00,81.30,000,25.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.45,09-20-2019,04:00:00,0.00,3.00,0.0,23.9,97,1008.87,29.57,27.60,000,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.49,09-20-2019,04:00:00,2.70,10.00,0.0,24.7,97,1008.51,31.04,47.00,000,25.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.46,09-20-2019,04:00:00,15.00,7.00,0.0,24.5,95,1008.30,30.79,23.60,000,25.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.22,09-20-2019,04:00:00,0.00,10.00,3.7,24.2,94,1007.92,30.15,4.20,020,25.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.59,09-20-2019,04:00:00,16.20,5.00,0.0,25.0,94,1008.30,31.65,32.90,000,26.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,987.37,09-20-2019,04:00:00,0.00,10.00,0.0,24.5,94,1008.66,30.71,3.80,000,25.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,992.17,09-20-2019,04:00:00,0.20,6.00,0.0,23.9,97,1009.06,29.67,61.80,000,24.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,992.78,09-20-2019,04:00:00,1.30,6.00,0.0,24.1,97,1009.37,30.03,88.80,000,24.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.71,09-20-2019,04:00:00,0.00,10.00,0.0,23.7,92,1008.73,29.36,4.00,000,25.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,965.27,09-20-2019,04:00:00,0.00,8.00,3.7,21.8,92,1009.13,26.17,24.30,160,23.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,987.89,09-20-2019,04:00:00,0.00,10.00,0.0,23.5,92,1008.62,29.00,20.90,000,25.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,989.57,09-20-2019,04:00:00,5.00,7.00,0.0,23.8,100,1010.68,29.46,84.60,000,23.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.70,09-20-2019,04:00:00,0.90,10.00,0.0,24.8,94,1008.14,31.27,5.60,000,25.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.85,09-20-2019,04:00:00,0.00,6.00,0.0,24.3,97,1008.28,30.40,2.70,000,24.9
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.73,09-20-2019,04:00:00,0.50,7.00,0.0,24.8,97,1008.70,31.33,99.00,000,25.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.78,09-20-2019,04:00:00,0.30,7.00,0.0,24.4,92,1008.09,30.65,0.40,000,25.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.86,09-20-2019,04:00:00,0.00,10.00,3.7,24.8,96,1007.98,31.25,0.50,120,25.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.71,09-20-2019,04:00:00,0.00,8.00,0.0,25.0,96,1008.01,31.63,56.00,000,25.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.54,09-20-2019,04:00:00,0.00,10.00,0.0,24.9,95,1008.03,31.55,60.60,000,25.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.09,09-20-2019,04:00:00,0.00,5.00,0.0,25.3,100,1008.51,32.23,4.80,000,25.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.27,09-20-2019,04:00:00,0.01,10.00,0.0,24.4,97,1010.36,30.48,8.10,000,24.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.10,09-20-2019,04:00:00,24.60,6.00,0.0,24.5,96,1008.39,30.69,41.00,000,25.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.77,09-20-2019,04:00:00,8.10,10.00,0.0,24.1,95,1007.93,30.05,29.10,000,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.02,09-20-2019,04:00:00,3.00,10.00,0.0,23.8,96,1008.03,29.41,4.10,000,24.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1003.16,09-20-2019,04:00:00,0.00,10.00,0.0,24.4,93,1008.79,30.63,11.50,000,25.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.69,09-20-2019,04:00:00,0.30,4.00,0.0,24.9,99,1008.96,31.58,25.00,000,25.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.42,09-20-2019,04:00:00,0.00,11.00,0.0,24.2,89,1007.85,30.13,0.30,000,26.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.65,09-20-2019,04:00:00,0.00,10.00,0.0,23.1,96,1008.06,28.26,27.70,000,23.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.10,09-20-2019,04:00:00,0.00,10.00,0.0,23.7,87,1007.82,29.23,0.00,000,26.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.52,09-20-2019,04:00:00,19.70,8.00,5.6,24.1,96,1007.97,29.95,59.40,360,24.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.73,09-20-2019,04:00:00,0.50,10.00,0.0,25.2,88,1008.25,31.97,50.80,000,27.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.63,09-20-2019,04:00:00,0.00,7.00,0.0,24.6,97,1007.82,30.85,60.30,000,25.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.93,09-20-2019,04:00:00,13.90,7.00,0.0,24.2,97,1008.35,30.22,49.10,000,24.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.41,09-20-2019,04:00:00,12.10,8.00,7.4,23.5,98,1008.22,28.95,57.10,040,23.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.97,09-20-2019,04:00:00,0.00,10.00,0.0,22.9,88,1006.77,27.96,0.00,000,25.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.60,09-20-2019,04:00:00,2.50,5.00,0.0,24.2,97,1009.06,30.12,34.10,000,24.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.96,09-20-2019,04:00:00,0.00,7.00,0.0,23.8,94,1009.65,29.42,0.50,000,24.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.00,09-20-2019,04:00:00,0.20,8.00,0.0,24.0,94,1008.54,29.79,0.20,000,25.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.19,09-20-2019,04:00:00,7.50,10.00,0.0,23.5,92,1010.11,29.00,11.10,000,25.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.65,09-20-2019,04:00:00,0.00,12.00,5.6,24.9,91,1009.34,31.52,0.00,240,26.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.04,09-20-2019,04:00:00,0.00,7.00,0.0,23.7,97,1009.84,29.31,0.00,000,24.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.15,09-20-2019,04:00:00,0.00,10.00,0.0,24.5,95,1008.78,30.79,0.00,000,25.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.36,09-20-2019,04:00:00,0.00,8.00,0.0,24.8,97,1008.77,31.22,47.10,000,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.00,09-20-2019,04:00:00,0.00,5.00,0.0,23.2,94,1012.27,28.36,0.00,000,24.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.33,09-20-2019,04:00:00,0.00,7.00,0.0,23.6,97,1009.85,29.04,4.10,000,24.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.88,09-20-2019,04:00:00,0.00,7.00,0.0,24.2,100,1009.25,30.18,12.30,000,24.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.65,09-20-2019,04:00:00,0.00,10.00,0.0,24.4,98,1009.55,30.56,1.60,000,24.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.77,09-20-2019,04:00:00,0.00,10.00,0.0,23.9,97,1009.37,29.57,2.30,000,24.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.33,09-20-2019,04:00:00,0.00,10.00,0.0,24.4,91,1008.76,30.57,0.20,000,26.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.91,09-20-2019,04:00:00,0.00,10.00,0.0,24.7,91,1008.91,31.13,0.00,000,26.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.33,09-20-2019,04:00:00,0.00,1010.00,0.0,24.7,94,1009.15,31.08,0.80,000,25.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.36,09-20-2019,04:00:00,0.00,6.00,0.0,24.5,95,1009.18,30.79,0.00,000,25.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.47,09-20-2019,04:00:00,0.00,4.00,0.0,24.3,96,1009.23,30.32,0.01,000,25.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.25,09-20-2019,04:00:00,0.00,3.00,0.0,23.7,98,1009.29,29.30,0.00,000,24.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.66,09-20-2019,04:00:00,0.00,6.00,0.0,23.5,94,1009.35,28.89,0.00,000,24.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.34,09-20-2019,04:00:00,0.00,10.00,0.0,23.7,97,1009.47,29.22,0.00,000,24.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.51,09-20-2019,04:00:00,0.00,6.00,0.0,23.6,98,1009.47,29.12,0.00,000,23.9
