WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,LandVisibility,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindDirection,AirTemperature,WindSpeed
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.79,09-01-2019,16:00:00,25.6,17.00,973.48,0.70,0.00,80,1002.77,280,29.4,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.22,09-01-2019,16:00:00,25.3,8.00,996.20,28.50,0.00,70,1003.36,140,31.5,5.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.38,09-01-2019,16:00:00,25.4,20.00,983.77,0.00,0.00,80,1003.44,330,29.2,7.4
48353,LOEI,เลย,เลย,17.45000,101.73333,29.57,09-01-2019,16:00:00,23.9,17.00,974.92,0.40,0.00,77,1003.32,010,28.2,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.94,09-01-2019,16:00:00,25.1,12.00,983.19,15.30,15.10,90,1003.27,110,27.0,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.28,09-01-2019,16:00:00,24.8,15.00,982.06,0.00,0.00,76,1003.52,000,29.5,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.00,09-01-2019,16:00:00,24.6,15.00,984.03,0.00,0.00,75,1003.27,120,29.5,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.31,09-01-2019,16:00:00,24.3,12.00,987.57,23.40,0.00,71,1004.09,360,30.0,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.93,09-01-2019,16:00:00,25.1,12.00,986.99,0.60,0.00,69,1004.08,000,31.5,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.39,09-01-2019,16:00:00,24.9,11.00,977.23,0.00,0.00,67,1002.47,220,31.8,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.49,09-01-2019,16:00:00,26.4,10.00,996.76,5.00,0.00,73,1002.43,150,32.0,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,34.90,09-01-2019,16:00:00,26.6,12.00,996.77,5.10,0.00,76,1002.84,000,31.5,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.31,09-01-2019,16:00:00,24.3,10.00,987.98,2.80,0.00,71,1004.20,000,30.0,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.13,09-01-2019,16:00:00,24.2,6.00,981.06,26.10,6.40,89,1003.35,240,26.2,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,35.00,09-01-2019,16:00:00,26.7,10.00,990.09,6.40,1.40,86,1004.33,230,29.2,3.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,35.05,09-01-2019,16:00:00,26.7,7.00,987.34,14.40,2.20,85,1003.53,000,29.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.69,09-01-2019,16:00:00,25.0,10.00,998.05,0.20,0.00,65,1003.17,150,32.5,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.77,09-01-2019,16:00:00,25.0,12.00,989.15,21.60,0.00,68,1002.08,000,31.7,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.05,09-01-2019,16:00:00,25.7,6.00,993.99,2.00,0.01,76,1003.17,240,30.5,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.08,09-01-2019,16:00:00,24.1,10.00,981.58,0.10,0.00,63,1002.82,220,32.0,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.33,09-01-2019,16:00:00,25.3,12.00,986.30,11.20,0.00,65,1003.40,220,32.8,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.92,09-01-2019,16:00:00,25.6,12.00,987.31,1.80,0.20,86,1003.01,030,28.2,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.98,09-01-2019,16:00:00,23.5,10.00,983.57,0.40,0.00,60,1002.04,100,32.3,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,28.59,09-01-2019,16:00:00,23.3,7.00,955.13,15.40,10.70,88,1006.35,000,25.5,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.94,09-01-2019,16:00:00,25.7,10.00,999.51,3.10,0.00,70,1003.39,110,31.7,14.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.69,09-01-2019,16:00:00,20.2,.40,910.63,29.10,17.50,95,1005.76,250,21.0,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.73,09-01-2019,16:00:00,26.1,10.00,987.62,5.10,0.00,75,1003.33,000,31.1,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.77,09-01-2019,16:00:00,25.1,10.00,999.75,0.00,0.00,65,1003.70,200,32.4,7.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.53,09-01-2019,16:00:00,24.4,8.00,993.71,0.80,0.00,65,1004.19,200,31.8,3.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.36,09-01-2019,16:00:00,24.3,10.00,1001.72,1.60,0.00,64,1003.61,180,32.0,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,30.36,09-01-2019,16:00:00,24.3,10.00,982.83,0.00,0.00,64,1003.27,310,32.0,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.90,09-01-2019,16:00:00,24.6,11.00,985.69,6.80,0.00,69,1003.05,230,31.0,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.75,09-01-2019,16:00:00,24.0,10.00,986.98,3.80,0.00,64,1002.83,210,31.7,11.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.35,09-01-2019,16:00:00,23.7,10.00,989.65,9.60,0.50,64,1003.42,280,31.5,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.93,09-01-2019,16:00:00,25.1,9.00,989.37,6.60,0.00,69,1003.94,000,31.5,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.10,09-01-2019,16:00:00,25.7,10.00,989.36,7.60,0.00,72,1003.77,210,31.5,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,33.69,09-01-2019,16:00:00,26.0,10.00,1000.54,0.01,0.00,69,1003.49,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",32.6,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.12,09-01-2019,16:00:00,25.2,10.00,995.82,2.10,0.00,65,1003.60,000,32.7,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.77,09-01-2019,16:00:00,24.5,9.00,1002.96,0.00,0.00,64,1004.04,210,32.2,14.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.74,09-01-2019,16:00:00,25.6,8.00,989.05,0.00,0.00,68,1003.43,000,32.3,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.72,09-01-2019,16:00:00,20.2,.05,871.57,33.80,5.20,99,1006.05,190,20.4,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.58,09-01-2019,16:00:00,26.0,10.00,997.98,0.00,0.00,66,1003.73,190,33.1,16.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.01,09-01-2019,16:00:00,25.2,10.00,1003.95,0.10,0.10,79,1004.74,300,29.3,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,33.20,09-01-2019,16:00:00,25.8,10.00,1004.46,1.00,0.00,80,1004.91,230,29.6,20.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,32.01,09-01-2019,16:00:00,25.2,6.00,994.89,23.00,0.60,79,1006.10,000,29.3,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.82,09-01-2019,16:00:00,24.5,10.00,1003.75,0.00,0.00,68,1004.75,200,31.1,7.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.21,09-01-2019,16:00:00,23.6,9.00,1002.26,0.00,0.00,57,1004.04,230,33.4,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.59,09-01-2019,16:00:00,23.9,9.00,1003.73,0.01,0.01,63,1004.49,000,31.9,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.82,09-01-2019,16:00:00,24.5,10.00,1004.56,1.60,0.00,71,1005.25,200,30.4,18.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.91,09-01-2019,16:00:00,25.6,7.00,1003.95,1.60,0.00,69,1004.64,240,32.1,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.17,09-01-2019,16:00:00,23.6,12.00,982.76,0.01,0.00,58,1003.42,200,33.1,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.91,09-01-2019,16:00:00,24.0,12.00,987.04,16.40,0.00,62,1003.41,220,32.2,5.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.66,09-01-2019,16:00:00,23.9,10.00,987.83,3.00,0.00,61,1003.92,180,32.5,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,31.76,09-01-2019,16:00:00,25.0,10.00,982.24,0.80,0.01,74,1003.79,000,30.3,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.30,09-01-2019,16:00:00,22.5,15.00,961.49,0.00,0.00,63,1004.15,260,30.3,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.11,09-01-2019,16:00:00,24.2,10.00,983.07,2.00,0.00,60,1003.15,230,33.0,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.48,09-01-2019,16:00:00,25.9,10.00,984.81,0.00,0.00,73,1005.29,220,31.4,14.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.54,09-01-2019,16:00:00,24.4,10.00,1004.94,0.20,0.00,70,1005.37,240,30.4,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.40,09-01-2019,16:00:00,25.9,10.00,1003.12,3.10,0.01,72,1004.51,000,31.5,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,37.50,09-01-2019,16:00:00,27.9,8.00,999.92,2.40,2.40,87,1004.79,000,30.2,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,32.26,09-01-2019,16:00:00,25.3,12.00,1001.90,0.10,0.10,81,1005.17,240,29.0,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.50,09-01-2019,16:00:00,25.9,10.00,1004.01,2.30,2.10,91,1005.11,220,27.5,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.94,09-01-2019,16:00:00,24.6,8.00,1005.17,0.01,0.00,70,1005.46,230,30.6,11.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.13,09-01-2019,16:00:00,24.7,10.00,1004.37,0.00,0.00,78,1005.05,230,29.0,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.58,09-01-2019,16:00:00,23.9,10.00,1004.93,0.00,0.00,69,1005.41,140,30.2,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.53,09-01-2019,16:00:00,25.4,8.00,1003.16,7.60,7.40,99,1004.57,280,25.6,22.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,36.69,09-01-2019,16:00:00,27.5,10.00,1003.76,0.40,0.00,94,1005.43,210,28.6,25.9
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.15,09-01-2019,16:00:00,23.6,10.00,998.92,2.40,0.00,63,1006.81,210,31.4,5.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.66,09-01-2019,16:00:00,23.9,10.00,1004.85,5.10,0.00,61,1005.13,270,32.5,7.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.72,09-01-2019,16:00:00,24.5,10.00,1002.81,0.00,0.00,75,1005.91,260,29.5,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.27,09-01-2019,16:00:00,24.2,12.00,998.58,2.00,0.00,73,1005.45,230,29.7,11.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.40,09-01-2019,16:00:00,25.9,8.00,999.13,1.20,0.01,72,1004.64,080,31.5,3.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.60,09-01-2019,16:00:00,23.9,10.00,997.16,0.00,0.00,72,1006.39,250,29.5,16.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,28.50,09-01-2019,16:00:00,23.2,14.00,1006.36,1.90,0.00,65,1007.61,270,30.5,14.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.05,09-01-2019,16:00:00,23.6,11.00,1005.30,4.60,0.00,70,1005.72,300,29.5,18.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.37,09-01-2019,16:00:00,23.2,10.00,994.02,2.30,0.00,71,1006.19,230,29.0,3.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.86,09-01-2019,16:00:00,23.5,10.00,1005.06,6.60,0.00,66,1005.77,270,30.4,9.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.98,09-01-2019,16:00:00,24.6,10.00,1003.50,9.20,0.00,69,1005.90,270,30.9,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.98,09-01-2019,16:00:00,24.6,10.00,1006.07,0.01,0.00,80,1006.58,290,28.5,13.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.83,09-01-2019,16:00:00,24.0,10.00,1000.58,8.40,0.00,71,1005.67,230,29.9,9.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.66,09-01-2019,16:00:00,26.0,7.00,1005.99,11.80,7.60,89,1006.40,000,28.0,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.77,09-01-2019,16:00:00,25.6,8.00,1003.58,11.40,0.20,92,1006.35,220,27.0,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.36,09-01-2019,16:00:00,23.7,10.00,1007.46,2.30,0.30,79,1008.25,000,27.8,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.79,09-01-2019,16:00:00,25.1,7.00,1006.06,34.40,21.30,92,1006.52,350,26.5,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.85,09-01-2019,16:00:00,22.9,8.00,1007.65,9.90,0.30,81,1008.34,280,26.4,14.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.85,09-01-2019,16:00:00,22.9,9.00,1007.13,12.20,0.00,81,1008.66,270,26.4,14.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.80,09-01-2019,16:00:00,22.8,10.00,1007.40,0.70,0.00,67,1008.08,290,29.7,11.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.53,09-01-2019,16:00:00,24.9,10.00,1007.95,4.30,0.00,78,1008.74,250,29.2,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,26.39,09-01-2019,16:00:00,22.0,10.00,1006.97,9.90,0.00,62,1007.60,310,30.1,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.82,09-01-2019,16:00:00,22.8,10.00,1007.49,9.30,0.00,66,1007.89,000,30.0,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.15,09-01-2019,16:00:00,22.4,7.00,1006.77,0.20,0.00,66,1010.96,230,29.5,13.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.06,09-01-2019,16:00:00,23.6,10.00,1007.19,12.80,0.01,79,1008.80,000,27.5,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.46,09-01-2019,16:00:00,23.8,8.00,1005.65,15.90,0.00,74,1009.11,000,29.0,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.10,09-01-2019,16:00:00,20.5,10.00,1006.86,0.00,0.00,58,1008.20,280,29.7,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.68,09-01-2019,16:00:00,23.9,10.00,1008.17,65.90,0.00,77,1009.05,320,28.4,7.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.97,09-01-2019,16:00:00,22.9,10.00,1005.14,27.00,0.00,72,1008.69,000,28.5,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.02,09-01-2019,16:00:00,23.5,10.00,1007.95,59.20,0.00,72,1008.38,330,29.2,3.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.45,09-01-2019,16:00:00,23.2,8.00,1007.39,74.10,0.00,71,1008.37,290,28.9,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.31,09-01-2019,16:00:00,24.3,10.00,1008.94,47.80,0.00,79,1009.75,290,28.3,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.74,09-01-2019,16:00:00,23.9,10.00,1006.71,28.00,0.00,79,1008.52,160,28.0,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.21,09-01-2019,16:00:00,23.7,10.00,1008.68,1.10,1.10,89,1009.44,180,25.7,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,28.95,09-01-2019,16:00:00,23.5,10.00,1005.24,4.20,4.00,88,1009.26,120,25.7,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.51,09-01-2019,16:00:00,24.4,10.00,1009.11,74.00,4.50,89,1009.80,000,26.4,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.36,09-01-2019,16:00:00,23.7,9.00,1007.90,14.20,14.20,92,1009.03,000,25.2,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.84,09-01-2019,16:00:00,24.6,10.00,1006.24,7.50,7.20,92,1009.18,000,26.0,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,28.74,09-01-2019,16:00:00,23.4,5.00,1007.89,0.30,0.30,83,1008.58,260,26.6,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.70,09-01-2019,16:00:00,22.2,7.00,1004.82,0.00,0.00,65,1008.92,230,29.4,14.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.75,09-01-2019,16:00:00,20.9,10.00,1006.49,11.40,0.00,48,1007.07,280,33.4,11.1
