WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,VaporPressure,DewPoint,AirTemperature,RelativeHumidity,WindSpeed,Rainfall,Rainfall24Hr,WindDirection,MeanSeaLevelPressure
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,990.28,09-22-2019,04:00:00,7.00,28.38,23.2,24.8,91,0.0,0.00,0.00,000,1010.66
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,988.80,09-22-2019,04:00:00,6.00,26.17,21.8,23.8,89,0.0,0.00,0.00,000,1010.82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,990.50,09-22-2019,04:00:00,9.00,26.51,22.0,24.3,87,3.7,0.00,0.00,130,1010.21
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,994.35,09-22-2019,04:00:00,9.00,25.92,21.7,24.1,86,0.0,0.00,0.00,000,1011.32
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,993.84,09-22-2019,04:00:00,8.00,26.42,22.0,23.5,91,0.0,0.00,0.00,000,1011.52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,983.89,09-22-2019,04:00:00,10.00,27.25,22.5,24.0,91,0.0,0.00,0.00,000,1009.99
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.27,09-22-2019,04:00:00,10.00,31.87,25.1,25.4,98,0.0,0.00,16.80,000,1010.10
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.89,09-22-2019,04:00:00,10.00,31.25,24.8,25.5,96,0.0,0.00,6.60,000,1009.12
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.70,09-22-2019,04:00:00,10.00,28.34,23.2,25.8,85,0.0,0.00,0.00,000,1010.25
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.58,09-22-2019,04:00:00,10.00,28.72,23.4,24.7,92,0.0,0.00,9.30,000,1008.08
48376,TAK,ตาก,ตาก,16.87833,99.14333,995.68,09-22-2019,04:00:00,6.00,29.41,23.8,24.5,96,0.0,0.00,7.10,000,1010.23
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,993.36,09-22-2019,04:00:00,8.00,28.60,23.3,23.6,98,0.0,0.00,16.80,000,1009.97
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.56,09-22-2019,04:00:00,10.00,31.93,25.1,26.0,95,0.0,0.00,11.00,000,1009.82
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,995.14,09-22-2019,04:00:00,10.00,29.00,23.5,25.0,92,0.0,0.00,0.00,000,1008.44
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1000.49,09-22-2019,04:00:00,10.00,29.57,23.9,24.3,97,1.9,0.00,7.90,130,1009.93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,988.65,09-22-2019,04:00:00,5.00,29.42,23.8,24.8,94,3.7,0.00,1.80,030,1010.56
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,992.00,09-22-2019,04:00:00,6.00,30.07,24.1,25.3,93,3.7,0.00,8.70,080,1009.64
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,993.85,09-22-2019,04:00:00,10.00,26.35,22.0,25.1,83,3.7,0.00,0.00,050,1009.83
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,990.62,09-22-2019,04:00:00,6.00,29.69,23.9,24.8,95,0.0,0.00,8.60,000,1009.69
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.34,09-22-2019,04:00:00,6.00,25.76,21.6,22.8,93,0.0,1.10,4.80,000,1010.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.09,09-22-2019,04:00:00,2.00,30.15,24.2,25.2,94,14.8,7.70,7.70,180,1010.08
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.64,09-22-2019,04:00:00,5.00,23.16,19.9,20.8,94,11.1,0.00,3.50,070,1010.25
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,994.21,09-22-2019,04:00:00,7.00,27.19,22.5,25.0,86,5.6,0.00,2.00,060,1010.35
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.10,09-22-2019,04:00:00,6.00,31.22,24.8,25.2,97,0.0,10.00,46.70,000,1010.18
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.86,09-22-2019,04:00:00,6.00,30.32,24.3,25.0,96,0.0,0.00,44.90,000,1010.64
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.43,09-22-2019,04:00:00,6.00,30.05,24.1,25.0,95,0.0,4.50,19.30,000,1010.38
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,989.19,09-22-2019,04:00:00,10.00,25.86,21.6,25.7,78,0.0,0.00,2.60,000,1010.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,992.04,09-22-2019,04:00:00,10.00,25.86,21.6,25.7,78,7.4,0.00,0.00,050,1009.83
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,993.46,09-22-2019,04:00:00,10.00,27.06,22.4,26.1,80,9.3,0.00,0.60,070,1009.71
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,995.71,09-22-2019,04:00:00,10.00,27.37,22.6,25.1,86,0.0,0.00,8.10,000,1009.87
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,996.01,09-22-2019,04:00:00,8.00,29.38,23.7,25.5,90,0.0,0.00,6.80,000,1010.97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,996.01,09-22-2019,04:00:00,5.00,30.32,24.3,25.0,96,0.0,1.30,30.70,000,1010.84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.70,09-22-2019,04:00:00,8.00,31.41,24.9,25.3,97,0.0,0.60,13.80,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.74
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1002.64,09-22-2019,04:00:00,7.00,29.91,24.0,25.5,92,0.0,0.00,2.40,000,1010.66
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.41,09-22-2019,04:00:00,7.00,30.32,24.3,25.0,96,0.0,0.00,6.40,000,1010.53
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.45,09-22-2019,04:00:00,8.00,29.25,23.7,26.3,86,5.6,0.00,0.00,100,1007.18
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.71,09-22-2019,04:00:00,4.00,21.19,18.4,18.6,99,5.6,3.00,28.40,050,1010.55
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.11,09-22-2019,04:00:00,10.00,29.08,23.6,24.9,92,0.0,0.00,10.40,000,1010.05
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.43,09-22-2019,04:00:00,6.00,32.45,25.4,25.7,98,0.0,0.01,41.00,000,1009.24
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.64,09-22-2019,04:00:00,10.00,30.02,24.1,27.0,84,0.0,0.00,6.60,000,1007.09
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.08,09-22-2019,04:00:00,3.00,28.78,23.4,24.0,97,0.0,0.20,24.90,000,1009.53
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.87,09-22-2019,04:00:00,5.00,31.31,24.8,25.1,98,0.0,20.00,35.80,000,1009.89
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.82,09-22-2019,04:00:00,7.00,29.23,23.7,24.4,96,0.0,7.50,95.50,000,1009.67
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,{'@attributes': {'unit': 'hPa'}},09-22-2019,04:00:00,5.00,29.49,23.8,24.4,97,0.0,0.00,12.80,000,{'@attributes': {'Unit': 'hPa'}}
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.63,09-22-2019,04:00:00,8.00,31.25,24.8,25.5,96,3.7,0.00,31.80,320,1009.34
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.52,09-22-2019,04:00:00,6.00,30.60,24.4,25.3,95,0.0,3.00,12.50,000,1009.23
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.53,09-22-2019,04:00:00,8.00,29.67,23.9,24.5,97,0.0,0.00,33.70,000,1009.92
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.14,09-22-2019,04:00:00,5.00,29.04,23.6,24.0,97,7.4,6.10,7.50,070,1010.07
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,994.25,09-22-2019,04:00:00,5.00,28.36,23.2,24.2,94,13.0,4.70,5.80,090,1010.89
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.31,09-22-2019,04:00:00,9.00,29.49,23.8,24.4,97,0.0,1.00,40.80,000,1009.40
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.06,09-22-2019,04:00:00,7.00,26.99,22.3,22.8,97,5.6,7.30,13.00,070,1010.02
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,988.47,09-22-2019,04:00:00,5.00,29.46,23.8,23.8,100,9.3,0.80,47.60,030,1009.30
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.08,09-22-2019,04:00:00,7.00,29.46,23.8,23.8,100,5.6,0.00,19.60,150,1011.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.66,09-22-2019,04:00:00,8.00,31.41,24.9,25.3,97,3.7,0.30,10.10,340,1009.09
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1007.60,09-22-2019,04:00:00,6.00,29.04,23.6,24.0,97,0.0,72.00,103.80,000,1009.04
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.89,09-22-2019,04:00:00,7.00,29.66,23.9,24.2,98,0.0,6.70,14.80,000,1008.88
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.09,09-22-2019,04:00:00,10.00,30.32,24.3,25.0,96,0.0,0.00,32.70,000,1009.41
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.36,09-22-2019,04:00:00,7.00,31.66,25.0,25.0,100,0.0,0.00,15.60,000,1009.48
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.84,09-22-2019,04:00:00,5.00,31.55,24.9,25.8,95,0.0,0.01,39.20,000,1009.15
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.14,09-22-2019,04:00:00,10.00,31.04,24.7,25.1,97,0.0,0.00,19.60,000,1008.63
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.76,09-22-2019,04:00:00,7.00,31.90,25.1,25.7,97,5.6,0.00,4.60,340,1009.18
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.54,09-22-2019,04:00:00,5.00,30.30,24.3,24.7,97,0.0,0.01,3.40,000,1010.63
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.45,09-22-2019,04:00:00,6.00,32.34,25.3,25.5,99,0.0,2.70,44.70,000,1008.74
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.72,09-22-2019,04:00:00,10.00,31.79,25.1,26.5,92,0.0,0.00,42.70,000,1008.86
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.19,09-22-2019,04:00:00,10.00,29.91,24.0,25.5,92,9.3,0.60,5.40,270,1009.18
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1003.63,09-22-2019,04:00:00,7.00,28.53,23.3,24.0,96,0.0,25.20,54.10,000,1009.30
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.25,09-22-2019,04:00:00,10.00,31.49,24.9,25.2,98,0.0,0.00,3.00,000,1010.52
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.52,09-22-2019,04:00:00,11.00,30.87,24.6,25.3,96,0.0,1.50,14.00,000,1008.96
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.15,09-22-2019,04:00:00,8.00,29.48,23.8,24.1,98,0.0,1.50,44.10,000,1009.55
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.33,09-22-2019,04:00:00,9.00,31.20,24.7,24.9,99,0.0,1.00,36.50,000,1009.05
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.96,09-22-2019,04:00:00,10.00,29.60,23.9,26.2,87,5.6,0.00,5.50,350,1008.40
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.09,09-22-2019,04:00:00,8.00,30.71,24.5,25.5,94,0.0,0.00,1.20,000,1009.62
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.96,09-22-2019,04:00:00,7.00,30.32,24.3,25.0,96,3.7,0.00,3.30,260,1009.16
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.85,09-22-2019,04:00:00,7.00,30.96,24.6,25.2,97,0.0,2.30,53.60,000,1009.27
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.78,09-22-2019,04:00:00,8.00,30.20,24.2,24.5,98,0.0,3.00,26.70,000,1009.58
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.85,09-22-2019,04:00:00,6.00,29.70,23.9,25.1,93,0.0,0.60,5.70,000,1009.64
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.89,09-22-2019,04:00:00,6.00,30.05,24.1,25.0,95,5.6,0.00,12.20,060,1009.36
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.65,09-22-2019,04:00:00,8.00,30.44,24.3,25.5,93,0.0,0.00,1.20,000,1009.33
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.69,09-22-2019,04:00:00,7.00,28.89,23.5,24.5,94,0.0,0.00,5.60,000,1009.23
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.85,09-22-2019,04:00:00,10.00,28.10,23.0,24.2,93,0.0,0.00,2.20,000,1009.78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.49,09-22-2019,04:00:00,10.00,31.06,24.7,25.4,96,0.0,0.00,1.70,000,1009.18
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.74,09-22-2019,04:00:00,7.00,29.49,23.8,24.4,97,0.0,0.00,0.00,000,1009.55
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.54,09-22-2019,04:00:00,10.00,29.67,23.9,24.5,97,0.0,0.00,0.20,000,1009.18
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.03,09-22-2019,04:00:00,10.00,30.58,24.4,25.0,97,0.0,0.00,0.10,000,1009.43
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.05,09-22-2019,04:00:00,5.00,29.04,23.6,24.0,97,0.0,0.00,15.40,000,1011.32
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.55,09-22-2019,04:00:00,6.00,28.53,23.3,24.0,96,0.0,0.00,0.00,000,1008.18
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.08,09-22-2019,04:00:00,6.00,29.41,23.8,24.5,96,0.0,0.00,0.70,000,1009.59
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.17,09-22-2019,04:00:00,8.00,30.20,24.2,24.5,98,0.0,0.00,0.60,000,1009.54
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.35,09-22-2019,04:00:00,10.00,30.42,24.3,25.2,95,0.0,0.00,0.00,000,1009.24
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.56,09-22-2019,04:00:00,10.00,29.15,23.6,24.5,95,0.0,0.00,0.00,000,1009.16
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.52,09-22-2019,04:00:00,10.00,30.67,24.5,26.2,90,0.0,0.00,0.00,000,1008.95
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.92,09-22-2019,04:00:00,10.00,29.97,24.1,26.4,87,0.0,0.00,0.00,000,1007.92
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.01,09-22-2019,04:00:00,10.00,31.08,24.7,25.7,94,7.4,0.00,0.00,090,1008.83
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.07,09-22-2019,04:00:00,5.00,31.25,24.8,25.5,96,0.0,0.00,0.00,000,1008.89
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.47,09-22-2019,04:00:00,4.00,30.94,24.6,26.2,91,0.0,0.00,1.20,000,1009.23
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.46,09-22-2019,04:00:00,4.00,31.41,24.9,25.3,97,5.6,0.00,0.00,110,1009.49
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.72,09-22-2019,04:00:00,5.00,31.82,25.1,25.8,96,0.0,0.00,0.00,000,1009.41
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.34,09-22-2019,04:00:00,10.00,30.05,24.1,26.3,88,0.0,0.00,0.00,000,1009.46
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.57,09-22-2019,04:00:00,7.00,30.30,24.3,24.7,97,0.0,0.00,0.00,000,1009.52
