WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,RelativeHumidity,DewPoint,StationPressure,LandVisibility,MeanSeaLevelPressure,WindSpeed,Rainfall,AirTemperature,WindDirection
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-25-2019,22:00:00,29.33,86,23.7,997.22,4.00,1015.91,0.0,0.00,26.2,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-25-2019,22:00:00,30.34,87,24.3,993.43,10.00,1016.45,0.0,0.00,26.6,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-25-2019,22:00:00,27.35,89,22.6,986.38,8.00,1016.74,0.0,0.00,24.5,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.80,09-25-2019,22:00:00,28.11,91,23.0,980.96,8.00,1017.01,0.0,0.00,24.5,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-25-2019,22:00:00,25.60,91,21.5,985.79,5.00,1016.10,0.0,0.00,23.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-25-2019,22:00:00,28.49,75,23.2,1008.21,8.00,1015.55,0.0,0.00,28.2,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-25-2019,22:00:00,25.24,67,21.3,995.74,8.00,1015.73,3.7,0.00,28.0,070
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-25-2019,22:00:00,25.85,81,21.6,987.07,7.00,1016.13,0.0,0.00,25.1,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-25-2019,22:00:00,26.57,76,22.1,995.62,10.00,1015.97,0.0,0.00,26.7,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-25-2019,22:00:00,26.60,85,22.1,994.41,6.00,1016.48,0.0,0.00,24.8,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-25-2019,22:00:00,25.61,76,21.5,996.31,10.00,1016.02,1.9,0.00,26.0,140
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-25-2019,22:00:00,21.35,59,18.6,999.53,10.00,1016.41,1.9,0.00,27.3,040
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-25-2019,22:00:00,25.35,82,21.3,999.06,10.00,1016.77,0.0,0.00,24.5,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-25-2019,22:00:00,26.43,83,22.0,989.19,8.00,1015.34,0.0,0.00,25.0,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.01,09-25-2019,22:00:00,33.66,89,26.0,1009.19,10.00,1015.01,5.6,0.00,28.0,290
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-25-2019,22:00:00,31.39,83,24.8,1008.26,7.00,1014.48,0.0,0.00,28.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-25-2019,22:00:00,24.04,67,20.5,999.69,10.00,1016.27,0.0,0.00,27.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-25-2019,22:00:00,26.84,75,22.3,991.84,10.00,1014.31,3.7,0.00,27.0,060
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-25-2019,22:00:00,31.55,90,24.9,1001.93,6.00,1016.46,0.0,0.00,26.8,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-25-2019,22:00:00,27.70,88,22.8,1000.00,7.00,1016.65,0.0,0.00,25.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-25-2019,22:00:00,31.95,85,25.1,1010.42,8.00,1015.67,3.7,0.00,28.0,340
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-25-2019,22:00:00,26.98,79,22.3,1000.92,10.00,1014.24,0.0,0.00,26.2,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-25-2019,22:00:00,31.00,83,24.6,1005.90,8.00,1015.28,1.9,0.00,27.8,260
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-25-2019,22:00:00,26.84,75,22.3,993.65,10.00,1015.52,5.6,0.00,27.0,080
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-25-2019,22:00:00,29.08,84,23.6,997.83,10.00,1015.50,0.0,0.00,26.5,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-25-2019,22:00:00,24.45,73,20.7,999.32,10.00,1015.34,5.6,0.00,25.9,050
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-25-2019,22:00:00,29.41,87,23.8,995.82,7.00,1014.90,0.0,0.00,26.1,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-25-2019,22:00:00,23.61,85,20.2,964.89,7.00,1017.12,0.0,0.00,22.8,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-25-2019,22:00:00,32.26,81,25.3,1010.94,5.00,1014.90,0.0,0.00,29.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-25-2019,22:00:00,21.93,93,19.0,921.04,2.50,1017.56,0.0,0.00,20.1,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-25-2019,22:00:00,28.82,83,23.4,999.27,8.00,1015.41,0.0,0.00,26.5,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-25-2019,22:00:00,31.25,85,24.8,1011.02,8.00,1015.08,0.0,0.00,27.5,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-25-2019,22:00:00,31.88,93,25.1,1006.04,6.00,1016.84,0.0,0.00,26.4,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-25-2019,22:00:00,29.75,83,24.0,1013.42,9.00,1015.36,0.0,0.00,27.0,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-25-2019,22:00:00,25.71,74,21.5,994.31,10.00,1015.37,0.0,0.00,26.5,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-25-2019,22:00:00,28.36,84,23.2,997.55,10.00,1015.41,7.4,0.00,26.1,070
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-25-2019,22:00:00,26.82,77,22.2,998.99,10.00,1015.29,0.0,0.00,26.7,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-25-2019,22:00:00,26.66,75,22.1,1000.56,10.00,1014.70,9.3,0.00,26.9,020
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-25-2019,22:00:00,26.47,77,22.0,1000.14,9.00,1015.11,0.0,0.00,26.5,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-25-2019,22:00:00,29.15,80,23.6,1000.34,10.00,1015.11,13.0,0.00,27.4,060
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-25-2019,22:00:00,32.30,83,25.3,1011.83,8.00,1014.86,0.0,0.00,28.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-25-2019,22:00:00,30.50,84,24.4,1006.99,8.00,1014.99,0.0,0.00,27.4,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-25-2019,22:00:00,29.96,82,24.1,1013.49,8.00,1014.60,7.4,0.00,27.4,050
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-25-2019,22:00:00,30.56,81,24.4,998.82,8.00,1013.55,3.7,0.00,28.0,110
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-25-2019,22:00:00,18.67,85,16.4,880.40,8.00,1016.88,7.4,0.00,19.1,050
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-25-2019,22:00:00,29.17,85,23.6,1009.13,10.00,1015.07,0.0,0.00,26.4,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.01,09-25-2019,22:00:00,31.92,86,25.1,1013.71,8.00,1014.51,0.0,0.01,27.7,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-25-2019,22:00:00,29.30,72,23.7,1013.66,8.00,1014.10,9.3,0.00,29.2,150
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-25-2019,22:00:00,27.70,88,22.8,1004.46,6.00,1015.93,0.0,0.00,25.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-25-2019,22:00:00,30.70,79,24.5,1013.92,6.00,1014.94,0.0,0.00,28.5,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-25-2019,22:00:00,26.80,71,22.2,1012.83,8.00,1014.66,5.6,0.00,28.0,130
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-25-2019,22:00:00,30.18,86,24.2,1013.95,5.00,1014.72,0.0,0.00,26.8,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-25-2019,22:00:00,30.29,76,24.3,1013.64,9.00,1014.35,5.6,0.00,29.0,020
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-25-2019,22:00:00,27.54,70,22.7,1013.43,7.00,1014.13,0.0,0.00,28.7,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-25-2019,22:00:00,29.02,82,23.5,994.18,7.00,1015.52,0.0,0.00,26.9,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-25-2019,22:00:00,28.96,80,23.5,998.23,7.00,1015.06,0.0,0.00,27.3,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-25-2019,22:00:00,30.46,92,24.3,998.49,8.00,1015.11,0.0,0.00,25.8,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-25-2019,22:00:00,28.18,84,23.1,993.14,6.00,1015.24,0.0,0.00,26.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-25-2019,22:00:00,24.20,75,20.6,971.52,9.00,1015.36,11.1,0.00,25.3,090
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-25-2019,22:00:00,30.67,90,24.5,994.02,10.00,1014.80,0.0,0.00,26.2,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-25-2019,22:00:00,29.39,89,23.8,995.91,6.00,1017.01,9.3,0.00,25.8,040
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-25-2019,22:00:00,30.40,80,24.3,1014.01,9.00,1014.44,7.4,0.00,28.2,350
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-25-2019,22:00:00,29.06,79,23.6,1012.65,6.00,1014.07,0.0,0.00,27.5,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-25-2019,22:00:00,31.44,90,24.9,1009.82,7.00,1014.80,0.0,0.00,26.6,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-25-2019,22:00:00,29.28,78,23.7,1011.67,7.00,1014.98,0.0,0.00,27.9,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.30,09-25-2019,22:00:00,32.16,88,25.3,1013.79,10.00,1014.90,0.0,0.00,27.4,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-25-2019,22:00:00,31.28,76,24.8,1014.03,10.00,1014.33,0.0,0.00,29.5,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-25-2019,22:00:00,30.13,74,24.2,1014.20,10.00,1014.69,0.0,0.00,29.2,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-25-2019,22:00:00,29.93,74,24.1,1013.15,10.00,1014.56,11.1,0.00,29.1,020
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-25-2019,22:00:00,30.67,90,24.5,1008.06,10.00,1016.16,0.0,0.00,26.2,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-25-2019,22:00:00,32.71,79,25.5,1013.94,10.00,1014.22,0.0,0.00,29.5,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-25-2019,22:00:00,32.35,85,25.4,1011.11,10.00,1014.25,0.0,0.00,28.2,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-25-2019,22:00:00,29.65,74,23.9,1006.84,10.00,1013.78,13.0,0.00,29.1,060
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-25-2019,22:00:00,30.53,82,24.4,1009.26,8.00,1014.89,0.0,0.00,27.7,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.30,09-25-2019,22:00:00,32.15,93,25.3,1013.50,7.00,1014.78,0.0,0.01,26.4,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.40,09-25-2019,22:00:00,30.90,79,24.6,1013.83,11.00,1014.26,7.4,0.00,28.6,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,2.50,09-25-2019,22:00:00,28.80,85,23.4,1002.14,6.00,1014.53,0.0,0.00,26.2,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-25-2019,22:00:00,28.86,70,23.4,1013.33,7.00,1014.05,0.0,0.00,29.4,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-25-2019,22:00:00,30.56,86,24.4,1011.63,5.00,1014.08,7.4,0.00,27.0,360
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-25-2019,22:00:00,31.05,85,24.7,1013.75,10.00,1014.27,0.0,0.00,27.4,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-25-2019,22:00:00,31.62,82,25.0,1008.77,7.00,1013.94,1.9,0.00,28.4,010
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-25-2019,22:00:00,29.28,78,23.7,1013.54,7.00,1013.95,0.0,0.00,27.9,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-25-2019,22:00:00,30.02,84,24.1,1011.57,10.00,1014.36,0.0,0.00,27.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-25-2019,22:00:00,29.30,72,23.7,1012.55,10.00,1013.34,0.0,0.00,29.2,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-25-2019,22:00:00,28.76,81,23.4,1012.31,7.00,1012.77,0.0,0.00,26.9,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.90,09-25-2019,22:00:00,31.96,93,25.1,1013.25,7.00,1013.94,0.0,0.00,26.3,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.20,09-25-2019,22:00:00,31.22,92,24.8,1012.23,8.00,1013.77,0.0,0.00,26.2,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.00,09-25-2019,22:00:00,29.08,84,23.6,1013.01,10.00,1013.93,0.0,0.00,26.5,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-25-2019,22:00:00,33.33,90,25.9,1013.28,10.00,1013.97,5.6,0.00,27.7,010
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.60,09-25-2019,22:00:00,31.25,96,24.8,1013.07,5.00,1013.88,0.0,0.00,25.5,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,19.10,09-25-2019,22:00:00,32.63,94,25.5,1012.75,8.00,1013.39,5.6,3.00,26.5,300
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,39.50,09-25-2019,22:00:00,32.82,94,25.6,1013.29,8.00,1013.70,0.0,0.00,26.6,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,8.30,09-25-2019,22:00:00,31.55,95,24.9,1011.73,5.00,1015.99,0.0,0.00,25.8,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1.60,09-25-2019,22:00:00,31.08,94,24.7,1012.19,7.00,1013.81,0.0,0.00,25.7,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,2.60,09-25-2019,22:00:00,29.52,93,23.8,1009.82,10.00,1013.34,0.0,0.00,25.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,37.50,09-25-2019,22:00:00,32.27,84,25.3,1011.92,8.00,1013.27,7.4,0.00,28.3,090
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-25-2019,22:00:00,29.70,86,23.9,1011.74,10.00,1012.63,0.0,0.00,26.4,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,2.80,09-25-2019,22:00:00,31.08,94,24.7,1009.51,10.00,1013.10,7.4,0.00,25.7,040
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.80,09-25-2019,22:00:00,32.02,82,25.2,1012.19,10.00,1012.63,5.6,0.00,28.6,360
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.01,09-25-2019,22:00:00,30.91,87,24.6,1011.27,10.00,1012.27,0.0,0.00,26.9,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-25-2019,22:00:00,27.22,73,22.5,1012.18,8.00,1013.00,13.0,0.00,27.8,060
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,3.70,09-25-2019,22:00:00,29.35,85,23.7,1011.03,10.00,1012.86,13.0,0.00,26.5,030
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.40,09-25-2019,22:00:00,30.49,76,24.4,1012.66,10.00,1013.41,3.7,0.00,29.1,060
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,09-25-2019,22:00:00,29.70,86,23.9,1009.46,10.00,1013.49,0.0,0.01,26.4,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-25-2019,22:00:00,28.78,74,23.4,1011.97,10.00,1012.66,5.6,0.00,28.5,070
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-25-2019,22:00:00,30.64,82,24.4,1012.96,10.00,1014.08,0.0,0.00,27.9,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-25-2019,22:00:00,31.05,85,24.7,1010.53,10.00,1013.46,0.0,0.00,27.4,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-25-2019,22:00:00,32.21,90,25.3,1012.66,7.00,1013.35,0.0,0.00,27.0,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.50,09-25-2019,22:00:00,30.43,88,24.3,1009.35,7.00,1013.50,0.0,0.00,26.5,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1.90,09-25-2019,22:00:00,27.88,78,22.9,1012.13,10.00,1012.72,11.1,0.00,27.0,140
