WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,AirTemperature,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,VaporPressure,Rainfall24Hr,RelativeHumidity
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-22-2019,16:00:00,000,984.37,33.5,1002.77,10.00,0.00,22.9,27.99,0.00,54
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-22-2019,16:00:00,000,956.07,26.0,1007.25,4.00,3.90,22.7,27.66,6.20,82
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,08-22-2019,16:00:00,140,999.86,33.0,1003.73,10.00,0.00,24.8,31.28,0.00,62
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.5,08-22-2019,16:00:00,240,910.66,21.5,1005.62,.90,11.70,20.7,24.44,22.30,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.7,08-22-2019,16:00:00,190,988.58,31.4,1004.29,10.00,0.00,25.3,32.30,5.60,70
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.4,08-22-2019,16:00:00,140,1000.31,32.8,1004.26,12.00,0.00,25.0,31.74,0.00,64
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,9.3,08-22-2019,16:00:00,150,994.99,31.5,1005.49,10.00,0.00,24.4,30.49,0.60,66
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.3,08-22-2019,16:00:00,150,1002.85,32.0,1004.75,10.00,0.00,23.3,28.66,3.30,60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,13.0,08-22-2019,16:00:00,230,983.75,33.3,1004.12,12.00,0.00,21.9,26.20,0.00,51
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,08-22-2019,16:00:00,210,986.97,31.7,1004.32,10.00,0.00,23.8,29.47,64.30,63
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,11.1,08-22-2019,16:00:00,200,988.01,32.6,1003.82,10.00,0.00,23.9,29.58,41.00,60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,08-22-2019,16:00:00,130,991.12,29.5,1005.01,10.00,9.40,26.1,33.87,11.40,82
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-22-2019,16:00:00,000,991.50,29.5,1006.19,9.00,5.40,26.7,35.05,12.00,85
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,14.8,08-22-2019,16:00:00,260,991.28,33.3,1005.63,10.00,0.00,25.1,31.92,0.00,62
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-22-2019,16:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1001.25,33.5,1004.20,10.00,0.00,25.0,31.75,0.00,61
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-22-2019,16:00:00,000,996.20,32.5,1003.99,10.00,0.00,24.4,30.53,0.00,62
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,18.5,08-22-2019,16:00:00,200,1003.75,33.0,1004.84,8.00,0.00,24.6,30.99,16.80,62
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-22-2019,16:00:00,000,990.49,32.0,1004.90,9.00,0.00,24.9,31.52,0.00,66
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,08-22-2019,16:00:00,200,872.56,20.4,1007.19,.10,0.00,20.2,23.72,12.40,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-22-2019,16:00:00,000,999.25,30.5,1005.05,10.00,0.20,26.3,34.22,3.90,78
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,13.0,08-22-2019,16:00:00,240,1004.60,33.3,1005.38,9.00,0.00,24.7,31.03,2.90,61
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,22.2,08-22-2019,16:00:00,210,1005.13,31.0,1005.57,10.00,0.00,25.4,32.34,0.00,72
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-22-2019,16:00:00,000,995.64,27.5,1006.92,5.00,0.60,25.4,32.36,7.60,88
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,13.0,08-22-2019,16:00:00,220,1004.20,33.1,1005.19,12.00,0.00,24.1,30.03,4.40,59
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-22-2019,16:00:00,150,1003.25,32.9,1005.03,9.00,0.00,23.7,29.33,1.90,59
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,11.1,08-22-2019,16:00:00,230,1004.26,31.9,1005.02,9.00,0.00,21.7,25.99,0.20,55
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,18.5,08-22-2019,16:00:00,200,1005.02,31.6,1005.71,10.00,0.00,24.3,30.41,0.01,65
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.4,08-22-2019,16:00:00,270,1004.63,34.3,1005.32,8.00,0.00,25.5,32.59,0.01,60
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.4,08-22-2019,16:00:00,210,983.56,33.7,1004.19,10.00,0.00,23.5,28.96,1.40,55
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.7,08-22-2019,16:00:00,230,988.13,32.8,1004.49,12.00,0.00,24.2,30.28,0.00,61
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,08-22-2019,16:00:00,230,989.20,32.7,1005.30,14.00,0.00,24.6,30.94,0.00,63
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,18.5,08-22-2019,16:00:00,240,983.25,33.5,1004.59,10.00,0.00,24.2,30.28,0.00,59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,5.6,08-22-2019,16:00:00,220,962.44,30.5,1005.10,15.00,0.00,23.2,28.50,9.20,65
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,13.0,08-22-2019,16:00:00,220,984.29,33.5,1004.37,10.00,0.01,22.6,27.43,0.01,53
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,14.8,08-22-2019,16:00:00,230,985.83,32.4,1006.26,10.00,0.00,25.1,31.77,0.00,65
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.0,08-22-2019,16:00:00,170,1005.24,30.5,1005.67,10.00,0.00,25.9,33.34,0.00,76
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-22-2019,16:00:00,000,1003.94,30.8,1005.34,11.00,0.00,26.2,33.98,0.10,77
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.4,08-22-2019,16:00:00,240,1000.24,31.5,1005.09,8.00,0.00,25.9,33.40,0.30,72
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,08-22-2019,16:00:00,220,1002.41,32.7,1005.64,12.00,0.00,23.8,29.50,0.00,60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1.9,08-22-2019,16:00:00,250,1004.34,32.8,1005.42,10.00,0.00,24.2,30.28,0.20,61
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,13.0,08-22-2019,16:00:00,220,1005.80,32.5,1006.10,10.00,0.00,25.5,32.58,0.01,67
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,08-22-2019,16:00:00,190,1005.01,32.6,1005.68,10.00,0.00,25.1,31.90,0.00,65
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,9.3,08-22-2019,16:00:00,120,1005.12,33.0,1005.60,10.00,0.00,25.3,32.16,0.00,64
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,18.5,08-22-2019,16:00:00,230,1004.29,32.1,1005.67,10.00,0.00,24.6,30.86,5.80,65
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.1,08-22-2019,16:00:00,210,1004.12,29.5,1005.79,10.00,0.00,27.4,36.55,0.00,89
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-22-2019,16:00:00,000,998.91,32.5,1006.77,10.00,0.00,22.8,27.69,0.00,57
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,7.4,08-22-2019,16:00:00,250,1005.31,32.9,1005.58,10.00,0.00,24.5,30.78,0.00,62
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,9.3,08-22-2019,16:00:00,220,1002.96,30.5,1006.06,12.00,0.00,24.8,31.31,0.00,72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,08-22-2019,16:00:00,210,999.58,30.8,1006.43,12.00,0.00,25.4,32.51,0.00,73
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.7,08-22-2019,16:00:00,300,999.94,32.6,1005.43,8.00,2.60,25.9,33.39,2.60,68
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,14.8,08-22-2019,16:00:00,210,996.70,30.8,1005.88,12.00,0.00,24.7,31.06,0.00,70
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-22-2019,16:00:00,000,1005.80,27.5,1007.07,12.00,14.30,26.1,33.78,14.70,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,9.3,08-22-2019,16:00:00,220,1005.16,33.0,1005.59,11.00,0.00,23.2,28.40,0.70,56
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,7.4,08-22-2019,16:00:00,230,994.24,31.5,1006.30,10.00,0.00,24.0,29.92,0.00,65
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,13.0,08-22-2019,16:00:00,240,1005.43,32.8,1006.13,10.00,0.00,24.1,29.99,0.00,60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,18.5,08-22-2019,16:00:00,200,1004.28,32.6,1006.67,10.00,0.00,24.7,31.02,2.00,63
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,16.7,08-22-2019,16:00:00,270,1006.17,30.5,1006.69,10.00,0.00,25.0,31.60,0.00,72
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,5.6,08-22-2019,16:00:00,250,1001.28,31.0,1006.36,12.00,0.00,23.8,29.48,7.40,66
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,11.1,08-22-2019,16:00:00,190,1006.38,29.4,1006.79,8.00,0.60,25.7,33.08,0.80,81
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,7.4,08-22-2019,16:00:00,180,1004.20,28.6,1006.96,8.00,0.00,25.6,32.88,0.00,84
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,7.4,08-22-2019,16:00:00,270,1005.50,32.0,1006.28,10.00,0.00,22.8,27.82,0.00,59
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,08-22-2019,16:00:00,180,1007.68,27.9,1008.14,5.00,0.90,26.5,34.60,4.20,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,08-22-2019,16:00:00,200,1006.19,30.0,1006.87,8.00,0.00,23.2,28.37,35.10,67
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.4,08-22-2019,16:00:00,250,1005.60,30.0,1007.11,10.00,0.00,22.4,27.01,2.60,64
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.7,08-22-2019,16:00:00,250,1008.00,27.1,1008.91,7.00,0.50,24.9,31.58,12.20,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,9.3,08-22-2019,16:00:00,270,1006.81,33.1,1007.49,12.00,0.00,24.0,29.74,0.70,59
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.3,08-22-2019,16:00:00,260,1007.52,32.3,1008.30,10.00,0.00,24.9,31.56,0.00,65
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-22-2019,16:00:00,000,1006.78,33.1,1007.40,10.00,0.00,22.1,26.64,0.60,53
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,14.8,08-22-2019,16:00:00,230,1006.89,33.8,1007.29,10.00,0.00,22.8,27.74,0.20,53
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,14.8,08-22-2019,16:00:00,230,1005.09,33.0,1009.23,6.00,0.00,22.9,27.84,0.00,55
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-22-2019,16:00:00,000,1008.10,27.8,1009.71,12.00,0.80,24.8,31.28,4.20,84
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.4,08-22-2019,16:00:00,340,1005.51,26.5,1009.00,8.00,0.50,24.3,30.43,16.00,88
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,13.0,08-22-2019,16:00:00,280,1006.61,31.6,1007.95,10.00,0.00,22.2,26.78,0.00,58
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-22-2019,16:00:00,000,1007.85,30.0,1008.73,10.00,0.00,24.3,30.31,45.50,71
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,11.1,08-22-2019,16:00:00,290,1004.98,31.6,1008.49,10.00,0.00,23.4,28.71,9.90,62
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,11.1,08-22-2019,16:00:00,290,1007.69,32.4,1008.12,10.00,0.00,24.0,29.75,16.20,61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,08-22-2019,16:00:00,320,1007.26,30.5,1008.24,10.00,0.00,25.6,32.75,21.80,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,08-22-2019,16:00:00,230,1007.42,30.9,1008.22,10.00,0.00,25.1,31.84,3.00,71
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,13.0,08-22-2019,16:00:00,050,1006.90,27.5,1008.71,10.00,0.00,24.6,30.97,4.20,84
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,18.5,08-22-2019,16:00:00,240,1006.88,34.6,1007.62,12.00,0.00,21.4,25.41,3.30,46
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,16.7,08-22-2019,16:00:00,250,1004.11,32.4,1008.03,10.00,0.00,21.3,25.31,0.60,52
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-22-2019,16:00:00,000,1008.17,31.5,1008.85,10.00,0.00,22.6,27.41,19.20,59
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,7.4,08-22-2019,16:00:00,210,1006.61,34.0,1007.70,12.00,0.00,23.7,29.29,3.00,55
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,5.6,08-22-2019,16:00:00,270,1005.33,33.1,1008.19,12.00,0.00,24.1,30.03,1.30,59
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.4,08-22-2019,16:00:00,230,1006.30,33.0,1006.98,12.00,0.00,25.4,32.46,0.00,65
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.4,08-22-2019,16:00:00,290,1003.84,32.5,1007.89,10.00,0.00,23.7,29.38,0.20,60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,11.1,08-22-2019,16:00:00,040,1007.38,31.0,1007.96,10.00,0.00,23.0,28.09,3.10,63
