WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,MeanSeaLevelPressure,WindDirection,LandVisibility,DewPoint
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.0,09-18-2019,22:00:00,95,876.35,3.7,1.80,23.69,0.00,1011.28,040,8.00,20.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.0,09-18-2019,22:00:00,81,1003.38,0.0,0.00,32.55,0.00,1009.24,000,10.00,25.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.5,09-18-2019,22:00:00,96,1009.62,0.0,27.80,31.25,27.50,1010.43,000,7.00,24.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.2,09-18-2019,22:00:00,88,1008.57,0.0,1.10,31.77,1.10,1009.01,000,10.00,25.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.6,09-18-2019,22:00:00,95,999.43,0.0,7.40,31.17,0.00,1010.83,000,5.00,24.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.0,09-18-2019,22:00:00,84,1008.54,0.0,0.00,35.83,0.00,1009.54,000,10.00,27.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.5,09-18-2019,22:00:00,88,1007.74,0.0,1.70,36.25,0.00,1009.55,000,7.00,27.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.1,09-18-2019,22:00:00,77,1008.53,0.0,0.00,31.05,0.00,1009.30,000,8.00,24.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.7,09-18-2019,22:00:00,85,1009.24,5.6,1.60,29.72,0.20,1009.95,200,10.00,23.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.5,09-18-2019,22:00:00,86,1009.27,5.6,1.60,29.62,0.00,1009.97,100,7.00,23.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.8,09-18-2019,22:00:00,71,989.18,0.0,0.00,29.91,0.00,1010.20,000,10.00,24.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.1,09-18-2019,22:00:00,93,993.14,0.0,8.50,31.57,8.50,1009.95,000,7.00,24.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.0,09-18-2019,22:00:00,92,994.10,0.0,12.80,30.84,12.80,1010.65,000,6.00,24.6
