WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,WindSpeed,WindDirection,RelativeHumidity,AirTemperature,Rainfall24Hr,DewPoint,LandVisibility,VaporPressure,StationPressure,MeanSeaLevelPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-17-2019,10:00:00,0.00,0.0,000,70,30.3,0.00,24.1,10.00,30.06,982.59,1009.83
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-17-2019,10:00:00,0.00,0.0,000,71,29.0,0.00,23.2,12.00,28.37,976.74,1010.09
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-17-2019,10:00:00,0.00,0.0,000,71,31.1,0.00,25.2,5.00,31.97,990.94,1009.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-17-2019,10:00:00,0.00,0.0,000,72,30.4,0.00,24.7,10.00,31.11,987.09,1009.67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-17-2019,10:00:00,0.00,3.7,110,68,30.5,0.00,23.9,12.00,29.61,980.06,1009.61
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-17-2019,10:00:00,0.00,0.0,000,71,30.0,0.00,24.3,8.00,30.31,974.70,1009.86
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-17-2019,10:00:00,0.00,7.4,320,74,30.6,0.00,25.5,8.00,32.67,979.49,1008.84
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-17-2019,10:00:00,0.00,0.0,000,66,31.0,0.00,23.8,11.00,29.48,1002.38,1009.61
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-17-2019,10:00:00,0.00,5.6,160,68,32.4,0.00,25.8,15.00,33.25,989.22,1008.79
48353,LOEI,เลย,เลย,17.45000,101.73333,09-17-2019,10:00:00,0.00,3.7,060,65,30.6,0.00,23.4,7.00,28.70,981.17,1009.52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-17-2019,10:00:00,0.00,5.6,240,62,31.7,0.00,23.6,14.00,29.19,989.05,1008.93
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-17-2019,10:00:00,0.00,3.7,090,61,32.0,0.00,23.7,10.00,29.22,987.74,1009.14
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-17-2019,10:00:00,0.00,7.4,140,62,31.7,0.00,23.6,12.00,29.19,989.56,1008.77
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-17-2019,10:00:00,0.00,0.0,000,57,32.5,0.01,22.9,11.00,27.97,992.92,1009.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-17-2019,10:00:00,0.00,3.7,090,60,31.0,0.00,22.2,10.00,26.73,992.64,1009.86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-17-2019,10:00:00,0.00,9.3,060,62,32.3,0.00,24.0,15.00,29.83,982.57,1007.91
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-17-2019,10:00:00,0.00,3.7,150,85,30.0,1.70,27.2,10.00,36.14,1004.54,1010.29
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-17-2019,10:00:00,0.00,0.0,000,74,31.5,0.00,26.2,12.00,34.00,1003.16,1009.27
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-17-2019,10:00:00,0.00,0.0,000,69,30.8,0.00,24.5,12.00,30.78,993.56,1009.84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-17-2019,10:00:00,0.00,3.7,330,77,27.5,0.00,23.1,10.00,28.26,985.92,1008.22
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-17-2019,10:00:00,0.00,0.0,000,62,32.3,0.00,24.2,8.00,30.12,995.40,1009.57
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-17-2019,10:00:00,0.00,0.0,000,64,31.0,0.00,23.5,12.00,28.92,993.03,1009.24
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-17-2019,10:00:00,0.00,0.0,000,69,31.0,0.00,24.6,10.00,30.90,1004.23,1009.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-17-2019,10:00:00,0.00,0.0,000,69,31.1,0.00,24.7,12.00,31.10,995.01,1008.04
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-17-2019,10:00:00,0.00,0.0,000,66,32.0,0.00,24.9,12.00,31.52,999.96,1009.15
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-17-2019,10:00:00,0.00,14.8,090,59,32.0,0.00,23.0,10.00,28.10,987.76,1009.14
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-17-2019,10:00:00,0.00,3.7,210,61,32.5,0.00,23.9,12.00,29.66,991.72,1008.93
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-17-2019,10:00:00,0.00,3.7,040,63,31.8,0.00,23.8,12.00,29.39,992.89,1008.49
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-17-2019,10:00:00,0.00,0.0,000,70,31.5,0.00,25.3,9.00,32.22,989.55,1008.17
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-17-2019,10:00:00,0.00,0.0,000,70,27.2,0.00,21.2,9.00,25.13,959.45,1010.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-17-2019,10:00:00,0.00,3.7,340,70,32.0,0.00,25.8,5.00,33.29,1005.02,1008.92
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-17-2019,10:00:00,0.00,5.6,360,70,26.5,0.00,20.6,8.00,24.20,914.84,1008.59
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-17-2019,10:00:00,0.00,5.6,060,66,30.8,0.00,23.6,10.00,29.09,993.14,1008.96
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-17-2019,10:00:00,0.00,0.0,000,70,31.8,0.00,25.6,10.00,32.86,1004.77,1008.75
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-17-2019,10:00:00,0.00,0.0,000,62,31.6,0.00,23.5,10.00,28.99,999.56,1010.10
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-17-2019,10:00:00,0.00,5.6,190,69,31.0,0.00,24.6,10.00,30.90,1007.89,1009.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-17-2019,10:00:00,0.00,13.0,060,59,32.1,0.00,23.1,10.00,28.30,988.35,1008.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-17-2019,10:00:00,0.00,11.1,120,60,31.0,0.00,22.2,10.00,26.73,991.57,1009.04
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-17-2019,10:00:00,0.00,9.3,050,57,31.7,0.00,22.2,10.00,26.69,992.72,1008.66
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-17-2019,10:00:00,0.00,0.0,000,68,30.8,0.00,24.2,10.00,30.21,994.99,1008.87
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-17-2019,10:00:00,0.00,0.0,000,71,30.0,0.00,24.3,10.00,30.31,994.75,1009.46
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-17-2019,10:00:00,0.00,7.4,250,74,30.2,0.00,25.1,10.00,31.84,994.40,1008.95
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-17-2019,10:00:00,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",68,31.8,0.60,25.2,10.00,31.97,1005.82,1008.79
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-17-2019,10:00:00,0.00,11.1,230,76,30.6,0.00,26.0,10.00,33.55,1001.05,1008.92
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-17-2019,10:00:00,0.00,5.6,050,76,30.4,16.80,25.8,8.00,33.13,1007.71,1008.81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-17-2019,10:00:00,0.00,0.0,000,61,30.5,0.00,22.1,8.00,26.60,994.66,1009.21
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-17-2019,10:00:00,0.00,0.0,000,95,21.7,3.60,20.9,6.00,24.75,875.16,1009.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-17-2019,10:00:00,0.00,0.0,000,72,31.0,0.00,25.4,10.00,32.34,1003.11,1008.92
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-17-2019,10:00:00,0.00,0.0,000,72,31.8,14.60,26.2,9.00,34.05,1008.47,1009.26
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-17-2019,10:00:00,0.00,0.0,000,68,31.4,0.20,24.7,10.00,31.14,1008.45,1008.89
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-17-2019,10:00:00,0.00,0.0,000,69,31.5,1.20,25.1,10.00,31.93,998.17,1009.33
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-17-2019,10:00:00,0.00,0.0,000,72,31.7,0.30,26.1,12.00,33.83,1008.43,1009.43
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-17-2019,10:00:00,0.00,0.0,000,70,30.6,44.60,24.5,13.00,30.66,1007.57,1009.37
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-17-2019,10:00:00,0.00,0.0,000,74,31.2,0.00,26.0,9.00,33.65,1008.31,1009.06
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-17-2019,10:00:00,0.00,9.3,020,75,30.5,24.00,25.6,9.00,32.75,1008.07,1008.76
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-17-2019,10:00:00,0.00,0.0,000,76,30.5,0.00,25.7,7.00,33.05,1008.15,1008.85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-17-2019,10:00:00,0.00,3.7,010,61,31.8,0.00,23.4,12.00,28.82,987.87,1008.73
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-17-2019,10:00:00,0.00,0.0,000,71,30.8,0.00,25.0,10.00,31.64,992.65,1009.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-17-2019,10:00:00,0.00,0.0,000,75,30.0,0.00,25.0,10.00,31.72,993.18,1009.49
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-17-2019,10:00:00,0.00,0.0,000,69,30.6,0.00,24.3,10.00,30.38,987.40,1009.04
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-17-2019,10:00:00,0.00,7.4,260,75,28.5,21.50,23.6,10.00,29.05,966.16,1009.28
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-17-2019,10:00:00,0.00,3.7,270,67,30.7,0.00,23.9,12.00,29.73,988.70,1009.05
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-17-2019,10:00:00,0.00,7.4,020,79,30.1,0.00,26.0,9.00,33.67,990.25,1010.93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-17-2019,10:00:00,0.00,9.3,240,74,29.7,2.80,24.6,10.00,30.83,1008.61,1009.04
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-17-2019,10:00:00,0.00,0.0,000,84,29.1,2.40,26.1,11.00,33.91,1007.22,1008.63
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-17-2019,10:00:00,0.00,0.0,000,82,29.6,0.01,26.1,8.00,33.79,1004.15,1009.05
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-17-2019,10:00:00,0.00,0.0,000,64,32.0,0.00,24.5,12.00,30.65,1005.99,1009.23
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-17-2019,10:00:00,0.00,0.0,000,70,31.0,0.00,24.9,10.00,31.47,1008.11,1009.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-17-2019,10:00:00,0.00,9.3,270,75,30.4,17.00,25.5,8.00,32.55,1008.88,1009.18
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-17-2019,10:00:00,0.00,7.4,250,70,30.5,15.30,24.5,10.00,30.74,1008.23,1008.91
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-17-2019,10:00:00,0.00,3.7,150,76,30.3,34.50,25.6,10.00,32.92,1007.94,1008.42
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-17-2019,10:00:00,0.00,9.3,220,73,30.6,0.01,25.2,10.00,32.09,1007.99,1009.38
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-17-2019,10:00:00,0.00,9.3,330,87,30.3,0.00,28.0,4.00,37.72,1007.68,1009.35
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-17-2019,10:00:00,0.00,0.0,000,77,29.6,0.00,25.2,10.00,32.05,1002.79,1010.76
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-17-2019,10:00:00,0.00,7.4,280,78,30.5,0.20,26.3,10.00,34.22,1008.60,1008.88
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-17-2019,10:00:00,0.00,5.6,300,78,30.5,0.00,26.3,10.00,34.22,1005.89,1009.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-17-2019,10:00:00,0.00,5.6,300,82,29.6,0.00,26.1,8.00,33.79,1002.19,1009.09
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-17-2019,10:00:00,0.00,0.0,000,76,30.3,0.20,25.6,10.00,32.92,1004.00,1009.55
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-17-2019,10:00:00,4.50,0.0,000,89,28.8,4.50,26.8,9.00,35.33,1001.16,1010.45
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-17-2019,10:00:00,0.00,0.0,000,77,28.9,0.70,24.5,14.00,30.65,1008.74,1009.99
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-17-2019,10:00:00,0.00,0.0,000,75,29.0,0.00,24.1,11.00,30.01,1009.10,1009.53
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-17-2019,10:00:00,0.00,3.7,250,65,30.5,0.00,23.2,10.00,28.50,997.14,1009.29
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-17-2019,10:00:00,0.00,9.3,280,56,32.8,0.00,23.0,12.00,28.00,1008.17,1008.87
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-17-2019,10:00:00,0.00,7.4,180,71,31.5,0.01,25.6,10.00,32.81,1006.38,1008.79
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-17-2019,10:00:00,0.00,9.3,240,76,29.5,0.30,24.8,10.00,31.28,1009.15,1009.66
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-17-2019,10:00:00,0.00,1.9,210,82,29.0,1.10,25.6,12.00,32.83,1003.98,1009.11
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-17-2019,10:00:00,0.00,7.4,160,85,28.8,4.90,26.0,8.00,33.57,1009.05,1009.46
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-17-2019,10:00:00,2.70,0.0,000,92,27.5,10.70,26.1,8.00,33.78,1007.20,1009.97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-17-2019,10:00:00,0.00,3.7,210,71,28.8,4.70,22.9,10.00,28.00,1009.17,1009.95
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-17-2019,10:00:00,4.00,5.6,070,94,25.9,49.60,24.9,6.00,31.46,1009.79,1010.25
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-17-2019,10:00:00,6.00,7.4,250,92,25.0,13.70,23.5,8.00,29.00,1010.16,1010.85
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-17-2019,10:00:00,4.80,3.7,270,84,27.0,7.00,24.1,7.00,30.02,1009.18,1010.72
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-17-2019,10:00:00,23.20,5.6,200,94,24.5,96.20,23.5,7.00,28.89,1011.09,1012.01
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-17-2019,10:00:00,0.00,14.8,300,81,28.0,1.40,24.4,12.00,30.56,1010.38,1011.06
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-17-2019,10:00:00,0.01,0.0,000,87,27.0,0.01,24.5,8.00,30.83,1010.56,1011.36
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-17-2019,10:00:00,0.00,0.0,000,67,30.3,0.20,23.5,10.00,28.94,1009.96,1010.59
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-17-2019,10:00:00,0.00,0.0,000,77,31.0,3.20,26.4,10.00,34.41,1010.20,1010.60
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-17-2019,10:00:00,0.00,0.0,000,75,28.5,0.00,23.6,7.00,29.05,1008.67,1012.88
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-17-2019,10:00:00,0.00,3.7,240,75,29.2,4.80,24.3,12.00,30.40,1009.36,1010.96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-17-2019,10:00:00,0.00,0.0,000,74,30.5,14.30,25.3,12.00,32.17,1007.64,1011.08
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-17-2019,10:00:00,0.00,3.7,310,73,29.8,0.00,24.4,10.00,30.47,1009.39,1010.74
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-17-2019,10:00:00,0.00,0.0,000,77,29.4,8.60,25.0,10.00,31.65,1009.86,1010.74
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-17-2019,10:00:00,0.00,0.0,000,70,30.3,6.00,24.3,10.00,30.34,1007.19,1010.73
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-17-2019,10:00:00,0.00,11.1,260,68,30.1,3.80,23.6,10.00,29.11,1010.49,1010.92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-17-2019,10:00:00,0.00,7.4,260,68,30.5,5.20,23.9,9.00,29.61,1009.75,1010.73
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-17-2019,10:00:00,12.40,0.0,000,86,25.3,12.40,22.8,10.00,27.72,1010.54,1011.36
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-17-2019,10:00:00,0.00,7.4,310,76,30.1,0.00,25.3,10.00,32.21,1009.49,1011.29
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-17-2019,10:00:00,0.00,5.6,240,66,30.1,0.00,23.1,11.00,28.28,1010.47,1011.22
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-17-2019,10:00:00,0.00,9.3,230,82,27.6,0.20,24.3,10.00,30.34,1008.02,1012.03
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-17-2019,10:00:00,2.30,0.0,000,84,27.8,51.60,24.8,10.00,31.28,1010.66,1011.34
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-17-2019,10:00:00,0.00,5.6,210,69,29.3,0.00,23.0,12.00,28.12,1010.92,1012.04
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-17-2019,10:00:00,0.00,3.7,170,90,26.9,5.50,25.0,10.00,31.74,1008.89,1011.82
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-17-2019,10:00:00,0.00,0.0,000,73,30.3,0.70,24.9,12.00,31.48,1009.86,1010.55
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-17-2019,10:00:00,0.00,5.6,210,68,30.5,0.00,24.0,10.00,29.89,1007.64,1011.73
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-17-2019,10:00:00,0.00,0.0,000,75,30.0,0.00,25.0,10.00,31.72,1010.45,1011.04
