WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,Rainfall24Hr
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.6,08-31-2019,10:00:00,0.00,29.2,230,7.4,30.96,998.90,1006.85,10.00,76,3.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.7,08-31-2019,10:00:00,0.00,30.5,150,11.1,29.33,1004.75,1005.04,10.00,67,0.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.4,08-31-2019,10:00:00,0.00,29.7,280,5.6,30.55,1002.18,1005.28,10.00,73,0.01
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.1,08-31-2019,10:00:00,0.00,30.0,240,7.4,30.03,998.72,1005.58,10.00,71,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.5,08-31-2019,10:00:00,0.00,30.5,280,5.6,30.74,1000.24,1005.77,10.00,70,0.80
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.1,08-31-2019,10:00:00,0.00,30.4,230,7.4,33.72,996.85,1006.05,10.00,78,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.2,08-31-2019,10:00:00,0.01,29.1,000,0.0,30.21,1004.11,1005.36,12.00,75,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.6,08-31-2019,10:00:00,0.01,29.9,150,7.4,30.95,1004.66,1005.09,11.00,73,0.01
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.0,08-31-2019,10:00:00,0.60,27.3,000,0.0,31.69,993.65,1005.88,8.00,87,1.20
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.9,08-31-2019,10:00:00,0.00,29.0,240,7.4,31.41,1005.07,1005.78,10.00,78,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.2,08-31-2019,10:00:00,0.00,31.1,230,18.5,30.25,1003.73,1006.13,10.00,67,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.5,08-31-2019,10:00:00,0.01,29.5,250,37.0,30.72,1005.83,1006.35,10.00,75,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.9,08-31-2019,10:00:00,0.01,29.5,230,5.6,29.60,1000.96,1006.07,10.00,72,0.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.8,08-31-2019,10:00:00,0.20,30.8,220,11.1,31.35,1006.48,1006.89,8.00,71,5.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.7,08-31-2019,10:00:00,3.40,29.8,210,14.8,31.03,1004.94,1007.69,8.00,74,6.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.5,08-31-2019,10:00:00,0.00,27.8,180,11.1,30.72,1008.34,1009.13,10.00,82,16.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.7,08-31-2019,10:00:00,0.20,28.4,250,9.3,33.04,1007.46,1007.92,7.00,85,11.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.1,08-31-2019,10:00:00,0.40,27.7,200,11.1,29.98,1007.29,1007.97,8.00,81,47.60
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,08-31-2019,10:00:00,1.00,27.2,230,5.6,29.85,1006.37,1007.90,9.00,83,40.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.6,08-31-2019,10:00:00,8.10,25.2,200,5.6,29.10,1008.31,1009.24,7.00,91,57.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.0,08-31-2019,10:00:00,0.00,30.0,320,7.4,29.75,1007.39,1008.07,10.00,70,1.40
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.7,08-31-2019,10:00:00,0.00,28.5,210,7.4,32.96,1007.81,1008.60,10.00,85,5.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.1,08-31-2019,10:00:00,0.00,31.1,200,7.4,29.96,1006.97,1007.60,10.00,66,4.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.6,08-31-2019,10:00:00,0.00,31.2,200,18.5,32.76,1007.99,1008.39,10.00,72,2.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,08-31-2019,10:00:00,0.00,30.0,230,9.3,28.91,1006.00,1010.18,6.00,68,0.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.6,08-31-2019,10:00:00,0.00,28.0,000,0.0,29.19,1007.65,1009.26,10.00,77,9.70
