WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,VaporPressure,WindSpeed,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection,DewPoint
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-12-2019,19:00:00,83,28.0,31.39,0.0,0.00,9.00,1008.69,993.89,34.3,000,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.20,10-12-2019,19:00:00,89,29.5,36.55,0.0,0.20,8.00,1008.47,993.90,33.5,000,27.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-12-2019,19:00:00,71,31.9,33.67,0.0,0.00,8.00,1007.37,1004.40,35.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,4.60,10-12-2019,19:00:00,93,24.8,29.16,0.0,4.60,7.00,1008.05,1000.04,35.1,000,23.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-12-2019,19:00:00,85,27.2,30.67,5.6,0.00,8.00,1009.83,1008.72,35.3,080,24.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-12-2019,19:00:00,83,29.3,33.74,3.7,0.00,9.00,1009.44,994.83,30.6,090,26.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-12-2019,19:00:00,97,18.8,21.03,5.6,26.60,8.00,1011.80,875.87,26.5,170,18.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,14.80,10-12-2019,19:00:00,97,24.7,30.03,0.0,15.00,10.00,1009.03,1003.10,35.5,000,24.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-12-2019,19:00:00,81,29.0,32.55,7.4,0.00,6.00,1008.52,1007.73,35.5,100,25.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-12-2019,19:00:00,75,29.4,30.80,3.7,1.10,8.00,1008.49,1008.04,31.8,210,24.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-12-2019,19:00:00,78,29.4,31.93,0.0,0.00,7.00,1008.22,997.00,35.8,000,25.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,2.80,10-12-2019,19:00:00,90,29.2,36.49,0.0,2.80,7.00,1008.12,1007.11,35.5,000,27.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.40,10-12-2019,19:00:00,83,27.0,29.75,5.6,0.40,7.00,1008.83,1007.01,34.7,140,24.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-12-2019,19:00:00,85,29.5,35.05,0.0,0.00,8.00,1007.73,1006.97,34.6,000,26.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1.60,10-12-2019,19:00:00,92,26.9,32.58,18.5,1.60,5.00,1009.04,1008.33,32.5,080,25.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.30,10-12-2019,19:00:00,85,27.9,32.03,0.0,0.40,10.00,1008.43,1007.73,35.0,000,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-12-2019,19:00:00,87,26.2,29.60,0.0,0.01,10.00,1009.08,987.83,32.7,000,23.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-12-2019,19:00:00,86,26.9,30.64,0.0,6.30,8.00,1008.88,992.13,32.8,000,24.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-12-2019,19:00:00,88,26.7,30.81,0.0,9.30,7.00,1009.49,993.00,32.7,000,24.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,10-12-2019,19:00:00,92,26.0,30.84,0.0,0.01,10.00,1009.08,987.11,33.7,000,24.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.40,10-12-2019,19:00:00,93,22.8,25.76,9.3,4.30,5.00,1010.01,966.04,32.0,050,21.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-12-2019,19:00:00,95,25.2,30.42,0.0,0.01,8.00,1008.98,988.26,31.8,000,24.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-12-2019,19:00:00,100,24.7,31.10,11.1,29.80,9.00,1010.50,989.46,33.0,220,24.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-12-2019,19:00:00,75,30.8,33.09,0.0,0.00,10.00,1008.42,1007.99,32.4,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-12-2019,19:00:00,90,27.0,31.94,0.0,0.80,8.00,1008.42,1007.00,33.5,000,25.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-12-2019,19:00:00,94,27.0,33.34,0.0,0.90,8.00,1008.42,1003.48,33.2,000,25.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-12-2019,19:00:00,77,30.7,34.06,3.7,0.01,10.00,1007.75,1004.50,33.8,310,26.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-12-2019,19:00:00,83,29.9,35.02,0.0,0.00,10.00,1008.44,1007.34,34.8,000,26.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-12-2019,19:00:00,74,30.5,32.17,9.3,0.00,10.00,1008.71,1008.42,33.6,130,25.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-12-2019,19:00:00,69,30.9,30.98,7.4,0.00,10.00,1008.91,1008.23,34.2,170,24.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-12-2019,19:00:00,69,31.6,31.85,3.7,0.00,10.00,1008.87,1008.39,34.5,140,25.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-12-2019,19:00:00,62,31.0,27.82,11.1,0.01,10.00,1008.64,1007.24,33.7,120,22.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-12-2019,19:00:00,71,29.5,29.33,13.0,0.00,10.00,1008.91,1007.24,30.8,180,23.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,10-12-2019,19:00:00,88,27.0,31.38,0.0,5.40,10.00,1010.61,1002.58,33.5,000,24.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-12-2019,19:00:00,81,29.6,33.50,0.0,4.50,4.00,1007.92,1007.64,33.8,000,25.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-12-2019,19:00:00,83,28.5,32.39,0.0,15.90,10.00,1008.30,1005.18,32.5,000,25.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.10,10-12-2019,19:00:00,81,28.5,31.54,0.0,24.30,10.00,1008.47,1001.55,31.4,000,24.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-12-2019,19:00:00,84,28.6,32.88,0.0,0.00,10.00,1009.11,1003.53,33.3,000,25.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-12-2019,19:00:00,78,28.4,30.23,9.3,65.90,10.00,1009.45,1000.16,32.2,220,24.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-12-2019,19:00:00,80,29.9,33.54,0.0,0.00,10.00,1008.94,1007.69,34.0,000,26.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-12-2019,19:00:00,72,31.0,32.34,11.1,0.10,11.00,1008.14,1007.72,34.8,170,25.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-12-2019,19:00:00,82,28.8,32.42,0.0,0.00,8.00,1008.54,996.34,33.2,000,25.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-12-2019,19:00:00,75,30.0,32.01,7.4,0.00,10.00,1008.32,1007.61,31.6,170,25.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,10-12-2019,19:00:00,79,29.2,31.81,0.0,0.01,8.00,1008.44,1006.02,33.5,000,25.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.20,10-12-2019,19:00:00,79,29.2,31.81,5.6,0.20,9.00,1008.53,1008.01,32.2,240,25.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.80,10-12-2019,19:00:00,79,27.8,29.36,0.0,1.50,8.00,1008.79,1003.64,32.7,000,23.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-12-2019,19:00:00,89,26.8,31.27,0.0,0.00,7.00,1009.05,1008.64,32.8,000,24.8
