WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindDirection,DewPoint,Rainfall24Hr,WindSpeed,RelativeHumidity,LandVisibility,Rainfall,MeanSeaLevelPressure,VaporPressure
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.9,09-27-2019,04:00:00,1007.54,290,25.0,0.00,3.7,95,6.00,0.00,1013.39,31.74
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.9,09-27-2019,04:00:00,1006.65,000,25.0,0.00,0.0,95,6.00,0.00,1012.90,31.74
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.2,09-27-2019,04:00:00,998.36,000,22.1,0.00,0.0,88,8.00,0.00,1015.08,26.59
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.0,09-27-2019,04:00:00,990.02,090,22.5,0.00,3.7,91,8.00,0.00,1012.68,27.25
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.0,09-27-2019,04:00:00,1000.17,000,23.5,0.00,0.0,92,5.00,0.00,1014.76,29.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.0,09-27-2019,04:00:00,997.45,000,22.7,0.00,0.0,92,7.00,0.00,1014.11,27.51
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.8,09-27-2019,04:00:00,1008.64,000,24.6,0.00,0.0,93,10.00,0.00,1013.93,31.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.6,09-27-2019,04:00:00,999.47,000,23.0,0.00,0.0,91,10.00,0.00,1012.84,28.03
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.7,09-27-2019,04:00:00,1004.13,000,24.1,0.00,0.0,91,6.00,0.00,1013.55,30.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.1,09-27-2019,04:00:00,992.54,100,20.4,0.00,7.4,80,8.00,0.00,1014.60,23.97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.3,09-27-2019,04:00:00,997.23,000,22.4,0.00,0.0,89,10.00,0.00,1015.03,27.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.0,09-27-2019,04:00:00,998.49,000,20.1,0.00,0.0,79,10.00,0.00,1014.60,23.58
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.4,09-27-2019,04:00:00,994.71,060,21.9,0.00,1.9,91,7.00,0.00,1013.95,26.25
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.2,09-27-2019,04:00:00,962.11,000,18.6,0.00,0.0,91,5.00,0.00,1014.65,21.41
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.0,09-27-2019,04:00:00,1009.53,040,25.9,0.00,1.9,94,3.00,0.00,1013.52,33.34
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.7,09-27-2019,04:00:00,918.90,000,18.2,0.00,0.0,97,1.50,0.00,1015.67,20.90
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.7,09-27-2019,04:00:00,998.28,000,20.6,0.00,0.0,83,8.00,0.00,1014.56,24.30
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.0,09-27-2019,04:00:00,1009.12,000,25.0,0.00,0.0,94,6.00,0.00,1013.19,31.65
