WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,DewPoint,VaporPressure,Rainfall24Hr,WindSpeed,Rainfall,RelativeHumidity,WindDirection,LandVisibility,AirTemperature,StationPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-08-2019,22:00:00,1013.62,23.9,29.64,5.70,0.0,0.00,91,000,10.00,25.5,985.84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-08-2019,22:00:00,1013.44,23.0,28.14,0.00,0.0,0.00,88,000,8.00,25.1,979.55
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-08-2019,22:00:00,1012.64,25.1,31.77,0.00,1.9,0.00,88,180,6.00,27.2,994.08
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-08-2019,22:00:00,1013.30,22.7,27.63,0.00,0.0,0.00,85,000,10.00,25.4,990.26
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-08-2019,22:00:00,1013.49,21.5,25.68,0.00,0.0,0.00,90,000,8.00,23.2,983.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-08-2019,22:00:00,1013.72,21.9,26.34,0.00,0.0,0.00,87,000,8.00,24.2,977.75
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-08-2019,22:00:00,1012.57,23.4,28.75,0.00,0.0,0.00,89,000,6.00,25.3,982.59
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-08-2019,22:00:00,1013.12,21.7,26.02,0.00,0.0,0.00,69,000,8.00,28.0,1005.80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-08-2019,22:00:00,1013.59,24.2,30.17,9.40,5.6,9.40,93,060,6.00,25.5,993.48
48353,LOEI,เลย,เลย,17.45000,101.73333,10-08-2019,22:00:00,1012.67,24.2,30.26,0.00,0.0,0.00,86,000,8.00,26.7,983.87
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-08-2019,22:00:00,1013.52,21.5,25.65,0.00,5.6,0.00,70,040,12.00,27.5,993.26
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-08-2019,22:00:00,1013.40,24.3,30.46,0.00,0.0,0.00,92,000,10.00,25.8,991.47
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-08-2019,22:00:00,1012.74,23.6,29.08,0.01,3.7,0.00,84,180,10.00,26.5,993.12
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-08-2019,22:00:00,1013.57,24.2,30.17,10.60,0.0,0.00,93,000,12.00,25.5,996.64
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-08-2019,22:00:00,1013.81,23.7,29.25,7.50,0.0,0.00,94,000,10.00,24.7,996.16
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-08-2019,22:00:00,1010.75,23.0,28.10,0.00,9.3,0.00,76,070,10.00,27.7,984.96
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-08-2019,22:00:00,1012.26,26.0,33.66,0.00,0.0,0.00,89,000,8.00,28.0,1006.46
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-08-2019,22:00:00,1012.44,25.8,33.21,0.00,0.0,0.00,90,000,7.00,27.5,1006.23
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-08-2019,22:00:00,1013.59,24.6,30.84,0.10,0.0,0.01,92,000,10.00,26.0,996.99
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-08-2019,22:00:00,1011.82,23.1,28.18,0.00,0.0,0.00,84,000,10.00,26.0,989.33
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-08-2019,22:00:00,1014.01,24.6,30.84,0.60,0.0,0.00,92,000,10.00,26.0,999.48
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-08-2019,22:00:00,1013.68,22.3,26.84,5.60,0.0,2.50,87,000,7.00,24.5,997.05
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-08-2019,22:00:00,1013.20,24.1,30.10,1.90,0.0,0.00,85,000,10.00,26.9,1007.94
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-08-2019,22:00:00,1011.88,24.6,30.92,0.70,0.0,0.00,93,000,10.00,25.9,998.57
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-08-2019,22:00:00,1013.25,23.1,28.31,4.70,1.9,0.00,80,150,11.00,26.8,1003.86
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-08-2019,22:00:00,1012.58,24.1,30.04,0.00,3.7,0.00,78,360,7.00,28.3,990.87
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-08-2019,22:00:00,1012.99,25.9,33.37,0.00,0.0,0.00,88,000,8.00,28.0,995.45
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-08-2019,22:00:00,1012.31,24.3,30.32,0.10,3.7,0.00,96,040,10.00,25.0,996.29
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-08-2019,22:00:00,1011.56,24.3,30.45,0.00,0.0,0.00,86,000,8.00,26.8,992.58
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-08-2019,22:00:00,1013.19,21.5,25.68,0.00,0.0,0.00,90,000,7.00,23.2,961.24
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-08-2019,22:00:00,1012.96,24.2,30.28,0.90,0.0,0.01,92,000,5.00,25.7,1008.97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-08-2019,22:00:00,1014.74,19.1,22.16,1.70,0.0,0.00,94,000,6.00,20.1,918.49
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-08-2019,22:00:00,1012.56,24.4,30.56,0.00,0.0,0.00,86,000,8.00,27.0,996.49
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-08-2019,22:00:00,1013.15,24.4,30.48,30.20,0.0,0.00,97,000,6.00,24.8,1009.06
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-08-2019,22:00:00,1013.76,23.1,28.28,30.00,0.0,3.00,93,000,7.00,24.3,1002.92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-08-2019,22:00:00,1013.39,22.5,27.29,0.01,1.9,0.01,84,300,6.00,25.5,1011.44
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-08-2019,22:00:00,1012.40,24.3,30.37,0.00,0.0,0.00,76,000,10.00,28.9,991.56
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-08-2019,22:00:00,1012.64,22.1,26.65,0.00,0.0,0.00,77,000,10.00,26.6,994.86
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-08-2019,22:00:00,1012.19,23.0,28.02,0.00,0.0,0.00,75,000,10.00,27.8,995.99
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-08-2019,22:00:00,1012.02,25.0,31.66,0.00,0.0,0.00,80,000,10.00,28.7,998.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-08-2019,22:00:00,1012.61,24.8,31.38,0.00,0.0,0.00,88,000,8.00,27.0,997.70
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-08-2019,22:00:00,1012.28,27.1,35.81,0.00,0.0,0.00,98,000,6.00,27.5,997.56
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-08-2019,22:00:00,1012.67,24.5,30.69,28.10,0.0,0.90,96,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,25.2,1009.62
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-08-2019,22:00:00,1013.07,24.2,30.28,6.20,0.0,2.10,92,000,7.00,25.7,1005.04
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-08-2019,22:00:00,1012.49,24.3,30.46,2.60,0.0,0.00,92,000,6.00,25.8,1011.37
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-08-2019,22:00:00,1013.25,23.1,28.29,0.00,0.0,0.00,82,000,8.00,26.5,998.45
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-08-2019,22:00:00,1013.96,18.6,21.47,10.60,7.4,0.00,90,140,8.00,20.4,878.43
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-08-2019,22:00:00,1013.21,24.3,30.32,4.20,0.0,0.80,96,000,10.00,25.0,1007.25
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-08-2019,22:00:00,1012.74,25.2,32.05,0.30,5.6,0.00,89,060,8.00,27.2,1011.93
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-08-2019,22:00:00,1012.66,24.6,30.84,5.70,14.8,5.70,92,150,7.00,26.0,1012.21
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-08-2019,22:00:00,1013.39,24.1,30.07,13.90,0.0,0.00,93,000,6.00,25.3,1001.95
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-08-2019,22:00:00,1013.11,23.2,28.47,0.00,0.0,0.00,82,000,8.00,26.6,1012.09
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-08-2019,22:00:00,1013.11,23.8,29.42,24.50,0.0,0.00,94,000,7.00,24.8,1011.26
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-08-2019,22:00:00,1012.17,22.8,27.77,0.00,0.0,0.00,80,000,7.00,26.5,1011.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-08-2019,22:00:00,1013.19,23.8,29.45,0.01,14.8,0.01,84,140,10.00,26.7,1012.48
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-08-2019,22:00:00,1012.40,24.3,30.45,0.00,3.7,0.00,82,150,7.00,27.8,1011.69
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-08-2019,22:00:00,1013.15,24.1,29.97,0.00,0.0,0.00,87,000,8.00,26.4,991.83
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-08-2019,22:00:00,1012.45,24.8,31.24,0.00,0.0,0.00,90,000,7.00,26.5,995.62
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-08-2019,22:00:00,1012.73,24.8,31.22,0.00,0.0,0.00,92,000,7.00,26.2,996.16
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-08-2019,22:00:00,1012.76,23.2,28.41,0.01,0.0,0.00,88,000,10.00,25.4,990.67
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-08-2019,22:00:00,1013.03,21.6,25.77,0.01,7.4,0.00,79,070,6.00,25.5,969.32
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-08-2019,22:00:00,1012.68,25.3,32.20,0.80,0.0,0.20,96,000,10.00,26.0,991.94
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-08-2019,22:00:00,1014.15,25.9,33.51,0.00,9.3,0.00,99,200,8.00,26.1,993.13
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-08-2019,22:00:00,1012.72,24.9,31.42,13.50,0.0,0.00,82,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,28.3,1012.29
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-08-2019,22:00:00,1012.44,24.7,31.06,23.70,0.0,0.00,96,000,6.00,25.4,1011.01
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-08-2019,22:00:00,1013.01,24.4,30.63,0.00,0.0,0.00,93,000,7.00,25.6,1008.03
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-08-2019,22:00:00,1012.98,24.1,29.96,0.00,0.0,0.00,77,000,7.00,28.4,1009.69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-08-2019,22:00:00,1012.79,24.9,31.56,0.00,3.7,0.00,84,350,10.00,27.8,1011.68
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-08-2019,22:00:00,1012.95,24.4,30.64,0.20,5.6,0.01,86,140,9.00,26.9,1012.65
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-08-2019,22:00:00,1012.49,24.1,30.02,0.00,1.9,0.00,84,120,8.00,27.0,1012.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-08-2019,22:00:00,1012.81,23.9,29.60,0.20,11.1,0.00,81,150,10.00,27.5,1011.39
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-08-2019,22:00:00,1014.66,23.6,29.16,2.50,0.0,2.20,93,000,10.00,24.8,1006.54
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-08-2019,22:00:00,1012.50,24.3,30.32,23.20,0.0,6.50,96,000,2.00,25.0,1012.21
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-08-2019,22:00:00,1012.47,24.1,29.95,83.50,0.0,6.50,96,000,10.00,24.8,1009.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-08-2019,22:00:00,1012.72,22.6,27.37,10.90,9.3,0.00,86,070,10.00,25.1,1005.69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-08-2019,22:00:00,1012.48,24.5,30.76,0.00,0.0,0.00,91,000,10.00,26.1,1006.84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-08-2019,22:00:00,1012.78,23.7,29.28,24.50,3.7,10.20,91,230,4.00,25.3,1011.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-08-2019,22:00:00,1013.11,23.1,28.23,15.70,0.0,14.00,88,000,11.00,25.3,1012.67
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-08-2019,22:00:00,1013.17,23.1,28.31,0.00,0.0,0.00,88,000,8.00,25.2,1000.76
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-08-2019,22:00:00,1013.11,24.9,31.51,0.00,3.7,0.00,82,010,7.00,28.2,1012.40
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-08-2019,22:00:00,1014.98,23.7,29.23,35.00,13.0,0.00,87,350,8.00,26.0,1012.52
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-08-2019,22:00:00,1012.77,23.7,29.29,0.01,11.1,0.01,89,010,10.00,25.6,1012.25
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-08-2019,22:00:00,1012.95,23.0,28.06,4.60,5.6,0.20,88,090,8.00,25.2,1007.74
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-08-2019,22:00:00,1012.66,24.8,31.38,0.80,0.0,0.00,88,000,7.00,27.0,1012.24
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-08-2019,22:00:00,1013.17,24.6,30.87,6.30,0.0,0.00,96,000,8.00,25.3,1010.37
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-08-2019,22:00:00,1012.96,24.9,31.44,0.20,0.0,0.00,85,000,10.00,27.6,1012.17
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-08-2019,22:00:00,1012.96,24.2,30.23,6.20,3.7,0.10,95,070,6.00,25.1,1012.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-08-2019,22:00:00,1012.66,24.4,30.59,11.20,0.0,0.30,84,000,7.00,27.3,1011.97
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-08-2019,22:00:00,1012.60,25.4,32.38,2.20,0.0,2.00,92,000,8.00,26.8,1011.06
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-08-2019,22:00:00,1012.82,23.9,29.66,0.00,0.0,0.00,89,000,10.00,25.8,1011.89
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-08-2019,22:00:00,1012.61,25.6,32.80,1.40,0.0,0.00,87,000,10.00,28.0,1011.92
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-08-2019,22:00:00,1012.69,25.1,31.96,0.00,0.0,0.00,93,000,9.00,26.3,1011.89
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-08-2019,22:00:00,1012.32,24.9,31.52,1.30,5.6,0.00,91,270,10.00,26.5,1011.68
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-08-2019,22:00:00,1012.38,25.5,32.54,0.40,0.0,0.40,93,000,10.00,26.6,1011.98
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-08-2019,22:00:00,1013.94,24.3,30.44,12.00,0.0,0.00,93,000,6.00,25.5,1009.68
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-08-2019,22:00:00,1012.29,24.3,30.38,0.80,0.0,0.00,98,000,7.00,24.6,1010.66
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-08-2019,22:00:00,1012.31,24.6,30.85,11.30,0.0,0.30,97,000,7.00,25.0,1008.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-08-2019,22:00:00,1013.23,24.4,30.56,0.00,0.0,0.00,81,000,10.00,28.0,1011.87
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-08-2019,22:00:00,1011.95,24.0,29.77,5.50,0.0,5.50,96,000,10.00,24.7,1011.05
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-08-2019,22:00:00,1012.12,24.3,30.32,2.20,0.0,0.00,96,000,10.00,25.0,1008.52
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-08-2019,22:00:00,1010.90,25.3,32.20,3.00,0.0,3.00,96,000,8.00,26.0,1010.46
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-08-2019,22:00:00,1011.65,24.1,30.07,13.00,0.0,13.00,93,000,9.00,25.3,1010.64
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-08-2019,22:00:00,1010.75,23.1,28.19,0.00,9.3,0.00,82,080,10.00,26.3,1009.93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-08-2019,22:00:00,1012.34,24.5,30.81,0.00,0.0,0.00,93,000,10.00,25.7,1010.51
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-08-2019,22:00:00,1012.57,23.6,29.05,0.01,1.9,0.00,75,280,10.00,28.5,1011.82
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-08-2019,22:00:00,1012.66,24.9,31.46,0.01,9.3,0.01,94,100,10.00,25.9,1008.63
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-08-2019,22:00:00,1013.44,24.8,31.25,40.00,0.0,0.00,96,000,10.00,25.5,1012.75
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-08-2019,22:00:00,1011.90,24.6,30.89,0.00,0.0,0.00,84,000,10.00,27.6,1010.78
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-08-2019,22:00:00,1012.45,25.1,31.79,3.00,0.0,3.00,92,000,10.00,26.5,1009.51
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-08-2019,22:00:00,1011.82,25.0,31.76,28.30,0.0,0.00,93,000,8.00,26.2,1011.12
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-08-2019,22:00:00,1013.10,25.2,32.07,4.60,0.0,0.00,98,000,6.00,25.5,1008.94
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-08-2019,22:00:00,1011.89,24.1,30.09,0.00,0.0,0.00,80,000,10.00,27.9,1011.30
