WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,StationPressure,VaporPressure,MeanSeaLevelPressure,WindDirection,DewPoint,RelativeHumidity,LandVisibility,WindSpeed,AirTemperature
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-15-2019,01:00:00,0.00,1010.57,27.87,1011.50,000,22.9,89,10.00,0.0,24.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-15-2019,01:00:00,15.30,1010.58,32.55,1011.27,090,25.5,81,10.00,11.1,29.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-15-2019,01:00:00,1.30,1010.19,30.32,1011.00,000,24.3,96,7.00,0.0,25.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.40,10-15-2019,01:00:00,23.90,1010.49,30.20,1011.13,300,24.2,98,10.00,5.6,24.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-15-2019,01:00:00,7.60,1010.69,30.42,1011.10,000,24.3,95,10.00,0.0,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-15-2019,01:00:00,8.30,1009.41,29.04,1013.69,000,23.6,97,5.00,0.0,24.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-15-2019,01:00:00,0.00,1008.74,29.69,1010.36,000,23.9,95,7.00,0.0,24.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-15-2019,01:00:00,0.00,1006.95,28.53,1010.47,000,23.3,96,10.00,0.0,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-15-2019,01:00:00,0.80,1010.34,28.45,1011.24,000,23.2,93,10.00,0.0,24.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-15-2019,01:00:00,0.00,1007.96,28.48,1011.56,000,23.2,90,10.00,0.0,25.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-15-2019,01:00:00,30.40,1010.50,30.71,1010.94,000,24.5,94,10.00,0.0,25.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-15-2019,01:00:00,0.00,1009.60,29.44,1010.60,000,23.8,92,10.00,0.0,25.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-15-2019,01:00:00,0.01,1010.23,28.98,1011.05,000,23.5,85,10.00,0.0,26.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-15-2019,01:00:00,0.00,1009.19,30.17,1011.02,000,24.2,93,10.00,0.0,25.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,11.20,10-15-2019,01:00:00,11.20,1010.33,29.46,1011.09,260,23.8,91,10.00,7.4,25.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-15-2019,01:00:00,7.00,1007.06,31.49,1011.09,260,24.9,98,8.00,5.6,25.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-15-2019,01:00:00,0.00,1010.84,30.60,1011.53,000,24.4,95,10.00,0.0,25.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-15-2019,01:00:00,4.20,1009.73,30.15,1010.86,000,24.2,94,10.00,0.0,25.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-15-2019,01:00:00,0.01,1008.32,31.82,1011.26,000,25.1,96,10.00,0.0,25.8
