WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,RelativeHumidity,DewPoint,Rainfall,MeanSeaLevelPressure,LandVisibility,VaporPressure,WindSpeed,AirTemperature,WindDirection,MaximumTemperature
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,972.75,08-09-2019,19:00:00,1.70,93,26.2,0.20,999.97,8.00,34.07,0.0,27.5,000,31.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,966.46,08-09-2019,19:00:00,1.30,88,25.4,0.01,999.62,10.00,32.36,0.0,27.5,000,32.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,981.22,08-09-2019,19:00:00,11.70,95,25.7,0.60,999.58,4.00,33.10,3.7,26.6,280,28.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,977.35,08-09-2019,19:00:00,24.90,98,25.7,4.50,1000.04,6.00,32.95,0.0,26.1,000,28.8
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,970.19,08-09-2019,19:00:00,29.20,96,24.3,2.00,999.99,6.00,30.32,0.0,25.0,000,27.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,964.98,08-09-2019,19:00:00,1.20,93,26.1,0.01,1000.09,5.00,33.86,0.0,27.4,000,29.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,970.13,08-09-2019,19:00:00,12.00,94,25.8,0.00,999.58,13.00,33.22,0.0,26.8,000,28.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,992.31,08-09-2019,19:00:00,18.50,90,24.5,0.30,999.58,8.00,30.67,0.0,26.2,000,29.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,979.52,08-09-2019,19:00:00,14.60,85,25.1,0.00,999.18,10.00,31.95,0.0,28.0,000,31.7
48353,LOEI,เลย,เลย,17.45000,101.73333,971.89,08-09-2019,19:00:00,10.70,90,24.9,0.00,1000.33,12.00,31.55,0.0,26.8,000,28.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,979.40,08-09-2019,19:00:00,3.30,75,24.5,0.00,999.24,15.00,30.80,11.1,29.4,270,32.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,978.82,08-09-2019,19:00:00,25.80,81,25.9,0.00,1000.20,12.00,33.50,11.1,29.6,250,33.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,979.95,08-09-2019,19:00:00,2.40,76,26.0,0.00,999.04,12.00,33.55,0.0,30.6,000,33.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,983.40,08-09-2019,19:00:00,2.70,72,25.0,0.00,999.82,13.00,31.72,0.0,30.7,000,33.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,982.68,08-09-2019,19:00:00,13.60,87,26.7,0.00,999.84,10.00,35.08,0.0,29.1,000,34.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,973.77,08-09-2019,19:00:00,1.00,81,25.1,0.00,999.19,10.00,31.94,3.7,28.7,280,31.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,994.09,08-09-2019,19:00:00,10.00,96,26.8,0.10,999.82,10.00,35.23,3.7,27.5,280,29.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,993.75,08-09-2019,19:00:00,16.70,96,26.3,0.10,999.90,10.00,34.19,0.0,27.0,000,28.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,984.46,08-09-2019,19:00:00,0.01,86,24.9,0.01,1000.77,10.00,31.52,0.0,27.5,000,31.1
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,978.67,08-09-2019,19:00:00,0.70,88,23.3,0.10,1000.96,10.00,28.59,3.7,25.5,270,30.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,986.56,08-09-2019,19:00:00,2.50,73,22.7,0.30,1000.80,6.00,27.59,18.5,28.0,260,31.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,983.94,08-09-2019,19:00:00,5.80,98,26.4,0.30,1000.22,6.00,34.36,0.0,26.8,000,31.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,995.23,08-09-2019,19:00:00,1.30,93,25.1,1.30,1000.43,10.00,31.88,3.7,26.4,050,31.9
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,985.98,08-09-2019,19:00:00,5.20,88,25.7,0.00,999.03,12.00,33.08,0.0,28.0,000,32.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,990.76,08-09-2019,19:00:00,0.01,77,25.2,0.01,999.94,9.00,31.97,0.0,29.7,000,31.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,978.95,08-09-2019,19:00:00,0.10,89,25.5,0.10,1000.45,8.00,32.64,3.7,27.5,150,34.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,983.42,08-09-2019,19:00:00,0.60,93,25.2,0.60,1000.84,10.00,32.07,0.0,26.5,000,34.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,983.73,08-09-2019,19:00:00,3.00,84,25.6,2.60,999.36,10.00,32.88,3.7,28.6,130,33.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,980.72,08-09-2019,19:00:00,31.40,93,25.7,2.40,999.46,8.00,33.06,0.0,27.0,000,34.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,950.61,08-09-2019,19:00:00,16.40,87,22.3,0.00,1001.76,6.00,26.84,0.0,24.5,000,27.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,995.59,08-09-2019,19:00:00,5.00,85,25.4,0.00,999.51,6.00,32.35,0.0,28.2,000,32.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,907.71,08-09-2019,19:00:00,5.80,99,20.9,1.80,1002.50,.05,24.77,11.1,21.1,210,23.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,984.14,08-09-2019,19:00:00,0.40,93,24.6,0.40,1000.08,6.00,31.00,0.0,25.8,000,35.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,996.65,08-09-2019,19:00:00,39.40,100,25.4,39.40,1000.68,5.00,32.42,0.0,25.4,000,35.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,991.60,08-09-2019,19:00:00,24.30,97,24.4,19.40,1002.29,6.00,30.58,0.0,25.0,000,34.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,999.69,08-09-2019,19:00:00,2.40,91,24.6,0.60,1001.61,8.00,30.94,1.9,26.2,330,34.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,979.44,08-09-2019,19:00:00,1.20,70,23.2,0.00,1000.00,10.00,28.40,0.0,29.3,000,34.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,982.44,08-09-2019,19:00:00,36.70,92,24.6,5.90,1000.04,6.00,30.84,0.0,26.0,000,33.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,983.99,08-09-2019,19:00:00,36.40,94,25.7,1.30,1000.05,10.00,32.94,0.0,26.8,000,33.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,986.08,08-09-2019,19:00:00,0.00,80,26.2,0.00,999.88,10.00,34.05,7.4,30.0,150,34.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,985.83,08-09-2019,19:00:00,3.10,81,25.5,0.00,1000.47,10.00,32.55,0.0,29.0,000,34.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,985.24,08-09-2019,19:00:00,0.00,82,25.8,0.00,999.69,8.00,33.24,3.7,29.2,160,34.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,998.12,08-09-2019,19:00:00,7.70,93,25.0,4.50,1001.13,5.00,31.76,0.0,26.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",34.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,992.74,08-09-2019,19:00:00,4.10,88,25.1,0.00,1000.64,10.00,31.77,11.1,27.2,150,32.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1000.15,08-09-2019,19:00:00,6.60,84,24.1,0.80,1001.25,6.00,30.02,14.8,27.0,220,32.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.91,08-09-2019,19:00:00,0.00,79,26.8,0.00,1004.36,8.00,35.31,0.0,31.0,000,36.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,868.64,08-09-2019,19:00:00,1.80,99,20.5,0.40,1002.53,.10,24.16,3.7,20.7,290,23.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,995.21,08-09-2019,19:00:00,8.40,92,25.1,8.20,1001.06,10.00,31.79,0.0,26.5,000,33.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,999.99,08-09-2019,19:00:00,9.70,68,24.5,0.00,1000.77,8.00,30.73,7.4,31.2,260,33.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1001.01,08-09-2019,19:00:00,9.20,82,25.0,0.00,1001.45,10.00,31.62,22.2,28.4,230,31.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,991.90,08-09-2019,19:00:00,10.40,92,25.4,0.00,1003.17,6.00,32.38,0.0,26.8,000,30.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1000.07,08-09-2019,19:00:00,1.00,86,26.5,0.00,1001.07,10.00,34.58,0.0,29.0,000,35.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1000.19,08-09-2019,19:00:00,16.70,94,25.0,6.40,1002.01,6.00,31.65,7.4,26.0,230,33.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1000.24,08-09-2019,19:00:00,2.00,67,22.5,0.00,1000.99,7.00,27.32,3.7,29.3,220,33.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1001.37,08-09-2019,19:00:00,10.00,88,25.5,0.00,1002.07,10.00,32.68,16.7,27.8,220,31.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1000.31,08-09-2019,19:00:00,0.30,78,25.8,0.00,1001.01,7.00,33.17,5.6,30.0,270,33.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,979.93,08-09-2019,19:00:00,0.00,68,23.0,0.00,1000.79,12.00,28.04,16.7,29.4,300,35.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,983.90,08-09-2019,19:00:00,0.00,84,24.8,0.00,1000.46,8.00,31.28,0.0,27.8,000,35.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,984.38,08-09-2019,19:00:00,0.00,77,25.2,0.00,1000.56,8.00,31.97,9.3,29.7,180,36.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,978.88,08-09-2019,19:00:00,0.01,71,23.8,0.01,1000.40,10.00,29.44,14.8,29.7,300,34.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,959.21,08-09-2019,19:00:00,1.70,92,23.2,0.01,1002.61,4.00,28.37,18.5,24.5,240,30.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,979.70,08-09-2019,19:00:00,0.00,63,23.6,0.00,999.82,10.00,29.15,11.1,31.4,240,36.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,981.09,08-09-2019,19:00:00,0.00,93,25.1,0.00,1001.85,8.00,31.96,5.6,26.3,190,38.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1001.44,08-09-2019,19:00:00,17.40,92,26.6,5.30,1001.88,10.00,34.81,3.7,28.0,240,32.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,999.31,08-09-2019,19:00:00,0.40,80,25.4,0.00,1000.71,11.00,32.38,0.0,29.2,000,32.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,997.07,08-09-2019,19:00:00,0.00,75,25.1,0.00,1001.93,8.00,31.80,0.0,29.9,000,33.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,999.06,08-09-2019,19:00:00,1.90,73,23.6,0.00,1002.32,12.00,29.19,3.7,29.0,030,33.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1000.48,08-09-2019,19:00:00,2.60,68,23.0,0.00,1001.57,10.00,28.15,7.4,29.6,280,34.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1001.30,08-09-2019,19:00:00,2.00,81,25.2,0.00,1001.59,10.00,32.14,9.3,28.8,220,32.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1001.11,08-09-2019,19:00:00,0.80,84,26.1,0.00,1001.79,10.00,33.91,9.3,29.1,230,32.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1000.97,08-09-2019,19:00:00,1.30,80,25.7,0.00,1001.46,10.00,33.00,5.6,29.5,260,31.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1000.27,08-09-2019,19:00:00,4.20,80,25.6,0.00,1001.66,10.00,32.79,16.7,29.4,210,32.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1000.46,08-09-2019,19:00:00,0.00,81,24.9,0.00,1002.12,10.00,31.54,29.6,28.5,210,31.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,996.08,08-09-2019,19:00:00,0.01,75,24.1,0.00,1004.01,10.00,30.01,0.0,29.0,000,32.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1001.31,08-09-2019,19:00:00,3.00,86,26.0,0.00,1001.60,8.00,33.53,0.0,28.5,000,32.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,998.58,08-09-2019,19:00:00,0.70,78,24.2,0.70,1001.68,10.00,30.15,7.4,28.5,250,31.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,995.31,08-09-2019,19:00:00,0.10,86,24.8,0.10,1002.21,10.00,31.33,9.3,27.4,230,31.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,995.80,08-09-2019,19:00:00,0.00,70,24.1,0.00,1001.31,8.00,30.06,13.0,30.3,250,33.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,992.77,08-09-2019,19:00:00,0.80,87,25.1,0.00,1002.02,10.00,31.80,16.7,27.5,270,34.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1001.37,08-09-2019,19:00:00,0.70,72,23.8,0.10,1002.61,10.00,29.41,3.7,29.4,270,33.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1001.52,08-09-2019,19:00:00,28.10,77,23.5,1.70,1001.95,11.00,28.92,9.3,28.0,340,33.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,990.93,08-09-2019,19:00:00,0.60,78,23.7,0.10,1003.10,10.00,29.28,0.0,27.9,000,32.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1002.30,08-09-2019,19:00:00,0.01,70,23.1,0.00,1003.00,10.00,28.21,5.6,29.2,220,34.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1000.84,08-09-2019,19:00:00,12.30,84,24.3,12.00,1003.26,10.00,30.31,7.4,27.3,230,33.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1002.71,08-09-2019,19:00:00,0.10,81,24.2,0.01,1003.22,8.00,30.26,9.3,27.7,300,30.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,997.33,08-09-2019,19:00:00,3.20,89,24.7,1.20,1002.46,12.00,31.08,0.0,26.7,000,31.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1002.05,08-09-2019,19:00:00,54.60,97,26.0,32.00,1002.46,4.00,33.67,0.0,26.6,000,31.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1000.25,08-09-2019,19:00:00,75.40,96,25.8,65.00,1003.01,8.00,33.19,0.0,26.5,000,29.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1003.21,08-09-2019,19:00:00,1.40,77,22.6,0.00,1003.99,10.00,27.36,7.4,27.0,270,31.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1002.72,08-09-2019,19:00:00,124.70,90,25.6,2.70,1003.18,7.00,32.81,11.1,27.3,270,27.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1004.48,08-09-2019,19:00:00,37.90,90,23.4,2.80,1005.17,6.00,28.83,5.6,25.2,240,26.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1003.85,08-09-2019,19:00:00,54.80,89,23.6,2.00,1005.38,8.00,29.11,7.4,25.5,260,26.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.01,08-09-2019,19:00:00,83.30,92,23.6,19.30,1007.94,8.00,29.08,5.6,24.9,240,28.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1004.99,08-09-2019,19:00:00,1.90,95,24.4,0.80,1005.68,8.00,30.60,7.4,25.3,320,29.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.00,08-09-2019,19:00:00,5.80,97,24.1,2.30,1006.81,8.00,30.03,3.7,24.7,190,28.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.43,08-09-2019,19:00:00,2.40,85,23.2,0.60,1006.07,9.00,28.44,1.9,26.0,350,33.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.22,08-09-2019,19:00:00,0.30,93,24.4,0.30,1006.63,10.00,30.63,0.0,25.6,000,34.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1003.79,08-09-2019,19:00:00,1.10,92,23.2,0.60,1008.04,5.00,28.37,0.0,24.5,000,30.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.26,08-09-2019,19:00:00,11.00,91,22.8,2.80,1007.88,7.00,27.77,0.0,24.3,000,30.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.63,08-09-2019,19:00:00,3.40,96,24.3,0.40,1008.13,6.00,30.32,0.0,25.0,000,30.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.33,08-09-2019,19:00:00,0.30,87,22.3,0.30,1007.69,8.00,26.84,5.6,24.5,270,33.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1006.93,08-09-2019,19:00:00,70.80,91,24.1,0.60,1007.82,8.00,30.01,9.3,25.7,240,29.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.98,08-09-2019,19:00:00,5.40,94,22.8,2.40,1008.58,8.00,27.67,5.6,23.8,280,31.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.53,08-09-2019,19:00:00,16.80,88,23.8,10.20,1007.97,8.00,29.50,0.0,26.0,000,32.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.57,08-09-2019,19:00:00,38.20,84,24.3,12.60,1007.56,8.00,30.39,7.4,27.2,270,30.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.95,08-09-2019,19:00:00,10.80,90,25.2,9.00,1008.77,10.00,32.02,42.6,26.9,260,30.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.87,08-09-2019,19:00:00,28.00,97,23.4,21.90,1008.70,3.00,28.78,11.1,24.0,230,34.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.74,08-09-2019,19:00:00,3.10,76,22.0,3.10,1007.49,10.00,26.39,14.8,26.6,230,33.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.48,08-09-2019,19:00:00,14.80,94,22.6,9.60,1008.53,7.00,27.33,20.4,23.6,250,33.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.90,08-09-2019,19:00:00,34.80,91,23.0,8.00,1010.59,6.00,28.11,11.1,24.5,250,33.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.00,08-09-2019,19:00:00,10.80,91,23.0,5.80,1008.13,9.00,28.03,7.4,24.6,270,33.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.18,08-09-2019,19:00:00,23.60,95,22.9,19.70,1009.14,7.00,27.92,7.4,23.8,270,33.2
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1005.78,08-09-2019,19:00:00,0.01,70,24.3,0.00,1006.46,7.00,30.46,0.0,30.5,000,34.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1003.00,08-09-2019,19:00:00,0.01,78,24.2,0.00,1007.10,8.00,30.23,0.0,28.4,000,32.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1005.91,08-09-2019,19:00:00,0.00,66,24.0,0.00,1006.49,10.00,29.76,0.0,31.0,000,34.5
